Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Rate,Sold_Monthly,Weekly_Revenue,Platform,Category
WenHeYou Stinky Tofu 125 g,3.99,200,Mainland China,,15,Unclear,800,798,Weee,Dried Bean Curd
Shenshifu Dried Egg Snacks  100 g,1.79,1000,Mainland China,Shenshifu,42,Unclear,4000,1790,Weee,Dried Bean Curd
BESTORE Dried Tofu Five Spice 238g 238 g,5.99,200,Mainland China,,27,Unclear,800,1198,Weee,Dried Bean Curd
"GaGaZui Shredded Vegetarian Steak, Spicy Black Duck Flavor 30bags 1 box",8.99,200,Mainland China,,53,Unclear,800,1798,Weee,Dried Bean Curd
"Gagazui Fish Tofu, Crab Flavor 30pc 660 g",8.99,300,Mainland China,GAGAZUI,179,Unclear,1200,2697,Weee,Dried Bean Curd
Spicy Bean Curd 150 g,4.09,50,Taiwan,De Delicious,28,Unclear,200,204.5,Weee,Dried Bean Curd
"Uncle Yu Handmade Fish Ball Spicy Flavor, 15pk 270 g",4.99,50,Mainland China,,27,Unclear,200,249.5,Weee,Dried Bean Curd
"Uncle Yu Handmade Fish Ball, Barbecue Flavor 15pk 270 g",6.49,50,Mainland China,,19,Unclear,200,324.5,Weee,Dried Bean Curd
"Uncle Yu Tofu, Spicy Fish Flavor 150 g",3.99,0,Mainland China,,33,Unclear,0,0,Weee,Dried Bean Curd
Bean Curd 150 g,2.99,100,Taiwan,De Delicious,12,Unclear,400,299,Weee,Dried Bean Curd
DS Spicy Shredded Tofu 200 g,4.39,200,Mainland China,DS,10,Unclear,800,878,Weee,Dried Bean Curd
Soy Sauce Stinky Tofu Snack 235 g,6.99,50,Mainland China,,44,Unclear,200,349.5,Weee,Dried Bean Curd
"Te Chang Food Bean Curd, Black Pepper Flavor 4.93 oz",1.99,50,Taiwan,,3,Unclear,200,99.5,Weee,Dried Bean Curd
Bestore Pickled Bamboo Shoot Slice 188 g,4.99,600,Mainland China,,0,Unclear,2400,2994,Weee,Dried Bean Curd
Yumei Spicy King Oyster Mushroom 150 g,3.19,100,Mainland China,,4,Unclear,400,319,Weee,Dried Bean Curd
Spicy Stinky Tofu Snack 235 g,6.99,50,Mainland China,,29,Unclear,200,349.5,Weee,Dried Bean Curd
"Little Jasmine Vegan Jerky, Original Flavor 200 g",12.99,0,Taiwan,,1,Unclear,0,0,Weee,Dried Bean Curd
FJ Salted Tofu 150 g,1.99,1,Mainland China,,6,Unclear,4,1.99,Weee,Dried Bean Curd
"Te Chang Food Bean Curd, Pork Flavor  4.93 oz",1.99,100,Taiwan,,2,Unclear,400,199,Weee,Dried Bean Curd
STE Vegetarian Jerky Black Pepper Flavor 100 g,5.99,0,Taiwan,,2,Unclear,0,0,Weee,Dried Bean Curd
"Ledou Dried Bean Curd, Spicy Flavor  125 g",1.99,400,Mainland China,LYFEN,11,Unclear,1600,796,Weee,Dried Bean Curd
"V-L0ong Konjac, Pickled Pepper Flavor 350 g",6.59,0,Mainland China,,2,Unclear,0,0,Weee,Dried Bean Curd
GGZ Surimi Soybean Snacks Original Flavor  660 g,8.99,50,Mainland China,,0,Unclear,200,449.5,Weee,Dried Bean Curd
"BESTORE Fried Potato Snack, BBQ Flavor 205 g",3.99,50,Mainland China,,4,Unclear,200,199.5,Weee,Dried Bean Curd
"Sushi Bean Roll, Sweet＆Spicy Flavor 560 g",6.99,50,Mainland China,,4,Unclear,200,349.5,Weee,Dried Bean Curd
"Sushi Bean, Roll-Spicy Flavor 560 g",6.99,0,Mainland China,,3,Unclear,0,0,Weee,Dried Bean Curd
Uncle Yu Barbeque Tofu 150 g,3.99,0,Mainland China,UNCLE YU,12,Unclear,0,0,Weee,Dried Bean Curd
"Little Jasmine Vegan Jerky, Red Chili Flavor 200 g",12.99,0,Taiwan,,1,Unclear,0,0,Weee,Dried Bean Curd
"Te Chang Food Bean Curd,  Beef Flavor 4.93 oz",1.99,50,Taiwan,,1,Unclear,200,99.5,Weee,Dried Bean Curd
"Beef Flavored Gluten Strips, Spicy 109 g",1.99,50,Mainland China,,5,Unclear,200,99.5,Weee,Dried Bean Curd
STE Super Juicy Dry Tofu Spicy 240 g,8.99,0,Taiwan,,5,Unclear,0,0,Weee,Dried Bean Curd
Fangjie Wugang Spicy Marinated Dry Tofu Snack 160 g,2.29,0,Mainland China,,1,Unclear,0,0,Weee,Dried Bean Curd
Zhenxiang Beef with Sauce 80 g,0.99,1,Mainland China,Zhen Xiang,24,Unclear,4,0.99,Weee,Dried Bean Curd
Beef and Sheep With Five Spice Spicy 100 g,1.49,200,Mainland China,,1,Unclear,800,298,Weee,Dried Bean Curd
Xiangxiangzui Assorted Flavored Bean Curd 388 g,6.39,50,Mainland China,,1,Unclear,200,319.5,Weee,Dried Bean Curd
WENHEYOU Stinky Tofu Cumin Flavor 125 g,3.99,50,Mainland China,WENHE YOU,0,Unclear,200,199.5,Weee,Dried Bean Curd
ORCHID BEAN CURD  268 g,3.99,0,Mainland China,,0,Unclear,0,0,Weee,Dried Bean Curd
"Yu Hsiang Dried Tofu Cakes, Satay Flavor 150 g",1.49,300,Taiwan,Yu Hsiang,209,Unclear,1200,447,Weee,Dried Bean Curd
"Yu Hsiang Dried Tofu Cakes, Spicy Flavor  150 g",1.49,400,Taiwan,Yu Hsiang,159,Unclear,1600,596,Weee,Dried Bean Curd
Liao Hsin Lan Dried Tofu with Black Pepper 3.8 oz,2.99,300,Taiwan,,44,Unclear,1200,897,Weee,Dried Bean Curd
"Tender Tofu Mushroom Snack, Numbing Hot Flavor 180 g",2.69,300,Mainland China,,39,Unclear,1200,807,Weee,Dried Bean Curd
Yu Hsiang Dried Bean Curd Garlic Flavor 150 g,1.49,50,Taiwan,,25,Unclear,200,74.5,Weee,Dried Bean Curd
YuFeng Spicy Beancurd Strip  65 g,1.99,600,Mainland China,,29,Unclear,2400,1194,Weee,Dried Bean Curd
"Fupi Beancurd Skin Crisps, Sichuan Mala Flavor 75 g",4.99,0,Malaysia,,12,Unclear,0,0,Weee,Dried Bean Curd
Weilong Kiss Burn Spicy Chicken Flavor 260 g,5.39,50,Mainland China,WEILONG,1,Unclear,200,269.5,Weee,Dried Bean Curd
BESTORE Liangpinpu Chicken Mushroom Spicy Flavor  160 g,6.79,50,Mainland China,,8,Unclear,200,339.5,Weee,Dried Bean Curd
Bestore Stinky Tofu 120 g,4.99,50,Mainland China,,13,Unclear,200,249.5,Weee,Dried Bean Curd
Bestore Fermented Eggs 128 g,3.49,100,Mainland China,,9,Unclear,400,349,Weee,Dried Bean Curd
Weilong Big Hot Stick 70 g,1.69,300,Mainland China,Weilong,0,Unclear,1200,507,Weee,Dried Bean Curd
