Product_Name,Brand,Reviews,Price,Rate,Origin,Platform,Category,Sold_Weekly
Preserved Duck Eggs Soft Yolk 360g,pro fusion,10,3.69,4.9,Mainland China,Yami,Dessert,Less than 50
Thick Pumpkin Cream Soup Low Heat Instant Meal Replacement Instant Soup 3bags,pokka sapporo,4,4.99,5,Japan,Yami,Dessert,Less than 50
Thick Hokkaido Corn Cream Soup Instant Soup 3pcs,pokka sapporo,1,4.99,5,Japan,Yami,Dessert,Less than 50
Thick Broccoli Cheese Cream Soup Instant Soup 3pcs,pokka sapporo,1,4.99,5,Japan,Yami,Dessert,Less than 50
Bird's Nest Drink Jar Giftset 6pc,sanest,1,39.99,5,Vietnam,Yami,Dessert,Less than 50
Spicy Sliced Kelp 218g,bestore,29,3.49,4,Mainland China,Yami,Dessert,100+ Sold
Konjac Nutritional Meal 420g 30g x 14 Packets,mushroomstorm,11,14.24,4.7,Mainland China,Yami,Dessert,200+ Sold
Daily Low Fat Cereal Breakfast 400g,bestore,0,24.99,0,Mainland China,Yami,Dessert,Less than 50
JAPAN Sugar Free  Doria 206,kagome,2,12,5,Japan,Yami,Dessert,Less than 50
JAPAN Sugar free  Doria 206g,kagome,1,12,5,Japan,Yami,Dessert,Less than 50
Millet pumpkin porridge 100g in a small bag,yaoduoduo,0,8.9,0,Mainland China,Yami,Dessert,200+ Sold
Rice Porridge 6pc,nissin,1,21.5,5,Japan,Yami,Dessert,200+ Sold
FD Freeze Dried Rice Porridge Instant Breakfast Porridge 5 Flavors 10 Bag Combination 368g,haifusheng,0,29.99,0,Mainland China,Yami,Dessert,200+ Sold
JAPAN Bibimbap 254g,marumiya,0,11.5,0,Japan,Yami,Dessert,Less than 50
JAPAN Sugar Free Tomato risotto 260g,kagome,1,12,5,Japan,Yami,Dessert,Less than 50
Eight-treasure porridge 100g in a small bag,yaoduoduo,0,8.9,0,Mainland China,Yami,Dessert,200+ Sold
PING TUNG Red Bean Soup 320g  (Limited to 5 cans),lien haw foods,0,6.64,0,Taiwan,Yami,Dessert,Less than 50
SOYESFOOD Sweet Taro 200g/can  (Limited to 5 cans),lien haw foods,1,3.79,4,Taiwan,Yami,Dessert,Less than 50
Ten-grain rice porridge eight-treasure porridge raw materials in small bags 100g,yaoduoduo,0,8.9,0,Mainland China,Yami,Dessert,200+ Sold
Kelp Silk Spicy Taste 218g,bestore,4,7.99,5,Mainland China,Yami,Dessert,200+ Sold
FANGJIAPUZI Peach Gum Snow Swallow Gleditsiae Semen Soup 200g,mr fang's store,2,24.99,5,Mainland China,Yami,Dessert,200+ Sold
JAPAN  Meal Replacement Cacao&Nuts15pc,asahi,4,7.9,4.8,Japan,Yami,Dessert,300+ Sold
PING TUNG Taiwan Red Quinoa and Red Bean Porridge 250g  (Limited to 5 cans),lien haw foods,0,6.64,0,Taiwan,Yami,Dessert,Less than 50
JAPAN  Meal Replacement Honey&Raisins 15pc,asahi,3,7.9,5,Japan,Yami,Dessert,300+ Sold
JAPAN Sugar Free  Vegetable Curry 240g,kagome,2,12,5,Japan,Yami,Dessert,Less than 50
JAPAN  Meal Replacement Maple&Walnut 15pc,asahi,5,7.9,4.6,Japan,Yami,Dessert,300+ Sold
SOYESFOOD Sweet Red Bean 200g/can  (Limited to 5 cans),lien haw foods,0,3.79,0,Taiwan,Yami,Dessert,Less than 50
JAPAN  Meal Replacement Fruit 15pc Sugar 25%OFF,asahi,2,7.9,5,Japan,Yami,Dessert,300+ Sold
JAPAN  Meal Replacement Fruit 15pc,asahi,3,7.9,5,Japan,Yami,Dessert,300+ Sold
WUGUMOFANG Y10 Prebiotic High Fiber Meal 1100g,wugu mofang,2,19.99,4.5,Mainland China,Yami,Dessert,Less than 50
FENGDAN Taiwanese Crispy Biscuit Filled with Nougat 144g,favor desserts,6,11.99,3.2,Taiwan,Yami,Dessert,200+ Sold
Popin Cookin DIY Cake Shop Ice Cream Cone Frosting Desserts 26g,kracie,16,3.99,4.8,Japan,Yami,Dessert,Less than 50
Red Bean Soup with Black RIce 300g Gluten Free,totole,33,1.99,4.8,Mainland China,Yami,Dessert,50+ Sold
Brown Sugar With Mixed Congee 340g,taisun,343,1.39,4.7,Taiwan,Yami,Dessert,300+ Sold
Mixed Black Glutinous Rice Congee 255g,taisun,293,1.29,4.7,Taiwan,Yami,Dessert,300+ Sold
Milk Peanut Soup 340g,agv,83,1.49,4.4,Taiwan,Yami,Dessert,300+ Sold
FU CHUN JIANG Rice Pudding 350g,fuchunjiang,38,2.29,4.7,Mainland China,Yami,Dessert,100+ Sold
Canned In Syrup(Haw)  680g,qianbaiwei,35,2.99,4.8,Mainland China,Yami,Dessert,50+ Sold
Deluxe Grass Jelly Dessert 330g,agv,292,1.59,4.5,Taiwan,Yami,Dessert,300+ Sold
Red Bean and Purple Rice Porridge 35gx3,zen eat,0,10.99,0,Taiwan,Yami,Dessert,Less than 50
Red Bean & Coix Meal 600g (New Formula New Packaging),wugu mofang,142,18.99,4.8,Mainland China,Yami,Dessert,Less than 50
Instant Cereal Mixed Congee 380g,agv,35,1.69,4.6,Taiwan,Yami,Dessert,300+ Sold
Sesame Oil and Ginger Porridge 35gx3,zen eat,0,10.99,0,Taiwan,Yami,Dessert,Less than 50
Eight Treasures Rice Cake 480g,mei hua siang,7,3.59,4.6,Taiwan,Yami,Dessert,Less than 50
Instant Cereal Mixed Congee 380g,agv,35,1.69,4.6,Taiwan,Yami,Dessert,300+ Sold
Black Sesame Walnut Powder 360g,liziqi,57,10.99,4.8,Mainland China,Yami,Dessert,Less than 50
Konjac Nutrional Meal Purple Yam Flavor 28g*16Pack,wugu mofang,176,17.99,4.8,Mainland China,Yami,Dessert,Less than 50
Truffle and Wild Mushroom Porridge 35gx3,zen eat,1,11.99,3,Taiwan,Yami,Dessert,Less than 50
Bun Snack Kidney Bean Paste 280g,jimei,109,3.99,4.7,Mainland China,Yami,Dessert,300+ Sold
Mixed Black Rice Congee 280g,yinlu,165,2.39,4.8,Mainland China,Yami,Dessert,Less than 50
BZS Mango Sago Cream with Pomelo 220g,baozhisu,223,3.69,4.5,Mainland China,Yami,Dessert,300+ Sold
Mixed EJiao Congee 300g,tongfu porridge,4,2.19,4.5,Mainland China,Yami,Dessert,Less than 50
Peach Gum Gleditsia Sinensis Soup Coconut Flavor 200g,chaozhoulang,111,3.69,4.7,Mainland China,Yami,Dessert,300+ Sold
Purple Rice Juice with Coconut Milk 225g,youhualiangcao,2,4.99,4,Mainland China,Yami,Dessert,50+ Sold
INSTANT DESSERT COCONUT JUICE WITH BLACK GLUTINOUS RICE 225g,baozhisu,168,3.69,4.7,Mainland China,Yami,Dessert,300+ Sold
Mixed Congee 340g,agv,204,1.69,4.7,Taiwan,Yami,Dessert,300+ Sold
Mixed Lotus Corn Congee 280g,yinlu,87,2.39,4.8,Mainland China,Yami,Dessert,Less than 50
Babao Rice Honey Dates Flavor 350g,qinyiwan,56,3.99,4.9,Mainland China,Yami,Dessert,50+ Sold
BZS Coconut Juice with Multi Grain 200g  EXP:06/01/2021,baozhisu,73,3.69,4.8,Mainland China,Yami,Dessert,300+ Sold
BZS Red Bean Lotus and Lily Dessert 200g,baozhisu,57,3.39,4.5,Mainland China,Yami,Dessert,300+ Sold
Grass Jelly 223g,youhualiangcao,11,4.59,4.7,Mainland China,Yami,Dessert,50+ Sold
Apple and Pear Tremella Soup 52g,buydeem,4,4.99,4.2,Mainland China,Yami,Dessert,300+ Sold
Babao Rice Proso Millet & Purple Yam Flavor 350g,qinyiwan,39,3.49,4.5,Mainland China,Yami,Dessert,50+ Sold
Sweet Precook Corn 260g,qianbaiwei,27,1.59,4.7,Mainland China,Yami,Dessert,50+ Sold
Fine Stewed Beef Congee 38g,haifusheng,4,1.99,5,Mainland China,Yami,Dessert,50+ Sold
Boiled Lettuce Stem 300g,spring farm,13,4.99,4.5,Mainland China,Yami,Dessert,50+ Sold
WUGUMOFANG Almond Red Coix Powder 600g,wugu mofang,8,22.99,4,Mainland China,Yami,Dessert,Less than 50
Hong Kong Olive Vegetable 450g,pengsheng,8,3.99,4.9,Mainland China,Yami,Dessert,Less than 50
Rice Cake 240g,jiaxian,19,1.99,4.5,Mainland China,Yami,Dessert,Less than 50
Crispy Cow Pea,weijute,12,1.39,4.9,Mainland China,Yami,Dessert,50+ Sold
Wonton Spicy Pork bone Flavor 68g,gudasao,4,4.99,4.8,Mainland China,Yami,Dessert,50+ Sold
Wheat Core Chicken Congee 38g,haifusheng,1,1.99,5,Mainland China,Yami,Dessert,50+ Sold
Coconut wheat chia seed Oatmeal 2 bags,buydeem,7,3.5,5,Mainland China,Yami,Dessert,300+ Sold
HEALTHY RED BEANS AND BARLEY PORRIDGE 200g,baozhisu,5,3.59,4.2,Mainland China,Yami,Dessert,300+ Sold
Green bean soup 370g,yinlu,12,2.39,4.5,Mainland China,Yami,Dessert,50+ Sold
Black Goji Grain Meal Powder 10 bags,buydeem,3,11.99,4.3,Mainland China,Yami,Dessert,300+ Sold
?€?Frozen?€?PMO Spicy Topokki,pmo,1,6.99,5,Korea,Yami,Dessert,Less than 50
HEALTHY BLACK SESAME PORRIDGE 200g,baozhisu,4,3.59,4,Mainland China,Yami,Dessert,300+ Sold
Mixed Barley Red Bean Congee 280g,yinlu,59,2.39,4.8,Mainland China,Yami,Dessert,50+ Sold
Sea Food congee with Quinoa 2 bags,buydeem,1,6.59,5,Mainland China,Yami,Dessert,200+ Sold
Fruit Cocktail In Syrup  565g,khamphouk,3,1.89,3.7,Thailand,Yami,Dessert,Less than 50
TONGFU Longan Lotus Seed Porridge With Brown Suger 430g,tongfu porridge,4,2.19,5,Mainland China,Yami,Dessert,Less than 50
Spicy Termitomyces 100g,zhenleyi,2,3.19,4,Mainland China,Yami,Dessert,50+ Sold
WUFANGZHA Glutinous Porridge   3 flavors 6 cups in each pack,wufangzhai,39,23.99,4.7,Mainland China,Yami,Dessert,Less than 50
Mung Bean Adlay Dessert Soup 340g,agv,1,1.69,5,Taiwan,Yami,Dessert,300+ Sold
Brown Rice Porridge with Taro & Sakura Shrimps 6pcs,health style,6,7.89,2.5,Taiwan,Yami,Dessert,50+ Sold
Mixed Congee in Syrup 380g,wuchung,52,1.49,4.5,Taiwan,Yami,Dessert,50+ Sold
Cold Rice Jelly(brown sugar flavor) 240g,other brands,40,1.69,4.5,Unclear,Yami,Dessert,50+ Sold
Cooked Marinated Egg 6pc,lam sheng kee,52,3.99,3.9,Taiwan,Yami,Dessert,Less than 50
Crisp Bamboo Shoots with Picked Cabbage 280g,new health,20,3.99,4.2,Mainland China,Yami,Dessert,50+ Sold
ONETENG Freeze Dried Fermented Rice Papaya White Fungus Soup 90g,sungiven foods,16,6.49,4.6,Mainland China,Yami,Dessert,50+ Sold
Peach Gum Gleditsia Sinensis Soup Natural Flavor 200g,chaozhoulang,117,3.69,4.8,Mainland China,Yami,Dessert,300+ Sold
INSTANT DESSERT COCONUT MILK TARO & BLACK RICE PASTE 225g,baozhisu,6,3.99,4.2,Mainland China,Yami,Dessert,300+ Sold
SHUANG QIAN Longan And Lotus Seed Mixed Congee 360g,coins,28,1.79,4.7,Mainland China,Yami,Dessert,100+ Sold
Grandma Sweet Canned Poplar Honeydew 300g,three squirrels,32,5.99,3.9,Mainland China,Yami,Dessert,50+ Sold
Glutinous rice cake 300g,yumei,31,2.99,4.5,Mainland China,Yami,Dessert,50+ Sold
Black Sesame Instant,healthy & funny,2,27.99,5,Mainland China,Yami,Dessert,200+ Sold
WANG Canned Kimchi 160g,wang food,38,2.29,3.9,Korea,Yami,Dessert,50+ Sold
Cooked Marinated Tea Egg 6pcs,lam sheng kee,40,3.99,4,Taiwan,Yami,Dessert,Less than 50
Wonton Shrimp Flavor 68g,gudasao,1,4.99,5,Mainland China,Yami,Dessert,50+ Sold
Black Tapioca Pearl 250g X CHA TRA MUE Thai Tea Mix Powder 400g,wufuyuan,9,6.99,5,Taiwan,Yami,Dessert,50+ Sold
Traditional Pearl Sago In Syrup Neo Neo Pearls 260g,agv,23,1.59,3.7,Taiwan,Yami,Dessert,100+ Sold
Red Bean Dessert 250g,shunnan,0,3.69,0,Mainland China,Yami,Dessert,Less than 50
PENGUIN Yellow Peach In Can 400g,penguin's,2,2.99,5,Japan,Yami,Dessert,Less than 50
Mangosteen In Syrup 567g,khamphouk,11,3.39,4.7,Thailand,Yami,Dessert,Less than 50
LULU Pickled Cabbage 500g,lulufood,6,2.29,4.7,Mainland China,Yami,Dessert,Less than 50
Sticky Rice Sweet Flavor 538g,nanguo,11,9.59,4.1,Mainland China,Yami,Dessert,50+ Sold
PENGUIN Yellow Peach Slices 400g,penguin's,8,2.99,4.8,Japan,Yami,Dessert,Less than 50
Black Sesame Paste with Nuts 215g,youhualiangcao,2,4.59,5,Mainland China,Yami,Dessert,50+ Sold
Instant Tofu Jelly 45g,bestore,0,1.99,0,Mainland China,Yami,Dessert,300+ Sold
MANGO PULP WITH SWEETENED SAGO CREAM 200g,baozhisu,10,2.99,3.1,Mainland China,Yami,Dessert,300+ Sold
Chinese Mixed Porridge 310ml,ve wong,8,1.19,4,Taiwan,Yami,Dessert,50+ Sold
Pickled Pepper Flavor Bamboo Shoot 188g,bestore,1,5.09,5,Mainland China,Yami,Dessert,200+ Sold
Rice Porridge 300g,totole,103,1.49,5,Mainland China,Yami,Dessert,Less than 50
Flavored Preserved Mushrooms Spicy Flavor 210g,danshan,4,4.99,5,Mainland China,Yami,Dessert,300+ Sold
Pickled Cowpea 500g,hopen,4,2.49,3.5,Mainland China,Yami,Dessert,50+ Sold
Tropical Classic Tapioca Pearl Pudding with Red Bean 230g,tas,3,2.89,5,Mainland China,Yami,Dessert,Less than 50
Purple Potato Instant Oatmeal (Powder) 500g,healthy & funny,51,24.99,4.6,Mainland China,Yami,Dessert,200+ Sold
TONGFU Lotus Seed Corn Porridge 280g,tongfu porridge,4,1.99,5,Mainland China,Yami,Dessert,Less than 50
WFZ Brown Sugar Rice Porridge 350g,wufangzhai,1,2.29,5,Mainland China,Yami,Dessert,Less than 50
Brown Rice Porridge with Assorted Vegetables 6pcs,health style,4,7.89,2,Taiwan,Yami,Dessert,50+ Sold
Black Rice Porridge With Sugar 300g,totole,94,1.99,4.9,Mainland China,Yami,Dessert,Less than 50
WUGUMOFANG Nutritional Black Sesame Chinese Yam Oatmeal Yi Yuan Ba Zhen Powder 448g,wugu mofang,36,18.99,4.7,Mainland China,Yami,Dessert,Less than 50
BZS BK Sesame and Walnut Dessert  200g,baozhisu,55,3.69,4.4,Mainland China,Yami,Dessert,300+ Sold
Coconut Taro Sweet soup 128g,buydeem,8,5.13,4.8,Mainland China,Yami,Dessert,50+ Sold
Sweet Precook Corn 260g,qianbaiwei,35,1.59,4.9,Mainland China,Yami,Dessert,50+ Sold
Mixed Rice Congee 340g,chinchin,50,1.29,4.5,Taiwan,Yami,Dessert,300+ Sold
BZS White Fungus and Lotus Dessert 200g,baozhisu,33,3.39,4.5,Mainland China,Yami,Dessert,Less than 50
"Mixed Congee Brown Sugar, 6Pcs",taisun,10,6.59,4.9,Taiwan,Yami,Dessert,50+ Sold
Glutinous rice cake 300g,yumei,32,2.79,4.6,Mainland China,Yami,Dessert,50+ Sold
Grandma Sweet Yogurt Yellow Peach Sago 300g,three squirrels,17,5.99,4.4,Mainland China,Yami,Dessert,50+ Sold
Spicy Mixed Vegetable,weijute,12,1.39,4.8,Mainland China,Yami,Dessert,50+ Sold
Tropical Classic Tapioca Pearl Pudding with Taro 230g,tas,3,2.89,4.7,Mainland China,Yami,Dessert,Less than 50
Fresh Dried White Fungus Flavor Soup 200g,xiduoduo,7,5.79,4.7,Mainland China,Yami,Dessert,50+ Sold
Wonton Original Pork Bone Flavor 68g,gudasao,4,4.99,4.2,Mainland China,Yami,Dessert,50+ Sold
Pork Ribs and Mushroom Congee 38g,haifusheng,4,1.99,5,Mainland China,Yami,Dessert,50+ Sold
MANGO WITH BLACK RICE DESSERT 220g,baozhisu,6,5.29,2.8,Mainland China,Yami,Dessert,300+ Sold
Flammulina BBQ flavor 188g,bestore,11,5.09,4.8,Mainland China,Yami,Dessert,300+ Sold
MANGO WITH BLACK RICE DESSERT 220g,baozhisu,6,5.29,2.8,Mainland China,Yami,Dessert,300+ Sold
Flammulina BBQ flavor 188g,bestore,11,5.09,4.8,Mainland China,Yami,Dessert,300+ Sold
Mashed Red Bean Paste 500g,imuraya,7,6.99,5,Japan,Yami,Dessert,Less than 50
ONETENG Freeze Dried Brown Sugar Longan Ginger White Fungus Soup 90g,sungiven foods,11,6.49,4.8,Mainland China,Yami,Dessert,50+ Sold
Dried scallops Congree with Quinoa and Corn 2 bags,buydeem,7,4.99,4.9,Mainland China,Yami,Dessert,300+ Sold
Smooth Red Bean Paste 500g,imuraya,1,6.99,2,Japan,Yami,Dessert,Less than 50
TONGFU Red Bean And Black Rice Porridge With Brown Suger 430g,tongfu porridge,8,2.19,4.9,Mainland China,Yami,Dessert,50+ Sold
WUGUMOFANG Gift Set Red Bean Coix and Cereal Meal + Collagen Oatmeal 1000g,wugu mofang,2,69.99,4,Mainland China,Yami,Dessert,Less than 50
Pickled peppers mushroom 50g,hexin,5,1.59,4.6,Mainland China,Yami,Dessert,50+ Sold
Spicy wild Mushroom 16g*20,hexin,7,7.99,4.9,Mainland China,Yami,Dessert,50+ Sold
Tropical Classic Tapioca Pearl Pudding with Corn 230g,tas,4,2.89,5,Mainland China,Yami,Dessert,Less than 50
Shimmering Black Gold Herbal Grass Jelly Dessert 255g,other brands,2,2.29,5,Unclear,Yami,Dessert,Less than 50
Brown Rice Porridge with Bamboo Shoot 6pcs,health style,11,7.89,2.5,Taiwan,Yami,Dessert,200+ Sold
Instant Jellyfish Hot&Spicy Flavor 150g,asian taste,3,2.49,4.7,Taiwan,Yami,Dessert,300+ Sold
Instant Red Bean Porridge 300g,tongfu porridge,2,1.49,3,Mainland China,Yami,Dessert,Less than 50
Purple Potato Purple Rice Congee 280g,yinlu,134,2.39,4.6,Mainland China,Yami,Dessert,Less than 50
Lychee Whole  567g,wong pai,4,3.49,4.8,Mainland China,Yami,Dessert,50+ Sold
Ice Cake  188g,yuanxian,108,1.59,4.1,Mainland China,Yami,Dessert,Less than 50
YANGSHENG Preserved Duck Eggs 6pc,lam sheng kee,84,3.79,4.5,Taiwan,Yami,Dessert,300+ Sold
Red Bean and Lotus Seeds stew with Tangerine Peels 225g,youhualiangcao,1,4.99,5,Mainland China,Yami,Dessert,50+ Sold
Chinese Yam and Yamabushitake Cereal 600g,wugu mofang,46,16.99,4.7,Mainland China,Yami,Dessert,Less than 50
Red Date Tremella Goji Sweet Soup128g 8 Packets,haifusheng,26,10.99,4.3,Mainland China,Yami,Dessert,200+ Sold
OATMEAL WITH CHESTNUT 330g,taisun,12,1.49,4.2,Taiwan,Yami,Dessert,50+ Sold
Yam Coix Seed and Gorgon Fruit Powder 600g,healthy & funny,27,29.99,4.6,Mainland China,Yami,Dessert,200+ Sold
Black Rice Congee 320g,chinchin,38,1.29,4.4,Taiwan,Yami,Dessert,100+ Sold
Boiled Lotus Roots 300g,spring farm,24,2.69,4.9,Mainland China,Yami,Dessert,50+ Sold
Spicy Wakame 160g,bestore,23,3.29,4.2,Mainland China,Yami,Dessert,100+ Sold
Sweet Precook Corn 260g,qianbaiwei,28,1.59,4.4,Mainland China,Yami,Dessert,50+ Sold
Fish Flavor Pickles 306g,ji xiang ju,25,3.99,4.8,Mainland China,Yami,Dessert,100+ Sold
Fresh Waxberry Bottle 425g,ljpz,6,2.19,4.5,Mainland China,Yami,Dessert,Less than 50
Canned Eight Treasure Porridge (Longan&Lothus Seed) 360g,yinlu,13,2.39,4.8,Mainland China,Yami,Dessert,50+ Sold
Pickled Pepper and Seaweed 60g,weijute,29,0.59,4.6,Mainland China,Yami,Dessert,50+ Sold
Dried Radish Leaves With Soybean Paste Rice Porridge 285g,ottogi,21,3.99,4.4,Korea,Yami,Dessert,50+ Sold
Korean Kimchi Fried Kimchi 100g,chunyu palace,20,1.19,4.7,Mainland China,Yami,Dessert,100+ Sold
Instant Herbal Cereal Original 6Pcs,jzjt,153,14.99,4.7,Mainland China,Yami,Dessert,300+ Sold
Glutinous rice cake 300g,yumei,20,2.99,4.2,Mainland China,Yami,Dessert,50+ Sold
"Quick Braised Tremella Soup, Fresh Stew Brewing Combo, Individual Sugar Packets, Individual Bags 78g",mr fang's store,11,10.99,4.8,Mainland China,Yami,Dessert,50+ Sold
WUGUMOFANG Probiotics Red Been & Coix Seed Meal Coconut Flavor 400g,wugu mofang,8,22.99,4.8,Mainland China,Yami,Dessert,Less than 50
JIXIANGJU Spicy Pickled Vegetables 66g,ji xiang ju,18,0.79,4.3,Mainland China,Yami,Dessert,50+ Sold
Coconut Milk Oat Congee 280g,yinlu,142,2.39,4.7,Mainland China,Yami,Dessert,Less than 50
Canned In Syrup (Mixed Fruit) 680g,qianbaiwei,10,2.99,4.8,Mainland China,Yami,Dessert,Less than 50
Spicy Sansi 306g,ji xiang ju,11,3.99,4.5,Mainland China,Yami,Dessert,Less than 50
WFZ Red Bean Glutinous Rice Porridge 350g,wufangzhai,9,2.29,4.9,Mainland China,Yami,Dessert,50+ Sold
Pickled Mixed Vegetable,weijute,8,1.39,5,Mainland China,Yami,Dessert,50+ Sold
Five Spice Lotus 169g,bestore,13,4.39,3.5,Mainland China,Yami,Dessert,50+ Sold
Yunnan Dried Mushroom 50g,hexin,4,1.59,4.8,Mainland China,Yami,Dessert,50+ Sold
Preserved Savory Fungus Spicy Hot Flavor 280g,fsg,0,4.19,0,Mainland China,Yami,Dessert,200+ Sold
