,Product_Name,Price,Reviews,Option,Origin,Rate,Platform,Category,Sold_Weekly
80,Deka Choco Banana Wafer Roll 360g,4.49,11,No,Indonesia,3.9,Yami,Egg Roll,Less than 50
81,Mini Roll Cake Strawberry Flavor 70g,2.69,7,3 Options,Japan,3.6,Yami,Egg Roll,Less than 50
82,Atoom Bulan Egg Needle 200g,1.15,4,No,Indonesia,3.5,Yami,Egg Roll,50+ Sold
83,Mini Roll Cake Milk Flavor 70g,2.99,7,3 Options,Japan,4.7,Yami,Egg Roll,Less than 50
84,Vegetarian Spicy Slices 100g,6.99,0,No,Taiwan,0.0,Yami,Egg Roll,200+ Sold
85,Swiss Roll Matcha 160g,4.99,0,No,Korea,0.0,Yami,Egg Roll,Less than 50
86,Japanese style Crispy Roll-Sakura flavor 160g,7.49,5,No,Hong Kong,5.0,Yami,Egg Roll,200+ Sold
87,GuangMing Preserved Duck Egg 375g,3.99,143,No,Mainland China,4.8,Yami,Egg Roll,Less than 50
88,Egg Puff Milk Flavor,2.99,1,No,Mainland China,5.0,Yami,Egg Roll,200+ Sold
89,Egg Puff Cheese Flavor,2.99,2,No,Mainland China,5.0,Yami,Egg Roll,200+ Sold
90,Egg Yolk Puff with Chewy Mochi and Red Bean Paste 330g,19.99,420,8 Options,United States,4.6,Yami,Egg Roll,Less than 50
91,"Egg Yolk Puff with Chewy Mochi and Lotus Seed Paste ,330g",19.99,346,8 Options,United States,4.8,Yami,Egg Roll,Less than 50
92,Quail Egg (Blue) 425g,3.59,1,No,Mainland China,5.0,Yami,Egg Roll,200+ Sold
93,【Frozen】Egg Tart Pastry 24pc,6.99,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
94,【Frozen】 Cooked Salted Duck  Egg Yolks 144g,6.99,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
95,Egg Noodle    900g,3.69,9,No,Mainland China,4.8,Yami,Egg Roll,200+ Sold
96,Egg Great With Add Calcium 180g,3.49,1,No,Mainland China,5.0,Yami,Egg Roll,200+ Sold
97,Blending Powder of Egg Pancake 300g,7.99,0,No,Taiwan,0.0,Yami,Egg Roll,200+ Sold
98,Cooked Quail Egg in Can 850g,7.99,33,No,Mainland China,4.9,Yami,Egg Roll,600+ Sold
99,Egg Flavor Sliced Noodles 1000g,4.99,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
100,Spicy Salted Egg Yolk Instant Noodle 105g,3.69,5,No,Mainland China,4.2,Yami,Egg Roll,200+ Sold
101,FU CHE Spicy Chili Flavor Hard Boiled Egg 2pcs 1.76oz,1.69,4,No,Taiwan,4.2,Yami,Egg Roll,200+ Sold
102,Egg Yolk Puff Rose & Purple Yam Paste 109g 2pc,6.99,60,8 Options,United States,4.7,Yami,Egg Roll,200+ Sold
103,Preserved Duck Egg 6pc 360g,4.99,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
104,Pia Durian Cake Egg Yolk Taro Mung Bean Flavor 400g,5.69,14,2 Options,Vietnam,4.6,Yami,Egg Roll,200+ Sold
105,FU CHE Hard Boiled Egg in Soy Sauce Original Flavor 2pcs 1.76oz,1.69,6,No,Taiwan,4.3,Yami,Egg Roll,200+ Sold
106,Salted Duck Egg 8pcs 480g,7.99,36,No,Mainland China,4.6,Yami,Egg Roll,Less than 50
107,Egg Yolk Pastry 8pcs,28.99,17,8 Options,Taiwan,4.9,Yami,Egg Roll,Less than 50
108,Quail Egg 425g,3.59,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
109,Boiled Salted Duck Egg 6pcs 330g storage: room temperature avoid sunlight,5.29,24,No,United States,4.2,Yami,Egg Roll,100+ Sold
110,Egg Great Original Flavor 180g,3.49,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
111,Blended Flavor Egg Yolk Puff 330g,19.99,145,8 Options,United States,4.6,Yami,Egg Roll,Less than 50
112,Salted Egg Salmon Skin 105g,9.99,6,2 Options,Singapore,4.7,Yami,Egg Roll,200+ Sold
113,Sachima Soft Flour Cake Egg Flavor 300g,2.99,0,No,Taiwan,0.0,Yami,Egg Roll,200+ Sold
114,Pia Durian Cake Egg Yolk Mung Bean Flavor 400g,5.69,9,2 Options,Vietnam,4.1,Yami,Egg Roll,1K+ Sold
115,Salted Egg Yolk Macadamia Nuts 65g,4.29,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
116,North Egg Omlette Cookie 8pc,2.99,11,No,Japan,4.9,Yami,Egg Roll,50+ Sold
117,Hard Egg Original Flavor 125g,3.69,51,4 Options,Taiwan,4.4,Yami,Egg Roll,Less than 50
118,Taiwan Broiled Duck Egg 6pc,5.29,27,No,Taiwan,4.7,Yami,Egg Roll,Less than 50
119,Egg Yolk Puff Rose & Purple Yam Paste 330g 6pc,19.99,113,8 Options,United States,4.8,Yami,Egg Roll,Less than 50
120,Boiled Salt Duck Egg 4pc,3.99,11,No,Taiwan,4.5,Yami,Egg Roll,200+ Sold
121,【Frozen】Egg Tart Pastry 51pc,13.99,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
122,【Frozen】Seam Bun Egg Yolk Flavor with Brown Sugar,5.69,1,No,Taiwan,5.0,Yami,Egg Roll,200+ Sold
123,Salted Egg Golden Cube 100g,3.99,3,No,Malaysia,4.3,Yami,Egg Roll,200+ Sold
124,Egg Yolk Puff with Chewy Mochi and Red Bean Paste 110g 2pc,6.99,204,8 Options,United States,4.6,Yami,Egg Roll,Less than 50
125,Chocolate Egg (Detective Conan Toy Included),4.99,13,2 Options,Japan,4.7,Yami,Egg Roll,Less than 50
126,Nougat Biscuit Salty Egg Yolk,11.29,0,No,Taiwan,0.0,Yami,Egg Roll,100+ Sold
127,【Frozen】Seam Bun Egg Yolk Flavor with Brown Sugar,5.69,0,No,Taiwan,0.0,Yami,Egg Roll,200+ Sold
128,Egg Yolk Puff with Chewy Mochi and Lotus Seed Paste 110g 2pcs,6.99,167,8 Options,United States,4.9,Yami,Egg Roll,Less than 50
129,Dried Egg Noodle High Quality Premium 500g,2.99,3,No,Vietnam,5.0,Yami,Egg Roll,200+ Sold
130,Cooked Salted Duck Egg 372g,4.5,30,No,Mainland China,4.0,Yami,Egg Roll,Less than 50
131,Mochi Salted Egg Flavor 180g,1.99,2,2 Options,Mainland China,4.0,Yami,Egg Roll,200+ Sold
132,Salted Egg Yolk Cookie 165g,3.89,15,No,Mainland China,5.0,Yami,Egg Roll,100+ Sold
133,Blended Flavor Egg Yolk Puff 2pc 110g,6.99,62,8 Options,United States,4.6,Yami,Egg Roll,200+ Sold
134,Coated Peanuts Egg Flavor 220g,2.99,6,No,Indonesia,4.8,Yami,Egg Roll,300+ Sold
135,3 in 1 Thousand Layers Cookies Salted Egg Yolk Salted Sesame Salted Peanut  450g,6.49,72,No,Taiwan,4.8,Yami,Egg Roll,Less than 50
136,Salted Egg Salmon Skin 230g,17.99,4,2 Options,Singapore,5.0,Yami,Egg Roll,Less than 50
137,Coconut Milk With Egg Shape Marshmellow 92g,4.39,0,2 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
138,Dried Egg Noodle Thick High Quality 500g,2.69,2,No,Vietnam,5.0,Yami,Egg Roll,200+ Sold
139,Salted Egg Potato Chips 230g,16.99,4,2 Options,Singapore,5.0,Yami,Egg Roll,Less than 50
140,Salted Egg Cube Wafer Spicy Flavor 100g,3.99,2,No,Malaysia,5.0,Yami,Egg Roll,200+ Sold
141,BBQ Potato Chips Salted Egg Yolk 120g,6.99,0,No,Japan,0.0,Yami,Egg Roll,Less than 50
142,Potato Sticks  Salted Egg Yolk Flavor 48g,2.59,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
143,Cosmetic Tech Slowland Citrus Prince Medicinal Roll-on Essence 15ml,17.45,0,No,Japan,0.0,Yami,Egg Roll,Less than 50
144,Fuji Hollow Mini Roll Cake Bottoming Type M 57301 1 piece,15.21,0,No,Japan,0.0,Yami,Egg Roll,Less than 50
145,8x4 Men Rich Roll-on Deep Citrus 60ml,13.86,0,No,Japan,0.0,Yami,Egg Roll,Less than 50
146,ATEX Lourdes Lourdes Style EMS Power Roll Silver,146.21,0,No,Japan,0.0,Yami,Egg Roll,Less than 50
147,New Teast Mooncake (Egg-yolk Lotus Seeds Paste) 1 piece 85g Festival Gift,5.99,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
148,South American Egg Fish Gum 30g - Rich Collagen / Low Fat / Delicious cuisine,30.0,3,No,United States,4.7,Yami,Egg Roll,Less than 50
149,LESHEIN Suck Vibrate Jump Egg Sex Toy Couple Rabbit Warm Yellow 1 Piece,79.0,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
150,Gluten Roll Barbecue Flavor 120g,6.99,5,No,Mainland China,4.0,Yami,Egg Roll,100+ Sold
151,Taste of Mainland China Fish Roll 144g,8.99,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
152,KAO 8x4 Roll-On Jasmine & Pear Scent 45ml,14.99,0,No,Japan,0.0,Yami,Egg Roll,Less than 50
153,8x4 Roll-On Bergamot & Muguet Scent 45 ml,14.99,0,No,Japan,0.0,Yami,Egg Roll,Less than 50
154,[Mainland China Direct Mail] coreless roll paper super tough 4 layers 78g 1 roll toilet paper 1pcs,0.99,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
155,KAO 8x4 Roll-On Rose & Verbena Scent 45 ml,14.99,0,No,Japan,0.0,Yami,Egg Roll,Less than 50
156,Puffed Food Fandwich Roll Yolk Flavor160g,11.99,1,No,Mainland China,5.0,Yami,Egg Roll,200+ Sold
157,Cooked Salted Duck Eggs 330g,3.99,13,No,Mainland China,4.5,Yami,Egg Roll,100+ Sold
158,Captain Jack Frozen Ribbon Fish Roll 6/8pcs 250g,9.99,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
159,Preserved Duck Eggs Hard Yolk 360g,3.99,12,No,Mainland China,4.7,Yami,Egg Roll,100+ Sold
160,Stick Stick Roll Pungent Taste 100g,5.99,1,No,Mainland China,5.0,Yami,Egg Roll,200+ Sold
161,8x4 Roll-On Sensitive Unscented 35 ml,14.99,0,No,Japan,0.0,Yami,Egg Roll,Less than 50
162,New strawberry vibrating egg female masturbation cunnilingus sucker vibrator adult sex toys,98.9,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
163,Peach Peach Dolphin PLUS Female Sucking Vibrating Egg Adult Sex Products Tongue Licking Strong Vibration Toy,155.5,0,No,United States,0.0,Yami,Egg Roll,Less than 50
164,Funny Bean Bear Wireless Vibrating Egg Play Mini Wearable Bear Rechargeable Waterproof Female Appliance Bird Pink,35.8,0,2 Options,United States,0.0,Yami,Egg Roll,Less than 50
165,Female sexy mango vibrating egg multi-frequency vibration adult masturbation artifact magnetic charging base,58.8,0,3 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
166,CHU Egg No. 1 Granule Model Pink Japan Imported Anime Airplane Cup Molded Adult Products,19.0,0,4 Options,Japan,0.0,Yami,Egg Roll,Less than 50
167,CHU Egg No. 4 Wave Type Green Type Japanese Imported Aircraft Cup Molded Adult Products,19.0,0,4 Options,Japan,0.0,Yami,Egg Roll,Less than 50
168,Long love female masturbation device female massage stick trendy egg sucking vibrating egg-light blue,52.6,0,2 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
169,Finger vibrating egg marmot female fun charging vibrating stick comforter light pink,56.9,0,3 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
170,Finger vibrating egg marmot female fun charging vibrating stick comforter light blue,56.9,0,3 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
171,Long love female masturbation device female massage stick trendy egg sucking vibrating egg-light purple,52.6,0,2 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
172,Penguin sucking vibrating egg tongue licking cumming vagina female masturbator female adult sex toy sky blue,57.9,0,3 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
173,New Capsule Lipstick Vibrating Egg Frequency Conversion Waterproof Strong Shock Wine Red (AI Version),44.5,0,4 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
174,Gudetama Lazy Egg Toro Toro Bath Salt 50g,4.99,0,No,Japan,0.0,Yami,Egg Roll,Less than 50
175,Wonderland Moonlight Treasure Box Sucking Vibrating Female Zhixian Small Fun Box Vibrating Egg White,88.8,0,2 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
176,Female sexy banana vibrating egg multi-frequency vibration adult masturbation artifact magnetic charging base,58.8,0,3 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
177,Female invisible wearable mini vibrating egg small fish-shaped vibrating egg adult product green,43.6,0,3 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
178,Forehead temperature gun sucking vibrating egg tongue licking second tide sucking vagina,59.9,0,2 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
179,CHU Egg No. 2 Blue Spiral Model Blue Japanese Imported Male Aircraft Cup Molded Adult Products,19.0,0,4 Options,Japan,0.0,Yami,Egg Roll,Less than 50
180,Finger vibrating egg marmot female fun charging vibrating stick comforter light purple,56.9,0,3 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
181,Female invisible wearable mini wireless remote control vibrating egg fish shaped vibrating egg adult products,43.6,0,3 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
182,New Capsule Lipstick Vibrating Egg Frequency Conversion Waterproof Strong Shock Champagne Gold (AI Version),44.5,0,4 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
183,Honey Tongue Rabbit Female Vibrating Egg Tongue Licking Massage Masturbator Rose Red,34.3,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
184,Female invisible wearable mini vibrating egg small fish-shaped vibrating egg adult product blue,43.6,0,3 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
185,CHU Egg No. 3 Orange Suction Cup Orange Model Imported from Japan Aircraft Cup Molded Adult Products,19.0,0,4 Options,Japan,0.0,Yami,Egg Roll,Less than 50
186,Forehead temperature gun sucking vibrating egg tongue licking second tide sucking vagina,59.9,0,2 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
187,Vibrating stick with USB charging anal plug for rear court vibrating egg,39.9,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
188,Funny Bean Bear Wireless Vibrating Egg Play Mini Wearable Bear Rechargeable Waterproof Female Appliance Bird Yellow,35.8,0,2 Options,United States,0.0,Yami,Egg Roll,Less than 50
189,Female sexy pear vibrating egg multi-frequency vibration adult masturbation artifact magnetic charging base,58.8,0,3 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
190,Little swan sucking vibrator female masturbation massage fun vibrating egg adult sex toys while,64.0,0,2 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
191,Meow Meow Egg Women's Vibrating Massager Foreign Trade Vibrating Vibrating Egg Adult Supplies Pink,48.9,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
192,New Capsule Lipstick Vibrating Egg Frequency Conversion Waterproof Strong Shock Taste Wine Red (Heart Version),30.5,0,4 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
193,New Capsule Lipstick Vibrating Egg Frequency Conversion Waterproof Strong Shock Champagne Gold (Heart Version),30.5,0,4 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
194,Salted Egg Yolk A Mouthful Flaky Pastry 165g,7.99,1,No,Mainland China,4.0,Yami,Egg Roll,200+ Sold
195,Penguin sucking vibrating egg tongue licking cumming vagina female masturbator female adult sex toy girl fan,57.9,0,3 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
196,Little swan sucking vibrator female masturbation massage fun vibrating egg adult sex toys pink,64.0,0,2 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
197,Mickey Mouse Vibrating Egg Rechargeable Vibrator 6 Frequency Vibration Female Masturbator Adult Sex Products,45.8,0,No,United States,0.0,Yami,Egg Roll,Less than 50
198,Penguin sucking vibrating egg tongue licking cumming vagina female masturbator female adult sex toy beige,57.9,0,3 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
199,Lucy tongue licking egg licking pussy licking female breast sucking massage masturbation device,28.6,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
200,Wonderland Moonlight Treasure Box Sucking Vibrating Female Zhixian Small Fun Box Vibrating Egg Green,88.8,0,2 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
201,Snowman sucking vibrating egg female chest stimulation clitoral stimulation masturbation device winter limited,72.8,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
202,Wearing butterfly female masturbator wireless remote control swinging egg adult products Kelly,34.7,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
203,CACHITO Cat claw and Jump egg wireless app Remote Masturbator Students do not insert female products to mix sex toys,69.0,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
204,Fry Egg Mold (Heart-Shaped) 1 Piece,9.99,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
205,Double-head wire-controlled vibrating vibrating egg female masturbation device massager adult sex toys pink 1 piece,38.0,0,No,United States,0.0,Yami,Egg Roll,Less than 50
206,Vibrating egg wireless remote control masturbation device female toy adult sex product massager green 1 piece,25.0,0,2 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
207,Wireless remote control vibrating egg female wearable masturbation device for adult sex toys purple APP version 1 pcs,43.0,0,2 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
208,Jump Egg woman with electric shock orgasm wireless mute remote control Pulse Masturbator Remote Sex Toy intelligent,99.0,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
209,Mini disposable jet cup masturbation egg invisible portable self captain hurricane type,28.7,0,4 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
210,Mystery lipstick vibrating egg female vibrating masturbation device mini stick massager one piece,35.6,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
211,Hidan 3rd generation tongue licker fun vibrating egg female vibrating and warming masturbation device,77.0,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
212,Angel bird vibrating egg female sex toys flirting toy blue 1 piece,53.6,0,3 Options,Mainland China,0.0,Yami,Egg Roll,Less than 50
