Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Sold_Monthly,Weekly_Revenue,Rate,Platform,Category
GROWERS Garlic Flavor Peanuts BIG 80 g,4.49,50,Philippines,Unclear,3,200,224.5,Unclear,Weee,Nuts
Hbaf Caramel Salted Almond & Pretzel 7.4 oz,8.99,0,South Korea,Unclear,4,0,0,Unclear,Weee,Nuts
"Sunflower Seeds, Crayfish Flavor 90 g",2.79,100,Mainland China,Unclear,10,400,279,Unclear,Weee,Nuts
Sunflower Seed Dried Orange Flavor 90 g,2.79,300,Mainland China,Unclear,11,1200,837,Unclear,Weee,Nuts
Guan Hua Roasted Garlic Peanuts  400 g,3.99,100,Mainland China,Unclear,1,400,399,Unclear,Weee,Nuts
Shan Li Ren Roasted Pecan in Shell  180 g,7.99,0,Mainland China,Unclear,0,0,0,Unclear,Weee,Nuts
Three Squirrels Macadamia Nuts 160 g,7.19,50,Mainland China,THREE SQUIRRELS,21,200,359.5,Unclear,Weee,Nuts
Japanese Style Coated Peanuts 330 g,5.99,300,Mainland China,Unclear,30,1200,1797,Unclear,Weee,Nuts
Lyfen Original Sunflower Seeds 180 g,3.19,400,Mainland China,LYFEN,18,1600,1276,Unclear,Weee,Nuts
Ammas Kitchen Madras Mix 400 g,4.29,0,India,Unclear,0,0,0,Unclear,Weee,Nuts
24 mantra Cashew Whole Organic 7 oz,10.99,0,India,Unclear,0,0,0,Unclear,Weee,Nuts
Lianfeng Hand Stripping Pecan Nut Creamed 208 g,8.99,200,Mainland China,LIAN FENG,4,800,1798,Unclear,Weee,Nuts
Haldirams Boondi 400 g,4.99,0,India,Haldiram's,1,0,0,Unclear,Weee,Nuts
Jiu Zhen Nan Pumpkin Seed Brittle 200 g,25.99,0,Taiwan,Unclear,0,0,0,Unclear,Weee,Nuts
Snak Club Tajin Fiesta Mix 4 oz,3.89,0,Mexico,Unclear,0,0,0,Unclear,Weee,Nuts
Jiu Zhen Nan Almond Brittle 200 g,25.99,0,Taiwan,Unclear,0,0,0,Unclear,Weee,Nuts
Jiu Zhen Nan Cashew Brittle  200 g,25.99,0,Taiwan,Unclear,0,0,0,Unclear,Weee,Nuts
Lvling Honey Flavor Roasted Walnut  250 g,4.39,50,Mainland China,Unclear,1,200,219.5,Unclear,Weee,Nuts
"Lanbo Farm Walnuts, Herb Flavor 1000 g",34.79,0,Mainland China,Unclear,11,0,0,Unclear,Weee,Nuts
Ilocos Chichacorn BBQ Flavor 350 g,4.99,0,Philippines,Unclear,0,0,0,Unclear,Weee,Nuts
Torreya Nuts 208 g,18.99,200,Mainland China,Unclear,4,800,3798,Unclear,Weee,Nuts
Royal Hawaiian Orchards Sea Salt Macadamias 4 oz,8.89,0,United States,Unclear,12,0,0,Unclear,Weee,Nuts
Licorice Flavor Melon Seeds 12 oz,4.39,50,Unclear,Unclear,4,200,219.5,Unclear,Weee,Nuts
Yoghurt Cashew Nuts 80 g,5.59,0,Mainland China,Unclear,0,0,0,Unclear,Weee,Nuts
"Roasted Pop Adlay, Coconut Nectar  150 g",11.69,0,Taiwan,Unclear,18,0,0,Unclear,Weee,Nuts
Salted Egg and Crab Roe Flavor Broad Beans  60 g,3.19,0,Taiwan,Unclear,5,0,0,Unclear,Weee,Nuts
Lianfeng Hickory Nut Salted 98 g,9.49,100,Mainland China,LIAN FENG,4,400,949,Unclear,Weee,Nuts
"WUFUJI Vinaigrette Broad Beans, Original Flavor 380 g",6.49,0,Mainland China,Unclear,9,0,0,Unclear,Weee,Nuts
Gong He Shandong Peanuts Original  340 g,4.69,0,Mainland China,GONGHE,9,0,0,Unclear,Weee,Nuts
"Gong He Shandong Peanuts, Garlic 340 g",4.69,0,Mainland China,GONGHE,5,0,0,Unclear,Weee,Nuts
Gong He Japanese Spiced Peanuts 340 g,4.19,50,Mainland China,GONGHE,1,200,209.5,Unclear,Weee,Nuts
Kuriyama USDA Organic Chestnut 240 g,5.99,50,Mainland China,Kuriyama,33,200,299.5,Unclear,Weee,Nuts
Wufuji Vinaigrette Spicy Broad Bean 380 g,6.49,50,Mainland China,Unclear,26,200,324.5,Unclear,Weee,Nuts
"Orion Peanut Ball Crunch Snack, Large Size  167 g",3.99,0,South Korea,Unclear,1,0,0,Unclear,Weee,Nuts
LJK Five Spice Flavor Sunflower Seeds in Shell 500 g,5.99,100,Mainland China,Unclear,1,400,599,Unclear,Weee,Nuts
Shanliren Scaphium Scaphigerum 145 g,13.39,0,Mainland China,Unclear,3,0,0,Unclear,Weee,Nuts
Shanliren Roasted Seeds and Nuts Gift Package 1470 g,26.99,0,Mainland China,Unclear,0,0,0,Unclear,Weee,Nuts
Shanliren Roast Peanuts 227 g,3.39,0,Mainland China,Unclear,0,0,0,Unclear,Weee,Nuts
"Macadamia Nuts, Coconut Butter Flavor  70 g",5.29,0,Mainland China,Unclear,0,0,0,Unclear,Weee,Nuts
"Jujube filled with Grape and Walnut, 284g",7.19,0,Unclear,Unclear,4,0,0,Unclear,Weee,Nuts
"Lao Jie Kou Sunflower Seeds, Hickory Flavor 500 g",6.49,300,Mainland China,LAOJIEKOU,295,1200,1947,Unclear,Weee,Nuts
Grassplot Roasted Sunflower Seeds 252 g,4.09,0,Mainland China,Unclear,1,0,0,Unclear,Weee,Nuts
Bestore Chestnut Kernel  80 g,3.39,50,Mainland China,Unclear,1,200,169.5,Unclear,Weee,Nuts
Hsin Tung Yang Green Tea Pumpkin Seeds 13.4 oz,9.29,0,Taiwan,HSIN TUNG YANG,6,0,0,Unclear,Weee,Nuts
[DongMingBridge] Jujube Filled with Walnut 284g 10 oz,9.99,50,Mainland China,Unclear,10,200,499.5,Unclear,Weee,Nuts
"WUFUJI Vinaigrette Broad Beans, Original Flavor 380 g",6.49,0,Mainland China,Unclear,9,0,0,Unclear,Weee,Nuts
Guan Hua Roasted Licorice Peanuts  400 g,4.99,0,Mainland China,Unclear,1,0,0,Unclear,Weee,Nuts
LJK Five Spice Flavor Sunflower Seeds in Shell 500 g,5.99,100,Mainland China,Unclear,1,400,599,Unclear,Weee,Nuts
XNK Sunflower Seeds 180 g,3.79,0,Mainland China,Unclear,4,0,0,Unclear,Weee,Nuts
Shan Li Ren Roasted Walnut Shelled  100 g,11.09,200,Mainland China,Unclear,16,800,2218,Unclear,Weee,Nuts
"XS Sunflower Seed, Walnut Flavor 258 g",3.29,0,Mainland China,Unclear,3,0,0,Unclear,Weee,Nuts
Shan Li Ren Roasted Amber Walnut Kernel  125 g,4.99,0,Mainland China,Unclear,1,0,0,Unclear,Weee,Nuts
Five Spice Flavored Fried Peanuts  140 g,2.29,0,Mainland China,Unclear,3,0,0,Unclear,Weee,Nuts
Kou Show Spiced Broad Beans 150 g,2.99,0,Mainland China,Unclear,0,0,0,Unclear,Weee,Nuts
Kou Show Spicy Peanuts 150 g,2.99,50,Mainland China,Unclear,3,200,149.5,Unclear,Weee,Nuts
Big Green Organic Roasted Shelled Chestnuts  3.5 oz,1.89,600,Mainland China,Big Green,232,2400,1134,Unclear,Weee,Nuts
ChaCha Caramel Sunflower Seeds 160 g,3.19,1000,United States,Unclear,94,4000,3190,Unclear,Weee,Nuts
"ChaCha Sunflower Seeds, Sea Salt Flavor 130 g",2.49,700,Mainland China,Unclear,77,2800,1743,Unclear,Weee,Nuts
"Sihong Roasted Walnuts, Milk Flavor 418 g",7.19,400,Mainland China,Unclear,101,1600,2876,Unclear,Weee,Nuts
Spicy Green Peas 240 g,2.39,200,Taiwan,Unclear,19,800,478,Unclear,Weee,Nuts
"Dang Bar, Peanut Butter Flavor 1.4 oz",2.29,0,Canada,Unclear,1,0,0,Unclear,Weee,Nuts
"Boy Bawang Cornick, BBQ Flavor 4 oz",0.99,100,Philippines,Boy Bawang,3,400,99,Unclear,Weee,Nuts
"Fried Broad Bean, Garlic Flavor 150 g",2.49,50,Taiwan,Unclear,4,200,124.5,Unclear,Weee,Nuts
"Koh Kae Coated Peanuts, Coffee Flavor 8.11 oz",3.19,200,Thailand,Unclear,4,800,638,Unclear,Weee,Nuts
"Nagaraya Cracker Nuts, Original Flavor  5.7 oz",2.29,0,Philippines,Nagaraya,0,0,0,Unclear,Weee,Nuts
"Nagaraya Cracker Nuts, Garlic Flavor 5.7 oz",2.29,200,Philippines,Nagaraya,0,800,458,Unclear,Weee,Nuts
Bestore Cashew Nuts 120 g,5.29,0,Mainland China,BESTORE,0,0,0,Unclear,Weee,Nuts
Roasted Sunflower Seeds 428 g,5.79,0,Mainland China,Unclear,0,0,0,Unclear,Weee,Nuts
"Fried Salty Peanuts, Original Flavor 120 g",1.99,400,Mainland China,Unclear,2,1600,796,Unclear,Weee,Nuts
YUMEI Sesame cake 150 g,4.99,0,Mainland China,YUMEI,4,0,0,Unclear,Weee,Nuts
Hbaf Starlight Pang Pang Almond 6.7 oz,8.99,0,South Korea,Unclear,1,0,0,Unclear,Weee,Nuts
Jans Tari Bali Garlic Roasted Peanut 300 g,7.99,50,Indonesia,Unclear,1,200,399.5,Unclear,Weee,Nuts
"Setton Farms Pistachios, Dry Roasted with Sea Salt Flavor 16 oz",6.19,0,United States,Setton Farm,13,0,0,Unclear,Weee,Nuts
WUFUJI Spiced Broad Beans  380 g,6.49,50,Mainland China,WUFUJI,13,200,324.5,Unclear,Weee,Nuts
Kou Show Spicy Broad Beans 150 g,2.99,0,Mainland China,Unclear,0,0,0,Unclear,Weee,Nuts
