Price,Product_Name,Origin,Sold_Monthly,Reviews,Rate,Brand,Platform,Category,Sold_Weekly,Weekly_revenue
3.99,Crab Roe Flavor Broad Bean,Mainland China,15115,1,Unclear,Unclear,Freshgogo,Nuts,3779,15077
7.39,Handmade Peanut Nougat Candy,Mainland China,5646,0,Unclear,Unclear,Freshgogo,Nuts,1412,10431
8.99,JINJIN Assorted Flavor Coconut Jelly,Taiwan,6621,0,Unclear,Unclear,Freshgogo,Nuts,1655,14881
2.99,GUI GUAN  Rice Ball (peanut),Taiwan,0,0,Unclear,Unclear,Freshgogo,Nuts,0,0
4.59,Crab Roe Flavor Sunflower Seed,Mainland China,13100,1,Unclear,Unclear,Freshgogo,Nuts,3275,15032
1.79,Milk Peanut Soup,Taiwan,11706,1,Unclear,Unclear,Freshgogo,Nuts,2927,5238
2.99,KOU SHOW Spicy Broad Bean,Mainland China,0,0,Unclear,Unclear,Freshgogo,Nuts,0,0
6.49,WUFUJI Vingar Broad Ben (original),Mainland China,7862,0,Unclear,Unclear,Freshgogo,Nuts,1966,12756
3.39,TIGER SUGAR Peanut Black Sugar Pearl Rice Ball,Taiwan,4703,0,Unclear,Unclear,Freshgogo,Nuts,1176,3986
3.39,CHA CHA Sunflower Seed (spice flavor),Unclear,15390,18,Unclear,Unclear,Freshgogo,Nuts,3848,13043
3.29,WEIQUAN Glutinous Rice Ball (peanut and white sesame),Mainland China,0,0,Unclear,Unclear,Freshgogo,Nuts,0,0
8.99,YESHU Coconut Juice,Unclear,14212,14,Unclear,Unclear,Freshgogo,Nuts,3553,31941
3.39,CHA CHA Roasted Sunflower Seeds (pecan flavor),Unclear,15226,26,Unclear,Unclear,Freshgogo,Nuts,3807,12904
4.89,HENGKANG Honey Walnut Kernel (Sale),Mainland China,2260,0,Unclear,Unclear,Freshgogo,Nuts,565,2763
9.99,Fresh Organic Walnut,Unclear,3819,0,Unclear,Unclear,Freshgogo,Nuts,955,9538
5.19,Dates and Walnut,Mainland China,15297,1,Unclear,Unclear,Freshgogo,Nuts,3824,19848
3.99,SUNEAR Rice Ball (nuts),Mainland China,0,0,Unclear,Unclear,Freshgogo,Nuts,0,0
4.29,OCTOBER WING Frozen Taro Piece,Mainland China,5579,0,Unclear,Unclear,Freshgogo,Nuts,1395,5983
4.99,Taiwan Handmade Cookie (peanut),Taiwan,1756,0,Unclear,Unclear,Freshgogo,Nuts,439,2191
3.69,HUANG FEI HONG Spicy Peanut,Unclear,15815,15,Unclear,Unclear,Freshgogo,Nuts,3954,14589
8.09,Salted Pumpkin Seed (Last Call),Taiwan,0,0,Unclear,Unclear,Freshgogo,Nuts,0,0
2.49,LAGO Rondo Coconut Cream and Dark Chocolate,Italy,0,1,Unclear,Unclear,Freshgogo,Nuts,0,0
4.19,SHENG ZHEN XIANG Green Pea (garlic flavor),Unclear,16652,14,Unclear,Unclear,Freshgogo,Nuts,4163,17443
11.79,Fresh Organic Red Walnut,Unclear,4386,2,Unclear,Unclear,Freshgogo,Nuts,1097,12928
7.99,TAISUN Eight Treasure Porridge,Unclear,10669,13,Unclear,Unclear,Freshgogo,Nuts,2667,21311
9.49,Genki Forest Sparkling Water (strawberry coconut),Mainland China,6817,0,Unclear,Unclear,Freshgogo,Nuts,1704,16173
13.29,COLOR FRUIT Roasted Pop Adlay (coconut nectar),Taiwan,6700,0,Unclear,Unclear,Freshgogo,Nuts,1675,22261
3.99,SUNEAR Rice Ball (chestnut),Mainland China,0,1,Unclear,Unclear,Freshgogo,Nuts,0,0
8.69,MIDO Mixed Nuts and Rice Cracker,Taiwan,5458,0,Unclear,Unclear,Freshgogo,Nuts,1365,11858
5.75,Coconut and Raisin Loaf,Unclear,2131,5,Unclear,Unclear,Freshgogo,Nuts,533,3063
4.75,Cream and Coconut Bun,Unclear,4723,25,Unclear,Unclear,Freshgogo,Nuts,1181,5609
4.25,Cream Bun with Shredded Coconut,Unclear,5015,33,Unclear,Unclear,Freshgogo,Nuts,1254,5328
7.25,Coconuit Milk and Red Bean Pudding,Unclear,5931,5,Unclear,Unclear,Freshgogo,Nuts,1483,10750
4.75,Sweet Topping Coconut Bun,Unclear,2329,1,Unclear,Unclear,Freshgogo,Nuts,582,2766
9.95,Braised Dried Bean Curd/Seaweed/Peanut/Egg in Soy Sauce,Unclear,1439,14,Unclear,Unclear,Freshgogo,Nuts,360,3580
9.50,Crispy Pancake with Peanut Butter,Unclear,5199,51,Unclear,Unclear,Freshgogo,Nuts,1300,12348
5.25,Boild Peanut,Unclear,4463,1,Unclear,Unclear,Freshgogo,Nuts,1116,5858
5.25,Mini Coconut Bun,Unclear,3516,19,Unclear,Unclear,Freshgogo,Nuts,879,4615
8.95,Water Chestnut Cake,Unclear,2572,2,Unclear,Unclear,Freshgogo,Nuts,643,5755
5.95,Twisted Doughnut,Unclear,5424,27,Unclear,Unclear,Freshgogo,Nuts,1356,8068
6.95,Peanut Cake,Unclear,2897,8,Unclear,Unclear,Freshgogo,Nuts,724,5034
5.95,Walnut Crisp,Unclear,4258,10,Unclear,Unclear,Freshgogo,Nuts,1065,6334
4.75,Chinese Fried Peanut,Unclear,2526,12,Unclear,Unclear,Freshgogo,Nuts,632,3000
4.50,Coconut Bun,Unclear,3607,11,Unclear,Unclear,Freshgogo,Nuts,902,4058
5.95,Country Walnut Bun,Unclear,5781,7,Unclear,Unclear,Freshgogo,Nuts,1445,8599
15.25,Steamed Chicken with Chili Sauce and Peanut,Unclear,1941,39,Unclear,Unclear,Freshgogo,Nuts,485,7400
5.95,Chocolate Deluxe Donut,Unclear,6301,8,Unclear,Unclear,Freshgogo,Nuts,1575,9373
9.25,Orange nut vitamin C cake,Unclear,2916,2,Unclear,Unclear,Freshgogo,Nuts,729,6743
3.50,Fried Peanuts,Unclear,4783,0,Unclear,Unclear,Freshgogo,Nuts,1196,4185
20.25,Coconut Flavor Sponge Cake (12 pcs),Unclear,1398,0,Unclear,Unclear,Freshgogo,Nuts,350,7077
5.25,Chocolate Walnut Bun,Unclear,3124,5,Unclear,Unclear,Freshgogo,Nuts,781,4100
3.95,Peanut Sticky Rice Wrap(frozen),Unclear,5168,0,Unclear,Unclear,Freshgogo,Nuts,1292,5103
7.25,Pan Fried Chestnut  Cake,Unclear,4095,4,Unclear,Unclear,Freshgogo,Nuts,1024,7422
5.50,Sliced Walnut Napoleon,Unclear,4233,69,Unclear,Unclear,Freshgogo,Nuts,1058,5820
