Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Left_Mention,Platform,Category
Star Mango Drink 1.5L 1 bottle,2.99,50+ Sold,United States,Star,0,No,Weee,Drinks
Monster Energy Drink Zero Ultra 16 oz,1.86,50+ Sold,United States,Unclear,0,No,Weee,Drinks
"Ambrosial Greek Yogurt Drink, Cheese Flavor 10pk 1 box",31.49,50+ Sold,Mainland China,Unclear,5,No,Weee,Drinks
Lotte Soft Drink 2% Peach Flavor 1500 ml,4.99,50+ Sold,South Korea,Lotte,0,No,Weee,Drinks
Fremo Aloe Vera Drink Grape Flavor 500 ml,1.79,50+ Sold,South Korea,Unclear,0,No,Weee,Drinks
"Just Pure Drinking Yogurt, Original Flavor 4pk 800 g",10.29,50+ Sold,Mainland China,Unclear,16,No,Weee,Drinks
PALDO Pororo Milk Flavor Drink  235 ml,1.39,50+ Sold,South Korea,Unclear,4,No,Weee,Drinks
Tang Ding Brown Sugar Rose Four Herb Concoction Sugar Cubes Drink 7pcs 210 g,11.99,50+ Sold,Taiwan,Unclear,3,No,Weee,Drinks
Kirin Salty Lychee Drink 500 ml,2.99,50+ Sold,Japan,Kirin,37,No,Weee,Drinks
Royal Tea Garden Juicy Lemon Tea Drink  500 ml,2.49,50+ Sold,Taiwan,Unclear,0,No,Weee,Drinks
Peach Sparkling Drink  230 ml,2.49,50+ Sold,Mainland China,Unclear,2,No,Weee,Drinks
SUN YEAM Almond Oak Drink Peach Flavor 265 g,1.69,50+ Sold,Mainland China,Unclear,2,No,Weee,Drinks
Fremo Aloe Vera Drink Peach Flavor 500 ml,1.99,50+ Sold,South Korea,Unclear,2,No,Weee,Drinks
Chen Jiah Juang Passion Guava Jelly Drink 220 g,2.69,50+ Sold,Taiwan,Unclear,11,No,Weee,Drinks
Za Cool Instant Herbal Drink 3 in 1  70 g,3.99,50+ Sold,Vietnam,Unclear,0,No,Weee,Drinks
"Gold Kili Instant Ginger Drink, No Added Cane Sugar 1.8 oz",3.99,Less than 50,Singapore,Unclear,4,No,Weee,Drinks
Singabera Original Ginger Drink 12pk 180 g,4.69,Less than 50,Indonesia,Singabera,0,No,Weee,Drinks
Chin Chin Grass Jelly Drink with Honey  10.7 oz,1.49,Less than 50,Taiwan,Chin Chin,0,No,Weee,Drinks
SUN YEAM Almond Oak Drink Honeydew Flavor 265 g,1.79,Less than 50,Mainland China,Unclear,1,No,Weee,Drinks
Suntory Non-Alcoholic Plum Drink 280 ml,3.99,Less than 50,Japan,Unclear,29,No,Weee,Drinks
KSF Jasmine Honey Tea Drink  8.45 fl.oz,5.19,Less than 50,Mainland China,Unclear,3,No,Weee,Drinks
Monster Energy Drink Lo-Carb 16 oz,1.86,Less than 50,United States,Unclear,0,No,Weee,Drinks
Red Leaf Rare Soybean Drink 300 ml,1.29,Less than 50,Taiwan,Red Leaf,1,No,Weee,Drinks
SUN YEAM Almond Oak Drink Original Flavor 265 g,2.99,Less than 50,Mainland China,Unclear,3,No,Weee,Drinks
Tropics Thai Tea Drink 290 ml,2.49,Less than 50,Thailand,Unclear,0,No,Weee,Drinks
Nestle Carlos V Chocolate Powder Drink Mix 14.1 oz,3.69,Less than 50,Mexico,Nestle,1,No,Weee,Drinks
Lucia Thai Tea Drink 17.5 oz,1.99,Less than 50,Philippines,Unclear,0,No,Weee,Drinks
"Electrolit Hydration Drink, Natural Coconut Flavor 625 ml",2.99,Less than 50,Mexico,Electrolit,0,No,Weee,Drinks
XiaoXiaoHuo Ume Flavored Drink  500 ml,4.29,Less than 50,Mainland China,Unclear,5,No,Weee,Drinks
Tang Ding Crystal Honey Lemon Drink 250 g,14.79,Less than 50,Taiwan,Unclear,2,No,Weee,Drinks
Fremo Aloe Vera Drink Guava Flavor 500 ml,1.99,Less than 50,South Korea,Unclear,0,No,Weee,Drinks
Star Mixed Fruit Drink 1.5L 1 bottle,2.99,Less than 50,Saudi Arabia,Unclear,1,No,Weee,Drinks
"Maeil Biofeel Yogurt Drink, Pineapple Flavor 25pcs 1575 ml",5.99,Less than 50,South Korea,Unclear,7,No,Weee,Drinks
JackSoy Soy Milk Drink  300 ml,1.19,Less than 50,Taiwan,Unclear,27,No,Weee,Drinks
Tropics Thai Tea with Basil Seed Drink 290 ml,2.49,Less than 50,Thailand,Unclear,0,No,Weee,Drinks
One Litchi Lychee Vinegar Drink 310 ml,1.69,Less than 50,Mainland China,Unclear,1,No,Weee,Drinks
Bright Dairy Momchilovtsi Yogurt Drink 12pk 2400 g,29.39,Less than 50,Mainland China,Unclear,3,No,Weee,Drinks
"Paoxiaoyan dry white wood ear for drink, 1 Box 72 g",16.79,Less than 50,Mainland China,Paoxiaoyan,7,No,Weee,Drinks
"Hey Song C and C Sparkling Drink, Yogurt Flavor 500 ml",1.69,Less than 50,Taiwan,Unclear,17,No,Weee,Drinks
Ovaltine Cocoa Malt Drink Mix  250 ml,3.29,Less than 50,Mainland China,Ovaltine,3,No,Weee,Drinks
MTR Badam Drink 180 ml,1.99,Less than 50,India,Unclear,1,No,Weee,Drinks
Taoti Peach Juice Drink 5 can,5.99,Less than 50,Taiwan,Unclear,2,No,Weee,Drinks
Jiangzhong Koshihikari Rice Drinks 1 case,18.99,Less than 50,Mainland China,Unclear,9,No,Weee,Drinks
"Electrolit Hydration Drink, Grape Flavor  625 ml",2.99,Less than 50,Mexico,Electrolit,1,No,Weee,Drinks
Suntory Zone Energy Drink (Trance) 16.9 fl.oz,3.99,Less than 50,Japan,Unclear,0,No,Weee,Drinks
Milo Cocoa Powdered Drink 450 g,15.69,Less than 50,Philippines,Unclear,0,No,Weee,Drinks
Zuko Instant Drink Mix Tamarindo 14.1 oz,2.99,Less than 50,Mexico,Zuko,0,No,Weee,Drinks
Rose and Strawberry Flavor Yogurt Drink 1 case,24.99,Less than 50,Mainland China,Unclear,9,No,Weee,Drinks
Zuko Instant Drink Mix Orange 14.1 oz,2.99,Less than 50,Mexico,Zuko,0,No,Weee,Drinks
Choco Milk Chocolate Drink Mix 28.2 oz,9.79,Less than 50,United States,CHOCO MIL,0,No,Weee,Drinks
DRY Sparkling Blood Orange Soft Drink 750 ml,5.29,Less than 50,United States,Unclear,1,No,Weee,Drinks
Damizle Let's Mingle Green Mandarin Calamasi Drink Mix 7pk  1 box,5.09,Less than 50,South Korea,Unclear,0,No,Weee,Drinks
Yili Youngfun Flavored Milk Drink Blueberry Flavor 250 g,28.99,Less than 50,Mainland China,Unclear,1,No,Weee,Drinks
XiaoXiaoHuo Sea Salt Lychee Flavored Drink  500 ml,3.99,Less than 50,Mainland China,Unclear,2,No,Weee,Drinks
Cool Taste Strawberry Jelly Drink 160 g,1.29,Less than 50,Philippines,Unclear,0,No,Weee,Drinks
"KFI Masti Pani Puri Drink, Tamarind Mint Flavor  33.8 oz",5.09,Less than 50,Canada,Unclear,1,No,Weee,Drinks
"KFI Masti Jal Jeera Drink, Mint Cumin Flavor  33.8 oz",5.09,Less than 50,Canada,Unclear,0,No,Weee,Drinks
M150 Energy Drink (Can) 8.4 oz,1.99,Less than 50,Thailand,Unclear,0,No,Weee,Drinks
"Cal-C-Tose Drink Mix, Chocolate 14.1 oz",4.49,Less than 50,Mexico,Unclear,0,No,Weee,Drinks
LOTTE Canhung Scorched Rice Tea Drink  500 ml,2.99,Less than 50,South Korea,Lotte,0,No,Weee,Drinks
Cocobucket Ready-To-Drink Young Coconut  1 count,4.99,1K+ Sold,Thailand,Unclear,67,No,Weee,Drinks
Sanest Khanh Hoa Bird's Nest Drink Can  190 ml,1.09,600+ Sold,Vietnam,Unclear,6,No,Weee,Drinks
Brand's Essence of Chicken Drink 6pk 408 ml,29.99,200+ Sold,Taiwan,Unclear,39,No,Weee,Drinks
Konjac jelly drink grape flavor 130 g,1.69,100+ Sold,Mainland China,Unclear,0,No,Weee,Drinks
Konjac jelly drink peach flavor 130 g,1.69,100+ Sold,Mainland China,Unclear,0,No,Weee,Drinks
Orihiro 0kcal Jelly Apple Drink 130 g,2.99,50+ Sold,Japan,Unclear,1,No,Weee,Drinks
e.Ben Brown Sugar and Logan Drink 90 g,3.39,50+ Sold,Taiwan,Unclear,2,No,Weee,Drinks
Bacchus-D Energy Drink 10ct 1 box,8.99,50+ Sold,South Korea,Unclear,7,No,Weee,Drinks
Soyspring Soybean Drink Powder 150 g,3.89,50+ Sold,Mainland China,Unclear,0,No,Weee,Drinks
Sanest Khanh Hoa Edible Bird's Nest Drink Jar 6pk 1 box,39.99,50+ Sold,Vietnam,Unclear,2,No,Weee,Drinks
AWASTEA Lohas Traveller HA Tremella Drink  280 g,6.79,50+ Sold,Taiwan,Awastea,3,No,Weee,Drinks
Heart Instant Drink Mix with Toy  0.28 oz,4.89,Less than 50,Japan,Unclear,5,No,Weee,Drinks
California Dieter's Drink Herbal Tea Extra Strength 20 g,2.99,Less than 50,Vietnam,Unclear,0,No,Weee,Drinks
DHC Collagen Beauty Supplement Drink 9000mg 125ml x15pcs 1 each,48,Less than 50,Japan,DHC,1,No,Weee,Drinks
Yakult Green Vegetable Drink Powder 60pcs 1 each,29.99,Less than 50,Japan,Unclear,0,No,Weee,Drinks
"Maeil Biofeel Probiotic Drink, Strawberry Flavor 25pk 1575 ml",5.99,Less than 50,South Korea,Unclear,2,No,Weee,Drinks
Konjac jelly drink salty lemon flavor 130 g,1.69,Less than 50,Mainland China,Unclear,0,No,Weee,Drinks
"Bird's Nest Drink, Sugar-Free 1 box",74.99,Less than 50,Thailand,Unclear,4,No,Weee,Drinks
Shiseido The Collagen Drink 10pk  1 box,48.99,Less than 50,Japan,Shiseido,7,No,Weee,Drinks
Bird's Nest Drink with Rock Sugar 2.3 oz,79.99,Less than 50,Thailand,Unclear,16,No,Weee,Drinks
Essence of Ginseng Drink 1 box,27.99,Less than 50,Taiwan,Unclear,6,No,Weee,Drinks
Wonderfarm Bird's Nest White Fungus Drink 8.1 oz,4.24,Less than 50,Vietnam,Unclear,10,No,Weee,Drinks
British Brand Essence of Chicken Drink with Cordyceps Extract 6pk 408 ml,34.79,Less than 50,Taiwan,Unclear,20,No,Weee,Drinks
"Chungjungone O'Food Drinking Vinegar with Konjac Jelly, Pomegranate Flavor 900 g",12.99,Less than 50,South Korea,Chung Jung One,1,No,Weee,Drinks
Nestle Abuelita Authentic Mexican Hot Chocolate Drink Tablets 19 oz,5.99,Less than 50,Mexico,Unclear,1,No,Weee,Drinks
AXXZIA Venus Recipe AG Drink 5th Edition 750 ml,282.99,Less than 50,Japan,AXXZIA,0,No,Weee,Drinks
Sour Plum Drink Mix 80 g,3.69,Less than 50,Mainland China,Unclear,0,No,Weee,Drinks
Sugar Cane & Dried Lalang Grass Rhizome Drink Mix 120 g,5.99,Less than 50,Mainland China,Unclear,0,No,Weee,Drinks
Poplar twig nectar (drink) 1 each,8.99,Less than 50,Unclear,Uclear,0,No,Weee,Drinks
Soft Drink Regular 1 each,2.79,Less than 50,Unclear,Uclear,0,No,Weee,Drinks
Soft Drink Large 1 each,3.39,Less than 50,Unclear,Uclear,0,No,Weee,Drinks
DongBei Drink 1 each,4,Less than 50,Unclear,Uclear,0,No,Weee,Drinks
Forest Peach Drink 1 each,4,Less than 50,Unclear,Uclear,0,No,Weee,Drinks
"Sangaria Ramune Soft Drink, Strawberry Flavor 6.76 oz",2.79,700+ Sold,Japan,Unclear,39,No,Weee,Drinks
Korean Sweet Rice Drink 500 ml,2.99,200+ Sold,South Korea,Unclear,17,No,Weee,Drinks
Master Kong Peach Drink 500 ml,1.69,700+ Sold,Mainland China,Master Kong,37,No,Weee,Drinks
Kirin Milk & Coffee Drink  500 ml,2.99,200+ Sold,Japan,Unclear,8,No,Weee,Drinks
"Tarami Konnuaku Jelly Drink,  Mikan Flavor 150 g",2.49,200+ Sold,Japan,Tarami,5,No,Weee,Drinks
"Yili Youngfun Flavored Milk Drink, Original Flavor 250 ml",1.15,200+ Sold,Mainland China,Unclear,15,No,Weee,Drinks
McCol Barley Soft Drink 250 ml,0.89,100+ Sold,South Korea,Unclear,7,No,Weee,Drinks
Mogu Mogu Soursop Drink with Jelly 320 ml,1.69,100+ Sold,Philippines,Mogu Mogu,3,No,Weee,Drinks
Honey Bee Basil Seed Lychee Flavor Drink 9.58 fl.oz,1.59,50+ Sold,Thailand,Unclear,1,No,Weee,Drinks
Lotte Milkis Apple Flavored Carbonated Drink 250ml 6pk 1 each,5.99,50+ Sold,South Korea,Lotte,0,No,Weee,Drinks
San Miguel Chocolait Chocolate Flavored Drink 3pk 750 ml,4.99,Less than 50,Philippines,Unclear,0,No,Weee,Drinks
ILHWA Cheon Yeon Cider Carbonated Soft Drink 250ml  6 can,4.99,Less than 50,South Korea,Unclear,3,No,Weee,Drinks
Kuze Fuku & Sons Apple Drink with Apple Cider Vinegar 9.8 oz,2.54,Less than 50,United States,Unclear,5,No,Weee,Drinks
"Minute Maid Qoo Jelly Drink, Orange Flavor 4.4 oz",2.99,Less than 50,Japan,Unclear,4,No,Weee,Drinks
Lotte Milkis Drink 1.5L 1 bottle,4.99,Less than 50,South Korea,Lotte,0,No,Weee,Drinks
Tian Di No.1 Mature Vinegar Drink 650 ml,3.49,Less than 50,Mainland China,Unclear,0,No,Weee,Drinks
Yakult Nonfat Probiotic Drink 5ct 1 each,2.99,1K+ Sold,United States,Yakult,689,No,Weee,Drinks
Tarami Konnyaku Jelly Drink Peach  150 g,2.49,500+ Sold,Japan,Tarami,30,No,Weee,Drinks
"Tarami Konnyaku Jelly Drink, Apple Flavor  150 g",2.49,400+ Sold,Japan,Tarami,17,No,Weee,Drinks
"Bird's Nest Drink, Original 240ml 8 oz",4.99,200+ Sold,Mainland China,Unclear,56,No,Weee,Drinks
