Product_Name,Price,Reviews,Sold_Monthly,Weekly_Revenue,Platform,Category,Brand,Option,Origin,Rate,Sold_Weekly
Sweet Heart Pastry（3/Box）,5.95,29,3488,5188,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,872
Sweet Topping Custard Bun,4.75,31,2840,3373,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,710
Japanese Yams Bun,5.25,31,4000,5250,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,1000
Egg Yolk Lotus Seed Paste Cakes,8.25,8,2147,4428,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,537
Bun with Pork Floss,4.50,21,4006,4507,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,1002
Hotdog Cheese Bun,5.75,12,3636,5227,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,909
Hone Cheesecake,6.50,16,1801,2927,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,450
Cream and Coconut Bun,4.75,25,4723,5609,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,1181
Mini Coconut Bun,5.25,19,3516,4615,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,879
Snowflake Crispy,7.95,21,2720,5406,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,680
Mango Glutinous Mochi,6.50,14,2810,4566,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,703
Corn Pancake,5.50,8,2390,3286,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,598
Cake Bun with Pork Floss,4.75,13,2821,3350,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,705
Red Bean Bun,17.25,0,1596,6883,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,399
Japanese Cheesecake Slice,7.25,8,2995,5428,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,749
Steamed Bun,6.95,33,2205,3831,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,551
Steamed Twisted Roll,9.50,8,2336,5548,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,584
Taipan Cheese Cake (Small),9.25,19,2182,5046,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,546
Sweet Topping Coconut Bun,4.75,1,2329,2766,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,582
Fried Pork+Corn+Whole Wheat,6.95,1,2264,3934,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,566
Red Bean Bun,4.25,9,2970,3156,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,743
Green Bean Cracker（3/Box）,5.50,10,3634,4997,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,909
Egg Tart,6.95,11,2782,4834,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,696
Baked Scallion Stuffed Sesame Biscuit,10.75,33,2747,7383,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,687
Whole Wheat Turkey,4.75,1,1625,1930,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,406
Corn and Ham Bun,4.75,0,1903,2260,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,476
Raisin Bread,5.25,33,2798,3672,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,700
Cake Wrapped in Paper,4.25,17,4062,4316,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,1016
Sticky Rice Roll with Red Bean,9.50,20,2838,6740,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,710
Steamed Plain Bun,7.95,0,1775,3528,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,444
Fresh Cream Custard Bun,5.25,15,2582,3389,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,646
Pineapple Bun,3.50,32,6119,5354,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,1530
Seafood Glutinous Rice Cake,11.25,19,2458,6913,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,615
Hot Dog Bun,5.25,4,3085,4049,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,771
Savory Crispy Pancake with Sesame,6.95,46,3869,6722,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,967
Hot Dog Bun,4.50,3,3063,3446,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,766
Curry Beef Puff,6.75,8,1844,3112,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,461
Dried Meat Floss  Cake,5.95,56,10147,15094,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,2537
Neapolitan Slice,6.50,21,2542,4131,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,636
Red Bean Bun,5.25,15,2640,3465,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,660
Egg Custard Tart,4.95,13,2920,3614,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,730
Paper Wrapped Cake,6.50,29,2327,3781,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,582
Cocktail Bun,6.95,0,2851,4954,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,713
Topping Kaya+Shredded Pork+Wrappedcake,6.95,19,2498,4340,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,625
Vanilla Cream Cake Roll,13.25,7,3524,11673,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,881
Hot Dog Bun,5.25,8,2193,2878,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,548
Fried Pork Flakes Bread,6.95,6,2710,4709,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,678
Coconut Bun,4.50,11,3607,4058,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,902
Mei Xin Pineapple Buns,6.95,2,2076,3607,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,519
Fried Crispy Dough,3.25,9,2862,2325,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,716
Taro Puff,6.25,25,3373,5270,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,843
Deep Fried Cruller,8.25,26,4753,9803,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,1188
Pumpkin Pie,8.25,1,2574,5309,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,644
Steamed Cornbread,4.25,9,2836,3013,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,709
Scallion Pancake with Eggs,9.50,0,2939,6980,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,735
Scallion Pancake (Frozen),20.75,4,2435,12632,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,609
Scallion Pancake,6.95,9,1440,2502,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,360
Fried Bun,8.25,3,2597,5356,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,649
,,,,,,,Unclear,Unclear,Unclear,Unclear,0
