Product_Name,Price,Sold_Weekly,Brand,Reviews,Sold_Monthly,Weekly_Revenue,Option,Rate,Origin,Platform,Category
DXC Shousi Mian Bao 258 g,4.99,100,Unclear,20,400,499,Unclear,Unclear,Unclear,Weee,Bread
Daiichi Dinner Rolls 6ct 6.35 oz,3.49,50,Daiichi,4,200,175,Unclear,Unclear,Unclear,Weee,Bread
Regent Japanese Ube Cake 10-34 g,5.99,50,Unclear,0,200,300,Unclear,Unclear,Unclear,Weee,Bread
Samlip Cream Bread 3pc 7.05 oz,3.99,1,Unclear,28,4,4,Unclear,Unclear,Unclear,Weee,Bread
Bestore Torn Bread 330 g,4.79,25,Unclear,3,100,120,Unclear,Unclear,Unclear,Weee,Bread
Uni Bread Pineapple Bun  80 g,2.19,100,Unclear,14,400,219,Unclear,Unclear,Unclear,Weee,Bread
Day Plus Bread Purple Sweet Potato Flavor  75 g,1.99,200,Unclear,7,800,398,Unclear,Unclear,Unclear,Weee,Bread
Daiichi Raisin Dinner Rolls 6pc  6.35 oz,4.49,25,Daiichi,7,100,112,Unclear,Unclear,Unclear,Weee,Bread
Hogan Bakery Toast 400 g,15.69,25,Unclear,4,100,392,Unclear,Unclear,Unclear,Weee,Bread
Daiichi Cheese Bread Sticks 7pcs 3.42 oz,3.99,25,Unclear,21,100,100,Unclear,Unclear,Unclear,Weee,Bread
HuaMuZi Baked Cheese Toast 9 Pcs (New Packaging) 360 g,20.99,25,Unclear,4,100,525,Unclear,Unclear,Unclear,Weee,Bread
Fuji Natural Porute 21 Raisin Bread 200 g,8.99,25,Unclear,0,100,225,Unclear,Unclear,Unclear,Weee,Bread
Daiichi Pon De Stick Seasame 7pcs 3.63 oz,3.99,25,Unclear,1,100,100,Unclear,Unclear,Unclear,Weee,Bread
Daiichi Yokohama Anpan Koshian 4.12 oz,2.99,25,Unclear,2,100,75,Unclear,Unclear,Unclear,Weee,Bread
Daiichi Yokohama Anpan Ogura 4.12 oz,2.99,25,Unclear,0,100,75,Unclear,Unclear,Unclear,Weee,Bread
Hurricane Red Bean Bread 3pk 390 g,5.99,25,Unclear,0,100,150,Unclear,Unclear,Unclear,Weee,Bread
Uni Bread Milky Butter Bun 80 g,2.19,50,Unclear,8,200,110,Unclear,Unclear,Unclear,Weee,Bread
"Zuming Soy Bread, Frozen 550 g",3.49,25,Unclear,0,100,87,Unclear,Unclear,Unclear,Weee,Bread
Pasco Shikishima Choujuku Shokupan Sliced White Bread   Frozen 374 g,5.19,1000,Unclear,146,4000,5190,Unclear,Unclear,Unclear,Weee,Bread
Golden Happiness Specialty Custard Bun 4pc 80 g,5.29,400,Unclear,194,1600,2116,Unclear,Unclear,Unclear,Weee,Bread
Coconut Baked Bun 4pc 80 g,5.29,600,Unclear,192,2400,3174,Unclear,Unclear,Unclear,Weee,Bread
"Daiichi Pan Mini Creamy Custard Buns, 7ct 7.14 oz",4.59,200,Daiichi,164,800,918,Unclear,Unclear,Unclear,Weee,Bread
Golden Happiness Specialty Red Bean Baked Bun 4ct  80 g,5.29,400,Unclear,97,1600,2116,Unclear,Unclear,Unclear,Weee,Bread
Lejinji Baby Is Hungry Cheese Flavor Breakstick  380 g,5.69,500,Unclear,116,2000,2845,Unclear,Unclear,Unclear,Weee,Bread
Breadstick (Milk Flavor)  380 g,5.69,300,Unclear,43,1200,1707,Unclear,Unclear,Unclear,Weee,Bread
Daiichi Melon Pan Bread 3.8 oz,2.49,200,Daiichi,38,800,498, .,Unclear,Unclear,Weee,Bread
Golden Happiness Specialty Coconut Cream Bun 4ct 80 g,4.29,300,Unclear,169,1200,1287,Unclear,Unclear,Unclear,Weee,Bread
Samlip Red Bean Paste Filled Bread 3pc 7.94 oz,3.99,100,Unclear,62,400,399,Unclear,Unclear,Unclear,Weee,Bread
Leeker Creamy Garlic Toast 6ct 1 each,8.49,500,LeeKer,287,2000,4245,Unclear,Unclear,Unclear,Weee,Bread
Daiichi Morning Selection Bread 8pc 12.34 oz,4.99,100,Unclear,6,400,499,Unclear,Unclear,Unclear,Weee,Bread
D-Plus Hokkaido Cream Pastry Roll 1 each,2.29,400,Shirakiku,440,1600,916,Unclear,Unclear,Unclear,Weee,Bread
Day Plus Bread Orange Flavor 75 g,1.99,200,Unclear,4,800,398,Unclear,Unclear,Unclear,Weee,Bread
Cranberry Breadsticks 380 g,6.19,200,Unclear,19,800,1238,Unclear,Unclear,Unclear,Weee,Bread
