Product_Name,Brand,Reviews,Price,Option,Rate,Origin,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Renvenue
Bread Biscuits Vanilla Flavor 96g,bourbon,1,4.69,No,2.0,Japan,Yami,Bread,50,200,235
"Nonstick Square Bread Mold Aluminum Toast Box, 250g, 1pc, SN2190",san neng bakeware,2,19.99,No,5.0,Mainland China,Yami,Bread,25,100,500
Mini Doughnut Bread Mix 500g,ottogi,12,5.39,No,4.7,Korea,Yami,Bread,25,100,135
Toasted Bread Slice Spicy Flavor 138g,wolong,37,2.89,2 Options,4.5,Mainland China,Yami,Bread,25,100,72
Short Bread 95g,ito seika,2,2.89,No,5.0,Japan,Yami,Bread,25,100,72
SUNRIGHT High Gluten Bread Flour 500g,sunlight,19,2.99,No,4.8,Taiwan,Yami,Bread,25,100,75
CJ Sesame Bread Mix 500g,che il jedang,45,6.99,No,4.9,Korea,Yami,Bread,100,400,699
Pita Bread in Soup 265g,liuyipao,1,4.99,No,3.0,Mainland China,Yami,Bread,25,100,125
Toasted Bread Slice Cumin Flavor 138g,wolong,41,2.59,2 Options,4.7,Mainland China,Yami,Bread,25,100,65
Hungry Satisfy Egg Milk Toast 102g,other brands,9,3.49,No,4.6,Unclear,Yami,Bread,25,100,87
Watermelon Stuffed Toast 480g,snack lab,231,13.99,3 Options,4.7,Mainland China,Yami,Bread,25,100,350
Breadsticks Cheese Flavor 380g,lejinji,152,5.69,No,4.8,Mainland China,Yami,Bread,25,100,142
Luxury Taiwanese Wagashi Wooden Gift Box 6/Box,joyjoy,4,52.99,No,5.0,Taiwan,Yami,Bread,25,100,1325
Mini Baked Wheat Baum Kuchen Cake 10pc 270g,marukin,536,6.49,5 Options,4.6,Japan,Yami,Bread,25,100,162
Lunar New Year Gift Set with Shadow Play (Pi Ying Xi) Material,zhiweiguan,4,89.99,No,5.0,Mainland China,Yami,Bread,25,100,2250
DXC Mung Bean Cake 180g,dao xiang cun,631,6.89,2 Options,4.7,Mainland China,Yami,Bread,300,1200,2067
Reunion Gift 1120g,dao xiang cun,2,36.99,No,5.0,Mainland China,Yami,Bread,200,800,7398
Bun With Chocolate Filling Breadd 75g,d-plus,26,1.99,No,4.5,Japan,Yami,Bread,25,100,50
Dragon Fruit Toast 480g,snack lab,83,14.99,3 Options,4.7,Mainland China,Yami,Bread,25,100,375
Daoxiang Fengnian New Year Gift Set 1650g,dao xiang cun,2,47.99,No,5.0,Mainland China,Yami,Bread,100,400,4799
Oreo Cookie and Cream Pie Cake 360g,haitai,130,4.99,No,4.7,Korea,Yami,Bread,25,100,125
Walnut Crisp Cake 650g,dao xiang cun,1,19.99,No,5.0,Mainland China,Yami,Bread,200,800,3998
Precieux white chocolate Covered Lemon Cake 5pcs,chen yun pao chuan,4,12.99,No,5.0,Taiwan,Yami,Bread,25,100,325
HuaMuZi Baked Cheese Toast 150g,huamuzi,24,13.49,No,4.8,Mainland China,Yami,Bread,200,800,2698
White Peach Baumkuchen 184g,as foods,1,4.99,No,3.0,Japan,Yami,Bread,300,1200,1497
Banana Petit Cake 6pcs 85g,marukin,1,3.39,No,4.0,Japan,Yami,Bread,25,100,85
Castella Japanese Style Baked Sponge Cake Matcha Flavor 7 Slices 280g,imuraya,123,6.99,4 Options,4.0,Japan,Yami,Bread,25,100,175
Pia Durian Cake Egg Yolk Taro Mung Bean Flavor 400g,thien sa,14,5.69,2 Options,4.6,Vietnam,Yami,Bread,25,100,142
Baked Cake-Roll Cake(Nama Baumkuchen)  295g,marukin,126,4.99,No,4.6,Japan,Yami,Bread,25,100,125
Castella Japanese Style Baked Sponge Cake Original Flavor 7 Slices 280g,imuraya,99,6.99,4 Options,4.3,Japan,Yami,Bread,25,100,175
Japan Mocchiri Lemon Cake 7 PCS 119g,todaya,1,5.99,No,5.0,Mainland China,Yami,Bread,25,100,150
Chocolate and Milk Cake,gaolegao,11,11.99,2 Options,5.0,Mainland China,Yami,Bread,200,800,2398
Taiwanese Black Date And  Walnut Cake 350g,cherry grandfather,48,25.99,No,4.9,Taiwan,Yami,Bread,200,800,5198
Milk Cake 195g,huamei,22,3.99,No,5.0,Mainland China,Yami,Bread,50,200,200
HATANA Sweet Potato Tart 235g,hatana,4,11.99,No,4.5,Japan,Yami,Bread,200,800,2398
Cashew Crisp Cake 650g,dao xiang cun,2,19.99,No,5.0,Mainland China,Yami,Bread,200,800,3998
Harajuku Baked Chocolate 198g,colombin,6,10,No,3.3,Japan,Yami,Bread,25,100,250
Egg Puff Cheese Flavor,buerzaizai,0,2.99,No,5.0,Mainland China,Yami,Bread,200,800,598
FRENCH PIE CHOCO SPREAD 179g,haitai,10,3.29,No,4.6,Korea,Yami,Bread,25,100,82
Egg Puff Milk Flavor,buerzaizai,0,2.49,No,5.0,Mainland China,Yami,Bread,200,800,498
Durian Tart 270g,mybizcuit,3,6.99,No,5.0,Malaysia,Yami,Bread,25,100,175
Robert's Cake Cheese Flavor 220g,huamei,52,3.99,2 Options,4.9,Mainland China,Yami,Bread,50,200,200
Mini Roll Cake Chocolate Flavor 70g,bourbon,7,2.99,3 Options,4.6,Japan,Yami,Bread,50,200,150
Castella Yogurt Flavor 330g,aji,5,4.54,3 Options,4.6,Mainland China,Yami,Bread,300,1200,1362
Strawberry Flavor Chocolate Layer Cake,gaolegao,12,11.99,2 Options,4.3,Mainland China,Yami,Bread,200,800,2398
Precieux white chocolate Covered Lemon Cake 10pcs,chen yun pao chuan,8,26.99,No,4.6,Taiwan,Yami,Bread,200,800,5398
OH! YES Choco Cake 12pieces 336g,haitai,66,4.29,No,4.5,Korea,Yami,Bread,25,100,107
FENGDAN Taiwanese Black Date And  Walnut Cake 220g,favor desserts,24,19.99,No,5.0,Taiwan,Yami,Bread,200,800,3998
Muffin 4 Piece 230g,marukin,12,5.99,No,4.9,Japan,Yami,Bread,25,100,150
Chestnuts Tarto Roll 293g,kamei seika,2,9.99,No,5.0,Japan,Yami,Bread,25,100,250
Mini Lumonde Marron141g,bourbon,1,4.99,No,3.0,Japan,Yami,Bread,50,200,250
Milk Cake 210g,huamei,10,4.39,No,4.8,Mainland China,Yami,Bread,50,200,220
HSIN TUNG YANG Mung Bean Cake 15Pieces 150g,hsintungyang,62,6.89,No,3.9,Taiwan,Yami,Bread,50,200,345
KKOMA YUKWU Pumpkin pie 200g,farm group,3,3.69,No,5.0,Korea,Yami,Bread,25,100,92
Round Soft Waffle Original Flavor 280g,huamei,2,4.69,No,5.0,Mainland China,Yami,Bread,50,200,235
?€?Frozen?€?Mochi Matcha Flavor 70pc,hirahachi,1,15.99,No,5.0,Japan,Yami,Bread,200,800,3198
Castella Japanese Style Baked Sponge Cheese Cake 7pcs 280g,imuraya,74,6.99,4 Options,4.2,Japan,Yami,Bread,200,800,1398
DALI Cheese Croissant 240g,daligroup,15,5.99,No,3.9,Mainland China,Yami,Bread,25,100,150
?€?Frozen?€?Kou-Fuku Matcha Flavor 140g,sunlavieen,5,4.69,3 Options,4.6,Japan,Yami,Bread,25,100,117
?€?Frozen?€?Mini Pancake Dumplings with Mozzarella Cheese 5.16 OZ,pulmuone,2,6.99,No,4.0,Korea,Yami,Bread,25,100,175
?€?Frozen?€?Kou-Fuku Original Flavor 140g,sunlavieen,3,4.99,3 Options,5.0,Japan,Yami,Bread,25,100,125
Castella Japanese Style Baked Sponge Cake Chocolate Flavor 7Slices 280g,imuraya,50,6.99,4 Options,4.2,Japan,Yami,Bread,200,800,1398
Home Pie 40pcs,fujiya,5,3.75,No,4.6,Japan,Yami,Bread,25,100,94
?€?Frozen?€?Strawberry Rare Cheesecke 480g,goyo shokuhin,4,19.99,No,5.0,Japan,Yami,Bread,200,800,3998
Pia Durian Cake Egg Yolk Mung Bean Flavor 400g,thien sa,8,5.69,2 Options,4.0,Vietnam,Yami,Bread,25,100,142
Cookie with Chocolate 210g,colombin,14,19.99,No,4.8,Japan,Yami,Bread,200,800,3998
Mille Crepe Vanilla 92g,orange,1,3.29,No,5.0,Korea,Yami,Bread,25,100,82
MARUKYO Baked Wheat Cake 5pcs 275g,wangjing,16,5.19,2 Options,4.6,Japan,Yami,Bread,25,100,130
Butter Cake 210g,huamei,14,4.59,No,4.9,Mainland China,Yami,Bread,50,200,230
Cheese Cake Original Flavor 240g,huamei,4,4.99,2 Options,4.5,Mainland China,Yami,Bread,50,200,250
Mini Roll Cake Strawberry Flavor 70g,bourbon,7,2.69,3 Options,3.6,Japan,Yami,Bread,50,200,135
Uji Matcha Pie 20pcs,fujiya,7,4.69,No,4.0,Japan,Yami,Bread,25,100,117
Mini Roll Cake Milk Flavor 70g,bourbon,6,2.99,3 Options,4.7,Japan,Yami,Bread,50,200,150
Cheese Cake Sea Salt Flavor 240g,huamei,4,4.99,2 Options,4.8,Mainland China,Yami,Bread,50,200,250
Golden Cheece Tart 300g,mybizcuit,1,6.99,No,5.0,Malaysia,Yami,Bread,25,100,175
KSF Mini Puff Milk Flavor 50g,master kong,145,1.99,2 Options,4.7,Mainland China,Yami,Bread,25,100,50
Chocolate Cream Filling Puff 65g,imei,111,1.59,2 Options,4.6,Taiwan,Yami,Bread,25,100,40
Baked Matcha Chocolate  Cake 186g,colombin,7,19.99,No,4.6,Japan,Yami,Bread,200,800,3998
Banana Cake 120g,todaya,3,5.49,No,4.7,Mainland China,Yami,Bread,25,100,137
Tamago Cake 120g,todaya,1,5.49,No,5.0,Mainland China,Yami,Bread,25,100,137
Original Cake 9pc,butter butler,9,20.99,No,4.0,Japan,Yami,Bread,25,100,525
Korean Style Fried Cookies 350g,nonghyup,18,4.49,No,3.7,Korea,Yami,Bread,25,100,112
?€?Frozen?€?Dashimaki Tamago 297g,ajikan,1,7.99,No,5.0,Mainland China,Yami,Bread,300,1200,2397
Chestnut Cake 67g,orange,1,3.29,No,5.0,Korea,Yami,Bread,25,100,82
Fermented Bread Drinks 330ml,kvass,6,1.79,No,4.7,Mainland China,Yami,Bread,25,100,45
Banana Cake Original (8 pieces),tokyo banana,23,19.5,15 Options,4.5,Japan,Yami,Bread,25,100,488
TOKYO BUONO Cheese Cake 10pc,buono,96,17,2 Options,4.6,Japan,Yami,Bread,300,1200,5100
JAPAN Cake 17pc,tokyo banana,5,58,36 Options,4.4,Japan,Yami,Bread,25,100,1450
JAPAN HOKKADO Marusei Butter Sand 5pc,rokkatei,11,13.5,44 Options,5.0,Japan,Yami,Bread,25,100,338
HOKAIDO Dice Milk 40g,hokkaido,3,5,44 Options,5.0,Japan,Yami,Bread,25,100,125
HOKKAIDO Original Milk Pudding 4pc,bocca,17,19.5,3 Options,5.0,Japan,Yami,Bread,200,800,3900
TOKYO TAMAGO Eggs Sesame Flavor (8 pieces),ginza tamaya,17,17,7 Options,4.2,Japan,Yami,Bread,200,800,3400
Parlour Custard Pudding 1pc,shiseido,25,6.9,4 Options,4.8,Japan,Yami,Bread,25,100,173
TOKYO Cheese Cake 10pc,buono,7,18.5,44 Options,4.7,Taiwan,Yami,Bread,200,800,3700
Sun Cake 300g/6pcs,tachia master,14,15.19,No,4.8,Mainland China,Yami,Bread,25,100,380
JAPAN Cake Strawberry 8 pieces,tokyo banana,7,22.5,36 Options,4.6,Japan,Yami,Bread,25,100,563
Creme Brulee 8pc,tokyo banana,5,21.5,15 Options,5.0,Japan,Yami,Bread,25,100,538
KIHACHI Original Baumkuchen 1pc,patisserie kihachi,1,21.59,5 Options,5.0,Japan,Yami,Bread,25,100,540
JAPAN SUZETTE BAKED TIRAMISU 6pc,sanritsu,5,25,44 Options,4.6,Japan,Yami,Bread,25,100,625
BALANCE POWER BIG Sweet Potato Flavor 2pc,healthy club,3,1.9,8 Options,5.0,Japan,Yami,Bread,25,100,48
BALANCE POWER BIG HOKKAIDO Butter Flavor 2pc,healthy club,4,1.9,8 Options,5.0,Japan,Yami,Bread,25,100,48
JAPAN Cake Strawberry 4 pieces,tokyo banana,4,12.5,36 Options,5.0,Japan,Yami,Bread,25,100,313
Cheesecake (6 pieces),shiseido,33,28.5,4 Options,4.6,Japan,Yami,Bread,25,100,713
JAPAN Castella Cake 1pc,gateau festa harada,7,18,No,5.0,Japan,Yami,Bread,200,800,3600
Japan's famous fruit series foods Kasda Matcha Brownie Brown Rice Sandwich Cookies 70g,asahi,5,4.4,9 Options,4.6,Japan,Yami,Bread,50,200,220
BALANCE POWER BIG Coco Flavor 2pc,healthy club,1,1.9,8 Options,5.0,Japan,Yami,Bread,25,100,48
Matcha Cake 1pc,juchheim,1,38.9,3 Options,5.0,Japan,Yami,Bread,25,100,973
JAPAN  Limited tokyo banaba 3pc,tokyo banana,4,78,36 Options,4.8,Japan,Yami,Bread,25,100,1950
TOKYO BUONO Cheese Strawberry Flavor 6pc,shiseido,11,16.6,No,4.6,Japan,Yami,Bread,25,100,415
JAPAN Pikachu Limited Cake 8pc,tokyo banana,2,26.5,36 Options,4.0,Japan,Yami,Bread,25,100,663
JAPAN Butter Marshmallow Millefeuille 4pc,baked mallow,4,15.99,44 Options,5.0,Japan,Yami,Bread,25,100,400
HOKKAIDO Original Baumkuchen 1pc,ryugetstu,3,20.5,2 Options,4.7,Japan,Yami,Bread,25,100,513
Brownie Meal Replacement 1pc,glico,1,1.25,2 Options,5.0,Japan,Yami,Bread,25,100,31
JAPAN Cake Original 4 pieces,tokyo banana,2,12.5,36 Options,5.0,Japan,Yami,Bread,25,100,313
Cheese Cake 6pc,captain cheese,3,26.5,2 Options,3.3,Japan,Yami,Bread,200,800,5300
JAPAN H.SELECTION SALT CARAMEL FEUILLANTINE COOKIES 10pc,selamat,3,19.9,44 Options,4.3,Indonesia,Yami,Bread,25,100,498
SANDOLCE GRANOLA Caramel Tart 8pc,ginza silber grape,3,28.99,44 Options,5.0,Japan,Yami,Bread,200,800,5798
JAPAN Cake Caramel pudding 8pc,tokyo banana,3,26.5,36 Options,4.7,Japan,Yami,Bread,25,100,663
JAPAN TOKYO BRAVO CHEESE CREAM SAND 5pc,buono,3,12.9,44 Options,5.0,Taiwan,Yami,Bread,200,800,2580
Cheese Cakes 8pc,tokyo banana,1,20.5,15 Options,5.0,Japan,Yami,Bread,25,100,513
Calorie Mate Block Balanced Food Original 80g,otsuka,2,2.65,5 Options,5.0,Japan,Yami,Bread,25,100,66
JAPAN Cake Coffee Milk 8 pieces,tokyo banana,1,24.5,36 Options,5.0,Japan,Yami,Bread,25,100,613
MICKEY MOUSE Cake 6pc,tokyo banana,1,28,15 Options,5.0,Japan,Yami,Bread,25,100,700
TOKYO TAMAGO Strawberry Cake 5pc,ginza tamaya,1,18,7 Options,5.0,Japan,Yami,Bread,200,800,3600
JAPAN Strawberry White Chocolate Milfille 8pc,francais,1,19.9,6 Options,4.0,Japan,Yami,Bread,200,800,3980
JAPAN Sweet potato cake 8pc,ginza tamaya,1,20.9,7 Options,5.0,Japan,Yami,Bread,200,800,4180
CREAM COLLON  6 PACKS,glico,1,3.99,No,5.0,Japan,Yami,Bread,25,100,100
TOKYO GINZA Original Cake 1pc,nenrinya,7,25.5,5 Options,4.4,Japan,Yami,Bread,25,100,638
Lemon Cakes 8pc,francais,2,28.9,No,5.0,Japan,Yami,Bread,200,800,5780
HIYOKO Chocolate Cake 6pc,hiyoko manju,1,22,3 Options,5.0,Japan,Yami,Bread,200,800,4400
OKAYAMA Sakura Cakes 6pc,kitchoan,1,28.9,3 Options,4.0,Japan,Yami,Bread,25,100,723
Japan's famous fruit series food maple brown rice crackers 72g (2 ?? 2 bags),asahi,2,2.89,9 Options,5.0,Japan,Yami,Bread,300,1200,867
JAPAN Cheese Milk Custard 6pc,hokkaido,8,17.9,44 Options,4.4,Japan,Yami,Bread,200,800,3580
Strawberry Cake (8 pieces),tokyo banana,50,21.59,15 Options,4.6,Japan,Yami,Bread,25,100,540
POCKY Crunchy Strawberry 2bags,glico,1,2.75,4 Options,5.0,Japan,Yami,Bread,25,100,69
JAPAN ANOVAN NABONA 5pc,navona,1,15.99,No,4.0,Japan,Yami,Bread,25,100,400
MICKEY MOUSE Cake 6pc,tokyo banana,1,28,15 Options,5.0,Japan,Yami,Bread,25,100,700
Cheese Cakes 8pc,tokyo banana,1,20.5,15 Options,5.0,Japan,Yami,Bread,25,100,513
JAPAN Cake Original 8 pieces,tokyo banana,9,22.5,36 Options,4.6,Japan,Yami,Bread,25,100,563
TOKYO TAMAGO Strawberry Cake 5pc,ginza tamaya,1,18,7 Options,5.0,Japan,Yami,Bread,200,800,3600
JAPAN Strawberry White Chocolate Milfille 8pc,francais,1,19.9,6 Options,4.0,Japan,Yami,Bread,200,800,3980
CREAM COLLON  6 PACKS,glico,1,3.99,No,5.0,Japan,Yami,Bread,25,100,100
Lemon Cakes 8pc,francais,2,28.9,No,5.0,Japan,Yami,Bread,200,800,5780
TOKYO BANANA CHEESE CAKE 8pc,tokyo banana,2,22.5,36 Options,5.0,Japan,Yami,Bread,25,100,563
JAPAN Sweet potato cake 8pc,ginza tamaya,1,20.9,7 Options,5.0,Japan,Yami,Bread,200,800,4180
Japan's famous fruit series food maple brown rice crackers 72g (2 ?? 2 bags),asahi,2,2.89,9 Options,5.0,Japan,Yami,Bread,300,1200,867
JAPAN GINZA  Original Cake 1pc,nenrinya,3,19.9,44 Options,4.7,Japan,Yami,Bread,25,100,498
TOKYO GINZA Original Cake 1pc,nenrinya,7,25.5,5 Options,4.4,Japan,Yami,Bread,25,100,638
HIYOKO Chocolate Cake 6pc,hiyoko manju,1,22,3 Options,5.0,Japan,Yami,Bread,200,800,4400
OKAYAMA Sakura Cakes 6pc,kitchoan,1,28.9,3 Options,4.0,Japan,Yami,Bread,25,100,723
DORAEMON AND  Cake 8pc,tokyo banana,1,23,36 Options,5.0,Japan,Yami,Bread,25,100,575
TOKYO Limited Sakura Honey Cake 5pc,bunmeido,2,15.5,5 Options,5.0,Japan,Yami,Bread,25,100,388
POCKY Crunchy Strawberry 2bags,glico,1,2.75,4 Options,5.0,Japan,Yami,Bread,25,100,69
JAPAN ANOVAN NABONA 5pc,navona,1,15.99,No,4.0,Japan,Yami,Bread,25,100,400
Japan's famous fruit series food coco black rice sandwich biscuits 72g (2 ?? 2 bags),asahi,1,2.4,9 Options,5.0,Japan,Yami,Bread,300,1200,720
Shrimp Senbei DARUMA 5bags,kitchoan,1,11.9,36 Options,5.0,Japan,Yami,Bread,25,100,298
JAPAN SAKURA Biscuit 9pc,ginza tamaya,1,16.9,7 Options,5.0,Japan,Yami,Bread,200,800,3380
Sweetpotato Tart 5pc,festivalo,4,23.5,No,5.0,Japan,Yami,Bread,200,800,4700
KIHACHI Chocolate Burmkuchen Cake 1pc,patisserie kihachi,8,22.59,5 Options,4.8,Japan,Yami,Bread,25,100,565
TOKYO Cheese  Cake 10pc,buono,1,17,3 Options,5.0,Japan,Yami,Bread,25,100,425
Original Cake 4pc,butter butler,1,15.5,2 Options,5.0,Japan,Yami,Bread,25,100,388
DISNEY Chocolate Cake 8pc,tokyo banana,2,26,15 Options,5.0,Japan,Yami,Bread,25,100,650
JAPAN POCKY Almond Chocolate Biscuit Sticks 41g,glico,1,2.75,4 Options,5.0,Japan,Yami,Bread,25,100,69
JAPAN Valentine's day limited Strawberry cream sandwich 4pc,antenor,1,18.9,36 Options,4.0,Japan,Yami,Bread,25,100,473
JAPAN TOKYO BRAVO CHEESE CREAM SAND 5pc,buono,3,12.9,44 Options,5.0,Taiwan,Yami,Bread,200,800,2580
JAPAN Cake Caramel pudding 5pc,tokyo banana,3,16.5,36 Options,4.0,Japan,Yami,Bread,25,100,413
Calorie Mate Block Balanced Food Original 80g,otsuka,2,2.65,5 Options,5.0,Japan,Yami,Bread,25,100,66
JAPAN Cake Coffee Milk 8 pieces,tokyo banana,1,24.5,36 Options,5.0,Japan,Yami,Bread,25,100,613
Grill Cheese Cake Sugar Reduce 60% 6pc,bourbon,1,3.95,4 Options,5.0,Japan,Yami,Bread,50,200,198
MICKEY MOUSE Cake 6pc,tokyo banana,1,28,15 Options,5.0,Japan,Yami,Bread,25,100,700
TOKYO TAMAGO Strawberry Cake 5pc,ginza tamaya,1,18,7 Options,5.0,Japan,Yami,Bread,200,800,3600
GINZA SILVER GRAPE Creme Brulee 8pc,ginza silber grape,4,26.5,No,5.0,Japan,Yami,Bread,200,800,5300
JAPAN Strawberry White Chocolate Milfille 8pc,francais,1,19.9,6 Options,4.0,Japan,Yami,Bread,200,800,3980
Cake Original (8 pieces),hiyoko manju,14,25,3 Options,4.0,Japan,Yami,Bread,25,100,625
JAPAN TOKYO RICH STRAWBERRY CHEESECAKE 6pc,cheese pie,2,15.99,44 Options,4.5,Mainland China,Yami,Bread,200,800,3198
CREAM COLLON  6 PACKS,glico,1,3.99,No,5.0,Japan,Yami,Bread,25,100,100
JAPAN Pikachu Limited Cake 3 8pc,tokyo banana,1,24,36 Options,5.0,Japan,Yami,Bread,25,100,600
Shrimp Senbei MANEKI 6bags,kitchoan,1,11.9,36 Options,5.0,Japan,Yami,Bread,25,100,298
Purple Sweet Potato 5pc,festivalo,11,21.5,No,4.9,Japan,Yami,Bread,200,800,4300
Lemon Cakes 8pc,francais,2,28.9,No,5.0,Japan,Yami,Bread,200,800,5780
Hey ! Hand Made Earl Grey Cream  240g,lien haw foods,3,18.99,No,5.0,Taiwan,Yami,Bread,25,100,475
Panda Yogurt Cream Cake 8pc,tokyo banana,3,23,15 Options,5.0,Japan,Yami,Bread,25,100,575
BAKED CHEESE CAKE 4pc,kitami suzuki,2,18.99,No,4.5,Japan,Yami,Bread,25,100,475
Japan's famous fruit series food maple brown rice crackers 72g (2 ?? 2 bags),asahi,2,2.89,9 Options,5.0,Japan,Yami,Bread,300,1200,867
Sittori Chocolate Corn Snack 80g,riska,1,3.5,2 Options,5.0,Japan,Yami,Bread,25,100,88
Financiers Cakes 5pc,henri charpentier,12,14.29,4 Options,4.5,Japan,Yami,Bread,200,800,2858
JAPAN Financier 5pc,henri charpentier,2,17.99,44 Options,5.0,Japan,Yami,Bread,200,800,3598
Balance Power Biscuit Big Sweet Cheese Orange Flavor 2pc,healthy club,3,1.9,8 Options,5.0,Japan,Yami,Bread,25,100,48
TOKYO Limited Sakura Honey Cake 5pc,bunmeido,2,15.5,5 Options,5.0,Japan,Yami,Bread,25,100,388
TOKYO Castella Cake 2pc,bunmeido,12,7,5 Options,4.4,Japan,Yami,Bread,50,200,350
Calorie Mate Block Balanced Food cheese 80g,otsuka,1,2.7,5 Options,5.0,Japan,Yami,Bread,25,100,68
JAPAN TOKYO Cup DE CHEESE CAKE 6pc,buono,3,18.9,44 Options,4.3,Taiwan,Yami,Bread,200,800,3780
Cheese and Custard Cake 8pc,tokyo banana,1,26,15 Options,1.0,Japan,Yami,Bread,25,100,650
JAPAN Sesame Chocolate cake 8pc,ginza tamaya,6,19.99,7 Options,4.7,Japan,Yami,Bread,200,800,3998
BALANCE POWER BIG Raisin Flavor 2pc,healthy club,1,1.38,8 Options,5.0,Japan,Yami,Bread,25,100,35
Japan's famous fruit series food cheese cream brown rice sandwich biscuits 72g (2 x 2 ba,asahi,1,2.89,9 Options,5.0,Japan,Yami,Bread,300,1200,867
Strawberry Brownie Sandwich Cookies 70g,asahi,1,3.7,9 Options,5.0,Japan,Yami,Bread,300,1200,1110
Japan's famous fruit series food Kastar soy Milk Egg brown rice sandwich biscuits 72g (2 ?? 2 bags),asahi,3,3.1,9 Options,5.0,Japan,Yami,Bread,300,1200,930
Sakura Fish Yaki 6pc,nihonbashiya,1,25.5,3 Options,5.0,Japan,Yami,Bread,25,100,638
Nougat-Filled Bubble Milk Tea Paste Cake 100g(Shelf life:2022/3/1),kuo yuan ye,2,5.99,No,3.0,Taiwan,Yami,Bread,25,100,150
Tokyo Parlour Sakura Cheese Cake(6pieces),shiseido,9,29.5,4 Options,4.2,Japan,Yami,Bread,25,100,738
Butter Marshmallow Millefeuille 6pc,baked mallow,4,27.5,No,4.0,Japan,Yami,Bread,200,800,5500
GINZA  SAKURA Cake 1pc,nenrinya,1,19.9,44 Options,5.0,Japan,Yami,Bread,25,100,498
DXC Mini Bread Pineapple Flavor 268g,dao xiang cun,103,3.99,2 Options,4.2,Mainland China,Yami,Bread,300,1200,1197
Little White Heart Custard Bread 90g,moranca,17,2.99,2 Options,4.4,Mainland China,Yami,Bread,25,100,75
Little White Heart Sandwich Bread with Yogurt Filling 4PC 76g,moranca,335,3.99,7 Options,4.6,Mainland China,Yami,Bread,25,100,100
Little White Heart Sandwich Bread with Yellow Peach Yogurt 4PC 76g,moranca,96,3.49,7 Options,4.6,Mainland China,Yami,Bread,25,100,87
