,Product_Name,Brand,Reviews,Price,Rate,Origin,Platform,Category,Sold_Weekly
15,GOURMET FARM Preserved Duck Eggs Century Eggs 272g,zhuang yuan,62,2.49,4.8,Mainland China,Yami,Dessert,Less than 50
16,Red Bean Sand Porridge 370g,taiqi,40,1.59,4.9,Mainland China,Yami,Dessert,50+ Sold
17,Instant Herbal Cereal Original 450g,jzjt,441,23.99,4.6,Mainland China,Yami,Dessert,300+ Sold
18,Red Bean Soup with Pearl Barley 300g Gluten Free,totole,19,1.99,4.2,Mainland China,Yami,Dessert,50+ Sold
19,Dried purple yam Oatmeal 2 bags 90g,buydeem,12,3.39,4.7,Mainland China,Yami,Dessert,300+ Sold
20,Taro and Mushroom Porridge 35gx3,zen eat,1,10.99,5.0,Taiwan,Yami,Dessert,Less than 50
21,GOURMET FARM Cooked Salted Duck Eggs 272g,zhuang yuan,114,2.39,4.7,Mainland China,Yami,Dessert,Less than 50
22,Red bean and barley rice noodles Low-fat and high-fiber classic damp-removing meal replacement powder 50,mr fang's store,23,17.99,5.0,Mainland China,Yami,Dessert,200+ Sold
23,Fresh Slice Peach Bottle 425g,ljpz,29,2.19,4.7,Mainland China,Yami,Dessert,Less than 50
24,Pearl Barley Congee 340g,agv,171,1.49,4.7,Taiwan,Yami,Dessert,300+ Sold
25,Milk Peanut with Soup 11.27 oz,chiao kuo,0,1.69,0.0,Mainland China,Yami,Dessert,300+ Sold
26,Kind-Rice Porridge 360g,coins,11,1.79,4.6,Mainland China,Yami,Dessert,300+ Sold
27,Fresh Stewed White Fungus,mr fang's store,0,3.99,0.0,Mainland China,Yami,Dessert,Less than 50
28,Green and Red Chilli Preserved Vegetable 80g,yuquan,7,0.69,4.9,Mainland China,Yami,Dessert,50+ Sold
29,Sweet Mixed Porridge 350 g,chiao kuo,0,1.69,0.0,Mainland China,Yami,Dessert,300+ Sold
30,Walnut Sesame Powder 500g,mr fang's store,41,16.99,4.6,Mainland China,Yami,Dessert,200+ Sold
31,Canned Sweet Hawthorn 720g,zhiweitang,0,5.99,0.0,Mainland China,Yami,Dessert,Less than 50
32,Canned Preserved Peach 720g,zhiweitang,0,5.99,0.0,Mainland China,Yami,Dessert,Less than 50
33,Black Grass Jelly 19oz,mifeng,0,2.49,0.0,Mainland China,Yami,Dessert,Less than 50
34,Konjac Jelly Pineapple Flavor 263g,yumei,1,2.99,5.0,Mainland China,Yami,Dessert,50+ Sold
35,Konjac Jelly,yuanxian,6,3.49,4.7,Mainland China,Yami,Dessert,50+ Sold
36,Cranberry Tremella Soup 75g,buydeem,6,4.99,5.0,Mainland China,Yami,Dessert,300+ Sold
37,Lychee In Syrup 20oz,dragonfly brand,0,3.69,0.0,Mainland China,Yami,Dessert,200+ Sold
38,Konjac Jelly Brown Sugar 263g,yumei,5,2.99,5.0,Mainland China,Yami,Dessert,50+ Sold
39,Organic Pickled Cabbage 454g,zhuang yuan,26,3.19,4.8,Mainland China,Yami,Dessert,Less than 50
40,Black Sesame Dessert 250g,shunnan,3,3.69,4.7,Mainland China,Yami,Dessert,Less than 50
41,Lily Bulbs Polygonatum Lotus Seed Soup 78g,buydeem,6,5.12,4.8,Mainland China,Yami,Dessert,300+ Sold
42,Pita Bread in Soup 265g,liuyipao,1,4.99,3.0,Mainland China,Yami,Dessert,Less than 50
43,SiChuan Spicy Flavor Sauce 230g,yumei,43,2.79,4.4,Mainland China,Yami,Dessert,50+ Sold
44,Walnut Desser 250g,shunnan,2,3.69,5.0,Mainland China,Yami,Dessert,Less than 50
45,Cooked Salted Duck Eggs 330g,pro fusion,13,3.99,4.5,Mainland China,Yami,Dessert,50+ Sold
46,【Frozen】Baked Cheesecake 4pc 160g,f-goyo,0,7.69,0.0,Japan,Yami,Dessert,200+ Sold
47,Crispy BamBoo Shoots 188g,bestore,19,3.29,4.7,Mainland China,Yami,Dessert,100+ Sold
48,Thick Clam Cream Soup Instant Soup 3pcs,pokka sapporo,6,4.99,4.8,Japan,Yami,Dessert,Less than 50
49,Konjac Jelly Orange Flavor 263g,yumei,2,2.99,5.0,Mainland China,Yami,Dessert,50+ Sold
50,Almond Desser 250g,shunnan,3,3.69,5.0,Mainland China,Yami,Dessert,Less than 50
51,【Frozen】Baked Green Tea Cheesecake 160g,f-goyo,0,7.69,0.0,Japan,Yami,Dessert,200+ Sold
52,Canned Saury Sanma De Kenko Shoyu Aji 100g,hagoromo,18,2.99,4.4,Japan,Yami,Dessert,50+ Sold
53,Preserved Duck Eggs Hard Yolk 360g,pro fusion,12,3.99,4.7,Mainland China,Yami,Dessert,50+ Sold
54,Preserved Duck Eggs Soft Yolk 360g,pro fusion,10,3.69,4.9,Mainland China,Yami,Dessert,Less than 50
55,Thick Pumpkin Cream Soup Low Heat Instant Meal Replacement Instant Soup 3bags,pokka sapporo,4,4.99,5.0,Japan,Yami,Dessert,Less than 50
56,Thick Hokkaido Corn Cream Soup Instant Soup 3pcs,pokka sapporo,1,4.99,5.0,Japan,Yami,Dessert,Less than 50
57,Thick Broccoli Cheese Cream Soup Instant Soup 3pcs,pokka sapporo,1,4.99,5.0,Japan,Yami,Dessert,Less than 50
58,Bird's Nest Drink Jar Giftset 6pc,sanest,1,39.99,5.0,Vietnam,Yami,Dessert,Less than 50
59,Spicy Sliced Kelp 218g,bestore,29,3.49,4.0,Mainland China,Yami,Dessert,100+ Sold
60,Konjac Nutritional Meal 420g 30g x 14 Packets,mushroomstorm,11,14.24,4.7,Mainland China,Yami,Dessert,200+ Sold
61,Daily Low Fat Cereal Breakfast 400g,bestore,0,24.99,0.0,Mainland China,Yami,Dessert,Less than 50
62,JAPAN Sugar Free  Doria 206,kagome,2,12.0,5.0,Japan,Yami,Dessert,Less than 50
63,JAPAN Sugar free  Doria 206g,kagome,1,12.0,5.0,Japan,Yami,Dessert,Less than 50
64,Millet pumpkin porridge 100g in a small bag,yaoduoduo,0,8.9,0.0,Mainland China,Yami,Dessert,200+ Sold
65,Rice Porridge 6pc,nissin,1,21.5,5.0,Japan,Yami,Dessert,200+ Sold
66,FD Freeze Dried Rice Porridge Instant Breakfast Porridge 5 Flavors 10 Bag Combination 368g,haifusheng,0,29.99,0.0,Mainland China,Yami,Dessert,200+ Sold
67,JAPAN Bibimbap 254g,marumiya,0,11.5,0.0,Japan,Yami,Dessert,Less than 50
68,JAPAN Sugar Free Tomato risotto 260g,kagome,1,12.0,5.0,Japan,Yami,Dessert,Less than 50
69,Eight-treasure porridge 100g in a small bag,yaoduoduo,0,8.9,0.0,Mainland China,Yami,Dessert,200+ Sold
70,PING TUNG Red Bean Soup 320g  (Limited to 5 cans),lien haw foods,0,6.64,0.0,Taiwan,Yami,Dessert,Less than 50
71,SOYESFOOD Sweet Taro 200g/can  (Limited to 5 cans),lien haw foods,1,3.79,4.0,Taiwan,Yami,Dessert,Less than 50
72,Ten-grain rice porridge eight-treasure porridge raw materials in small bags 100g,yaoduoduo,0,8.9,0.0,Mainland China,Yami,Dessert,200+ Sold
73,Kelp Silk Spicy Taste 218g,bestore,4,7.99,5.0,Mainland China,Yami,Dessert,200+ Sold
74,FANGJIAPUZI Peach Gum Snow Swallow Gleditsiae Semen Soup 200g,mr fang's store,2,24.99,5.0,Mainland China,Yami,Dessert,200+ Sold
75,JAPAN  Meal Replacement Cacao&Nuts15pc,asahi,4,7.9,4.8,Japan,Yami,Dessert,300+ Sold
76,PING TUNG Taiwan Red Quinoa and Red Bean Porridge 250g  (Limited to 5 cans),lien haw foods,0,6.64,0.0,Taiwan,Yami,Dessert,Less than 50
77,JAPAN  Meal Replacement Honey&Raisins 15pc,asahi,3,7.9,5.0,Japan,Yami,Dessert,300+ Sold
78,JAPAN Sugar Free  Vegetable Curry 240g,kagome,2,12.0,5.0,Japan,Yami,Dessert,Less than 50
79,JAPAN  Meal Replacement Maple&Walnut 15pc,asahi,5,7.9,4.6,Japan,Yami,Dessert,300+ Sold
80,SOYESFOOD Sweet Red Bean 200g/can  (Limited to 5 cans),lien haw foods,0,3.79,0.0,Taiwan,Yami,Dessert,Less than 50
81,JAPAN  Meal Replacement Fruit 15pc Sugar 25%OFF,asahi,2,7.9,5.0,Japan,Yami,Dessert,300+ Sold
82,JAPAN  Meal Replacement Fruit 15pc,asahi,3,7.9,5.0,Japan,Yami,Dessert,300+ Sold
83,WUGUMOFANG Y10 Prebiotic High Fiber Meal 1100g,wugu mofang,2,19.99,4.5,Mainland China,Yami,Dessert,Less than 50
84,FENGDAN Taiwanese Crispy Biscuit Filled with Nougat 144g,favor desserts,6,11.99,3.2,Taiwan,Yami,Dessert,200+ Sold
85,Popin Cookin DIY Cake Shop Ice Cream Cone Frosting Desserts 26g,kracie,16,3.99,4.8,Japan,Yami,Dessert,Less than 50
86,Red Bean Soup with Black RIce 300g Gluten Free,totole,33,1.99,4.8,Mainland China,Yami,Dessert,50+ Sold
87,Brown Sugar With Mixed Congee 340g,taisun,343,1.39,4.7,Taiwan,Yami,Dessert,300+ Sold
88,Mixed Black Glutinous Rice Congee 255g,taisun,293,1.29,4.7,Taiwan,Yami,Dessert,300+ Sold
89,Milk Peanut Soup 340g,agv,83,1.49,4.4,Taiwan,Yami,Dessert,300+ Sold
90,FU CHUN JIANG Rice Pudding 350g,fuchunjiang,38,2.29,4.7,Mainland China,Yami,Dessert,100+ Sold
91,Canned In Syrup(Haw)  680g,qianbaiwei,35,2.99,4.8,Mainland China,Yami,Dessert,50+ Sold
92,Deluxe Grass Jelly Dessert 330g,agv,292,1.59,4.5,Taiwan,Yami,Dessert,300+ Sold
93,Red Bean and Purple Rice Porridge 35gx3,zen eat,0,10.99,0.0,Taiwan,Yami,Dessert,Less than 50
94,Red Bean & Coix Meal 600g (New Formula New Packaging),wugu mofang,142,18.99,4.8,Mainland China,Yami,Dessert,Less than 50
95,Instant Cereal Mixed Congee 380g,agv,35,1.69,4.6,Taiwan,Yami,Dessert,300+ Sold
96,Sesame Oil and Ginger Porridge 35gx3,zen eat,0,10.99,0.0,Taiwan,Yami,Dessert,Less than 50
97,Eight Treasures Rice Cake 480g,mei hua siang,7,3.59,4.6,Taiwan,Yami,Dessert,Less than 50
98,Instant Cereal Mixed Congee 380g,agv,35,1.69,4.6,Taiwan,Yami,Dessert,300+ Sold
99,Black Sesame Walnut Powder 360g,liziqi,57,10.99,4.8,Mainland China,Yami,Dessert,Less than 50
100,Konjac Nutrional Meal Purple Yam Flavor 28g*16Pack,wugu mofang,176,17.99,4.8,Mainland China,Yami,Dessert,Less than 50
101,Truffle and Wild Mushroom Porridge 35gx3,zen eat,1,11.99,3.0,Taiwan,Yami,Dessert,Less than 50
102,Bun Snack Kidney Bean Paste 280g,jimei,109,3.99,4.7,Mainland China,Yami,Dessert,300+ Sold
103,Mixed Black Rice Congee 280g,yinlu,165,2.39,4.8,Mainland China,Yami,Dessert,Less than 50
104,BZS Mango Sago Cream with Pomelo 220g,baozhisu,223,3.69,4.5,Mainland China,Yami,Dessert,300+ Sold
105,Mixed EJiao Congee 300g,tongfu porridge,4,2.19,4.5,Mainland China,Yami,Dessert,Less than 50
106,Peach Gum Gleditsia Sinensis Soup Coconut Flavor 200g,chaozhoulang,111,3.69,4.7,Mainland China,Yami,Dessert,300+ Sold
107,Purple Rice Juice with Coconut Milk 225g,youhualiangcao,2,4.99,4.0,Mainland China,Yami,Dessert,50+ Sold
108,INSTANT DESSERT COCONUT JUICE WITH BLACK GLUTINOUS RICE 225g,baozhisu,168,3.69,4.7,Mainland China,Yami,Dessert,300+ Sold
109,Mixed Congee 340g,agv,204,1.69,4.7,Taiwan,Yami,Dessert,300+ Sold
110,Mixed Lotus Corn Congee 280g,yinlu,87,2.39,4.8,Mainland China,Yami,Dessert,Less than 50
111,Babao Rice Honey Dates Flavor 350g,qinyiwan,56,3.99,4.9,Mainland China,Yami,Dessert,50+ Sold
112,BZS Coconut Juice with Multi Grain 200g  EXP:06/01/2021,baozhisu,73,3.69,4.8,Mainland China,Yami,Dessert,300+ Sold
113,BZS Red Bean Lotus and Lily Dessert 200g,baozhisu,57,3.39,4.5,Mainland China,Yami,Dessert,300+ Sold
114,Grass Jelly 223g,youhualiangcao,11,4.59,4.7,Mainland China,Yami,Dessert,50+ Sold
115,Apple and Pear Tremella Soup 52g,buydeem,4,4.99,4.2,Mainland China,Yami,Dessert,300+ Sold
116,Babao Rice Proso Millet & Purple Yam Flavor 350g,qinyiwan,39,3.49,4.5,Mainland China,Yami,Dessert,50+ Sold
117,Sweet Precook Corn 260g,qianbaiwei,27,1.59,4.7,Mainland China,Yami,Dessert,50+ Sold
118,Fine Stewed Beef Congee 38g,haifusheng,4,1.99,5.0,Mainland China,Yami,Dessert,50+ Sold
119,Boiled Lettuce Stem 300g,spring farm,13,4.99,4.5,Mainland China,Yami,Dessert,50+ Sold
120,WUGUMOFANG Almond Red Coix Powder 600g,wugu mofang,8,22.99,4.0,Mainland China,Yami,Dessert,Less than 50
121,Hong Kong Olive Vegetable 450g,pengsheng,8,3.99,4.9,Mainland China,Yami,Dessert,Less than 50
122,Rice Cake 240g,jiaxian,19,1.99,4.5,Mainland China,Yami,Dessert,Less than 50
123,Crispy Cow Pea,weijute,12,1.39,4.9,Mainland China,Yami,Dessert,50+ Sold
124,Wonton Spicy Pork bone Flavor 68g,gudasao,4,4.99,4.8,Mainland China,Yami,Dessert,50+ Sold
125,Wheat Core Chicken Congee 38g,haifusheng,1,1.99,5.0,Mainland China,Yami,Dessert,50+ Sold
126,Coconut wheat chia seed Oatmeal 2 bags,buydeem,7,3.5,5.0,Mainland China,Yami,Dessert,300+ Sold
127,HEALTHY RED BEANS AND BARLEY PORRIDGE 200g,baozhisu,5,3.59,4.2,Mainland China,Yami,Dessert,300+ Sold
128,Green bean soup 370g,yinlu,12,2.39,4.5,Mainland China,Yami,Dessert,50+ Sold
129,Black Goji Grain Meal Powder 10 bags,buydeem,3,11.99,4.3,Mainland China,Yami,Dessert,300+ Sold
130,【Frozen】PMO Spicy Topokki,pmo,1,6.99,5.0,Korea,Yami,Dessert,Less than 50
131,HEALTHY BLACK SESAME PORRIDGE 200g,baozhisu,4,3.59,4.0,Mainland China,Yami,Dessert,300+ Sold
132,Mixed Barley Red Bean Congee 280g,yinlu,59,2.39,4.8,Mainland China,Yami,Dessert,50+ Sold
133,Sea Food congee with Quinoa 2 bags,buydeem,1,6.59,5.0,Mainland China,Yami,Dessert,200+ Sold
134,Fruit Cocktail In Syrup  565g,khamphouk,3,1.89,3.7,Thailand,Yami,Dessert,Less than 50
135,TONGFU Longan Lotus Seed Porridge With Brown Suger 430g,tongfu porridge,4,2.19,5.0,Mainland China,Yami,Dessert,Less than 50
136,Spicy Termitomyces 100g,zhenleyi,2,3.19,4.0,Mainland China,Yami,Dessert,50+ Sold
137,WUFANGZHA Glutinous Porridge   3 flavors 6 cups in each pack,wufangzhai,39,23.99,4.7,Mainland China,Yami,Dessert,Less than 50
138,Mung Bean Adlay Dessert Soup 340g,agv,1,1.69,5.0,Taiwan,Yami,Dessert,300+ Sold
139,Brown Rice Porridge with Taro & Sakura Shrimps 6pcs,health style,6,7.89,2.5,Taiwan,Yami,Dessert,50+ Sold
140,Mixed Congee in Syrup 380g,wuchung,52,1.49,4.5,Taiwan,Yami,Dessert,50+ Sold
141,Cold Rice Jelly(brown sugar flavor) 240g,other brands,40,1.69,4.5,Unclear,Yami,Dessert,50+ Sold
142,Cooked Marinated Egg 6pc,lam sheng kee,52,3.99,3.9,Taiwan,Yami,Dessert,Less than 50
143,Crisp Bamboo Shoots with Picked Cabbage 280g,new health,20,3.99,4.2,Mainland China,Yami,Dessert,50+ Sold
144,ONETENG Freeze Dried Fermented Rice Papaya White Fungus Soup 90g,sungiven foods,16,6.49,4.6,Mainland China,Yami,Dessert,50+ Sold
145,Peach Gum Gleditsia Sinensis Soup Natural Flavor 200g,chaozhoulang,117,3.69,4.8,Mainland China,Yami,Dessert,300+ Sold
146,INSTANT DESSERT COCONUT MILK TARO & BLACK RICE PASTE 225g,baozhisu,6,3.99,4.2,Mainland China,Yami,Dessert,300+ Sold
147,SHUANG QIAN Longan And Lotus Seed Mixed Congee 360g,coins,28,1.79,4.7,Mainland China,Yami,Dessert,100+ Sold
148,Grandma Sweet Canned Poplar Honeydew 300g,three squirrels,32,5.99,3.9,Mainland China,Yami,Dessert,50+ Sold
149,Glutinous rice cake 300g,yumei,31,2.99,4.5,Mainland China,Yami,Dessert,50+ Sold
150,Black Sesame Instant,healthy & funny,2,27.99,5.0,Mainland China,Yami,Dessert,200+ Sold
151,WANG Canned Kimchi 160g,wang food,38,2.29,3.9,Korea,Yami,Dessert,50+ Sold
152,Cooked Marinated Tea Egg 6pcs,lam sheng kee,40,3.99,4.0,Taiwan,Yami,Dessert,Less than 50
153,Wonton Shrimp Flavor 68g,gudasao,1,4.99,5.0,Mainland China,Yami,Dessert,50+ Sold
154,Black Tapioca Pearl 250g X CHA TRA MUE Thai Tea Mix Powder 400g,wufuyuan,9,6.99,5.0,Taiwan,Yami,Dessert,50+ Sold
155,Traditional Pearl Sago In Syrup Neo Neo Pearls 260g,agv,23,1.59,3.7,Taiwan,Yami,Dessert,100+ Sold
156,Red Bean Dessert 250g,shunnan,0,3.69,0.0,Mainland China,Yami,Dessert,Less than 50
157,PENGUIN Yellow Peach In Can 400g,penguin's,2,2.99,5.0,Japan,Yami,Dessert,Less than 50
158,Mangosteen In Syrup 567g,khamphouk,11,3.39,4.7,Thailand,Yami,Dessert,Less than 50
159,LULU Pickled Cabbage 500g,lulufood,6,2.29,4.7,Mainland China,Yami,Dessert,Less than 50
160,Sticky Rice Sweet Flavor 538g,nanguo,11,9.59,4.1,Mainland China,Yami,Dessert,50+ Sold
161,PENGUIN Yellow Peach Slices 400g,penguin's,8,2.99,4.8,Japan,Yami,Dessert,Less than 50
162,Black Sesame Paste with Nuts 215g,youhualiangcao,2,4.59,5.0,Mainland China,Yami,Dessert,50+ Sold
163,Instant Tofu Jelly 45g,bestore,0,1.99,0.0,Mainland China,Yami,Dessert,300+ Sold
164,MANGO PULP WITH SWEETENED SAGO CREAM 200g,baozhisu,10,2.99,3.1,Mainland China,Yami,Dessert,300+ Sold
165,Chinese Mixed Porridge 310ml,ve wong,8,1.19,4.0,Taiwan,Yami,Dessert,50+ Sold
166,Pickled Pepper Flavor Bamboo Shoot 188g,bestore,1,5.09,5.0,Mainland China,Yami,Dessert,200+ Sold
167,Rice Porridge 300g,totole,103,1.49,5.0,Mainland China,Yami,Dessert,Less than 50
168,Flavored Preserved Mushrooms Spicy Flavor 210g,danshan,4,4.99,5.0,Mainland China,Yami,Dessert,300+ Sold
169,Pickled Cowpea 500g,hopen,4,2.49,3.5,Mainland China,Yami,Dessert,50+ Sold
170,Tropical Classic Tapioca Pearl Pudding with Red Bean 230g,tas,3,2.89,5.0,Mainland China,Yami,Dessert,Less than 50
171,Purple Potato Instant Oatmeal (Powder) 500g,healthy & funny,51,24.99,4.6,Mainland China,Yami,Dessert,200+ Sold
172,TONGFU Lotus Seed Corn Porridge 280g,tongfu porridge,4,1.99,5.0,Mainland China,Yami,Dessert,Less than 50
173,WFZ Brown Sugar Rice Porridge 350g,wufangzhai,1,2.29,5.0,Mainland China,Yami,Dessert,Less than 50
174,Brown Rice Porridge with Assorted Vegetables 6pcs,health style,4,7.89,2.0,Taiwan,Yami,Dessert,50+ Sold
175,Black Rice Porridge With Sugar 300g,totole,94,1.99,4.9,Mainland China,Yami,Dessert,Less than 50
176,WUGUMOFANG Nutritional Black Sesame Chinese Yam Oatmeal Yi Yuan Ba Zhen Powder 448g,wugu mofang,36,18.99,4.7,Mainland China,Yami,Dessert,Less than 50
177,BZS BK Sesame and Walnut Dessert  200g,baozhisu,55,3.69,4.4,Mainland China,Yami,Dessert,300+ Sold
178,Coconut Taro Sweet soup 128g,buydeem,8,5.13,4.8,Mainland China,Yami,Dessert,50+ Sold
179,Sweet Precook Corn 260g,qianbaiwei,35,1.59,4.9,Mainland China,Yami,Dessert,50+ Sold
180,Mixed Rice Congee 340g,chinchin,50,1.29,4.5,Taiwan,Yami,Dessert,300+ Sold
181,BZS White Fungus and Lotus Dessert 200g,baozhisu,33,3.39,4.5,Mainland China,Yami,Dessert,Less than 50
182,"Mixed Congee Brown Sugar, 6Pcs",taisun,10,6.59,4.9,Taiwan,Yami,Dessert,50+ Sold
183,Glutinous rice cake 300g,yumei,32,2.79,4.6,Mainland China,Yami,Dessert,50+ Sold
184,Grandma Sweet Yogurt Yellow Peach Sago 300g,three squirrels,17,5.99,4.4,Mainland China,Yami,Dessert,50+ Sold
185,Spicy Mixed Vegetable,weijute,12,1.39,4.8,Mainland China,Yami,Dessert,50+ Sold
186,Tropical Classic Tapioca Pearl Pudding with Taro 230g,tas,3,2.89,4.7,Mainland China,Yami,Dessert,Less than 50
187,Fresh Dried White Fungus Flavor Soup 200g,xiduoduo,7,5.79,4.7,Mainland China,Yami,Dessert,50+ Sold
188,Wonton Original Pork Bone Flavor 68g,gudasao,4,4.99,4.2,Mainland China,Yami,Dessert,50+ Sold
189,Pork Ribs and Mushroom Congee 38g,haifusheng,4,1.99,5.0,Mainland China,Yami,Dessert,50+ Sold
190,MANGO WITH BLACK RICE DESSERT 220g,baozhisu,6,5.29,2.8,Mainland China,Yami,Dessert,300+ Sold
191,Flammulina BBQ flavor 188g,bestore,11,5.09,4.8,Mainland China,Yami,Dessert,300+ Sold
192,MANGO WITH BLACK RICE DESSERT 220g,baozhisu,6,5.29,2.8,Mainland China,Yami,Dessert,300+ Sold
193,Flammulina BBQ flavor 188g,bestore,11,5.09,4.8,Mainland China,Yami,Dessert,300+ Sold
194,Mashed Red Bean Paste 500g,imuraya,7,6.99,5.0,Japan,Yami,Dessert,Less than 50
195,ONETENG Freeze Dried Brown Sugar Longan Ginger White Fungus Soup 90g,sungiven foods,11,6.49,4.8,Mainland China,Yami,Dessert,50+ Sold
196,Dried scallops Congree with Quinoa and Corn 2 bags,buydeem,7,4.99,4.9,Mainland China,Yami,Dessert,300+ Sold
197,Smooth Red Bean Paste 500g,imuraya,1,6.99,2.0,Japan,Yami,Dessert,Less than 50
198,TONGFU Red Bean And Black Rice Porridge With Brown Suger 430g,tongfu porridge,8,2.19,4.9,Mainland China,Yami,Dessert,50+ Sold
199,WUGUMOFANG Gift Set Red Bean Coix and Cereal Meal + Collagen Oatmeal 1000g,wugu mofang,2,69.99,4.0,Mainland China,Yami,Dessert,Less than 50
200,Pickled peppers mushroom 50g,hexin,5,1.59,4.6,Mainland China,Yami,Dessert,50+ Sold
201,Spicy wild Mushroom 16g*20,hexin,7,7.99,4.9,Mainland China,Yami,Dessert,50+ Sold
202,Tropical Classic Tapioca Pearl Pudding with Corn 230g,tas,4,2.89,5.0,Mainland China,Yami,Dessert,Less than 50
203,Shimmering Black Gold Herbal Grass Jelly Dessert 255g,other brands,2,2.29,5.0,Unclear,Yami,Dessert,Less than 50
204,Brown Rice Porridge with Bamboo Shoot 6pcs,health style,11,7.89,2.5,Taiwan,Yami,Dessert,200+ Sold
205,Instant Jellyfish Hot&Spicy Flavor 150g,asian taste,3,2.49,4.7,Taiwan,Yami,Dessert,300+ Sold
206,Instant Red Bean Porridge 300g,tongfu porridge,2,1.49,3.0,Mainland China,Yami,Dessert,Less than 50
207,Purple Potato Purple Rice Congee 280g,yinlu,134,2.39,4.6,Mainland China,Yami,Dessert,Less than 50
208,Lychee Whole  567g,wong pai,4,3.49,4.8,Mainland China,Yami,Dessert,50+ Sold
209,Ice Cake  188g,yuanxian,108,1.59,4.1,Mainland China,Yami,Dessert,Less than 50
210,YANGSHENG Preserved Duck Eggs 6pc,lam sheng kee,84,3.79,4.5,Taiwan,Yami,Dessert,300+ Sold
211,Red Bean and Lotus Seeds stew with Tangerine Peels 225g,youhualiangcao,1,4.99,5.0,Mainland China,Yami,Dessert,50+ Sold
212,Chinese Yam and Yamabushitake Cereal 600g,wugu mofang,46,16.99,4.7,Mainland China,Yami,Dessert,Less than 50
213,Red Date Tremella Goji Sweet Soup128g 8 Packets,haifusheng,26,10.99,4.3,Mainland China,Yami,Dessert,200+ Sold
214,OATMEAL WITH CHESTNUT 330g,taisun,12,1.49,4.2,Taiwan,Yami,Dessert,50+ Sold
215,Yam Coix Seed and Gorgon Fruit Powder 600g,healthy & funny,27,29.99,4.6,Mainland China,Yami,Dessert,200+ Sold
216,Black Rice Congee 320g,chinchin,38,1.29,4.4,Taiwan,Yami,Dessert,100+ Sold
217,Boiled Lotus Roots 300g,spring farm,24,2.69,4.9,Mainland China,Yami,Dessert,50+ Sold
218,Spicy Wakame 160g,bestore,23,3.29,4.2,Mainland China,Yami,Dessert,100+ Sold
219,Sweet Precook Corn 260g,qianbaiwei,28,1.59,4.4,Mainland China,Yami,Dessert,50+ Sold
220,Fish Flavor Pickles 306g,ji xiang ju,25,3.99,4.8,Mainland China,Yami,Dessert,100+ Sold
221,Fresh Waxberry Bottle 425g,ljpz,6,2.19,4.5,Mainland China,Yami,Dessert,Less than 50
222,Canned Eight Treasure Porridge (Longan&Lothus Seed) 360g,yinlu,13,2.39,4.8,Mainland China,Yami,Dessert,50+ Sold
223,Pickled Pepper and Seaweed 60g,weijute,29,0.59,4.6,Mainland China,Yami,Dessert,50+ Sold
224,Dried Radish Leaves With Soybean Paste Rice Porridge 285g,ottogi,21,3.99,4.4,Korea,Yami,Dessert,50+ Sold
225,Korean Kimchi Fried Kimchi 100g,chunyu palace,20,1.19,4.7,Mainland China,Yami,Dessert,100+ Sold
226,Instant Herbal Cereal Original 6Pcs,jzjt,153,14.99,4.7,Mainland China,Yami,Dessert,300+ Sold
227,Glutinous rice cake 300g,yumei,20,2.99,4.2,Mainland China,Yami,Dessert,50+ Sold
