Product_Name,Brand,Reviews,Price,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
Seafood Flavor Noodles,jinmailang,29,4.99,Mainland China,4.7,Yami,Dried Seafood,400,1600,1996
Cup Noodles Instant Noodle Seafood Flavor 99g,nissin,13,2.49,Japan,4.8,Yami,Dried Seafood,400,1600,996
Nagasaki Agodashi Seafood 2 Servings 178g,marutai,36,3.99,Japan,4.8,Yami,Dried Seafood,400,1600,1596
SPICY SEAFOOD RAMEN 70g,dream kitchen,0,1.99,Singapore,0,Yami,Dried Seafood,400,1600,796
Tasty Seafood Flavored Soy Sauce 500mL,haitian,46,3.49,Mainland China,4.9,Yami,Dried Seafood,25,100,87.25
Seafood Scallop XO Sauce 250g,penghu uncle,1,19.29,Mainland China,5,Yami,Dried Seafood,400,1600,7716
?€?Frozen?€?Ramen Seafood 356g,myojo,0,4.99,Japan,0,Yami,Dried Seafood,400,1600,1996
Menraku Seafood 195g,hikari,2,3.29,Japan,4,Yami,Dried Seafood,25,100,82.25
Demae Iccho Instant Noodle With Soup Base XO Sauce Seafood Flavor 133g,nissin,50,2.39,Japan,4.5,Yami,Dried Seafood,400,1600,956
?€?Frozen?€?Noodle Seafood Ton katsu Dipping 243g,sun noodle,1,4.79,Japan,5,Yami,Dried Seafood,400,1600,1916
Instant Noodle Seafood Flavor 520g,jinmailang,32,4.99,Mainland China,4.6,Yami,Dried Seafood,400,1600,1996
NoodleZero 6 pack single - Seafood,noodle zero,0,23.49,United States,0,Yami,Dried Seafood,400,1600,9396
Neoguri Cup Noodles Spicy Seafood Flavor 75g,nongshim,18,1.29,Korea,4.4,Yami,Dried Seafood,400,1600,516
Shrimp Seafood Flavored Hotpot Base 200g,haidilao,72,4.39,Mainland China,4.3,Yami,Dried Seafood,400,1600,1756
Koikeya Cup Noodle Potato Chips Spicy Seafood Flavor 50g,nissin,17,1.99,Japan,4.8,Yami,Dried Seafood,400,1600,796
Neoguri Noodle Soup Spicy Seafood Flavor 120g,nongshim,11,1.69,Korea,4.4,Yami,Dried Seafood,400,1600,676
Tofu Broth Seasoning Seafood 450g,jayone,45,2.49,Korea,4.6,Yami,Dried Seafood,400,1600,996
Squid Aberdeen Spicy Seed Seafood Snacks Spicy 500g,sea fortune,3,19.99,Mainland China,4.7,Yami,Dried Seafood,400,1600,7996
[Mainland China Direct Mail] Baicao Flavour-Spicy Aberdeen Xiaoyu Dried Seafood Snacks 105g,be & cheery,0,11.9,Mainland China,0,Yami,Dried Seafood,300,1200,3570
Dried sea oysters Dried sea oysters seafood 160g,yaoduoduo,0,29.9,Mainland China,0,Yami,Dried Seafood,400,1600,11960
Premium Dried Abalone - All Natural Gluten Free Wild Caught Gourmet Dried Seafood for Cooking -  100g Jar,nestlady,10,35.9,United States,4.6,Yami,Dried Seafood,400,1600,14360
Premium Dried Conch Slices - All Natural Gluten Free Wild Caught Gourmet Dried Seafood for Cooking 55g Jar,nestlady,1,15.99,United States,5,Yami,Dried Seafood,400,1600,6396
ROASTED SHRIMP FLAVOR HIMEGO 50g- 100% Natural Dried fish Dried seafood snack Resealable bag NON GMO,nestlady,0,16.99,United States,0,Yami,Dried Seafood,400,1600,6796
Lightly dried shrimp skin dried seafood 90g,yaoduoduo,0,29.9,Mainland China,0,Yami,Dried Seafood,400,1600,11960
Freeze Dried Strawberry 20g,big green,178,1.99,Mainland China,4.6,Yami,Dried Seafood,300,1200,597
Dried Plum Slice 14g,i factory,229,2.49,Japan,4.8,Yami,Dried Seafood,300,1200,747
ROASTED SAKURA SHRIMP 40g  - 100% Natural Dried shrimp Dried seafood snack Resealable bag NON GMO Ready to eat,nestlady,0,12.99,United States,0,Yami,Dried Seafood,400,1600,5196
Instant Shrimp Tai Chi Shrimp Seafood Snack Original Flavor 200g,sea fortune,1,18.99,Mainland China,5,Yami,Dried Seafood,400,1600,7596
Freeze Dried Peach Slices 20g,big green,63,1.79,Mainland China,4.3,Yami,Dried Seafood,300,1200,537
Freeze Dried Pear Slices 20g,big green,58,1.79,Mainland China,4.6,Yami,Dried Seafood,300,1200,537
Freeze Dried Banana Slices 20g,big green,41,1.79,Mainland China,4.2,Yami,Dried Seafood,300,1200,537
DRIED BEAN CURD STICK  170g,chuzhibao,91,2.99,United States,4.6,Yami,Dried Seafood,300,1200,897
"Dried Bean Curd Sichuan Spicy Flavor, 2.12 oz",weilong,670,1.39,Mainland China,4.3,Yami,Dried Seafood,400,1600,556
Dried Mustard Seaweed 100g,kwangcheonkim,0,3.49,Korea,0,Yami,Dried Seafood,400,1600,1396
Fragrant Dried Olives 70g,yifen,0,2.19,Mainland China,0,Yami,Dried Seafood,400,1600,876
Dried purple yam Oatmeal 2 bags 90g,buydeem,14,3.39,Mainland China,4.7,Yami,Dried Seafood,100,400,339
Dried Young Bamboo Shoots 250g,lianfeng,1,6.99,Mainland China,5,Yami,Dried Seafood,400,1600,2796
Dried Kelp 80g,kwangcheonkim,0,3.59,Korea,0,Yami,Dried Seafood,400,1600,1436
Dried Noodles (Kal) 3Ib,yissine,0,4.99,Korea,0,Yami,Dried Seafood,400,1600,1996
Dried Radish Spicy Sauce 340g,da qiao tou,0,12.99,Taiwan,0,Yami,Dried Seafood,400,1600,5196
Dried Osmanthus 5g,os,0,8.99,Taiwan,0,Yami,Dried Seafood,400,1600,3596
Dried Radish 80g,sanjiang,0,0.99,Mainland China,0,Yami,Dried Seafood,400,1600,396
Dried Shirimp 90g,captain jiang,0,4.99,Mainland China,0,Yami,Dried Seafood,200,800,998
Dashi Kombu Dried Kelp 57g,shirakiku,17,1.89,Japan,4.9,Yami,Dried Seafood,400,1600,756
Dried Soy Sheet Knot 200g,douxiangfang,4,4.49,Mainland China,4.2,Yami,Dried Seafood,400,1600,1796
Big Green Dried Soy Bean Curd (Sheet),douxiangfang,3,4.39,Mainland China,4.3,Yami,Dried Seafood,400,1600,1756
Dried Fish Maw 16oz,tsh,0,279,United States,0,Yami,Dried Seafood,400,1600,111600
Dried Chili 100g,panda,32,2.69,Mainland China,4.5,Yami,Dried Seafood,400,1600,1076
TAK SHING HONG Dried Fish Maw Butterfly Style 20g AAAA,tsh,0,149,United States,0,Yami,Dried Seafood,400,1600,59600
HSIN TUNG YANG Dried Marinated Mustard 65g,hsintungyang,49,1.99,Taiwan,4.6,Yami,Dried Seafood,200,800,398
SWEETB Honey Dried Mango 105g,siam's royal,1,5.39,Thailand,5,Yami,Dried Seafood,400,1600,2156
HAN Dried Plum 160g,ten wow,0,4.89,Mainland China,0,Yami,Dried Seafood,400,1600,1956
Wugang Presrever Dried Tofu 280g,fangjie,9,2.99,Mainland China,4.6,Yami,Dried Seafood,400,1600,1196
Dried Gold Chrysanthemum 30g,big green,1,4.39,Mainland China,5,Yami,Dried Seafood,200,800,878
HY Dried Beancurd 200g,hongye,26,5.99,Mainland China,4.6,Yami,Dried Seafood,25,100,149.75
Organic Dried Wild Yam Root Slice 120g,big green,13,6.29,Mainland China,4.8,Yami,Dried Seafood,100,400,629
Dried Glass Noodle-Sweet Potato 5lb,jayone,0,17.99,Korea,0,Yami,Dried Seafood,400,1600,7196
Dried Beancured Sheet 170g,dragon,8,2.99,Mainland China,4.1,Yami,Dried Seafood,400,1600,1196
TAK SHING HONG Dried Prickly Ash 3oz,tsh,3,7.99,United States,4.7,Yami,Dried Seafood,400,1600,3196
Dried Medlar 200g,asian taste,25,6.99,Taiwan,4.6,Yami,Dried Seafood,100,400,699
Dried Seaweed Ties 50g,jinhailin,11,1.99,Mainland China,4.5,Yami,Dried Seafood,400,1600,796
Freeze Dried Durian 30g,three squirrels,0,3.89,Mainland China,0,Yami,Dried Seafood,400,1600,1556
Dried Bean Curd Stick 340g,chuzhibao,34,5.99,United States,4.8,Yami,Dried Seafood,25,100,149.75
Gaobeidian Shredded Dried Bean Curd 700g,hd,0,7.99,Mainland China,0,Yami,Dried Seafood,25,100,199.75
Dried Lemon Slices 60g,mr fang's store,30,4.99,Mainland China,4.8,Yami,Dried Seafood,400,1600,1996
Dried Milkfish Seasoned Slices 150g,donggang,0,10.99,Mainland China,0,Yami,Dried Seafood,400,1600,4396
WEL PAC FUERU WAKAME Dried Seaweed 56.7g,wel.pac,13,2.99,Mainland China,4.8,Yami,Dried Seafood,400,1600,1196
Dried Soba Noodles 800g,yumei,22,4.69,Mainland China,4.8,Yami,Dried Seafood,400,1600,1876
Organic Dried Monk Fruit 80g,big green,5,7.59,Mainland China,5,Yami,Dried Seafood,200,800,1518
Dried Aniseed 4oz,cw1,0,7.99,Mainland China,0,Yami,Dried Seafood,400,1600,3196
Dried Mango 135g,mr fang's store,28,7.39,Mainland China,4.9,Yami,Dried Seafood,400,1600,2956
Dried Baby Chrysanthemum 50g,big green,1,5.89,Mainland China,5,Yami,Dried Seafood,200,800,1178
Dried Japanese Scallops Small 8oz,tsh,6,67.99,United States,4.7,Yami,Dried Seafood,400,1600,27196
Dried Noodle(Somen) 500g,jayone,0,3.69,Korea,0,Yami,Dried Seafood,25,100,92.25
Dried Noodle(Somen) 3lb,jayone,0,6.99,Korea,0,Yami,Dried Seafood,400,1600,2796
Dried Mustard Leaf 100g,spring farm,14,2.79,Mainland China,4.4,Yami,Dried Seafood,400,1600,1116
Dried Mushrooms 170g,jinguyuan,0,5.99,Mainland China,0,Yami,Dried Seafood,400,1600,2396
Dried Black Bean 453g,dragonfly brand,0,3.99,Mainland China,0,Yami,Dried Seafood,400,1600,1596
Dried Baby Chrysanthemum 50g,big green,1,5.89,Mainland China,5,Yami,Dried Seafood,200,800,1178
WEL PAC FUERU WAKAME Dried Seaweed 56.7g,wel.pac,13,2.99,Mainland China,4.8,Yami,Dried Seafood,400,1600,1196
Dried Lotus Seed 283g,gonghe,0,16.99,Mainland China,0,Yami,Dried Seafood,200,800,3398
NanChang Dried Noodles 190g,baijia,26,2.99,Mainland China,4.7,Yami,Dried Seafood,100,400,299
Dried Chili Pepper 100g,big green,19,2.39,Mainland China,4.5,Yami,Dried Seafood,100,400,239
Brown Sugar Dried Plum Candy 160g,jinguan,0,4.39,Mainland China,0,Yami,Dried Seafood,400,1600,1756
Dried Aniseed 14oz,cww,0,21.99,Mainland China,0,Yami,Dried Seafood,200,800,4398
Dried Longan Meat 170g,tsh,7,8.89,United States,4.4,Yami,Dried Seafood,400,1600,3556
Dried Longan Red date Tea 10 bags  100g,buydeem,6,8.69,Mainland China,5,Yami,Dried Seafood,25,100,217.25
Dried Plum 280g,mr fang's store,13,12.99,Mainland China,5,Yami,Dried Seafood,400,1600,5196
Japanese Dried Somen Noodles 800g,hime,18,4.49,Japan,4.9,Yami,Dried Seafood,25,100,112.25
Dried Longan 450g,mr fang's store,40,8.79,Mainland China,5,Yami,Dried Seafood,400,1600,3516
Presreved Dried Tofu 150g,fangjie,2,2.29,Mainland China,5,Yami,Dried Seafood,400,1600,916
Dried Small Shrimp 70g,mr fang's store,37,7.99,Mainland China,5,Yami,Dried Seafood,400,1600,3196
Organic Dried Fruit Mango & Guava Whole Fruit Gummies  At least 95% Organic 100g,solely,0,5.59,United States,0,Yami,Dried Seafood,400,1600,2236
Dried Egg Noodle High Quality Premium 500g,safoco,3,2.99,Vietnam,5,Yami,Dried Seafood,400,1600,1196
SWEETB Coco Milk Dried Mango 108g,siam's royal,5,5.39,Thailand,5,Yami,Dried Seafood,400,1600,2156
Dried Cold Noodle W/Broth 750g,chilkab,12,7.99,Korea,4.5,Yami,Dried Seafood,25,100,199.75
Dried Ramen Noodles 800g,yumei,40,4.69,Mainland China,4.7,Yami,Dried Seafood,400,1600,1876
Dried Sweet Potato 150g,nonghyup,14,8.99,Korea,4.6,Yami,Dried Seafood,400,1600,3596
Dried Pearl Barlay 396g,tsh,0,4.69,United States,0,Yami,Dried Seafood,400,1600,1876
Freeze-Dried Mixed 150g,sungiven foods,3,15.99,Mainland China,4.3,Yami,Dried Seafood,400,1600,6396
Freeze-Dried Strawberry 130g,sungiven foods,0,15.99,Mainland China,0,Yami,Dried Seafood,400,1600,6396
Premium Dried Longan Seed25 100g,spring farm,27,5.29,Mainland China,4.3,Yami,Dried Seafood,400,1600,2116
Ramen Style Dried Noodle 42.3oz,rolin,0,8.99,Mainland China,0,Yami,Dried Seafood,400,1600,3596
Freeze Dried Durian 80g,sungiven foods,7,15.99,Mainland China,4.6,Yami,Dried Seafood,400,1600,6396
Dried Kumquat Lemon Flavor 170g,tsh,8,6.29,United States,4.1,Yami,Dried Seafood,400,1600,2516
Dried Sakura Shrimp Cracker with Almond 120g,donggang,1,17.99,Mainland China,5,Yami,Dried Seafood,200,800,3598
Dried Mushroom 4-5CM Grade A 280g,other brands,18,15.99,Unclear,4.8,Yami,Dried Seafood,400,1600,6396
Dried Chili Peeper 100g,big green,44,2.49,Mainland China,4.8,Yami,Dried Seafood,300,1200,747
Colorful Dried Fruits and Vegetables 50g,bestore,1,2.89,Mainland China,5,Yami,Dried Seafood,200,800,578
Irvine Dried Mango Without Cane Sugar 75g,mwgp,0,8.19,Taiwan,0,Yami,Dried Seafood,400,1600,3276
Dried Mangoes 100g,philippine,50,3.99,Philippine,4.4,Yami,Dried Seafood,400,1600,1596
Dried Beancured Stick  170g,dragon,8,2.99,Mainland China,3.5,Yami,Dried Seafood,400,1600,1196
Dried Egg Noodle Thick High Quality 500g,safoco,2,2.69,Vietnam,5,Yami,Dried Seafood,400,1600,1076
Dried Shredded Cod with Wasabi 170g,donggang,1,10.99,Mainland China,5,Yami,Dried Seafood,400,1600,4396
TangChen Dried Seaweed 80g,ocm,27,5.99,Mainland China,5,Yami,Dried Seafood,400,1600,2396
Daehan Flour Dried Noodle  Somen 500g,jayone,60,2.79,Korea,4.8,Yami,Dried Seafood,400,1600,1116
Dried Sakura Diced Shrimp Snacks 150g,donggang,0,10.99,Mainland China,0,Yami,Dried Seafood,400,1600,4396
Dried Soy Sheet 226g,douxiangfang,5,4.99,Mainland China,5,Yami,Dried Seafood,400,1600,1996
Dried Mango 108g,bestore,21,5.29,Mainland China,4.8,Yami,Dried Seafood,100,400,529
Dried Cured Pork 170g USDA Certified,hsintungyang,20,11.49,Taiwan,3.8,Yami,Dried Seafood,400,1600,4596
Natural Dried Yujing Mango Slices 150g,shun tai,0,12.49,Japan,0,Yami,Dried Seafood,400,1600,4996
Salted Dried Plum 190g,ten wow,9,5.89,Mainland China,4.8,Yami,Dried Seafood,400,1600,2356
Dried Strawberry 106g,three squirrels,7,4.39,Mainland China,3.7,Yami,Dried Seafood,400,1600,1756
Dried Plum 190g,ten wow,10,6.99,Mainland China,4.8,Yami,Dried Seafood,400,1600,2796
Sunflower Seed  Dried Orange Flavor  90g,wenheyou,2,2.69,Mainland China,4,Yami,Dried Seafood,400,1600,1076
TRAI Mixed Dried Vegetable and Fruit 250g,vanphat,38,3.59,Vietnam,4.2,Yami,Dried Seafood,400,1600,1436
Dried Lily 220g,mr fang's store,28,11.99,Mainland China,5,Yami,Dried Seafood,400,1600,4796
Dried Shitake Mushroom 5oz,haetae,3,6.99,Korea,5,Yami,Dried Seafood,25,100,174.75
YES SIR Crispy Dried Shrimp Spicy Flavor 25g,xiaxiansheng,60,4.39,Taiwan,4.5,Yami,Dried Seafood,400,1600,1756
Dried Pollack Soup 34g,ottogi,17,3.79,Korea,4.7,Yami,Dried Seafood,400,1600,1516
Orginic Dried Goji Berry 170g,big green,71,7.99,Mainland China,4.9,Yami,Dried Seafood,300,1200,2397
TS Dried White Lotus 170g,tsh,3,7.59,United States,3.7,Yami,Dried Seafood,400,1600,3036
Dried Pitted Preserved Plum Original Flavor 36g,happyfull,1,3.99,Mainland China,5,Yami,Dried Seafood,25,100,99.75
Red Oil Dried Pepper 108g,shanlilang,4,2.19,Mainland China,4.8,Yami,Dried Seafood,400,1600,876
Dried Squid 57g,takuma,0,5.99,Mainland China,0,Yami,Dried Seafood,400,1600,2396
Dried Seasoned Fish Cracker with Sesame 160g,donggang,0,10.99,Mainland China,0,Yami,Dried Seafood,400,1600,4396
Dried Pear Slice and Fig 99g,buydeem,5,4.99,Mainland China,4.8,Yami,Dried Seafood,200,800,998
Natural Dried Red Guava Slices 150g,shun tai,1,10.69,Japan,5,Yami,Dried Seafood,400,1600,4276
Dried Red Peppers - Whole 113g,assi brand,0,3.49,Korea,0,Yami,Dried Seafood,300,1200,1047
Dried Red Jujube 5ibs,other brands,5,21.99,Unclear,5,Yami,Dried Seafood,400,1600,8796
Stew Dried Fish Maw With Sea Snail 160g,buydeem,4,11.99,Mainland China,4.5,Yami,Dried Seafood,200,800,2398
Stew Dried Fish Maw With Red Bean 160g,buydeem,3,11.99,Mainland China,5,Yami,Dried Seafood,200,800,2398
JIGONG HOUBAO Dried Fruit 45g,jigong,1,2.99,Mainland China,5,Yami,Dried Seafood,400,1600,1196
Dried Mango 116g,three squirrels,3,4.79,Mainland China,4.7,Yami,Dried Seafood,400,1600,1916
Dried Kelp 220g,mr fang's store,21,9.2,Mainland China,5,Yami,Dried Seafood,400,1600,3680
"Seed25 Longan Meat, Premium Longan Dried Meat, Individual Small Bag Soaked Snacks 250g",mr fang's store,15,13.99,Mainland China,4.9,Yami,Dried Seafood,400,1600,5596
Freeze-Dried Yellow Peach 150g,sungiven foods,0,15.99,Mainland China,0,Yami,Dried Seafood,400,1600,6396
Dried Xianggu Mushroom 250g,mr fang's store,31,12.99,Mainland China,5,Yami,Dried Seafood,400,1600,5196
Dried Xianggu Mushroom 138g,mr fang's store,22,8.89,Mainland China,4.9,Yami,Dried Seafood,400,1600,3556
Chaisfood 10-year Dried Radish 150g,Unclear,0,34.99,Mainland China,0,Yami,Dried Seafood,400,1600,13996
Spicy Peanuts With Dried Fish 150g,tryone,2,3.29,Mainland China,5,Yami,Dried Seafood,400,1600,1316
JIGONG WEIBAO Dried Fruit 88g,jigong,1,4.99,Mainland China,4,Yami,Dried Seafood,400,1600,1996
Spicy Peanuts With Dried Shrimp 150g,tryone,0,3.29,Mainland China,0,Yami,Dried Seafood,400,1600,1316
Natural Dried Aiwen Mango Slices 150g,shun tai,0,12.49,Japan,0,Yami,Dried Seafood,400,1600,4996
All Natural Dried Kelp 226g,farm group,1,6.99,Korea,5,Yami,Dried Seafood,400,1600,2796
Freeze-Dried Pear 150g,sungiven foods,0,15.99,Mainland China,0,Yami,Dried Seafood,400,1600,6396
Organic Dried Fruit Mango Whole Fruit Gummies  At least 95% Organic 99g,solely,0,5.59,United States,0,Yami,Dried Seafood,400,1600,2236
Dried Hot Beef Jerky 170g USDA Certified,hsintungyang,10,11.99,Taiwan,3.8,Yami,Dried Seafood,400,1600,4796
Sliced Dried Shiitake Mushroom 113g,nature&peo,3,7.5,Korea,5,Yami,Dried Seafood,400,1600,3000
Organic Dried Dong Quai Root Slice 100g,big green,22,8.99,Mainland China,4.7,Yami,Dried Seafood,100,400,899
Ginseng Dried Longan Lycium Barbarum Jujube Tea,fudonghai,0,13.99,Mainland China,0,Yami,Dried Seafood,200,800,2798
Organic Dried Gorgon Fruit,big green,27,11.99,Mainland China,4.8,Yami,Dried Seafood,200,800,2398
USDA Organic Dried Licorice Root Slice 70g,big green,5,3.69,Mainland China,5,Yami,Dried Seafood,200,800,738
THS Dried Shelled 113g,tsh,2,4.99,United States,3,Yami,Dried Seafood,400,1600,1996
Dried Chewy Noodle w/Sauce-Rice 600g,chilkab,12,6.99,Korea,4.8,Yami,Dried Seafood,25,100,174.75
Dried Red Pepper 150g,sunway,8,3.69,Taiwan,4.9,Yami,Dried Seafood,400,1600,1476
Organic Dried Fruit Mango & Orange Whole Fruit Gummies  At least 95% Organic 99g,solely,1,5.59,United States,5,Yami,Dried Seafood,400,1600,2236
Dried Bamboo Shoots 56.7g,tsh,12,19.99,United States,4.2,Yami,Dried Seafood,400,1600,7996
Dried Lily Bulb 12oz,president brand,0,17.99,United States,0,Yami,Dried Seafood,400,1600,7196
Dried Coconut Chips 150g,mushroomstorm,0,9.49,Mainland China,0,Yami,Dried Seafood,400,1600,3796
Japanese Dried Sweet Seed25 Plum 45g - 100% Natural healthy snacks suitable for everyone seed25 plum NON GMO Vegan,nestlady,3,10.99,United States,5,Yami,Dried Seafood,400,1600,4396
Arbor Sun-dried Yunnan Black Tea 100g Black Loose Tea,ren xin chang,0,26.99,Mainland China,0,Yami,Dried Seafood,400,1600,10796
Dried Lily Bulb 12oz,president brand,0,17.99,United States,0,Yami,Dried Seafood,400,1600,7196
Japanese Dried Sweet Seed25 Plum 45g - 100% Natural healthy snacks suitable for everyone seed25 plum NON GMO Vegan,nestlady,3,10.99,United States,5,Yami,Dried Seafood,400,1600,4396
Dried Coconut Chips 150g,mushroomstorm,0,9.49,Mainland China,0,Yami,Dried Seafood,400,1600,3796
Arbor Sun-dried Yunnan Black Tea 100g Black Loose Tea,ren xin chang,0,26.99,Mainland China,0,Yami,Dried Seafood,400,1600,10796
Seed25 Dried Plum Salty Flavor 200g,mushroomstorm,90,9.49,Mainland China,4.9,Yami,Dried Seafood,400,1600,3796
Dried Japanese Scallops 115g - 100% Natural  Dried,nestlady,10,25.99,United States,5,Yami,Dried Seafood,400,1600,10396
Jujube Date Chinese Red Date 100% Natural Improve sleep Health Snack Dried Fruit Sweet and Chewy Net Weight: 5LB,nestlady,0,65,United States,0,Yami,Dried Seafood,400,1600,26000
Premium Grade Yunnan Thick Dried Morel Mushrooms 100g for Soup Stir-Fry Hot Pot and Stews,ren xin chang,0,25.99,Mainland China,0,Yami,Dried Seafood,400,1600,10396
Original Dried Yellow Peach 160g,mushroomstorm,2,8.54,Mainland China,5,Yami,Dried Seafood,400,1600,3416
MARINATED DRIED TOFU CURD 75g - Vegetarian Snacks Ready to Eat  Braised Bean Curd Products No Preservatives,nestlady,9,7.5,United States,4.7,Yami,Dried Seafood,400,1600,3000
Dried orange peel waxberry 200g,mushroomstorm,4,7.59,Mainland China,5,Yami,Dried Seafood,400,1600,3036
SLICE DRIED HAWTHORN FRUIT 75g - 100% Fruit Meat Sweet And Sour Delicious Snack Chinese Flavor Snacks,nestlady,2,7.5,United States,4,Yami,Dried Seafood,400,1600,3000
Dried Turkish Apricots 250g - Fruit Snack / 100% Nature,nestlady,5,9.9,United States,5,Yami,Dried Seafood,400,1600,3960
Daily Lotus Root Flour (Nuts x Dried Fruits) 420g,mushroomstorm,1,15.19,Mainland China,5,Yami,Dried Seafood,400,1600,6076
Dried Sweet Apricot Slices 250g,nanshizhao,8,13.29,Mainland China,5,Yami,Dried Seafood,400,1600,5316
Banana Chips 227g/8oz - Dried Fruit Harvested in Philippines Packed in USA,nestlady,1,5.99,United States,5,Yami,Dried Seafood,400,1600,2396
Organic Dried Pineapple Rings 70g - Dried Fruit Harvested in Mexico Packed in USA,nestlady,1,9.99,United States,5,Yami,Dried Seafood,400,1600,3996
Freeze-Dried Strawberries Fruit Snack 70g - Tasty and Crispy,nestlady,2,14.9,United States,5,Yami,Dried Seafood,400,1600,5960
Dried Mushroom Soup Mix 110g,mushroomstorm,0,15.19,Mainland China,0,Yami,Dried Seafood,400,1600,6076
SLICED DRY LEMON 65g - 100% Natural Sweet and sour Dried Fruit Dried Lemon Ready to eat Fruit snack Resealable bag,nestlady,4,7.99,United States,4.3,Yami,Dried Seafood,400,1600,3196
Dried Tangerine Peel Orange Peel 100% Natural Used For Steaming Boiling Cooking Stewing And Brine,nestlady,2,16.99,United States,5,Yami,Dried Seafood,400,1600,6796
Dried Bamboo Mushroom 20g - immunity enhancement,nestlady,4,8.99,United States,4.5,Yami,Dried Seafood,400,1600,3596
Jujube Date Chinese Red Date 100% Natural Improve sleep Health Snack Dried Fruit Sweet and Chewy Net weight: 454g,nestlady,3,15.99,United States,4.3,Yami,Dried Seafood,400,1600,6396
Shanzha/Dried Hawthorne 12oz,president brand,0,11.99,United States,0,Yami,Dried Seafood,400,1600,4796
Dried Jackfruit  65g - Dried Fruit  Grown and harvested in Vietnam,nestlady,5,9.5,United States,4.8,Yami,Dried Seafood,400,1600,3800
Dried Lotus Seeds All Natural Nutritious 150g,nestlady,3,23,United States,4,Yami,Dried Seafood,400,1600,9200
Dried Cranberries|Non GMO Vegan|No Artificial Color or Flavor Kosher 130g,nestlady,4,16.99,United States,5,Yami,Dried Seafood,400,1600,6796
Dried Peaches 250g - Fruit Snack / 100% Nature,nestlady,3,11.99,United States,5,Yami,Dried Seafood,400,1600,4796
Dried Strawberries 150g - Fruit Snack / 100% Nature,nestlady,0,16.99,United States,0,Yami,Dried Seafood,400,1600,6796
Milk Nougat Candies - Original with Peanuts and Dried Cranberries - All Natural Low Sugar High Protein - 104g,numa,11,4.49,United States,4.2,Yami,Dried Seafood,400,1600,1796
Pure Dry||Collagen Freeze Dried Powder||7pcs,pure dry,0,58.08,Japan,0,Yami,Dried Seafood,400,1600,23232
Scallop Seafood Cake 50g,marutama,7,1,Japan,5,Yami,Dried Seafood,400,1600,400
Cheese Squid Seafood Cake 50g,marutama,6,1,Japan,4.3,Yami,Dried Seafood,400,1600,400
Squid Seafood Cake 50g,marutama,6,1,Japan,5,Yami,Dried Seafood,400,1600,400
[Mainland China Direct Mail] BE&CHEERY-Shredded Crab Flavor Spicy Stick Crab Stick and Crab Meat Stick Seafood Snacks 120g,be & cheery,0,8.9,Mainland China,0,Yami,Dried Seafood,200,800,1780
