Product_Name,Brand,Reviews,Price,Option,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
Mixed Roots Chips Coriander Sea Salt 80g,jans,20,2.99,No,United States,4.3,Yami,Chips,25,100,74.75
BBQ Potato Chips Salted Egg Yolk 120g,kakasha,0,6.99,No,Japan,0,Yami,Chips,400,1600,2796
Pita Chips Fire Roasted Jalapeno 207g,stacy`s,3,3.59,6 Options,United States,5,Yami,Chips,400,1600,1436
Potato Chips BBQ Flavor 80g,oishi,2,2.69,No,Mainland China,4.5,Yami,Chips,400,1600,1076
Potato Chips Tomato Ketchup Flavor 90g,oishi,52,2.49,No,Mainland China,4.6,Yami,Chips,400,1600,996
Mixed Roots Chips Salt & Vinegar 80g,jans,15,2.29,No,United States,4.3,Yami,Chips,25,100,57.25
Sweet Potatoes Orange Chips Yam 2.5oz,other brands,1,2.49,No,Unclear,5,Yami,Chips,400,1600,996
Pita Chips Parmesan Garlic Herb 7.33oz,stacy`s,1,3.59,6 Options,United States,3,Yami,Chips,400,1600,1436
Jalapeno Cassava Chips 84g,jans,15,2.19,3 Options,Indonesia,4.1,Yami,Chips,25,100,54.75
Chips Black Oyster Mushroom,shirakiku,0,4.29,No,Japan,4.5,Yami,Chips,400,1600,1716
Potato Chips Roasted Chicken Wing Flavor 70g,lay's,0,2.29,10 Options,Mainland China,4.8,Yami,Chips,400,1600,916
Csssava Chips Spicy Flavor 200g,kusuka,6,2.69,3 Options,Indonesia,4.3,Yami,Chips,400,1600,1076
Salty Seaweed Chips 54g,koikeya,8,2.49,7 Options,Japan,4,Yami,Chips,400,1600,996
Sweet Potato Chips Plum Flavor 240g,mama wu,0,9.89,2 Options,Taiwan,4.9,Yami,Chips,400,1600,3956
Potato Chips Kyushu Seaweed Flavor 43g,lay's,0,1.99,7 Options,Mainland China,4.8,Yami,Chips,400,1600,796
Yam Chips Tomato Flavor 80g,lay's,0,2.39,3 Options,Mainland China,4.9,Yami,Chips,400,1600,956
Pita Chips Multigrain 207g,stacy`s,2,3.59,6 Options,United States,5,Yami,Chips,400,1600,1436
Pita Chips Simply Naked 207gv,stacy`s,0,3.59,6 Options,United States,0,Yami,Chips,400,1600,1436
Potato Chips Original Flavor 50g,oishi,0,2.29,8 Options,Mainland China,4.9,Yami,Chips,400,1600,916
Value Pack Honey Butter Chips 30g*12pc,haitai,0,14.99,4 Options,Korea,4.9,Yami,Chips,200,800,2998
Plantain Tortilla Chips Himalayan Pink Salt 113g,barnana,0,4.59,No,United States,0,Yami,Chips,300,1200,1377
Sea Salt Sweet Potato Chips 84g,jans,4,1.99,5 Options,United States,3,Yami,Chips,25,100,49.75
Taro Chips 250g,minh phat,0,4.99,No,Vietnam,0,Yami,Chips,400,1600,1996
Salted Egg Potato Chips 230g,irvins,0,16.99,2 Options,Singapore,5,Yami,Chips,200,800,3398
Shrimp Chips Value Pack 227g,calbee,0,2.49,No,Japan,5,Yami,Chips,200,800,498
Potato Chips Hot and Spicy Mega Size 200g,calbee,0,4.99,No,Japan,4.7,Yami,Chips,200,800,998
Sweet Potato Chips 240g,mama wu,0,9.89,2 Options,Taiwan,5,Yami,Chips,400,1600,3956
Chips King Trumpet Mushroom 40g,shirakiku,0,3.99,No,Japan,4.7,Yami,Chips,400,1600,1596
Yam Chips Cucumber Flavor 80g,lay's,0,2.89,3 Options,Mainland China,4.8,Yami,Chips,400,1600,1156
Banana Chips 170g,sun tropics,21,3.29,No,United States,4.8,Yami,Chips,400,1600,1316
JagaRico Potato Stick Sukiyaki Flavor 52g,calbee,47,2.09,4 Options,Japan,4.9,Yami,Chips,300,1200,627
Honey Butter Chip Value Pack 120g,haitai,0,4.29,4 Options,Korea,4.8,Yami,Chips,400,1600,1716
HOKKAIDO Mild Bitter Chocolate Chips 190g,royce,1,22.99,5 Options,Japan,5,Yami,Chips,400,1600,9196
HOKKAIDO Sea Salt Chips 6pc,calbee,3,18.99,18 Options,Japan,5,Yami,Chips,400,1600,7596
HOKKAIDO Original Chocolate Chips 190g,royce,3,22.99,5 Options,Japan,4.7,Yami,Chips,400,1600,9196
HOKKAIDO Caramel Chocolate Chips 190g,royce,0,22.99,5 Options,Japan,0,Yami,Chips,400,1600,9196
Hokkaido Fries Potato Chips 10 x 18g,calbee,0,29.99,No,Japan,0,Yami,Chips,200,800,5998
Essence Potato Chips 4pc,calbee,0,15.99,18 Options,Japan,0,Yami,Chips,400,1600,6396
Seaweed Chips 4pc,calbee,2,15.99,18 Options,Japan,5,Yami,Chips,400,1600,6396
Thai Banana Chips 50g,bestore,0,3.99,No,Mainland China,0,Yami,Chips,200,800,798
Thai Banana Chips 50g,bestore,0,3.99,No,Mainland China,0,Yami,Chips,200,800,798
Crispy Rice Chips original flavor 220g,yumei,0,3.69,No,Mainland China,0,Yami,Chips,400,1600,1476
2-Color Sweet Potato Chips 180g,liancheng,0,6.39,No,Taiwan,0,Yami,Chips,25,100,159.75
Fish&Chips,Unclear,0,7.99,No,Korea,0,Yami,Chips,400,1600,3196
Crispy Rice Chips Hot and Spicy flavor 220g,yumei,0,3.69,No,Mainland China,0,Yami,Chips,400,1600,1476
Shrimp&Chips,Unclear,0,7.99,No,Korea,0,Yami,Chips,400,1600,3196
Chinese Style Chips Cumin Flavor 188g,xiangwangfei,4,2.99,No,Mainland China,4.8,Yami,Chips,400,1600,1196
Thin-cut Potato Chips (Spicy Flavor) 205g,bestore,0,3.79,No,Mainland China,4.5,Yami,Chips,200,800,758
"Instant Barbecue Snacks Potatoes Spicy Potato Chips Convenient Instant Lazy Food, 328g",yumei,0,5.99,No,Mainland China,4.4,Yami,Chips,400,1600,2396
Honey Butter Chip 60g,haitai,1213,2.19,4 Options,Korea,4.7,Yami,Chips,300,1200,657
GGE BBQ Cube Wheat Cracker 80g,weilih,400,1.89,9 Options,Taiwan,4.6,Yami,Chips,400,1600,756
Soybean Snacks 360g,weilong,10,6.49,No,Mainland China,4.8,Yami,Chips,400,1600,2596
GGE Seaweed Cracker 80g,weilih,192,1.89,9 Options,Taiwan,4.6,Yami,Chips,400,1600,756
Energy 99 Rice Roll Egg Yolk Flavor 180g,pei tien,478,2.59,4 Options,Taiwan,4.8,Yami,Chips,400,1600,1036
Spicy Rice Cake Sticks Snack 230g,haitai,301,3.49,2 Options,Korea,4.5,Yami,Chips,300,1200,1047
CALBEE MY POTE GARLIC HERB BUTTR 60g,calbee,18,1.49,No,Japan,4.4,Yami,Chips,25,100,37.25
PANPAN Wheat Crunch Spicy Chicken Flavor 105g,asia foods,161,1.89,8 Options,Mainland China,4.7,Yami,Chips,300,1200,567
GGE Baked Rice Snack Chocolate Flavor 45g,weilih,200,1.89,No,Taiwan,4.7,Yami,Chips,400,1600,756
GGE Soy Sauce Ramen Wheat Cracker 80g,weilih,135,1.89,9 Options,Taiwan,4.7,Yami,Chips,400,1600,756
Stax Original Flavor 90g,lay's,0,3.29,No,Mainland China,0,Yami,Chips,25,100,82.25
Baked Potato Slim 80g,haitai,137,1.89,No,Korea,4.5,Yami,Chips,300,1200,567
Turtle Chip Choco Churos Flavor 160g,orion,4,4.39,No,Korea,4.8,Yami,Chips,400,1600,1756
Japanese Shrimp Cracker 2.92oz,kameda,1,3.49,No,Japan,5,Yami,Chips,400,1600,1396
LESLIE'S Banana Thins Honey Dipped 100g,leslie's,1,1.99,No,Philippine,5,Yami,Chips,25,100,49.75
Rice Stick Seafood Flavor 75g,koikeya,1,2.09,No,Japan,5,Yami,Chips,400,1600,836
GGE Wheat Cracker Original Ramen Flavor 80g,weilih,84,1.89,9 Options,Taiwan,4.4,Yami,Chips,400,1600,756
Stax Cucumber Flavor 104g,lay's,244,3.29,10 Options,Mainland China,4.7,Yami,Chips,300,1200,987
Egg Great Original Flavor 180g,zsxx,0,3.49,No,Mainland China,0,Yami,Chips,400,1600,1396
MIZUHO Mini Wasabi Rice Crackers 90g,mizuho,2,1.99,No,Japan,5,Yami,Chips,400,1600,796
Rice Cracker Soft Salad New 139g,kameda,0,3.99,No,Japan,0,Yami,Chips,400,1600,1596
Conch Shape Snack 300g,mirae bakery,0,3.99,No,Korea,0,Yami,Chips,400,1600,1596
Shrimp Snack Cheese Flavor,marco polo,0,1.59,No,Indonesia,0,Yami,Chips,400,1600,636
Rick Cracker-Yuzu Flavor 80g,jayone,0,2.49,No,Korea,0,Yami,Chips,400,1600,996
Korean Oranda Snack 300g,other brands,0,3.99,No,Unclear,0,Yami,Chips,400,1600,1596
Hnamatsuri Limited Edition Baked Rice Cracker 50g,befco,0,3.49,No,Japan,0,Yami,Chips,200,800,698
Korean Snack Puffed Star Snack Macaroni 297g,assi brand,0,8.19,No,Korea,0,Yami,Chips,200,800,1638
Japanese Traditional Seaweed Rice Cracker 85g,shirakiku,53,2.99,No,Japan,3.9,Yami,Chips,400,1600,1196
Puffed Grain Snack-Round-Small 100g,jayone,0,3.69,No,Korea,0,Yami,Chips,400,1600,1476
Chocolate  Brownie Crispy 90g,bruno,0,2.99,No,Japan,0,Yami,Chips,200,800,598
Sapporo Corn Senbei Grilled 6pcs,yoshimi,6,14.99,No,Japan,4.8,Yami,Chips,400,1600,5996
Bino 4 Strip Tasty Salt,tohato,0,2.39,No,Japan,0,Yami,Chips,400,1600,956
Sweet Potato Crispy Crunch-Plum Flavor 150g,yingbo,0,7.69,No,Taiwan,0,Yami,Chips,400,1600,3076
Shrimp Snack Original Flavor 70g,marco polo,0,1.59,No,Indonesia,0,Yami,Chips,400,1600,636
Puffed Corn 14.1oz,arirang,0,8.69,No,Korea,0,Yami,Chips,300,1200,2607
Egg Great With Add Calcium 180g,zsxx,1,3.49,No,Mainland China,5,Yami,Chips,400,1600,1396
Rice Cracker Happy Turn English 108g,kameda,0,4.39,No,Japan,0,Yami,Chips,400,1600,1756
Japanese Pride Potato Vege Flavor 63g,koikeya,0,3.29,7 Options,Japan,5,Yami,Chips,400,1600,1316
Fried Paste 150g,other brands,0,3.69,No,Unclear,0,Yami,Chips,400,1600,1476
Ya Potato Spicy Crayfish Flavor 70g,orion,0,3.29,No,Korea,0,Yami,Chips,400,1600,1316
Karamucho Hot Chili Potato Sticks 40g,koikeya,86,1.89,No,Japan,4.6,Yami,Chips,400,1600,756
Korean Rice Snack 8.8oz,arirang,0,6.99,No,Korea,0,Yami,Chips,300,1200,2097
Sweet Potato Crispy Crunch-Original Flavor 150g,yingbo,0,7.69,No,Taiwan,0,Yami,Chips,400,1600,3076
JAGABEE KETCHUP 3P 90g,calbee,8,3.69,No,Japan,4.1,Yami,Chips,25,100,92.25
Peanut Butter Brownie Crispy 90g,bruno,0,2.99,No,Japan,0,Yami,Chips,200,800,598
Sweet Potato Crispy Crunch-Pepper Flavor 150g,yingbo,0,7.69,No,Taiwan,0,Yami,Chips,400,1600,3076
Mocha Brownie Crispy 90g,bruno,0,2.99,No,Japan,0,Yami,Chips,200,800,598
Jagabee Lightly Salted 3p 3.18oz,calbee,2,3.89,No,Japan,5,Yami,Chips,200,800,778
QinQin-Crawfish Crakers (Thai Curry) 80g,chinchin,4,1.69,6 Options,Taiwan,4.8,Yami,Chips,200,800,338
Salted Egg Salmon Skin 230g,irvins,4,17.99,2 Options,Singapore,5,Yami,Chips,200,800,3598
Sesame Cracker Sticks 70g,paldo,20,1.49,No,Korea,4.5,Yami,Chips,400,1600,596
Shrimp Crackers Hot Chili & Lime 85g,papatonk,4,3.99,No,Indonesia,4.2,Yami,Chips,400,1600,1596
Crispy Ramen Snack Yakisoba Flavor 74g,babystar,6,1.69,No,Japan,4.5,Yami,Chips,300,1200,507
GUAI GUAI Corn Cracker Creamy Coconut Flavor 52g,kwan,37,1.49,3 Options,Taiwan,4.7,Yami,Chips,25,100,37.25
Barley Snack 150g,haitai,5,2.29,No,Korea,4.8,Yami,Chips,400,1600,916
Salted Egg Salmon Skin 105g,irvins,6,9.99,2 Options,Singapore,4.7,Yami,Chips,25,100,249.75
Crunchy Rice Rolls Strawberry Flavor,mammos,1,2.49,No,Korea,3,Yami,Chips,25,100,62.25
Rice Cracker 8 Mate Mix Arae 454g,shirakiku,2,7.99,3 Options,Japan,5,Yami,Chips,400,1600,3196
Imo Karinto 140g,sakakin,1,3.49,No,Japan,3,Yami,Chips,400,1600,1396
Rice Cracker 100g,mizuho,3,1.99,No,Japan,4.6,Yami,Chips,400,1600,796
Corn Roll-Japanese Style Grilled Seaweed  100g,pei tien,6,2.39,No,Taiwan,4.7,Yami,Chips,400,1600,956
Shrimp Crackers Original 85g,papatonk,7,3.99,No,Indonesia,5,Yami,Chips,400,1600,1596
Bin Bin Rice Crackers Coconut Milk Flavor 150g,namchow,29,2.19,No,Mainland China,4.1,Yami,Chips,400,1600,876
KARAMUCHO HOT CHILI PARTY BAG 175g,koikeya,2,5.49,No,Japan,5,Yami,Chips,400,1600,2196
Energy 99 Egg Roll Creamy Corn Flavor 100g,pei tien,25,2.29,4 Options,Taiwan,4.3,Yami,Chips,400,1600,916
Stevia Sweetened Chocolate Covered Poprorn Dark Chocolate Caramel Popcorn,lilys,0,7.99,No,United States,0,Yami,Chips,200,800,1598
Puffed Rice Sour Cream & Onion Flavor100g,captain danny,0,5.49,No,Taiwan,0,Yami,Chips,300,1200,1647
Cassava Blackpepper 200g,kusuka,1,2.39,3 Options,Indonesia,4,Yami,Chips,400,1600,956
Potato French Fries BBQ Steak Flavor 70g,orion,5,2.59,10 Options,Korea,5,Yami,Chips,400,1600,1036
Rice Cracker Nori Flavor 454g,shirakiku,0,11.49,3 Options,Japan,0,Yami,Chips,400,1600,4596
Salt Seaweed Potato Sticks 40g,koikeya,8,1.69,No,Japan,4.4,Yami,Chips,400,1600,676
Corn Chip Snack 148g,crown,2,2.69,No,Korea,5,Yami,Chips,25,100,67.25
Salted Egg Salmon Skin 105g,irvins,6,9.99,2 Options,Singapore,4.7,Yami,Chips,25,100,249.75
Red Lentil Snack Crisps Tomato Basil Flavor 85g,harvest snaps,1,2.49,No,United States,3,Yami,Chips,25,100,62.25
Pita Crackers Mediterranean Herb 120g,simple mills,0,6.49,No,United States,0,Yami,Chips,400,1600,2596
Potato French Fries BBQ Chicken Flavor 70g,orion,3,2.59,10 Options,Korea,5,Yami,Chips,400,1600,1036
Energy 99 Egg Roll 180g -Pumpkin Flavor,pei tien,32,2.29,4 Options,Taiwan,4.3,Yami,Chips,400,1600,916
Japanese Shoyo Rice Cracker 60g,amanoya,30,1.99,No,Japan,4.9,Yami,Chips,100,400,199
Corn Flavor Cracker 60g,koikeya,15,2.69,No,Japan,4.8,Yami,Chips,25,100,67.25
Pita Crisps Garlic & Herb 191g,stacy`s,3,3.59,6 Options,United States,5,Yami,Chips,400,1600,1436
Natural Farm Rice Crackers 60g,want want,50,1.29,6 Options,Taiwan,4.6,Yami,Chips,400,1600,516
Red Lentil Snack Crisps Sour Cream Onion 71g,harvest snaps,0,2.99,No,United States,0,Yami,Chips,25,100,74.75
Yopokki Shaped Snack Cheese Flavor 50g,youngpoong,0,1.69,3 Options,Korea,4.8,Yami,Chips,400,1600,676
JagaRico Potato Stick Umami Seaweed Flavor 52g,calbee,0,2.09,4 Options,Japan,4.7,Yami,Chips,200,800,418
Shrimp Sticks 20g * 40 Bags,mimi,0,6.99,2 Options,Mainland China,4.8,Yami,Chips,400,1600,2796
Koloko Pea Crackers Spicy Flavor 140g,lianhwa,0,3.39,7 Options,Taiwan,4.4,Yami,Chips,25,100,84.75
Koloko Pea Crackers Original 140g,lianhwa,0,3.39,7 Options,Taiwan,5,Yami,Chips,25,100,84.75
Hello Kitty Grains Rice Roll (Package Color Sent Randomly) 160g,pei tien,0,2.99,No,Taiwan,4.9,Yami,Chips,400,1600,1196
Potato Strips BBQ Flavor 75g,koikeya,0,2.29,3 Options,Japan,4.7,Yami,Chips,400,1600,916
Shrimp Crackers Spicy 80g,chinchin,0,1.99,6 Options,Taiwan,5,Yami,Chips,200,800,398
Wide Ramen Chicken Big Pack 185g,babystar,0,4.79,No,Japan,4.8,Yami,Chips,200,800,958
Puffed Rice Cake 125g,nonghyup,0,2.99,2 Options,Korea,5,Yami,Chips,400,1600,1196
MIX Biscuit Sticks Original Flavor 60g,vfoods,0,1.29,6 Options,Thailand,4.9,Yami,Chips,400,1600,516
Rice Cracker 70g,mizuho,7,1.69,No,Japan,4.4,Yami,Chips,400,1600,676
"CORN CHO Hazelnut Choco Flavor, 2.33 Oz",crown,63,2.39,2 Options,Korea,4.6,Yami,Chips,300,1200,717
Japanese Pride Potato USU Shio Sea Salt Flavor 63g,koikeya,0,3.29,7 Options,Japan,0,Yami,Chips,400,1600,1316
Ramen Snack Tonkatsu Flavor 70g,babystar,4,2.09,No,Japan,4.5,Yami,Chips,300,1200,627
Paleo Puffs Crunchy Himlyn Salt&Apple Cider Vngr At least 95% Organic 141g,er evil,2,5.69,No,United States,4.5,Yami,Chips,200,800,1138
JagaRico Potato Stick Hokkaido Butter Flavor 58g,calbee,0,2.09,4 Options,Japan,4.6,Yami,Chips,200,800,418
JagaRico Potato Stick Original Flavor 60g,calbee,0,2.09,4 Options,Japan,4.7,Yami,Chips,200,800,418
Snack Crispy Ramen Garlic Flavor 70g,babystar,0,1.79,No,Japan,4.7,Yami,Chips,300,1200,537
Snack Crispy Ramen Spicy 70g,babystar,0,1.79,No,Japan,4.9,Yami,Chips,300,1200,537
CROWN Corn Chip Family Pack  248g,natural story,0,6.49,No,Korea,4.7,Yami,Chips,400,1600,2596
SAMXIINGZH Sanko Jukusei Salad 20pcs,sanxingzhiguo,0,3.29,No,Japan,0,Yami,Chips,400,1600,1316
"Power Curls,Fiery Hot  At least 70% Organic 114g",er evil,1,5.99,No,United States,5,Yami,Chips,200,800,1198
Potato Sticks  Salted Egg Yolk Flavor 48g,v-loong,0,2.59,No,Mainland China,0,Yami,Chips,400,1600,1036
Japanese Baked Rice Cracker Japanese Salt 10 Pack 144g,kingodo,0,3.69,No,Japan,0,Yami,Chips,400,1600,1476
Ramen Snack Tonkotsu Flavor70g,babystar,0,1.69,No,Japan,4.7,Yami,Chips,300,1200,507
Puffed Rice Caramel Flavor 100g,captain danny,0,5.49,5 Options,Taiwan,4.8,Yami,Chips,300,1200,1647
Snack Wide Ramen Spicy 70g,babystar,0,2.09,No,Japan,4.3,Yami,Chips,300,1200,627
Puffed Black Bean Rice Cake125g,nonghyup,0,3.69,2 Options,Korea,4.5,Yami,Chips,400,1600,1476
Honey Butter Chip Fromage Blanc 120g,haitai,0,3.99,4 Options,Korea,4.8,Yami,Chips,400,1600,1596
Bin Bin Rice Cracker 106g,namchow,0,1.29,No,Mainland China,4.8,Yami,Chips,400,1600,516
Baked Potato Slim Large 240g,haitai,0,4.49,No,Korea,4.7,Yami,Chips,400,1600,1796
Rice Cracker Hot Mate Mix Arare 453g,shirakiku,0,7.99,3 Options,Japan,0,Yami,Chips,400,1600,3196
Sweet Potato Fries 155g,shibuya,30,4.19,No,Japan,3.5,Yami,Chips,400,1600,1676
Popchips Sea Salt & Vinegar 142g,popchips,2,4.39,No,United States,5,Yami,Chips,400,1600,1756
Japanese Rice Cracker 132g,amanoya,14,3.39,No,Japan,4.7,Yami,Chips,25,100,84.75
Green Pea Snack Crisps Wasabi Ranch 94g,harvest snaps,1,2.29,No,United States,5,Yami,Chips,25,100,57.25
Green Pea Snack Crisps Black Pepper,harvest snaps,1,2.29,No,United States,4,Yami,Chips,25,100,57.25
Potato Strips Cheese Flavor 75g,koikeya,0,2.29,3 Options,Japan,4.8,Yami,Chips,400,1600,916
Shrimp Cracker Seaweed Flavor 80g,chinchin,0,1.99,6 Options,Taiwan,4,Yami,Chips,200,800,398
Cheese Sticks 80g,oishi,0,2.29,No,Mainland China,5,Yami,Chips,400,1600,916
Onion Rings 140g,calbee,0,4.29,2 Options,Japan,4.8,Yami,Chips,200,800,858
Yopokki Shaped Snack Hot & Spicy 50g,youngpoong,0,1.69,3 Options,Korea,4.8,Yami,Chips,400,1600,676
Snack Wide Ramen Spicy Big Pack 165g,babystar,0,4.79,No,Japan,4.5,Yami,Chips,200,800,958
Snack Wide Ramen Chicken 75g,babystar,0,2.09,No,Japan,4.1,Yami,Chips,300,1200,627
Snack crispy Ramen Chicken FLavor 75g,babystar,0,1.79,No,Japan,4.8,Yami,Chips,300,1200,537
GGE Hot Chili Flavor Wheat Cracker 80g,weilih,0,1.89,9 Options,Taiwan,4.7,Yami,Chips,400,1600,756
Frozen Breaded Lotus Roots Chips  JNK 300g,taste of mainland china,0,6.99,No,Mainland China,0,Yami,Chips,400,1600,2796
Extra Barbecue Flavor Potato Chips,lay's,0,4.99,No,Mainland China,0,Yami,Chips,25,100,124.75
Thai Flavor Miengkam Krobros Flavor Potato Chips 50g,lay's,0,4.99,No,Mainland China,0,Yami,Chips,25,100,124.75
Limited Production Imo Komachi Fries 8pc,calbee,7,15.99,18 Options,Japan,4.1,Yami,Chips,400,1600,6396
Prawn Crackers Barbecue Flavor 25g,bestore,0,3.99,No,Mainland China,0,Yami,Chips,200,800,798
eternal rose flower snack box,roseonly,0,159,No,Mainland China,0,Yami,Chips,400,1600,63600
Prawn Crackers Barbecue Flavor 25g,bestore,0,3.99,No,Mainland China,0,Yami,Chips,200,800,798
