Title,Title_link,Price,count___1LWwo,label___2DYkt,unit_info___32SjE,Headline,Field1,Field2,Field3
Yamajirushi Yuzu Citrus Juice 5 oz,https://www.sayweee.com/en/product/Yamajirushi-Yuzu-Citrus-Juice/78103,$7.69,,,$1.53/oz,Yamajirushi Yuzu Citrus Juice,(2),United States,Yamajirushi
FREMO Aloe Juice Mango flavor 1.5 L 1 bottle,https://www.sayweee.com/en/product/FREMO-Aloe-Juice-Mango-flavor-1-5-L/85748,$3.99,,New,$3.99/bottle,FREMO Aloe Juice Mango flavor 1.5 L,,South Korea,
BaiEnShi Corn Juice 980ml  1 bottle,https://www.sayweee.com/en/product/BaiEnShi-Corn-Juice-980ml-/82359,$9.99,,,$9.99/bottle,BaiEnShi Corn Juice 980ml,(3),Mainland China,
Taoti Peach Juice Drink 5 can,https://www.sayweee.com/en/product/Taoti-Peach-Juice-Drink/15487,$5.99,,10% Off,$1.19/can,Taoti Peach Juice Drink,(2),Taiwan,
Nitto Tea-White Peach Juice 240 g,https://www.sayweee.com/en/product/Nitto-TeaWhite-Peach-Juice/13340,$6.69,,,,Nitto Tea-White Peach Juice,(3),Japan,
FREMO Aloe Juice Pomegranate Flavor 1.5 L 1 bottle,https://www.sayweee.com/en/product/FREMO-Aloe-Juice-Pomegranate-Flavor-1-5-L/85762,$3.79,,5% Off,$3.79/bottle,FREMO Aloe Juice Pomegranate Flavor 1.5 L,,South Korea,
Cool Coco Coconut Juice 610 ml,https://www.sayweee.com/en/product/Cool-Coco-Coconut-Juice/86750,$2.99,,New,,Cool Coco Coconut Juice,,Mainland China,
"Coco King Young Coconut Juice, Frozen 280 ml",https://www.sayweee.com/en/product/Coco-King-Young-Coconut-Juice--Frozen/82307,$3.69,,,,"Coco King Young Coconut Juice, Frozen",,Thailand,Coco King
Bio-E Lemon+Manuka Fermented Juice  500 ml,https://www.sayweee.com/en/product/Bio-E-Lemon-Manuka-Fermented-Juice-/46170,$33.99,,,$0.06/ml,Bio-E Lemon+Manuka Fermented Juice,,Australia,
Junzosen Ninjin Carrot Juice 6.08 fl.oz,https://www.sayweee.com/en/product/Junzosen-Ninjin-Carrot-Juice/25935,$3.19,,,$0.52/fl.oz,Junzosen Ninjin Carrot Juice,(4),Japan,
Taoti Kyoho Grape Juice Drink  6 can,https://www.sayweee.com/en/product/Taoti-Kyoho-Grape-Juice-Drink-/15489,$6.69,,,$1.11/can,Taoti Kyoho Grape Juice Drink,(1),Taiwan,
JunzoSen Golden Peach Juice  1000 ml,https://www.sayweee.com/en/product/JunzoSen-Golden-Peach-Juice-/87409,$8.49,,New,,JunzoSen Golden Peach Juice,,Japan,
Watermelon Juice  Cup	 1 each,https://www.sayweee.com/en/restaurants/2965?ws=shopping-search,$3.99,,,$3.99/each,Weee!,,,
Sour Plum Juice  Cup	 1 each,https://www.sayweee.com/en/restaurants/2965?ws=shopping-search,$2.99,,,$2.99/each,Weee!,,,
black plum juice 1 each,https://www.sayweee.com/en/restaurants/2218?ws=shopping-search,$3.00,,,$3.00/each,Weee!,,,
Shrimp with House Special Juice Sauce 1 each,https://www.sayweee.com/en/restaurants/2205?ws=shopping-search,$21.99,,,$21.99/each,Weee!,,,
Kids Meal:Rice Ball + Fries + Nugget + Boneless Chicken + Juice 1 each,https://www.sayweee.com/en/restaurants/2159?ws=shopping-search,$20.48,,,$20.48/each,Weee!,,,
Coconut Juice 1 each,https://www.sayweee.com/en/restaurants/2153?ws=shopping-search,$2.99,,,$2.99/each,Weee!,,,
Orange Juice 1 each,https://www.sayweee.com/en/restaurants/2159?ws=shopping-search,$1.92,,,$1.92/each,Weee!,,,
Passion Fruit Juice 1 each,https://www.sayweee.com/en/restaurants/2159?ws=shopping-search,$6.40,,,$6.40/each,Weee!,,,
Coconut Juice 1 each,https://www.sayweee.com/en/restaurants/2520?ws=shopping-search,$3.50,,,$3.50/each,Weee!,,,
Watermelon Juice 1 each,https://www.sayweee.com/en/restaurants/3153?ws=shopping-search,$6.90,,,$6.90/each,Weee!,,,
Apple Juice 1 each,https://www.sayweee.com/en/restaurants/2159?ws=shopping-search,$1.92,,,$1.92/each,Weee!,,,
Peach Juice 1 each,https://www.sayweee.com/en/restaurants/2159?ws=shopping-search,$6.40,,,$6.40/each,Weee!,,,
Sour Plum Juice 1 each,https://www.sayweee.com/en/restaurants/2520?ws=shopping-search,$7.99,,,$7.99/each,Weee!,,,
Fresh Squeezed Orange Juice 1 each,https://www.sayweee.com/en/restaurants/2931?ws=shopping-search,$10.00,,,$10.00/each,Weee!,,,
SWEET PLUM JUICE 1 each,https://www.sayweee.com/en/restaurants/2261?ws=shopping-search,$3.00,,,$3.00/each,Weee!,,,
Special Mango Juice Sago 1 each,https://www.sayweee.com/en/restaurants/3273?ws=shopping-search,$7.99,,,$7.99/each,Weee!,,,
Watermelon Juice 1 each,https://www.sayweee.com/en/restaurants/3273?ws=shopping-search,$5.99,,,$5.99/each,Weee!,,,
Sweet Sour Plum Juice 1 each,https://www.sayweee.com/en/restaurants/3273?ws=shopping-search,$5.99,,,$5.99/each,Weee!,,,
Orange Juice Cup	 1 each,https://www.sayweee.com/en/restaurants/2965?ws=shopping-search,$3.99,,,$3.99/each,Weee!,,,
Orange Juice 1 each,https://www.sayweee.com/en/restaurants/3153?ws=shopping-search,$6.90,,,$6.90/each,Weee!,,,
Apple Juice 1 each,https://www.sayweee.com/en/restaurants/3153?ws=shopping-search,$6.90,,,$6.90/each,Weee!,,,
Carrot Juice 1 each,https://www.sayweee.com/en/restaurants/3153?ws=shopping-search,$6.90,,,$6.90/each,Weee!,,,
Hawthorn Juice Peking Bone 1 each,https://www.sayweee.com/en/restaurants/3361?ws=shopping-search,$18.95,,,$18.95/each,Weee!,,,
"Cool Taste Calamansi Juice, Philippine Lemon Juice 500 ml",https://www.sayweee.com/en/product/Cool-Taste-Calamansi-Juice--Philippine-Lemon-Juice/50500,$2.89,50+ Sold,,,"Cool Taste Calamansi Juice, Philippine Lemon Juice",,Philippines,
Red Guava Mixed Fruits Juice Drink 1 count,https://www.sayweee.com/en/product/Red-Guava-Mixed-Fruits-Juice-Drink/45825,$1.19,400+ Sold,5% Off,$1.19/count,Red Guava Mixed Fruits Juice Drink,(40),Taiwan,
Dragonfly Young Coconut Juice with Pulp 16.9 oz,https://www.sayweee.com/en/product/Dragonfly-Young-Coconut-Juice-with-Pulp/32878,$1.49,200+ Sold,,$0.08/oz,Dragonfly Young Coconut Juice with Pulp,(2),Thailand,Dragon Fly
Hainan Laoshu Coconut Juice with Pulp 380 ml,https://www.sayweee.com/en/product/Hainan-Laoshu-Coconut-Juice-with-Pulp/40158,$3.99,200+ Sold,,,Hainan Laoshu Coconut Juice with Pulp,(3),Mainland China,
HeiMianCai Starfruit Carambola Juice 1ct 580 g,https://www.sayweee.com/en/product/HeiMianCai-Starfruit-Carambola-Juice-1ct/65757,$2.49,200+ Sold,,,HeiMianCai Starfruit Carambola Juice 1ct,(21),Taiwan,
Taiwan Sugarcane Juice 1000 g,https://www.sayweee.com/en/product/Taiwan-Sugarcane-Juice/31012,$14.99,50+ Sold,,,Taiwan Sugarcane Juice,(12),Taiwan,
Jans Sparkling Soursop Fruit Juice 16.56 fl.oz,https://www.sayweee.com/en/product/Jans-Sparkling-Soursop-Fruit-Juice/14608,$2.59,50+ Sold,,$0.15/fl.oz,Jans Sparkling Soursop Fruit Juice,(12),Vietnam,
Asparagus Juice 245 g,https://www.sayweee.com/en/product/Asparagus-Juice/91928,$1.99,50+ Sold,,,Asparagus Juice,(25),Taiwan,
Philippine Brand Calamansi Juice 250 ml,https://www.sayweee.com/en/product/Philippine-Brand-Calamansi-Juice/84175,$1.79,50+ Sold,,,Philippine Brand Calamansi Juice,,Philippines,
ErChang Osmanthus Sour Plum Juice Soda 275 ml,https://www.sayweee.com/en/product/ErChang-Osmanthus-Sour-Plum-Juice-Soda/38089,$3.39,,5% Off,,ErChang Osmanthus Sour Plum Juice Soda,(1),Mainland China,
