Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
Samlip Red Bean Cream Bread 4.05 oz,https://www.sayweee.com/en/product/Samlip-Red-Bean-Cream-Bread/35056,$1.99,500+ Sold,$0.49/oz,Samlip Red Bean Cream Bread,(5),South Korea,
Samlip Custard Red Bean Bread 3.7 oz,https://www.sayweee.com/en/product/Samlip-Custard-Red-Bean-Bread/35060,$1.99,400+ Sold,$0.53/oz,Samlip Custard Red Bean Bread,(4),South Korea,
Ao Kun Frozen Donut 15pc 750 g,https://www.sayweee.com/en/product/Ao-Kun-Frozen-Donut-15pc/37372,$13.99,50+ Sold,,Ao Kun Frozen Donut 15pc,(16),Mainland China,
Aixiangqin Hand Tearing Bread Milk Flavor 10.9 oz,https://www.sayweee.com/en/product/Aixiangqin-Hand-Tearing-Bread-Milk-Flavor/65723,$4.99,200+ Sold,$0.45/oz,Aixiangqin Hand Tearing Bread Milk Flavor,(7),Mainland China,
Regent Japanese Cheese Cake 34 g,https://www.sayweee.com/en/product/Regent-Japanese-Cheese-Cake/47117,$4.49,200+ Sold,$0.13/g,Regent Japanese Cheese Cake,(3),Philippines,
Samlip Full Moon Cake with Strawberry Cream 3pcs 6.67 oz,https://www.sayweee.com/en/product/Samlip-Full-Moon-Cake-with-Strawberry-Cream-3pcs/34540,$4.49,,$0.67/oz,Samlip Full Moon Cake with Strawberry Cream 3pcs,(2),South Korea,
Samlip Choux Bread  3.17 oz,https://www.sayweee.com/en/product/Samlip-Choux-Bread-/35062,$1.99,200+ Sold,$0.62/oz,Samlip Choux Bread,(5),South Korea,
DXC Shousi Mian Bao 258 g,https://www.sayweee.com/en/product/DXC-Shousi-Mian-Bao/1343,$4.99,100+ Sold,,DXC Shousi Mian Bao,(20),Mainland China,
Daiichi Dinner Rolls 6ct 6.35 oz,https://www.sayweee.com/en/product/Daiichi-Dinner-Rolls-6ct/74780,$3.49,50+ Sold,$0.54/oz,Daiichi Dinner Rolls 6ct,(4),Japan,Daiichi
Regent Japanese Ube Cake 10-34 g,https://www.sayweee.com/en/product/Regent-Japanese-Ube-Cake/84170,$5.99,50+ Sold,$0.59/g,Regent Japanese Ube Cake,,Philippines,
Samlip Cream Bread 3pc 7.05 oz,https://www.sayweee.com/en/product/Samlip-Cream-Bread-3pc/16148,$3.99,1 Left,$0.56/oz,Samlip Cream Bread 3pc,(28),South Korea,
Bestore Torn Bread 330 g,https://www.sayweee.com/en/product/Bestore-Torn-Bread/63019,$4.79,,,Bestore Torn Bread,(3),Mainland China,
Uni Bread Pineapple Bun  80 g,https://www.sayweee.com/en/product/Uni-Bread-Pineapple-Bun-/80015,$2.19,100+ Sold,,Uni Bread Pineapple Bun,(14),United States,
Day Plus Bread Purple Sweet Potato Flavor  75 g,https://www.sayweee.com/en/product/Day-Plus-Bread-Purple-Sweet-Potato-Flavor-/18933,$1.99,200+ Sold,,Day Plus Bread Purple Sweet Potato Flavor,(7),Thailand,
Daiichi Raisin Dinner Rolls 6pc  6.35 oz,https://www.sayweee.com/en/product/Daiichi-Raisin-Dinner-Rolls-6pc-/34366,$4.49,,$0.70/oz,Daiichi Raisin Dinner Rolls 6pc,(7),Japan,Daiichi
Hogan Bakery Toast 400 g,https://www.sayweee.com/en/product/Hogan-Bakery-Toast/69941,$15.69,,$0.03/g,Hogan Bakery Toast,(4),Taiwan,
Daiichi Cheese Bread Sticks 7pcs 3.42 oz,https://www.sayweee.com/en/product/Daiichi-Cheese-Bread-Sticks-7pcs/74597,$3.99,,$1.16/oz,Daiichi Cheese Bread Sticks 7pcs,(21),Japan,
HuaMuZi Baked Cheese Toast 9 Pcs (New Packaging) 360 g,https://www.sayweee.com/en/product/HuaMuZi-Baked-Cheese-Toast-9-Pcs--New-Packaging-/24034,$20.99,,$0.05/g,HuaMuZi Baked Cheese Toast 9 Pcs (New Packaging),(4),Mainland China,
Fuji Natural Porute 21 Raisin Bread 200 g,https://www.sayweee.com/en/product/Fuji-Natural-Porute-21-Raisin-Bread/35240,$8.99,,$0.04/g,Fuji Natural Porute 21 Raisin Bread,,Japan,
Daiichi Pon De Stick Seasame 7pcs 3.63 oz,https://www.sayweee.com/en/product/Daiichi-Pon-De-Stick-Seasame-7pcs/38059,$3.99,,$1.09/oz,Daiichi Pon De Stick Seasame 7pcs,(1),Japan,
Daiichi Yokohama Anpan Koshian 4.12 oz,https://www.sayweee.com/en/product/Daiichi-Yokohama-Anpan-Koshian/38062,$2.99,,$0.72/oz,Daiichi Yokohama Anpan Koshian,(2),Japan,
Daiichi Yokohama Anpan Ogura 4.12 oz,https://www.sayweee.com/en/product/Daiichi-Yokohama-Anpan-Ogura/38063,$2.99,,$0.72/oz,Daiichi Yokohama Anpan Ogura,,Japan,
Hurricane Red Bean Bread 3pk 390 g,https://www.sayweee.com/en/product/Hurricane-Red-Bean-Bread-3pk/40969,$5.99,,,Hurricane Red Bean Bread 3pk,,South Korea,
Uni Bread Milky Butter Bun 80 g,https://www.sayweee.com/en/product/Uni-Bread-Milky-Butter-Bun/80018,$2.19,50+ Sold,,Uni Bread Milky Butter Bun,(8),United States,
"Zuming Soy Bread, Frozen 550 g",https://www.sayweee.com/en/product/Zuming-Soy-Bread--Frozen/86745,$3.49,,,"Zuming Soy Bread, Frozen",,Mainland China,
Pasco Shikishima Choujuku Shokupan Sliced White Bread   Frozen 374 g,https://www.sayweee.com/en/product/Pasco-Shikishima-Choujuku-Shokupan-Sliced-White-Bread---Frozen/35348,$5.19,1K+ Sold,,Pasco Shikishima Choujuku Shokupan Sliced White Bread   Frozen,(146),Japan,
Golden Happiness Specialty Custard Bun 4pc 80 g,https://www.sayweee.com/en/product/Golden-Happiness-Specialty-Custard-Bun-4pc/15603,$5.29,400+ Sold,$0.06/g,Golden Happiness Specialty Custard Bun 4pc,(194),Canada,
Coconut Baked Bun 4pc 80 g,https://www.sayweee.com/en/product/Coconut-Baked-Bun-4pc/15607,$5.29,600+ Sold,$0.06/g,Coconut Baked Bun 4pc,(192),Canada,
"Daiichi Pan Mini Creamy Custard Buns, 7ct 7.14 oz",https://www.sayweee.com/en/product/Daiichi-Pan-Mini-Creamy-Custard-Buns--7ct/99498,$4.59,200+ Sold,$0.64/oz,"Daiichi Pan Mini Creamy Custard Buns, 7ct",(164),Japan,Daiichi
Golden Happiness Specialty Red Bean Baked Bun 4ct  80 g,https://www.sayweee.com/en/product/Golden-Happiness-Specialty-Red-Bean-Baked-Bun-4ct-/16602,$5.29,400+ Sold,$0.06/g,Golden Happiness Specialty Red Bean Baked Bun 4ct,(97),Canada,
Lejinji Baby Is Hungry Cheese Flavor Breakstick  380 g,https://www.sayweee.com/en/product/Lejinji-Baby-Is-Hungry-Cheese-Flavor-Breakstick-/10638,$5.69,500+ Sold,,Lejinji Baby Is Hungry Cheese Flavor Breakstick,(116),Mainland China,
Breadstick (Milk Flavor)  380 g,https://www.sayweee.com/en/product/Breadstick--Milk-Flavor--/17007,$5.69,300+ Sold,,Breadstick (Milk Flavor),(43),Mainland China,
Daiichi Melon Pan Bread 3.8 oz,https://www.sayweee.com/en/product/Daiichi-Melon-Pan-Bread/44162,$2.49,200+ Sold,$0.65/oz,Daiichi Melon Pan Bread,(38),Japan,Daiichi
Golden Happiness Specialty Coconut Cream Bun 4ct 80 g,https://www.sayweee.com/en/product/Golden-Happiness-Specialty-Coconut-Cream-Bun-4ct/16601,$4.29,300+ Sold,$0.05/g,Golden Happiness Specialty Coconut Cream Bun 4ct,(169),Canada,
Samlip Red Bean Paste Filled Bread 3pc 7.94 oz,https://www.sayweee.com/en/product/Samlip-Red-Bean-Paste-Filled-Bread-3pc/16134,$3.99,100+ Sold,$0.50/oz,Samlip Red Bean Paste Filled Bread 3pc,(62),South Korea,
Leeker Creamy Garlic Toast 6ct 1 each,https://www.sayweee.com/en/product/Leeker-Creamy-Garlic-Toast-6ct/98278,$8.49,500+ Sold,$8.49/each,Leeker Creamy Garlic Toast 6ct,(287),Taiwan,LeeKer
Daiichi Morning Selection Bread 8pc 12.34 oz,https://www.sayweee.com/en/product/Daiichi-Morning-Selection-Bread-8pc/38060,$4.99,100+ Sold,$0.40/oz,Daiichi Morning Selection Bread 8pc,(6),Japan,
D-Plus Hokkaido Cream Pastry Roll 1 each,https://www.sayweee.com/en/product/D-Plus-Hokkaido-Cream-Pastry-Roll/93983,$2.29,400+ Sold,$2.29/each,D-Plus Hokkaido Cream Pastry Roll,(440),Japan,Shirakiku
Day Plus Bread Orange Flavor 75 g,https://www.sayweee.com/en/product/Day-Plus-Bread-Orange-Flavor/18934,$1.99,200+ Sold,,Day Plus Bread Orange Flavor,(4),Thailand,
Cranberry Breadsticks 380 g,https://www.sayweee.com/en/product/Cranberry-Breadsticks/10598,$6.19,200+ Sold,,Cranberry Breadsticks,(19),Mainland China,
