Title,Title_link,Price,productDate___3-wQt,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
Haitai Oh! Yes Cookies and Cream 360 g,https://www.sayweee.com/en/product/Haitai-Oh-Yes-Cookies-and-Cream/24148,$4.99,300+ Sold,300+ Sold,,Haitai Oh! Yes Cookies and Cream,(49),South Korea,
Glico Pocky Cookies and Cream Family Pack 4.57 oz,https://www.sayweee.com/en/product/Glico-Pocky-Cookies-and-Cream-Family-Pack/79467,$3.49,300+ Sold,300+ Sold,$0.76/oz,Glico Pocky Cookies and Cream Family Pack,(39),Thailand,Glico
"Haitai Ace Crackers, New York Cheesecake Flavor 364 g",https://www.sayweee.com/en/product/Haitai-Ace-Crackers--New-York-Cheesecake-Flavor/92103,$5.69,400+ Sold,400+ Sold,,"Haitai Ace Crackers, New York Cheesecake Flavor",(23),South Korea,HAITAI
Bourbon Tennen Kobo Crackers  4.96 oz,https://www.sayweee.com/en/product/Bourbon-Tennen-Kobo-Crackers-/99126,$4.59,500+ Sold,500+ Sold,$0.92/oz,Bourbon Tennen Kobo Crackers,(175),Japan,BOURBON
Tokyo Milk Cheese Factory Japanese Salt Camembert Cookies 10pc 1 each,https://www.sayweee.com/en/product/Tokyo-Milk-Cheese-Factory-Japanese-Salt-Camembert-Cookies-10pc/146,$19.49,200+ Sold,200+ Sold,$19.49/each,Tokyo Milk Cheese Factory Japanese Salt Camembert Cookies 10pc,(99),Japan,Tokyo Milk Cheese Factory
Lotte Koala No March Hakkou Butter Biscuit  1.69 oz,https://www.sayweee.com/en/product/Lotte-Koala-No-March-Hakkou-Butter-Biscuit-/35547,$2.99,300+ Sold,300+ Sold,$1.76/oz,Lotte Koala No March Hakkou Butter Biscuit,(24),Japan,Lotte
Haitai Matdongsan Peanut Crunch Snack  300 g,https://www.sayweee.com/en/product/Haitai-Matdongsan-Peanut-Crunch-Snack-/24152,$4.49,200+ Sold,200+ Sold,,Haitai Matdongsan Peanut Crunch Snack,(30),South Korea,HAITAI
"Likee Rice Crisps, Crab Flavor 96 g",https://www.sayweee.com/en/product/Likee-Rice-Crisps-Crab-Flavor/16869,$2.79,300+ Sold,300+ Sold,,"Likee Rice Crisps, Crab Flavor",(63),Mainland China,
Orion Original Choco Pies 12pk 468 g,https://www.sayweee.com/en/product/Orion-Original-Choco-Pies-12pk/98610,$4.49,500+ Sold,500+ Sold,,Orion Original Choco Pies 12pk,(126),South Korea,
Crown White Heim White Cream Wafers with Hazelnuts 284 g,https://www.sayweee.com/en/product/Crown-White-Heim-White-Cream-Wafers-with-Hazelnuts/99430,$5.69,100+ Sold,100+ Sold,,Crown White Heim White Cream Wafers with Hazelnuts,(85),South Korea,
"Meiji Lucky Stick Biscuit, Chocolate Flavored Cream 45 g",https://www.sayweee.com/en/product/Meiji-Lucky-Stick-Biscuit--Chocolate-Flavored-Cream/19010,$2.59,200+ Sold,200+ Sold,$0.05/g,"Meiji Lucky Stick Biscuit, Chocolate Flavored Cream",(6),Indonesia,MEIJI
Bauducco Chocolate Wafers 5.82 oz,https://www.sayweee.com/en/product/Bauducco-Chocolate-Wafers/81573,$1.59,200+ Sold,200+ Sold,$0.27/oz,Bauducco Chocolate Wafers,(18),United States,BAUDUCCO
"Glico Pocky, Winter Chocolate Flavor 1.97 oz",https://www.sayweee.com/en/product/Glico-Pocky--Winter-Chocolate-Flavor/48426,$2.49,500+ Sold,500+ Sold,$1.26/oz,"Glico Pocky, Winter Chocolate Flavor",(6),Japan,Glico
Garden Wafer Vanilla  200 g,https://www.sayweee.com/en/product/Garden-Wafer-Vanilla-/19145,$2.19,100+ Sold,100+ Sold,,Garden Wafer Vanilla,(8),Philippines,GARDEN
Kanyaku Konjac Ice Powder 40 g,https://www.sayweee.com/en/product/Kanyaku-Konjac-Ice-Powder/40880,$0.99,800+ Sold,800+ Sold,,Kanyaku Konjac Ice Powder,(313),Mainland China,
"Calbee Shrimp Chips, Yuzu Pepper Flavor 3.3 oz",https://www.sayweee.com/en/product/Calbee-Shrimp-Chips--Yuzu-Pepper-Flavor/45258,$1.88,100+ Sold,100+ Sold,$0.56/oz,"Calbee Shrimp Chips, Yuzu Pepper Flavor",(11),Thailand,Calbee
Lotte Choco Pie Cacao 11.85 oz,https://www.sayweee.com/en/product/Lotte-Choco-Pie-Cacao/27819,$3.99,500+ Sold,500+ Sold,$0.33/oz,Lotte Choco Pie Cacao,(51),South Korea,Lotte
LONGKANG Crispy Rice Crackers 25 g,https://www.sayweee.com/en/product/LONGKANG-Crispy-Rice-Crackers/13087,$0.59,600+ Sold,600+ Sold,,LONGKANG Crispy Rice Crackers,(15),Mainland China,
Orion Marine Boy Goraebab Sea Creatures Baked Snack 40 g,https://www.sayweee.com/en/product/Orion-Marine-Boy-Goraebab-Sea-Creatures-Baked-Snack/767,$1.69,200+ Sold,200+ Sold,$0.04/g,Orion Marine Boy Goraebab Sea Creatures Baked Snack,(40),South Korea,Orion
Lotte Pepero Almond Chocolate Sticks 32 g,https://www.sayweee.com/en/product/Lotte-Pepero-Almond-Chocolate-Sticks/99402,$1.59,400+ Sold,400+ Sold,$0.04/g,Lotte Pepero Almond Chocolate Sticks,(57),South Korea,Lotte
Haitai Ace Cracker Biscuits 364 g,https://www.sayweee.com/en/product/Haitai-Ace-Cracker-Biscuits/74849,$5.49,300+ Sold,300+ Sold,,Haitai Ace Cracker Biscuits,(19),South Korea,HAITAI
Weiling Crackers Spring Onion and Chicken Soup Flavor  180 g,https://www.sayweee.com/en/product/Weiling-Crackers-Spring-Onion-and-Chicken-Soup-Flavor-/29403,$3.89,200+ Sold,200+ Sold,,Weiling Crackers Spring Onion and Chicken Soup Flavor,(53),Mainland China,Weilong
Ginbis Animal Shaped Butter Biscuits  1.76 oz,https://www.sayweee.com/en/product/Ginbis-Animal-Shaped-Butter-Biscuits-/95261,$1.19,800+ Sold,800+ Sold,$0.67/oz,Ginbis Animal Shaped Butter Biscuits,(43),,
ISHIYA Shiroi Koibito Milk Chocolate Cookies 18 Pieces 1 box,https://www.sayweee.com/en/product/ISHIYA-Shiroi-Koibito-Milk-Chocolate-Cookies-18-Pieces/5365,$24.99,100+ Sold,100+ Sold,$24.99/box,ISHIYA Shiroi Koibito Milk Chocolate Cookies 18 Pieces,(23),Japan,
Garden Wafer Chocolate  200 g,https://www.sayweee.com/en/product/Garden-Wafer-Chocolate-/19130,$2.79,200+ Sold,200+ Sold,,Garden Wafer Chocolate,(10),Philippines,GARDEN
"Loacker Quadratini Bite Size Wafer Cookies, Espresso Flavor 220 g",https://www.sayweee.com/en/product/Loacker-Quadratini-Bite-Size-Wafer-Cookies--Espresso-Flavor/24653,$4.99,200+ Sold,200+ Sold,,"Loacker Quadratini Bite Size Wafer Cookies, Espresso Flavor",(14),Italy,Loacker
Samlip Korean Wheat Flour Cookies with Honey 7.05 oz,https://www.sayweee.com/en/product/Samlip-Korean-Wheat-Flour-Cookies-with-Honey/4380,$2.19,200+ Sold,200+ Sold,$0.31/oz,Samlip Korean Wheat Flour Cookies with Honey,(45),South Korea,Samlip
Surasang Syrup Coated Rice Senbei 300 g,https://www.sayweee.com/en/product/Surasang-Syrup-Coated-Rice-Senbei/38182,$6.99,50+ Sold,50+ Sold,,Surasang Syrup Coated Rice Senbei,(33),Mainland China,Surasang
Haitai Butter-Ring Premium Butter Cookies 302 g,https://www.sayweee.com/en/product/Haitai-Butter-Ring-Premium-Butter-Cookies/99431,$4.99,100+ Sold,100+ Sold,,Haitai Butter-Ring Premium Butter Cookies,(31),South Korea,HAITAI
Sheng Xiangzhen Sesame Pancake 210 g,https://www.sayweee.com/en/product/Sheng-Xiangzhen-Sesame-Pancake/52053,$4.59,400+ Sold,400+ Sold,,Sheng Xiangzhen Sesame Pancake,(57),Taiwan,
Garden Wafer Purple Sweet Potato  200 g,https://www.sayweee.com/en/product/Garden-Wafer-Purple-Sweet-Potato-/19199,$2.79,100+ Sold,100+ Sold,,Garden Wafer Purple Sweet Potato,(25),Philippines,GARDEN
Loacker Quadratini Matcha Green Tea Wafers 220 g,https://www.sayweee.com/en/product/Loacker-Quadratini-Matcha-Green-Tea-Wafers/10611,$4.49,300+ Sold,300+ Sold,,Loacker Quadratini Matcha Green Tea Wafers,(65),Italy,Loacker
Surasang Korean Rice Senbei Crackers 300 g,https://www.sayweee.com/en/product/Surasang-Korean-Rice-Senbei-Crackers/38103,$5.99,50+ Sold,50+ Sold,,Surasang Korean Rice Senbei Crackers,(37),Mainland China,Surasang
Delicious Mini Twist 500 g,https://www.sayweee.com/en/product/Delicious-Mini-Twist/51516,$4.99,400+ Sold,400+ Sold,,Delicious Mini Twist,(44),Mainland China,
Want Want Shelly Senbei Rice Crackers 520 g,https://www.sayweee.com/en/product/Want-Want-Shelly-Senbei-Rice-Crackers/17914,$9.99,400+ Sold,400+ Sold,,Want Want Shelly Senbei Rice Crackers,(168),Mainland China,
"Hello Kitty Grains Crispy Rice Roll, Egg Yolk Flavor 160 g",https://www.sayweee.com/en/product/Hello-Kitty-Grains-Crispy-Rice-Roll--Egg-Yolk-Flavor/19290,$2.99,100+ Sold,100+ Sold,,"Hello Kitty Grains Crispy Rice Roll, Egg Yolk Flavor",(17),Mainland China,
"Yumei Rice Crust, Salted Yolk Flavor 118 g",https://www.sayweee.com/en/product/Yumei-Rice-Crust-Salted-Yolk-Flavor/24198,$3.69,600+ Sold,600+ Sold,$0.03/g,"Yumei Rice Crust, Salted Yolk Flavor",(59),Mainland China,YUMEI
Hsin Tung Yang Grain Snack with Cranberry 180 g,https://www.sayweee.com/en/product/Hsin-Tung-Yang-Grain-Snack-with-Cranberry/4853,$7.99,300+ Sold,300+ Sold,$0.04/g,Hsin Tung Yang Grain Snack with Cranberry,(29),Taiwan,HSIN TUNG YANG
Green Onion Crackers 140 g,https://www.sayweee.com/en/product/Green-Onion-Crackers/13935,$2.59,200+ Sold,200+ Sold,,Green Onion Crackers,(63),Taiwan,
Couque D'Asse White Torte Cookies 288 g,https://www.sayweee.com/en/product/Couque-DAsse-White-Torte-Cookies/1656,$5.99,200+ Sold,200+ Sold,,Couque D'Asse White Torte Cookies,(84),South Korea,NATURAL STORY
"Koloko Pea Crackers, Extreme Spicy 65 g",https://www.sayweee.com/en/product/Koloko-Pea-Crackers--Extreme-Spicy/69563,$1.99,200+ Sold,200+ Sold,$0.03/g,"Koloko Pea Crackers, Extreme Spicy",(29),Taiwan,
Bestore Millet Crisp Crust Rice Crackers  90 g,https://www.sayweee.com/en/product/Bestore-Millet-Crisp-Crust-Rice-Crackers-/4653,$2.49,1K+ Sold,1K+ Sold,,Bestore Millet Crisp Crust Rice Crackers,(45),Mainland China,BESTORE
"KSF Sweet Puff Pastry Cookie, Hazulnut Chocolate Flavor  80 g",https://www.sayweee.com/en/product/KSF-Sweet-Puff-Pastry-Cookie--Hazulnut-Chocolate-Flavor-/4240,$1.79,400+ Sold,400+ Sold,,"KSF Sweet Puff Pastry Cookie, Hazulnut Chocolate Flavor",(15),Mainland China,Master Kong
ORION Choco Boy 4pk 144 g,https://www.sayweee.com/en/product/ORION-Choco-Boy-4pk/99463,$3.99,100+ Sold,"100+ Sold,2 Left",,ORION Choco Boy 4pk,(7),South Korea,
Daoxiangcun Beijing Wheat Flour Cake 210 g,https://www.sayweee.com/en/product/Daoxiangcun-Beijing-Wheat-Flour-Cake/98809,$5.99,300+ Sold,300+ Sold,,Daoxiangcun Beijing Wheat Flour Cake,(43),Mainland China,Daoxiangcun
Want Want Ball Cake Cookies 210 g,https://www.sayweee.com/en/product/Want-Want-Ball-Cake-Cookies/53153,$4.49,100+ Sold,100+ Sold,,Want Want Ball Cake Cookies,(28),Mainland China,WANT WANT
Funwari Meijin Cheese Mochi 2.64 oz,https://www.sayweee.com/en/product/Funwari-Meijin-Cheese-Mochi/30237,$4.99,200+ Sold,200+ Sold,$1.89/oz,Funwari Meijin Cheese Mochi,(14),Japan,
DXC-Mini Fried Dough Twist-Spicy 120 g,https://www.sayweee.com/en/product/DXC-Mini-Fried-Dough-Twist-Spicy/5198,$2.99,500+ Sold,500+ Sold,,DXC-Mini Fried Dough Twist-Spicy,(14),Mainland China,
Soft Green Bean Cake 180 g,https://www.sayweee.com/en/product/Soft-Green-Bean-Cake/14849,$6.49,200+ Sold,200+ Sold,$0.03/g,Soft Green Bean Cake,(75),Mainland China,
HaoChiDian Crispy Almond Biscuits 108 g,https://www.sayweee.com/en/product/HaoChiDian-Crispy-Almond-Biscuits/91906,$1.99,200+ Sold,200+ Sold,,HaoChiDian Crispy Almond Biscuits,(18),Mainland China,
"Bestore Millet Crisp Crust Rice Crackers, Hot and Spicy Flavor 90 g",https://www.sayweee.com/en/product/Bestore-Millet-Crisp-Crust-Rice-Crackers--Hot-and-Spicy-Flavor/95951,$3.29,600+ Sold,600+ Sold,$0.03/g,"Bestore Millet Crisp Crust Rice Crackers, Hot and Spicy Flavor",(56),Mainland China,BESTORE
Orion Custard Soft Cake 12ct 276 g,https://www.sayweee.com/en/product/Orion-Custard-Soft-Cake-12ct/86191,$3.99,50+ Sold,50+ Sold,,Orion Custard Soft Cake 12ct,(80),,
SkyFlakes Crackers 800 g,https://www.sayweee.com/en/product/SkyFlakes-Crackers/73719,$10.99,200+ Sold,200+ Sold,,SkyFlakes Crackers,(6),Philippines,
"Songshan Pingdi Crisp Crust Cracker, Spicy Flavor 120 g",https://www.sayweee.com/en/product/Songshan-Pingdi-Crisp-Crust-Cracker-Spicy-Flavor/30974,$1.99,200+ Sold,200+ Sold,,"Songshan Pingdi Crisp Crust Cracker, Spicy Flavor",(68),Mainland China,
"Lotte Chocopie, Black Sugar Milk Tea Flavor 12pk 336 g",https://www.sayweee.com/en/product/Lotte-Chocopie--Black-Sugar-Milk-Tea-Flavor-12pk/26500,$4.49,50+ Sold,50+ Sold,,"Lotte Chocopie, Black Sugar Milk Tea Flavor 12pk",(10),South Korea,Lotte
Tokyo Milk Cheese Factory Honey Gorgonzola Cookies 1 box,https://www.sayweee.com/en/product/Tokyo-Milk-Cheese-Factory-Honey-Gorgonzola-Cookies/153,$19.99,50+ Sold,50+ Sold,$19.99/box,Tokyo Milk Cheese Factory Honey Gorgonzola Cookies,(86),Japan,Tokyo Milk Cheese Factory
Surasang BongBong Korean Crackers 330 g,https://www.sayweee.com/en/product/Surasang-BongBong-Korean-Crackers/38443,$3.99,100+ Sold,100+ Sold,,Surasang BongBong Korean Crackers,(54),South Korea,Surasang
HaoChiDian Crispy Walnut Biscuit 108 g,https://www.sayweee.com/en/product/HaoChiDian-Crispy-Walnut-Biscuit/91907,$1.99,200+ Sold,200+ Sold,,HaoChiDian Crispy Walnut Biscuit,(9),Mainland China,
LeZzi Delicious Mini Sesame Twists 500 g,https://www.sayweee.com/en/product/LeZzi-Delicious-Mini-Sesame-Twists/67257,$4.69,500+ Sold,500+ Sold,,LeZzi Delicious Mini Sesame Twists,(33),Mainland China,
"Loacker Quadratini Bite-Size Wafer Cookies, Hazelnut 250g 250 g",https://www.sayweee.com/en/product/Loacker-Quadratini-BiteSize-Wafer-Cookies-Hazelnut-250g/73818,$4.99,200+ Sold,200+ Sold,,"Loacker Quadratini Bite-Size Wafer Cookies, Hazelnut 250g",(73),,
Shanghai Style Crisp Biscuits 400 g,https://www.sayweee.com/en/product/Shanghai-Style-Crisp-Biscuits/32335,$3.59,400+ Sold,400+ Sold,,Shanghai Style Crisp Biscuits,(50),Mainland China,
Master Kong 3+2 Sandwich Lemon Biscuits 3pk 375 g,https://www.sayweee.com/en/product/Master-Kong-3-2-Sandwich-Lemon-Biscuits-3pk/99041,$5.19,4 Left,4 Left,,Master Kong 3+2 Sandwich Lemon Biscuits 3pk,(62),Mainland China,Master Kong
Master Kong 3+2 Cream Sandwich Biscuits 3pk 375 g,https://www.sayweee.com/en/product/Master-Kong-3-2-Cream-Sandwich-Biscuits-3pk/99113,$5.29,400+ Sold,400+ Sold,,Master Kong 3+2 Cream Sandwich Biscuits 3pk,(87),Mainland China,Master Kong
Lotte Pepero White Cookie 4.51 oz,https://www.sayweee.com/en/product/Lotte-Pepero-White-Cookie/96434,$5.99,100+ Sold,100+ Sold,$1.32/oz,Lotte Pepero White Cookie,(20),South Korea,Lotte
Crispy Sweet Fried Dough Twists with Sesame 160 g,https://www.sayweee.com/en/product/Crispy-Sweet-Fried-Dough-Twists-with-Sesame/31250,$2.79,600+ Sold,600+ Sold,,Crispy Sweet Fried Dough Twists with Sesame,(45),Mainland China,
Tate's Bake Shop Chocolate Chip Cookies 7 oz,https://www.sayweee.com/en/product/Tate-s-Bake-Shop-Chocolate-Chip-Cookies/47713,$6.59,50+ Sold,50+ Sold,$0.94/oz,Tate's Bake Shop Chocolate Chip Cookies,(5),United States,
Weilong Baked Coco Biscuits  105 g,https://www.sayweee.com/en/product/Weilong-Baked-Coco-Biscuits-/33960,$2.99,50+ Sold,50+ Sold,,Weilong Baked Coco Biscuits,(85),Mainland China,Weilong
ZOZI Fruful Dried Fruit Cookies Cranberry 4.8 oz,https://www.sayweee.com/en/product/ZOZI-Fruful-Dried-Fruit-Cookies-Cranberry/70832,$3.29,50+ Sold,50+ Sold,$0.68/oz,ZOZI Fruful Dried Fruit Cookies Cranberry,(34),Mainland China,ZOZI
DXC Crisp Cake 640 g,https://www.sayweee.com/en/product/DXC-Crisp-Cake/14850,$10.99,900+ Sold,900+ Sold,,DXC Crisp Cake,(151),Mainland China,
Loacker Quadratini Tiramisu Wafers 220 g,https://www.sayweee.com/en/product/Loacker-Quadratini-Tiramisu-Wafers/10613,$4.49,50+ Sold,50+ Sold,,Loacker Quadratini Tiramisu Wafers,(18),Italy,Loacker
"Pacific Crackers, Seaweed Flavor 400 g",https://www.sayweee.com/en/product/Pacific-Crackers-Seaweed-Flavor/72251,$5.49,50+ Sold,50+ Sold,,"Pacific Crackers, Seaweed Flavor",(15),Mainland China,
Sesame Handmade Twisted Roll  200 g,https://www.sayweee.com/en/product/Sesame-Handmade-Twisted-Roll-/64574,$3.99,100+ Sold,100+ Sold,,Sesame Handmade Twisted Roll,(59),Taiwan,
Salted Egg Yolk Crackers  230 g,https://www.sayweee.com/en/product/Salted-Egg-Yolk-Crackers-/69887,$4.59,50+ Sold,50+ Sold,,Salted Egg Yolk Crackers,(222),Taiwan,
