Title,Title_link,Price,count___1LWwo,Headline,Field1,Field2,Field3
"Genki Forest Sparkling Water, Calamansi Lime Flavor 6pk 1980 ml",https://www.sayweee.com/en/product/Genki-Forest-Sparkling-Water--Calamansi-Lime-Flavor-6pk/6136,$9.49,300+ Sold,"Genki Forest Sparkling Water, Calamansi Lime Flavor 6pk",(10),Mainland China,
"Kimino Sparkling Water, Ume Flavor 8.45 oz",https://www.sayweee.com/en/product/Kimino-Sparkling-Water-Ume-Flavor/23686,$2.69,300+ Sold,"Kimino Sparkling Water, Ume Flavor",(26),Japan,
Lotte 2% Peach Refreshing Water 240ml Each 6 can,https://www.sayweee.com/en/product/Lotte-2--Peach-Refreshing-Water-240ml-Each/29484,$5.99,200+ Sold,Lotte 2% Peach Refreshing Water 240ml Each,(3),South Korea,Lotte
Nayuki Sparkling Water Peach Flavor 500 ml,https://www.sayweee.com/en/product/Nayuki-Sparkling-Water-Peach-Flavor/67046,$2.29,200+ Sold,Nayuki Sparkling Water Peach Flavor,(20),Mainland China,
Sanzo Calamansi Sparkling Water 12 oz,https://www.sayweee.com/en/product/Sanzo-Calamansi-Sparkling-Water/1877,$2.29,200+ Sold,Sanzo Calamansi Sparkling Water,(5),United States,Sanzo
HEYTEA Sparkling Water Pineapple and Passion Fruit Flavor 500 ml,https://www.sayweee.com/en/product/HEYTEA-Sparkling-Water-Pineapple-and-Passion-Fruit-Flavor/33537,$2.79,"200+ Sold,14 Left",HEYTEA Sparkling Water Pineapple and Passion Fruit Flavor,(4),Mainland China,
Harmless Organic Coconut Water 32 oz,https://www.sayweee.com/en/product/Harmless-Organic-Coconut-Water/64573,$9.99,200+ Sold,Harmless Organic Coconut Water,(15),Thailand,HARMLESS HARVEST
HEYTEA Sparkling Water Peach Flavor 500 ml,https://www.sayweee.com/en/product/HEYTEA-Sparkling-Water-Peach-Flavor/12788,$2.59,200+ Sold,HEYTEA Sparkling Water Peach Flavor,(1),Mainland China,
"Asian Best Coconut Water with Coconut Meat, Frozen 10 oz",https://www.sayweee.com/en/product/Asian-Best-Coconut-Water-with-Coconut-Meat--Frozen/44972,$2.59,200+ Sold,"Asian Best Coconut Water with Coconut Meat, Frozen",(5),Thailand,
"Smart Water Base, Alkaline 33.8 oz",https://www.sayweee.com/en/product/Smart-Water-Base--Alkaline/46145,$1.99,100+ Sold,"Smart Water Base, Alkaline",,United States,
Genki Forest Sparkling Water Green Apple Flavor 480 ml,https://www.sayweee.com/en/product/Genki-Forest-Sparkling-Water-Green-Apple-Flavor/82740,$2.29,100+ Sold,Genki Forest Sparkling Water Green Apple Flavor,(3),Mainland China,Genki Forest
"Vitamin Water Power C, Dragonfruit 20 fl.oz",https://www.sayweee.com/en/product/Vitamin-Water-Power-C--Dragonfruit/45704,$1.69,100+ Sold,"Vitamin Water Power C, Dragonfruit",,United States,
"Vitamin Water XXX, Acai Blueberry Pomegranate 20 oz",https://www.sayweee.com/en/product/Vitamin-Water-XXX--Acai-Blueberry-Pomegranate/47072,$1.59,50+ Sold,"Vitamin Water XXX, Acai Blueberry Pomegranate",,United States,
Topo Chico Mineral Water 12 oz,https://www.sayweee.com/en/product/Topo-Chico-Mineral-Water/46140,$1.49,50+ Sold,Topo Chico Mineral Water,,Mexico,
"Arctic Ocean Soda Water, Original Flavor 6pk 1860 ml",https://www.sayweee.com/en/product/-Arctic-Ocean-Soda-Water--Original-Flavor-6pk/6143,$8.99,50+ Sold,"Arctic Ocean Soda Water, Original Flavor 6pk",(1),Mainland China,
"Arctic Ocean Soda Water, Passion Fruit Flavor 6pk 1860 ml",https://www.sayweee.com/en/product/Arctic-Ocean-Soda-Water--Passion-Fruit-Flavor-6pk/6146,$9.99,,"Arctic Ocean Soda Water, Passion Fruit Flavor 6pk",(9),Mainland China,
"Arctic Ocean Sparkling Water, Red Wine Flavor 6pk 1860 ml",https://www.sayweee.com/en/product/-Arctic-Ocean-Sparkling-Water--Red-Wine-Flavor-6pk/6142,$10.89,,"Arctic Ocean Sparkling Water, Red Wine Flavor 6pk",(6),Mainland China,
Watsons Collagen Water Orange Blossom Flavor 400 ml,https://www.sayweee.com/en/product/Watsons-Collagen-Water-Orange-Blossom-Flavor/84589,$2.99,,Watsons Collagen Water Orange Blossom Flavor,(1),Mainland China,
"Topo Chico Sparkling Mineral Water, Twist of Lime 12 oz",https://www.sayweee.com/en/product/Topo-Chico-Sparkling-Mineral-Water--Twist-of-Lime/46139,$1.49,,"Topo Chico Sparkling Mineral Water, Twist of Lime",,Mexico,
Bubly Sparkling Water White Peach Flavor  450 ml,https://www.sayweee.com/en/product/Bubly-Sparkling-Water-White-Peach-Flavor-/26662,$2.19,,Bubly Sparkling Water White Peach Flavor,(4),Mainland China,
"Arctic Ocean Soda Water, Lemon Flavor 6pk 1860 ml",https://www.sayweee.com/en/product/Arctic-Ocean-Soda-Water--Lemon-Flavor-6pk/6145,$8.99,,"Arctic Ocean Soda Water, Lemon Flavor 6pk",(4),Mainland China,
Haowangshui Hawthorn Sparkling Water Can  330 ml,https://www.sayweee.com/en/product/Haowangshui-Hawthorn-Sparkling-Water-Can-/87054,$2.49,,Haowangshui Hawthorn Sparkling Water Can,,Mainland China,
Bubly Sparkling Water Honey Pomelo Flavor  450 ml,https://www.sayweee.com/en/product/Bubly-Sparkling-Water-Honey-Pomelo-Flavor-/26667,$2.19,,Bubly Sparkling Water Honey Pomelo Flavor,(1),Mainland China,
Haowangshui Honeysuckle Peach Sparkling Water Can  330 ml,https://www.sayweee.com/en/product/Haowangshui-Honeysuckle-Peach-Sparkling-Water-Can-/87052,$2.49,,Haowangshui Honeysuckle Peach Sparkling Water Can,,Mainland China,
Haowangshui Bergamot Lemon Sparkling Water Can  330 ml,https://www.sayweee.com/en/product/Haowangshui-Bergamot-Lemon-Sparkling-Water-Can-/87053,$2.49,,Haowangshui Bergamot Lemon Sparkling Water Can,,Mainland China,
"Oceankist Cooked Wild Cold Water Shrimp, Frozen 1.5 lb",https://www.sayweee.com/en/product/Oceankist-Cooked-Wild-Cold-Water-Shrimp--Frozen/40549,$7.99,1K+ Sold,"Oceankist Cooked Wild Cold Water Shrimp, Frozen",(82),Canada,Oceankist
Chef Panda Soy Sauce Water Bamboo 280 g,https://www.sayweee.com/en/product/Chef-Panda-Soy-Sauce-Water-Bamboo/42956,$3.99,900+ Sold,Chef Panda Soy Sauce Water Bamboo,(219),Mainland China,
Asian Best Quail Eggs in Water 15 oz,https://www.sayweee.com/en/product/Asian-Best-Quail-Eggs-in-Water/31223,$2.89,600+ Sold,Asian Best Quail Eggs in Water,(17),Thailand,
JM Solution Water Luminous S.O.S Ringer Mask 10pk 1 box,https://www.sayweee.com/en/product/JM-Solution-Water-Luminous-S-O-S-Ringer-Mask-10pk/17245,$9.99,400+ Sold,JM Solution Water Luminous S.O.S Ringer Mask 10pk,(12),South Korea,JM Solution
Liushen Mosquito Repellent  Floral Water 195 ml,https://www.sayweee.com/en/product/Liushen-Mosquito-Repellent--Floral-Water/14242,$5.99,300+ Sold,Liushen Mosquito Repellent  Floral Water,(8),Mainland China,
"Royal Greenland Cooked Northern Cold Water Shrimp, Extra Large 8 oz",https://www.sayweee.com/en/product/Royal-Greenland-Cooked-Northern-Cold-Water-Shrimp--Extra-Large/35639,$5.99,300+ Sold,"Royal Greenland Cooked Northern Cold Water Shrimp, Extra Large",(36),Canada,
Asian Best Whole Water Chestnut 8 oz,https://www.sayweee.com/en/product/Asian-Best-Whole-Water-Chestnut/31819,$1.59,300+ Sold,Asian Best Whole Water Chestnut,(3),Thailand,
"Formosa Yay Water Chestnut Cake, Frozen 8pc  800 g",https://www.sayweee.com/en/product/Formosa-Yay-Water-Chestnut-Cake--Frozen-8pc-/97849,$4.99,"200+ Sold,20 Left","Formosa Yay Water Chestnut Cake, Frozen 8pc",(190),Taiwan,
Chicken of the Sea Chunk Light Tuna in Water Can 5 oz,https://www.sayweee.com/en/product/Chicken-of-the-Sea-Chunk-Light-Tuna-in-Water-Can/55541,$1.49,200+ Sold,Chicken of the Sea Chunk Light Tuna in Water Can,(5),Thailand,
"Aroma Professional 16-in-1 Nutri-Water, Pink, 1.5L AWK-701 1 count",https://www.sayweee.com/en/product/Aroma-Professional-16-in-1-Nutri-Water--Pink--1-5L-AWK-701/8854,$69.99,200+ Sold,"Aroma Professional 16-in-1 Nutri-Water, Pink, 1.5L AWK-701",(16),Mainland China,
"Hugo Foods Cold Water Prawns, Frozen 2 lb",https://www.sayweee.com/en/product/Hugo-Foods-Cold-Water-Prawns--Frozen/95380,$11.39,100+ Sold,"Hugo Foods Cold Water Prawns, Frozen",(266),United States,Hugo
Oceankist Jumbo Fresh Water Shrimp 4/6ct 2 lb,https://www.sayweee.com/en/product/Oceankist-Jumbo-Fresh-Water-Shrimp-4-6ct/85839,$29.99,100+ Sold,Oceankist Jumbo Fresh Water Shrimp 4/6ct,(1),India,Oceankist
"ICOOK Dim Sum Shrimp with Water Chestnut Dumpling, Frozen 8pc 200 g",https://www.sayweee.com/en/product/ICOOK-Dim-Sum-Shrimp-with-Water-Chestnut-Dumpling--Frozen-8pc/35189,$4.29,100+ Sold,"ICOOK Dim Sum Shrimp with Water Chestnut Dumpling, Frozen 8pc",(6),Mainland China,ICook
Zojirushi Citric Acid Cleaner for Electric Water Boilers 4pk  120 g,https://www.sayweee.com/en/product/Zojirushi-Citric-Acid-Cleaner-for-Electric-Water-Boilers-4pk-/42344,$6.78,100+ Sold,Zojirushi Citric Acid Cleaner for Electric Water Boilers 4pk,,Japan,Zojirushi
Chef Panda Soy Sauce Water Bamboo 280 g,https://www.sayweee.com/en/product/Chef-Panda-Soy-Sauce-Water-Bamboo/42954,$3.99,"100+ Sold,1 Left",Chef Panda Soy Sauce Water Bamboo,(32),Mainland China,
"JMsolution Water Luminous Golden Cocoon Mask, Black 10pk 1 box",https://www.sayweee.com/en/product/JMsolution-Water-Luminous-Golden-Cocoon-Mask--Black-10pk/98036,$12.59,100+ Sold,"JMsolution Water Luminous Golden Cocoon Mask, Black 10pk",(16),South Korea,JM Solution
LEC Japan My Melody 99.9% Water Wet Tissue with Case 1 each,https://www.sayweee.com/en/product/LEC-Japan-My-Melody-99-9--Water-Wet-Tissue-with-Case/85622,$8.09,100+ Sold,LEC Japan My Melody 99.9% Water Wet Tissue with Case,,Japan,LEC
Water Lilies Brand Spiced Jumbo Thick Dry Tofu 21 oz,https://www.sayweee.com/en/product/Water-Lilies-Brand-Spiced-Jumbo-Thick-Dry-Tofu/41012,$4.49,100+ Sold,Water Lilies Brand Spiced Jumbo Thick Dry Tofu,(2),Taiwan,
Hello Kitty 99.9% Water Wet Tissue with Case 1 count,https://www.sayweee.com/en/product/Hello-Kitty-99-9--Water-Wet-Tissue-with-Case/71582,$8.99,50+ Sold,Hello Kitty 99.9% Water Wet Tissue with Case,(11),Japan,LEC
Jm Solution Water Luminous S.O.S Ampoule Hyaluronic Mask 10 Pcs 1 box,https://www.sayweee.com/en/product/Jm-Solution-Water-Luminous-S-O-S-Ampoule-Hyaluronic-Mask-10-Pcs/21091,$12.49,50+ Sold,Jm Solution Water Luminous S.O.S Ampoule Hyaluronic Mask 10 Pcs,(7),South Korea,JM Solution
JM Solution Water Luminous Silky Cocoon Mask Black 10sheets 1 box,https://www.sayweee.com/en/product/JM-Solution-Water-Luminous-Silky-Cocoon-Mask-Black-10sheets/91677,$16.69,50+ Sold,JM Solution Water Luminous Silky Cocoon Mask Black 10sheets,(1),South Korea,JM Solution
Bioderma Sensibio H2O Micellar Water Makeup Remover 500 ml,https://www.sayweee.com/en/product/Bioderma-Sensibio-H2O-Micellar-Water-Makeup-Remover/2559,$12.99,50+ Sold,Bioderma Sensibio H2O Micellar Water Makeup Remover,(10),France,Bioderma
Water Lilies Brand Special Tofu 11 oz,https://www.sayweee.com/en/product/Water-Lilies-Brand-Special-Tofu/40935,$4.19,50+ Sold,Water Lilies Brand Special Tofu,(1),Taiwan,
JM Solution Water Luminous S.O.S Ringer Amino Mask 10pk 1 box,https://www.sayweee.com/en/product/JM-Solution-Water-Luminous-S-O-S-Ringer-Amino-Mask-10pk/47029,$11.99,50+ Sold,JM Solution Water Luminous S.O.S Ringer Amino Mask 10pk,,South Korea,JM Solution
999 Baby Bamboo Shoots in Water 19 oz,https://www.sayweee.com/en/product/999-Baby-Bamboo-Shoots-in-Water/32872,$3.29,50+ Sold,999 Baby Bamboo Shoots in Water,(4),Thailand,
"Voolga Recombinant Collagen Water Brighting Repair Mask, 5 Sheets 1 box",https://www.sayweee.com/en/product/Voolga-Recombinant-Collagen-Water-Brighting-Repair-Mask--5-Sheets/21881,$19.99,50+ Sold,"Voolga Recombinant Collagen Water Brighting Repair Mask, 5 Sheets",(5),Mainland China,Voolga
"LEC Doraemon 99.9% Water Wet Tissue Refill Pack, 80 Sheets 1 box",https://www.sayweee.com/en/product/LEC-Doraemon-99-9--Water-Wet-Tissue-Refill-Pack--80-Sheets/71756,$6.83,50+ Sold,"LEC Doraemon 99.9% Water Wet Tissue Refill Pack, 80 Sheets",(3),Japan,LEC
LEC Japan Doraemon 99.9% Water Wet Tissue with Case 1 count,https://www.sayweee.com/en/product/LEC-Japan-Doraemon-999-Water-Wet-Tissue-with-Case/71748,$8.09,50+ Sold,LEC Japan Doraemon 99.9% Water Wet Tissue with Case,(11),Japan,
Asian Best Premium Whole Water Chestnut  19 oz,https://www.sayweee.com/en/product/Asian-Best-Premium-Whole-Water-Chestnut-/31821,$2.99,,Asian Best Premium Whole Water Chestnut,(4),Thailand,
"Zojirushi Hybrid Water Boiler and Warmer, 4-Liter, Stainless Dark Brown  1 count",https://www.sayweee.com/en/product/Zojirushi-Hybrid-Water-Boiler-and-Warmer--4-Liter--Stainless-Dark-Brown-/3522,$179.98,,"Zojirushi Hybrid Water Boiler and Warmer, 4-Liter, Stainless Dark Brown",(17),Japan,Zojirushi
"LEC Hello Kitty 99.9% Water Wet Tissue Refill Pack, 80 Sheets 1 box",https://www.sayweee.com/en/product/LEC-Hello-Kitty-99-9--Water-Wet-Tissue-Refill-Pack--80-Sheets/71759,$7.19,,"LEC Hello Kitty 99.9% Water Wet Tissue Refill Pack, 80 Sheets",(4),Japan,LEC
Hattori Seishi Sosui Skin Care Sheet Mask with Ion Water 1 each,https://www.sayweee.com/en/product/Hattori-Seishi-Sosui-Skin-Care-Sheet-Mask-with-Ion-Water/79989,$4.69,,Hattori Seishi Sosui Skin Care Sheet Mask with Ion Water,(1),Japan,
Water Lilies Brand Spicy Dry Tofu 8 oz,https://www.sayweee.com/en/product/Water-Lilies-Brand-Spicy-Dry-Tofu/41013,$3.89,,Water Lilies Brand Spicy Dry Tofu,(1),Taiwan,Water Lilies
"Aroma Stainless Steel Electric Water Kettle, 1.7L(AWK-165M) 1 count",https://www.sayweee.com/en/product/Aroma-Stainless-Steel-Electric-Water-Kettle--1-7L-AWK-165M-/8843,$37.98,,"Aroma Stainless Steel Electric Water Kettle, 1.7L(AWK-165M)",(2),Mainland China,
"JAYJUN Real Water Brightening Black Mask, 10 Sheets 1 box",https://www.sayweee.com/en/product/JAYJUN-Real-Water-Brightening-Black-Mask--10-Sheets/94583,$16.99,,"JAYJUN Real Water Brightening Black Mask, 10 Sheets",(2),South Korea,Jayjun
[JM Solution] Water Luminous Avocado Nourishing In Oil Mask  10sheets 1 box,https://www.sayweee.com/en/product/-JM-Solution--Water-Luminous-Avocado-Nourishing-In-Oil-Mask--10sheets/4652,$9.99,,[JM Solution] Water Luminous Avocado Nourishing In Oil Mask  10sheets,(3),South Korea,
OSK Japan Hello Kitty Water Bottle with Straw (SC-450S) 1 count,https://www.sayweee.com/en/product/OSK-Japan-Hello-Kitty-Water-Bottle-with-Straw--SC-450S-/74591,$18.99,,OSK Japan Hello Kitty Water Bottle with Straw (SC-450S),,Japan,
Laneige Water Sleeping Mask EX  70 ml,https://www.sayweee.com/en/product/Laneige-Water-Sleeping-Mask-EX-/37680,$22.99,,Laneige Water Sleeping Mask EX,,South Korea,
Fan Beauty Seagrape Deep Hydrating Water Gel Mask 5pcs 1 box,https://www.sayweee.com/en/product/Fan-Beauty-Seagrape-Deep-Hydrating-Water-Gel-Mask-5pcs/50661,$26.99,,Fan Beauty Seagrape Deep Hydrating Water Gel Mask 5pcs,,Mainland China,
"Buydeem Instant Temperature Water Boiler, Cornel Pink 1 count",https://www.sayweee.com/en/product/Buydeem-Instant-Temperature-Water-Boiler--Cornel-Pink/1892,$118.99,,"Buydeem Instant Temperature Water Boiler, Cornel Pink",(1),Mainland China,Buydeem
SHISEIDO ELIXIR Balancing  Watering Cream 60 g,https://www.sayweee.com/en/product/SHISEIDO-ELIXIR-Balancing--Watering-Cream/1403,$29.99,,SHISEIDO ELIXIR Balancing  Watering Cream,,Japan,
Cure Water Treatment Skin Cream 100 g,https://www.sayweee.com/en/product/Cure-Water-Treatment-Skin-Cream/77778,$30.39,,Cure Water Treatment Skin Cream,,Japan,Cure
Tiger Water Heater 5 Liters 1 count,https://www.sayweee.com/en/product/Tiger-Water-Heater-5-Liters/14965,$158.99,,Tiger Water Heater 5 Liters,,Japan,Tiger
Son & Park Beauty Cleansing Water and Skin Toner 340 ml,https://www.sayweee.com/en/product/Son---Park-Beauty-Cleansing-Water-and-Skin-Toner/84468,$24.99,,Son & Park Beauty Cleansing Water and Skin Toner,,South Korea,
Garlic Sauteed Water Spinach 1 each,https://www.sayweee.com/en/restaurants/2205?ws=shopping-search,$14.99,,Weee!,,,
Mouth Watering Chicken 1 each,https://www.sayweee.com/en/restaurants/2904?ws=shopping-search,$16.95,,Weee!,,,
Sauteed Water Spinach with Fermented Bean Curd Sauce 1 each,https://www.sayweee.com/en/restaurants/1921?ws=shopping-search,$17.95,,Weee!,,,
Fried Sambal Water Spinach 1 each,https://www.sayweee.com/en/restaurants/3153?ws=shopping-search,$16.90,,Weee!,,,
Peach gum snow ear sugar water 1 each,https://www.sayweee.com/en/restaurants/2244?ws=shopping-search,$7.20,,Weee!,,,
Water Chestnut Cake 1 each,https://www.sayweee.com/en/restaurants/1945?ws=shopping-search,$9.32,,Weee!,,,
Sauteed Chinese Water Cress 1 each,https://www.sayweee.com/en/restaurants/1959?ws=shopping-search,$13.80,,Weee!,,,
Water Spinach with Sufu and Pepper 1 each,https://www.sayweee.com/en/restaurants/2904?ws=shopping-search,$20.95,,Weee!,,,
Garlic Water Spinach 1 each,https://www.sayweee.com/en/restaurants/2901?ws=shopping-search,$15.99,,Weee!,,,
Vital Proteins Water 1 each,https://www.sayweee.com/en/restaurants/2931?ws=shopping-search,$9.00,,Weee!,,,
Water 1 each,https://www.sayweee.com/en/restaurants/2520?ws=shopping-search,$2.00,,Weee!,,,
Water 1 each,https://www.sayweee.com/en/restaurants/2260?ws=shopping-search,$1.00,,Weee!,,,
Spring Water 1 each,https://www.sayweee.com/en/restaurants/2153?ws=shopping-search,$1.49,,Weee!,,,
Perrier Water 1 each,https://www.sayweee.com/en/restaurants/1945?ws=shopping-search,$3.99,,Weee!,,,
S.Pellegrino Sparkling Water 1 each,https://www.sayweee.com/en/restaurants/1945?ws=shopping-search,$3.99,,Weee!,,,
Deep-Fried Mao Beans In Salt Water 1 each,https://www.sayweee.com/en/restaurants/2932?ws=shopping-search,$3.85,,Weee!,,,
Bottle Water 1 each,https://www.sayweee.com/en/restaurants/3153?ws=shopping-search,$2.00,,Weee!,,,
Mineral Water 1 each,https://www.sayweee.com/en/restaurants/3175?ws=shopping-search,$1.18,,Weee!,,,
Mouth Water Chicken 1 each,https://www.sayweee.com/en/restaurants/3175?ws=shopping-search,$11.76,,Weee!,,,
Water Spinach with Fermented Beancurd Sauce 1 each,https://www.sayweee.com/en/restaurants/3361?ws=shopping-search,$18.95,,Weee!,,,
Mouth Water Chicken	 1 each,https://www.sayweee.com/en/restaurants/3178?ws=shopping-search,$9.99,,Weee!,,,
Aqua Panna Spring Water 1 each,https://www.sayweee.com/en/restaurants/2931?ws=shopping-search,$6.00,,Weee!,,,
Water Spinach with Garlic 1 each,https://www.sayweee.com/en/restaurants/1922?ws=shopping-search,$19.99,,Weee!,,,
Miss Vickie's Chips and Dasani Water 1 each,https://www.sayweee.com/en/restaurants/2967?ws=shopping-search,$4.19,,Weee!,,,
Dasani Bottled Water 1 each,https://www.sayweee.com/en/restaurants/2967?ws=shopping-search,$2.99,,Weee!,,,
Bottle Water 1 each,https://www.sayweee.com/en/restaurants/3421?ws=shopping-search,$1.50,,Weee!,,,
Citrus Flavor Sparkling Water 1 each,https://www.sayweee.com/en/restaurants/2199?ws=shopping-search,$2.49,,Weee!,,,
Black Grape Sparkling Water 1 each,https://www.sayweee.com/en/restaurants/2199?ws=shopping-search,$2.49,,Weee!,,,
Lemon and Cactus Sparkling Water 1 each,https://www.sayweee.com/en/restaurants/2199?ws=shopping-search,$2.49,,Weee!,,,
Water 1 each,https://www.sayweee.com/en/restaurants/2199?ws=shopping-search,$0.99,,Weee!,,,
Genki Forest Sparkling Water Lime and Cactus 480 ml,https://www.sayweee.com/en/product/Genki-Forest-Sparkling-Water-Lime-and-Cactus/84522,$2.29,500+ Sold,Genki Forest Sparkling Water Lime and Cactus,(3),Mainland China,Genki Forest
"HEYTEA Sparkling Water, Sea salt and Grapefruit Flavor 500 ml",https://www.sayweee.com/en/product/HEYTEA-Sparkling-Water--Sea-salt-and-Grapefruit-Flavor/9880,$2.79,100+ Sold,"HEYTEA Sparkling Water, Sea salt and Grapefruit Flavor",(10),Mainland China,
"Genki Sugar-Free Sparkling Water, Cucumber Flavor 480 ml",https://www.sayweee.com/en/product/Genki-SugarFree-Sparkling-Water-Cucumber-Flavor/11179,$2.29,100+ Sold,"Genki Sugar-Free Sparkling Water, Cucumber Flavor",(70),Mainland China,
"Cocoking 100% Natural Coconut Water, No Pulp 33.8 fl.oz",https://www.sayweee.com/en/product/Cocoking-100--Natural-Coconut-Water--No-Pulp/20522,$3.69,,"Cocoking 100% Natural Coconut Water, No Pulp",(6),Thailand,
Shiseido Water in Lip Kusumi Reset Lip Balm  3 g,https://www.sayweee.com/en/product/Shiseido-Water-in-Lip-Kusumi-Reset-Lip-Balm-/82306,$8.19,200+ Sold,Shiseido Water in Lip Kusumi Reset Lip Balm,(5),Japan,
Shiseido Water in Lip No Fragrance Lip Balm  3 g,https://www.sayweee.com/en/product/Shiseido-Water-in-Lip-No-Fragrance-Lip-Balm-/82316,$5.59,,Shiseido Water in Lip No Fragrance Lip Balm,(3),Japan,
Jayjun Real Water Brightening Black Mask  25 ml,https://www.sayweee.com/en/product/Jayjun-Real-Water-Brightening-Black-Mask-/94727,$1.79,,Jayjun Real Water Brightening Black Mask,(26),South Korea,Jayjun
Laneige Water Sleeping Mask  70 ml,https://www.sayweee.com/en/product/Laneige-Water-Sleeping-Mask-/71226,$21.99,,Laneige Water Sleeping Mask,(16),South Korea,Laneige
