Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Sold_Monthly,Weekly_Revenue,Platform,Category,Rate,Option
HEYTEA Sparkling Water Pineapple and Passion Fruit Flavor 500 ml,2.79,200,Mainland China,Unclear,4,800,558,Weee,Sparking,Unclear,Unclear
Harmless Organic Coconut Water 32 oz,9.99,200,Thailand,HARMLESS HARVEST,15,800,1998,Weee,Sparking,Unclear,Unclear
HEYTEA Sparkling Water Peach Flavor 500 ml,2.59,200,Mainland China,Unclear,1,800,518,Weee,Sparking,Unclear,Unclear
"Asian Best Coconut Water with Coconut Meat, Frozen 10 oz",2.59,200,Thailand,Unclear,5,800,518,Weee,Sparking,Unclear,Unclear
"Smart Water Base, Alkaline 33.8 oz",1.99,100,United States,Unclear,0,400,199,Weee,Sparking,Unclear,Unclear
Genki Forest Sparkling Water Green Apple Flavor 480 ml,2.29,100,Mainland China,Genki Forest,3,400,229,Weee,Sparking,Unclear,Unclear
"Vitamin Water Power C, Dragonfruit 20 fl.oz",1.69,100,United States,Unclear,0,400,169,Weee,Sparking,Unclear,Unclear
"Vitamin Water XXX, Acai Blueberry Pomegranate 20 oz",1.59,50,United States,Unclear,0,200,79.5,Weee,Sparking,Unclear,Unclear
Topo Chico Mineral Water 12 oz,1.49,50,Mexico,Unclear,0,200,74.5,Weee,Sparking,Unclear,Unclear
"Arctic Ocean Soda Water, Original Flavor 6pk 1860 ml",8.99,50,Mainland China,Unclear,1,200,449.5,Weee,Sparking,Unclear,Unclear
"Arctic Ocean Soda Water, Passion Fruit Flavor 6pk 1860 ml",9.99,0,Mainland China,Unclear,9,0,0,Weee,Sparking,Unclear,Unclear
"Arctic Ocean Sparkling Water, Red Wine Flavor 6pk 1860 ml",10.89,0,Mainland China,Unclear,6,0,0,Weee,Sparking,Unclear,Unclear
Watsons Collagen Water Orange Blossom Flavor 400 ml,2.99,0,Mainland China,Unclear,1,0,0,Weee,Sparking,Unclear,Unclear
"Topo Chico Sparkling Mineral Water, Twist of Lime 12 oz",1.49,0,Mexico,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Bubly Sparkling Water White Peach Flavor  450 ml,2.19,0,Mainland China,Unclear,4,0,0,Weee,Sparking,Unclear,Unclear
"Arctic Ocean Soda Water, Lemon Flavor 6pk 1860 ml",8.99,0,Mainland China,Unclear,4,0,0,Weee,Sparking,Unclear,Unclear
Haowangshui Hawthorn Sparkling Water Can  330 ml,2.49,0,Mainland China,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Bubly Sparkling Water Honey Pomelo Flavor  450 ml,2.19,0,Mainland China,Unclear,1,0,0,Weee,Sparking,Unclear,Unclear
Haowangshui Honeysuckle Peach Sparkling Water Can  330 ml,2.49,0,Mainland China,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Haowangshui Bergamot Lemon Sparkling Water Can  330 ml,2.49,0,Mainland China,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
"Oceankist Cooked Wild Cold Water Shrimp, Frozen 1.5 lb",7.99,1000,Canada,Oceankist,82,4000,7990,Weee,Sparking,Unclear,Unclear
Chef Panda Soy Sauce Water Bamboo 280 g,3.99,900,Mainland China,Unclear,219,3600,3591,Weee,Sparking,Unclear,Unclear
Asian Best Quail Eggs in Water 15 oz,2.89,600,Thailand,Unclear,17,2400,1734,Weee,Sparking,Unclear,Unclear
JM Solution Water Luminous S.O.S Ringer Mask 10pk 1 box,9.99,400,South Korea,JM Solution,12,1600,3996,Weee,Sparking,Unclear,Unclear
Liushen Mosquito Repellent  Floral Water 195 ml,5.99,300,Mainland China,Unclear,8,1200,1797,Weee,Sparking,Unclear,Unclear
"Royal Greenland Cooked Northern Cold Water Shrimp, Extra Large 8 oz",5.99,300,Canada,Unclear,36,1200,1797,Weee,Sparking,Unclear,Unclear
Asian Best Whole Water Chestnut 8 oz,1.59,300,Thailand,Unclear,3,1200,477,Weee,Sparking,Unclear,Unclear
"Formosa Yay Water Chestnut Cake, Frozen 8pc  800 g",4.99,200,Taiwan,Unclear,190,800,998,Weee,Sparking,Unclear,Unclear
Chicken of the Sea Chunk Light Tuna in Water Can 5 oz,1.49,200,Thailand,Unclear,5,800,298,Weee,Sparking,Unclear,Unclear
"Aroma Professional 16-in-1 Nutri-Water, Pink, 1.5L AWK-701 1 count",69.99,200,Mainland China,Unclear,16,800,13998,Weee,Sparking,Unclear,Unclear
"Hugo Foods Cold Water Prawns, Frozen 2 lb",11.39,100,United States,Hugo,266,400,1139,Weee,Sparking,Unclear,Unclear
Oceankist Jumbo Fresh Water Shrimp 4/6ct 2 lb,29.99,100,India,Oceankist,1,400,2999,Weee,Sparking,Unclear,Unclear
"ICOOK Dim Sum Shrimp with Water Chestnut Dumpling, Frozen 8pc 200 g",4.29,100,Mainland China,ICook,6,400,429,Weee,Sparking,Unclear,Unclear
Zojirushi Citric Acid Cleaner for Electric Water Boilers 4pk  120 g,6.78,100,Japan,Zojirushi,0,400,678,Weee,Sparking,Unclear,Unclear
Chef Panda Soy Sauce Water Bamboo 280 g,3.99,100,Mainland China,Unclear,32,400,399,Weee,Sparking,Unclear,Unclear
"JMsolution Water Luminous Golden Cocoon Mask, Black 10pk 1 box",12.59,100,South Korea,JM Solution,16,400,1259,Weee,Sparking,Unclear,Unclear
LEC Japan My Melody 99.9% Water Wet Tissue with Case 1 each,8.09,100,Japan,LEC,0,400,809,Weee,Sparking,Unclear,Unclear
Water Lilies Brand Spiced Jumbo Thick Dry Tofu 21 oz,4.49,100,Taiwan,Unclear,2,400,449,Weee,Sparking,Unclear,Unclear
Hello Kitty 99.9% Water Wet Tissue with Case 1 count,8.99,50,Japan,LEC,11,200,449.5,Weee,Sparking,Unclear,Unclear
Jm Solution Water Luminous S.O.S Ampoule Hyaluronic Mask 10 Pcs 1 box,12.49,50,South Korea,JM Solution,7,200,624.5,Weee,Sparking,Unclear,Unclear
JM Solution Water Luminous Silky Cocoon Mask Black 10sheets 1 box,16.69,50,South Korea,JM Solution,1,200,834.5,Weee,Sparking,Unclear,Unclear
Bioderma Sensibio H2O Micellar Water Makeup Remover 500 ml,12.99,50,France,Bioderma,10,200,649.5,Weee,Sparking,Unclear,Unclear
Water Lilies Brand Special Tofu 11 oz,4.19,50,Taiwan,Unclear,1,200,209.5,Weee,Sparking,Unclear,Unclear
JM Solution Water Luminous S.O.S Ringer Amino Mask 10pk 1 box,11.99,50,South Korea,JM Solution,0,200,599.5,Weee,Sparking,Unclear,Unclear
999 Baby Bamboo Shoots in Water 19 oz,3.29,50,Thailand,Unclear,4,200,164.5,Weee,Sparking,Unclear,Unclear
"Voolga Recombinant Collagen Water Brighting Repair Mask, 5 Sheets 1 box",19.99,50,Mainland China,Voolga,5,200,999.5,Weee,Sparking,Unclear,Unclear
"LEC Doraemon 99.9% Water Wet Tissue Refill Pack, 80 Sheets 1 box",6.83,50,Japan,LEC,3,200,341.5,Weee,Sparking,Unclear,Unclear
LEC Japan Doraemon 99.9% Water Wet Tissue with Case 1 count,8.09,50,Japan,Unclear,11,200,404.5,Weee,Sparking,Unclear,Unclear
Asian Best Premium Whole Water Chestnut  19 oz,2.99,0,Thailand,Unclear,4,0,0,Weee,Sparking,Unclear,Unclear
"Zojirushi Hybrid Water Boiler and Warmer, 4-Liter, Stainless Dark Brown  1 count",179.98,0,Japan,Zojirushi,17,0,0,Weee,Sparking,Unclear,Unclear
"LEC Hello Kitty 99.9% Water Wet Tissue Refill Pack, 80 Sheets 1 box",7.19,0,Japan,LEC,4,0,0,Weee,Sparking,Unclear,Unclear
Hattori Seishi Sosui Skin Care Sheet Mask with Ion Water 1 each,4.69,0,Japan,Unclear,1,0,0,Weee,Sparking,Unclear,Unclear
Water Lilies Brand Spicy Dry Tofu 8 oz,3.89,0,Taiwan,Water Lilies,1,0,0,Weee,Sparking,Unclear,Unclear
"Aroma Stainless Steel Electric Water Kettle, 1.7L(AWK-165M) 1 count",37.98,0,Mainland China,Unclear,2,0,0,Weee,Sparking,Unclear,Unclear
"JAYJUN Real Water Brightening Black Mask, 10 Sheets 1 box",16.99,0,South Korea,Jayjun,2,0,0,Weee,Sparking,Unclear,Unclear
[JM Solution] Water Luminous Avocado Nourishing In Oil Mask  10sheets 1 box,9.99,0,South Korea,Unclear,3,0,0,Weee,Sparking,Unclear,Unclear
OSK Japan Hello Kitty Water Bottle with Straw (SC-450S) 1 count,18.99,0,Japan,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Laneige Water Sleeping Mask EX  70 ml,22.99,0,South Korea,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Fan Beauty Seagrape Deep Hydrating Water Gel Mask 5pcs 1 box,26.99,0,Mainland China,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
"Buydeem Instant Temperature Water Boiler, Cornel Pink 1 count",118.99,0,Mainland China,Buydeem,1,0,0,Weee,Sparking,Unclear,Unclear
SHISEIDO ELIXIR Balancing  Watering Cream 60 g,29.99,0,Japan,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Cure Water Treatment Skin Cream 100 g,30.39,0,Japan,Cure,0,0,0,Weee,Sparking,Unclear,Unclear
Tiger Water Heater 5 Liters 1 count,158.99,0,Japan,Tiger,0,0,0,Weee,Sparking,Unclear,Unclear
Son & Park Beauty Cleansing Water and Skin Toner 340 ml,24.99,0,South Korea,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Garlic Sauteed Water Spinach 1 each,14.99,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Mouth Watering Chicken 1 each,16.95,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Sauteed Water Spinach with Fermented Bean Curd Sauce 1 each,17.95,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Fried Sambal Water Spinach 1 each,16.9,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Peach gum snow ear sugar water 1 each,7.2,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Water Chestnut Cake 1 each,9.32,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Sauteed Chinese Water Cress 1 each,13.8,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Water Spinach with Sufu and Pepper 1 each,20.95,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Garlic Water Spinach 1 each,15.99,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Vital Proteins Water 1 each,9,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Water 1 each,2,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Water 1 each,1,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Spring Water 1 each,1.49,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Perrier Water 1 each,3.99,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
S.Pellegrino Sparkling Water 1 each,3.99,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Deep-Fried Mao Beans In Salt Water 1 each,3.85,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Bottle Water 1 each,2,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Mineral Water 1 each,1.18,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Mouth Water Chicken 1 each,11.76,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Water Spinach with Fermented Beancurd Sauce 1 each,18.95,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
"Mouth Water Chicken	 1 each",9.99,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Aqua Panna Spring Water 1 each,6,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Water Spinach with Garlic 1 each,19.99,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Miss Vickie's Chips and Dasani Water 1 each,4.19,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Dasani Bottled Water 1 each,2.99,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Bottle Water 1 each,1.5,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Citrus Flavor Sparkling Water 1 each,2.49,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Black Grape Sparkling Water 1 each,2.49,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Lemon and Cactus Sparkling Water 1 each,2.49,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Water 1 each,0.99,0,Unclear,Unclear,0,0,0,Weee,Sparking,Unclear,Unclear
Genki Forest Sparkling Water Lime and Cactus 480 ml,2.29,500,Mainland China,Genki Forest,3,2000,1145,Weee,Sparking,Unclear,Unclear
"HEYTEA Sparkling Water, Sea salt and Grapefruit Flavor 500 ml",2.79,100,Mainland China,Unclear,10,400,279,Weee,Sparking,Unclear,Unclear
"Genki Sugar-Free Sparkling Water, Cucumber Flavor 480 ml",2.29,100,Mainland China,Unclear,70,400,229,Weee,Sparking,Unclear,Unclear
"Cocoking 100% Natural Coconut Water, No Pulp 33.8 fl.oz",3.69,0,Thailand,Unclear,6,0,0,Weee,Sparking,Unclear,Unclear
Shiseido Water in Lip Kusumi Reset Lip Balm  3 g,8.19,200,Japan,Unclear,5,800,1638,Weee,Sparking,Unclear,Unclear
Shiseido Water in Lip No Fragrance Lip Balm  3 g,5.59,0,Japan,Unclear,3,0,0,Weee,Sparking,Unclear,Unclear
Jayjun Real Water Brightening Black Mask  25 ml,1.79,0,South Korea,Jayjun,26,0,0,Weee,Sparking,Unclear,Unclear
Laneige Water Sleeping Mask  70 ml,21.99,0,South Korea,Laneige,16,0,0,Weee,Sparking,Unclear,Unclear
