Price,Product_Name,Reviews,Sold_Monthly,Sold_Weekly,Weekly_Revenue,Platform,Category,Option,Origin,Brand,Rate
199.99,Ejiao Piece,1,4234,1059,211689,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.49,Puff Paratha (original),6,5358,1340,8693,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
29.99,Brown Sugar Bubble Crepe Cake,8,5538,1385,41521,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.49,Beijing Sesame Cake,5,8803,2201,9881,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.29,NEW HEALTH Green Onion Pancake,1,4219,1055,5580,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
39.95,Pineapple Cake (Gift Box ),0,6048,1512,60404,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.75,Vanilla Slice,2,2597,649,3733,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
15.95,Mix Ball Box,0,5391,1348,21497,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.95,Yogurt Fruit Cake,14,8414,2104,12516,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
11.95,Honey Bean Tarts(4 pcs),0,4393,1098,13124,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.95,Topping Kaya+Shredded Pork+Wrappedcake,19,2498,625,4340,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.75,Whole Wheat Toast,3,2751,688,3267,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
17.25,Red Bean Bun,0,1596,399,6883,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
12.50,Wuhan Bean Curd,95,11745,2936,36703,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
14.95,Sweet Potato and Taro Paste,7,2816,704,10525,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.75,Whole Wheat Turkey,1,1625,406,1930,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
20.75,Shanghai Pork Rice Dumpling,12,9123,2281,47326,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
7.95,Sweet Heart Cake,0,4690,1173,9321,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.95,Mei Xin Pineapple Buns,2,2076,519,3607,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
8.25,Yolk Bean Paste Cakes,23,2804,701,5783,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.75,Paper Wrapped Cake,13,2890,723,3432,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.25,Butterbun,4,2477,619,3251,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
14.95,Egg-Yolk Puff,5,2900,725,10839,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
10.25,Mixing Bun,23,2447,612,6270,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
20.25,Green Tea Flavor Sponge Cake (12 pcs),2,1910,478,9669,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
95.25,Durian Crepe Cake,0,1876,469,44672,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.95,Fried Pork+Corn+Whole Wheat,1,2264,566,3934,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.95,Walnut Crisp,10,4258,1065,6334,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.95,Cocktail Bun,0,2851,713,4954,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
9.25,Orange nut vitamin C cake,2,2916,729,6743,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
8.95,White Sugar Steam Pastry,13,1786,447,3996,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.95,Twisted Doughnut,27,5424,1356,8068,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.25,Puff Pancake,14,2296,574,3588,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
20.25,Chocolate Flavor Sponge Cake (12 pcs),0,1967,492,9958,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
10.50,House Special Sweet Sticky Rice Pudding,0,3988,997,10469,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
8.25,Egg Yolk Lotus Seed Paste Cakes,8,2147,537,4428,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
10.25,Cornmeal Taro Bun,1,2334,584,5981,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
10.25,Pumpkin Bun,3,1931,483,4948,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
7.95,Crispy Milk Cake,0,4073,1018,8095,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
7.25,Christmas Red Velvet Cake,11,5199,1300,9423,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.95,Fried Pork Flakes Bread,6,2710,678,4709,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
8.95,Water Chestnut Cake,2,2572,643,5755,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
84.95,Mango Crepe Cake,0,3016,754,64052,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
9.25,White Bun,12,3002,751,6942,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.25,Taiwanese Egg Tart,1,6230,1558,6619,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.95,Floss Egg Cake,17,1801,450,2679,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
13.95,Smile Cake,0,2146,537,7484,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.95,Chives Egg Pancake,25,3711,928,6448,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
8.95,Brown Sugar Steam Pastry,3,1929,482,4316,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
18.75,Sweet Date Rice Dumpling,5,3102,776,14541,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.95,Egg Tart,11,2782,696,4834,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
15.75,Brown Sugar Glutinous Rice Cake,5,3761,940,14809,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
7.95,Taro Mochi Ball,1,4466,1117,8876,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
11.50,Steamed Bun With Vegetable Meat,1,2550,638,7331,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.75,Portuguese  Egg Tart,10,6062,1516,8714,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
50.50,Tibet Style Lamb w Brown Sugar Rice Cake,0,2714,679,34264,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
11.50,Steamed Bun With Pork,5,2160,540,6210,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.95,Peanut Cake,8,2897,724,5034,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.95,Sweet Pancake,4,2284,571,3397,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.50,Hone Cheesecake,16,1801,450,2927,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
13.95,Sesame Balls,0,2462,616,8586,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
31.25,Su-Style  Mixed Mooncakes（6/Box）,0,1125,281,8789,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
8.75,Red Bean Rice Cake,2,1722,431,3767,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.25,Sea Moss And Meat Floss Cake Roll,40,8694,2174,11411,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
20.25,Coconut Flavor Sponge Cake (12 pcs),0,1398,350,7077,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.75,Steam Bun,6,2156,539,3099,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
10.25,Whole Wheat Steamed Bun,1,1637,409,4195,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.25,Glutinous Rice Cake,1,1999,500,3123,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
84.95,Matcha Crepe Cake,0,2799,700,59444,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.95,German Pudding,8,5675,1419,9860,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
10.25,Hanamaki Bun,10,2038,510,5222,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
25.95,Salted Egg Yolk Pork Rice Dumpling,18,6216,1554,40326,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
7.95,Pineapple Cake,1,4185,1046,8318,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.75,Chocolate Chips Cookies,0,4749,1187,6827,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
14.50,Huangqiao Backed Bun,18,1917,479,6949,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
15.50,Egg Tart and Portuguese Egg Tart,3,3664,916,14198,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.75,Butterfly Cookies,2,4297,1074,6177,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
16.75,Sponge Cake (12 pcs),31,3167,792,13262,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.75,Taro Pastry,6,1724,431,2478,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.75,Radish Pastry,34,3244,811,4663,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.75,Almond Cookies,0,4622,1156,6644,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
29.95,Pan Fried Fish Cakes,2,2832,708,21205,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
16.25,Green Onion Flatbread(Frozen),5,4708,1177,19126,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
3.25,Mung Bean Pastry,1,4983,1246,4049,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
