Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,brand-variants,price-valid,price-invalid,price-discount,Headline,Field1,Field2,Field3
Meltyblend Chocolate Fruity Strawberry 60g,https://www.yamibuy.com/en/p/meiji-meltyblend-chocolate-fruity-strawberry-60g/1018004671?scene=item_search.result&bu_type=search&module_name=input&index=11&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MEIJI,74,$3.99,,,,,Meltyblend Chocolate Fruity Strawberry 60g,76,Japan,4.8
Pocky Classic Chocolate Biscuit Sticks Family Pack 9 Packs,https://www.yamibuy.com/en/p/glico-classic-chocolate-pocky-stick-family-pack-9-packs/1016017051?scene=item_search.result&bu_type=search&module_name=input&index=12&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GLICO,85,,,$3.59,$3.99,11% OFF,Pocky Classic Chocolate Biscuit Sticks Family Pack 9 Packs,85,Japan,4.8
Meltyblend Green Tea Chocolate 60g,https://www.yamibuy.com/en/p/meiji-meltyblend-greentea-chocolate-60g/1018004721?scene=item_search.result&bu_type=search&module_name=input&index=13&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MEIJI,106,$3.99,,,,,Meltyblend Green Tea Chocolate 60g,108,Japan,4.6
Gummy Candy Orange Flavor 51g,https://www.yamibuy.com/en/p/gummy-kajyu-unshu-mikan-51g/1018037951?scene=item_search.result&bu_type=search&module_name=input&index=14&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MEIJI,27,$1.59,3 Options,,,,Gummy Candy Orange Flavor 51g,27,Japan,4.9
Mushroom Chocolate Cookie 74g,https://www.yamibuy.com/en/p/kinoko-no-yama/1016081101?scene=item_search.result&bu_type=search&module_name=input&index=15&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MEIJI,29,$2.99,2 Options,,,,Mushroom Chocolate Cookie 74g,29,Japan,4.9
Taste Sugar Kololo Grape 40g,https://www.yamibuy.com/en/p/uha-taste-sugar-kololo-grape-40g/1018002261?scene=item_search.result&bu_type=search&module_name=input&index=16&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,UHA,86,,7 Options,$2.89,$2.99,4% OFF,Taste Sugar Kololo Grape 40g,87,Japan,4.5
Pocky Winter Melty Chocolate Flavor Stick 56g,https://www.yamibuy.com/en/p/glico-pocky-winter-melty-chocolate-flavor-stick-56g/1016014921?scene=item_search.result&bu_type=search&module_name=input&index=17&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GLICO,5,,,$1.99,$2.19,10% OFF,Pocky Winter Melty Chocolate Flavor Stick 56g,6,Japan,4.7
Milk Chocolate Lollipop,https://www.yamibuy.com/en/p/fujita-milk-chocolate-lollipop/1018000371?scene=item_search.result&bu_type=search&module_name=input&index=18&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FUJIYA,10,$1.68,,,,,Milk Chocolate Lollipop,10,Japan,4.6
Peko Poko Chocolate Lollipops 0.8oz,https://www.yamibuy.com/en/p/peko-poko-chocolate-lollipops-0-8oz/1018043271?scene=item_search.result&bu_type=search&module_name=input&index=19&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FUJIYA,16,$1.69,,,,,Peko Poko Chocolate Lollipops 0.8oz,16,Japan,4.9
Kit Kat Chocolate Wafer Melon Flavor 11pc,https://www.yamibuy.com/en/p/kit-kat-chocolate-wafer-melon-flavor-11pc/1018047071?scene=item_search.result&bu_type=search&module_name=input&index=20&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,2,,,$4.19,$6.99,41% OFF,Kit Kat Chocolate Wafer Melon Flavor 11pc,2,Japan,5
Japanese Kit Kat Cheese Cake Chocolate Wafer 9pc,https://www.yamibuy.com/en/p/kitkat-cheese-cake-chocolate-wafer-9pc/1018046361?scene=item_search.result&bu_type=search&module_name=input&index=21&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,7,$6.99,,,,,Japanese Kit Kat Cheese Cake Chocolate Wafer 9pc,7,Japan,4.9
Japanese Kit Kat Strawberry Chocolate Wafer,https://www.yamibuy.com/en/p/kitkat-strawberry-chocolate-wafer/1018046451?scene=item_search.result&bu_type=search&module_name=input&index=22&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,1,,,$5.99,$6.99,15% OFF,Japanese Kit Kat Strawberry Chocolate Wafer,1,Japan,5
Pocky Super Slender Chocolate Biscuit Sticks 73g  Random version,https://www.yamibuy.com/en/p/glico-super-slender-chocolate-pocky-73g/1016006011?scene=item_search.result&bu_type=search&module_name=input&index=23&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GLICO,143,$2.19,,,,,Pocky Super Slender Chocolate Biscuit Sticks 73g  Random version,143,Japan,4.8
Mikakuto Coke Flavored Gummy 40g,https://www.yamibuy.com/en/p/mikakuto-coke-flavored-gummy-40g/1018042491?scene=item_search.result&bu_type=search&module_name=input&index=24&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,UHA,2,$2.49,,,,,Mikakuto Coke Flavored Gummy 40g,2,Japan,5
Chocolate and Milk Cake,https://www.yamibuy.com/en/p/chocolate-and-milk-cake/1016085361?scene=item_search.result&bu_type=search&module_name=input&index=25&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GAOLEGAO,11,$11.99,2 Options,,,,Chocolate and Milk Cake,11,China,5
Gummy Candy Peach Flavor 50g,https://www.yamibuy.com/en/p/fettuccine-gummy-peach-48g/1018041091?scene=item_search.result&bu_type=search&module_name=input&index=26&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,9,$1.99,2 Options,,,,Gummy Candy Peach Flavor 50g,9,Japan,4.8
Japanese Kit Kat Milk Tea Chocolate Wafer 12pc,https://www.yamibuy.com/en/p/kitkat-milk-tea-chocolate-wafer-12pc/1018046371?scene=item_search.result&bu_type=search&module_name=input&index=27&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,3,$6.99,,,,,Japanese Kit Kat Milk Tea Chocolate Wafer 12pc,3,Japan,3.7
PEKO Chan Gummy Grape 1.76oz,https://www.yamibuy.com/en/p/peko-chan-gummy-grape-1-76oz/1018043251?scene=item_search.result&bu_type=search&module_name=input&index=28&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FUJIYA,9,$1.69,2 Options,,,,PEKO Chan Gummy Grape 1.76oz,9,Japan,4.2
PEKO Chan Gummy Peach 1.76oz,https://www.yamibuy.com/en/p/peko-chan-gummy-peach1-76oz/1018043241?scene=item_search.result&bu_type=search&module_name=input&index=29&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FUJIYA,6,$1.69,2 Options,,,,PEKO Chan Gummy Peach 1.76oz,6,Japan,4.7
POCKY Banana Cream Covered Chocolate Biscuit Sticks 70g,https://www.yamibuy.com/en/p/glico-banana-cream-covered-chocolate-biscuit-sticks-70g/1016007151?scene=item_search.result&bu_type=search&module_name=input&index=30&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GLICO,95,,,$1.99,$2.19,10% OFF,POCKY Banana Cream Covered Chocolate Biscuit Sticks 70g,96,Japan,4.7
Japanese Kit Kat Matcha Chocolate Wafer 135g,https://www.yamibuy.com/en/p/nestle-kit-kat-matcha-chocolate-flavor-stick-13pcs-146-9g/1018004091?scene=item_search.result&bu_type=search&module_name=input&index=31&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,203,$6.99,19 Options,,,,Japanese Kit Kat Matcha Chocolate Wafer 135g,203,Japan,4.7
Chocolate Gummy Candy Muscat Flavor 81g,https://www.yamibuy.com/en/p/meiji-chocolate-gummy-candy-muscat-flavor-81g/1018004771?scene=item_search.result&bu_type=search&module_name=input&index=32&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MEIJI,49,$4.49,,,,,Chocolate Gummy Candy Muscat Flavor 81g,49,Japan,4.9
Dark Chocolate 50g,https://www.yamibuy.com/en/p/meiji-black-chocolate-50g/1018008371?scene=item_search.result&bu_type=search&module_name=input&index=33&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MEIJI,47,$1.99,3 Options,,,,Dark Chocolate 50g,47,Japan,4.62
Japanese Kit Kat Matcha Chocolate Wafer 12pc,https://www.yamibuy.com/en/p/kitkat-matcha-chocolate-wafer-13pc/1018046411?scene=item_search.result&bu_type=search&module_name=input&index=34&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,1,$6.99,,,,,Japanese Kit Kat Matcha Chocolate Wafer 12pc,1,Japan,5
Milk Chocolate 50g,https://www.yamibuy.com/en/p/meiji-milk-chocolate-50g/1018008361?scene=item_search.result&bu_type=search&module_name=input&index=35&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MEIJI,25,$1.99,,,,,Milk Chocolate 50g,25,Japan,4.5
Gummy Candy Grape Flavor 50g,https://www.yamibuy.com/en/p/fettuccine-gummy-grape-48g/1018041081?scene=item_search.result&bu_type=search&module_name=input&index=36&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,2,$1.99,2 Options,,,,Gummy Candy Grape Flavor 50g,2,Japan,5
Japanese Kit Kat Strawberry Milk Flavor 11pc,https://www.yamibuy.com/en/p/kit-kat-chocolate-wafer-strawberry-milk-flavor-11pc/1018046941?scene=item_search.result&bu_type=search&module_name=input&index=37&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,2,$6.99,,,,,Japanese Kit Kat Strawberry Milk Flavor 11pc,2,Japan,5
Chocolate Milk 200ml*6,https://www.yamibuy.com/en/p/chocolate-milk-200ml-6/1020062741?scene=item_search.result&bu_type=search&module_name=input&index=38&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KUANG QUAN,5,$7.99,,,,,Chocolate Milk 200ml*6,5,Taiwan,5
Japanese Kit Kat Crepe White Chocolate Wafer,https://www.yamibuy.com/en/p/kitkat-crepe-white-chocolate-wafer/1018046421?scene=item_search.result&bu_type=search&module_name=input&index=39&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,1,$6.99,,,,,Japanese Kit Kat Crepe White Chocolate Wafer,1,Japan,5
Jaga Chocolate Potato Chips 40g,https://www.yamibuy.com/en/p/jaga-chocolate-potato-chips-40g/1017037861?scene=item_search.result&bu_type=search&module_name=input&index=40&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,17,$2.49,,,,,Jaga Chocolate Potato Chips 40g,17,Japan,4.6
Mixed Fruit Flavor Candy with Real Fruit 2.82oz,https://www.yamibuy.com/en/p/hi-chew-plus-fruit-mix-bag-2-82oz/1018038971?scene=item_search.result&bu_type=search&module_name=input&index=41&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MORINAGA,10,,,$2.19,$2.49,13% OFF,Mixed Fruit Flavor Candy with Real Fruit 2.82oz,10,Japan,4.7
Chocolate Gummy Candy Mixed Fruits Flavor 81g,https://www.yamibuy.com/en/p/meiji-chocolate-gummy-candy-mixed-fruits-flavor-81g/1018000221?scene=item_search.result&bu_type=search&module_name=input&index=42&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MEIJI,25,$4.49,,,,,Chocolate Gummy Candy Mixed Fruits Flavor 81g,25,Japan,4.6
Hello Kitty Marshmallow Strawberry Flavor 90g,https://www.yamibuy.com/en/p/marshmallow-hello-kitty-strawberry-88g/1018043601?scene=item_search.result&bu_type=search&module_name=input&index=43&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,EIWA,7,$2.69,4 Options,,,,Hello Kitty Marshmallow Strawberry Flavor 90g,7,Japan,5
Japanese Kit Kat Pistachio Chocolate Wafer 11pc,https://www.yamibuy.com/en/p/pistachio-chocolate-wafer-11pc/1018046391?scene=item_search.result&bu_type=search&module_name=input&index=44&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,2,$7.99,,,,,Japanese Kit Kat Pistachio Chocolate Wafer 11pc,2,Japan,4
Matcha Chocolate,https://www.yamibuy.com/en/p/look-matcha-chocolate/1018039041?scene=item_search.result&bu_type=search&module_name=input&index=45&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FUJIYA,41,$3.49,,,,,Matcha Chocolate,41,Japan,4.7
Japanese Kit Kat Orange Chocolate Wafer 9pc,https://www.yamibuy.com/en/p/kitkat-orange-chocolate-wafer-9pc/1018046351?scene=item_search.result&bu_type=search&module_name=input&index=46&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,2,$6.99,,,,,Japanese Kit Kat Orange Chocolate Wafer 9pc,2,Japan,5
Pocky Classic Chocolate Biscuit Sticks 70g,https://www.yamibuy.com/en/p/glico-classic-chocolate-pocky-stick-70g/1016005821?scene=item_search.result&bu_type=search&module_name=input&index=47&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GLICO,33,$2.19,,,,,Pocky Classic Chocolate Biscuit Sticks 70g,33,Japan,5
White Chocolate Cookie 78g,https://www.yamibuy.com/en/p/blanchul-white-chocolate-cookie-biscuit-78g/1016080991?scene=item_search.result&bu_type=search&module_name=input&index=48&content=chocolate,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,17,$2.99,,,,,White Chocolate Cookie 78g,17,Japan,4.7
,,,,,,,,,,,,,
Fettuccine Gummy  Lemon 50g,https://www.yamibuy.com/en/p/fettuccine-gummy-lemon-50g/1018040971,https://cdn.yamibuy.net/item/822577cb9e2474d51d2cabc8a3880c02_684x684.webp,BOURBON,4,$1.89,2 Options,,,,Fettuccine Gummy  Lemon 50g,4,Japan,5
Candy Lollipop Present Gift 1pc,https://www.yamibuy.com/en/p/candy-lollipop-present-gift-1pc/3018040521,https://cdn.yamibuy.net/item/e06749f566444ea317c3539db7d8cc76_684x684.webp,GLICO,4,,42 Options,$0.75,$1.90,61% OFF,Candy Lollipop Present Gift 1pc,4,Japan,5
Japanese Kit Kat Oat Chocolate Wafer,https://www.yamibuy.com/en/p/kitkat-oat-chocolate-wafer/1018046431,https://cdn.yamibuy.net/item/baa8641adf916b60c585faed1c7b22ab_684x684.webp,NESTLE,1,$6.99,,,,,Japanese Kit Kat Oat Chocolate Wafer,1,Japan,5
Xylitol Alpha Gum Powermint Flavor 86g,https://www.yamibuy.com/en/p/xylitol-alpha-gum-powermint/1018044531,https://cdn.yamibuy.net/item/036f2f1aeac90ecd920e280fc152ea48_684x684.webp,LOTTE Korea,,,,$4.99,$5.49,10% OFF,Xylitol Alpha Gum Powermint Flavor 86g,Be the first!,Korea,
Japanese Kit Kat Raspberry Chocolate Wafer,https://www.yamibuy.com/en/p/raspberry-chocolate/1018040191,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,11,$6.99,,,,,Japanese Kit Kat Raspberry Chocolate Wafer,11,Japan,4.7
Pejoy Cookies & Cream Creamy Vanilla Filled Chocolate Biscuit Sticks 56g,https://www.yamibuy.com/en/p/glico-pejoy-creamy-vanilla-filled-chocolate-biscuit-sticks-56g/1016007451,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GLICO,41,$2.09,4 Options,,,,Pejoy Cookies & Cream Creamy Vanilla Filled Chocolate Biscuit Sticks 56g,41,Japan,4.8
Hokkaido Milk Candy 120g,https://www.yamibuy.com/en/p/fujiya-hokkaido-milk-candy-120g/1018000391,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FUJIYA,32,$2.99,,,,,Hokkaido Milk Candy 120g,33,Japan,4.4
Japanese Kit Kat Crunch Chocolate Mini 82.8g,https://www.yamibuy.com/en/p/kitkat-crunch-chocolate-mini-82-8g/1018046971,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,2,$5.99,,,,,Japanese Kit Kat Crunch Chocolate Mini 82.8g,2,Japan,5
KUKKIA Whipped Chocolate Sandwiched with Cookie Gift Box 4 Flavor 20pcs,https://www.yamibuy.com/en/p/akaibohshi-kukkia-whipped-chocolate-sandwiched-with-cookie-gift-box-4-flavor-20pcs/1016014341,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AKAIBOHSHI,27,$11.99,5 Options,,,,KUKKIA Whipped Chocolate Sandwiched with Cookie Gift Box 4 Flavor 20pcs,27,Japan,4.8
Chocolate Gummy Candy Strawberry Flavor 81g,https://www.yamibuy.com/en/p/meiji-chocolate-gummy-candy-strawberry-flavor-81g/1018000011,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MEIJI,24,$4.69,,,,,Chocolate Gummy Candy Strawberry Flavor 81g,24,Japan,4.7
KIT KAT Macha Latte Chocolate wafer 11pc,https://www.yamibuy.com/en/p/kit-kat-macha-latte-chocolate-wafer-11pc/3018048261,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,12 Options,$6.00,$9.99,40% OFF,KIT KAT Macha Latte Chocolate wafer 11pc,Be the first!,Japan,
Chocolate Pencil 4pcs 27g,https://www.yamibuy.com/en/p/choco-pencil-chocolate-4p-27g/1018043721,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FUJIYA,3,$1.99,,,,,Chocolate Pencil 4pcs 27g,3,Japan,5
Snack Candy Lollipop Present Gift 1pc,https://www.yamibuy.com/en/p/snack-candy-lollipop-present-gift-1pc/3018040511,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GLICO,1,,42 Options,$0.75,$1.99,63% OFF,Snack Candy Lollipop Present Gift 1pc,1,Japan,5
Mikakutang Soda Flavour Soft Candy 40g,https://www.yamibuy.com/en/p/mikakutang-soda-flavour-soft-candy-40g/1018042481,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,UHA,2,$2.49,,,,,Mikakutang Soda Flavour Soft Candy 40g,2,Japan,4
Fruit Candy Grape Flavor 48g,https://www.yamibuy.com/en/p/uha-fruit-candy-grape-flavor-48g/3018009021,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,UHA,36,,8 Options,$1.50,$2.99,50% OFF,Fruit Candy Grape Flavor 48g,36,Japan,4.8
Shortbread Cookies Dark Chocolate Yoghurt Flavor 144g,https://www.yamibuy.com/en/p/hougu-short-biscuit-dark-chocolate-yoghurt-144g/1016097101,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JZJT,,$6.99,,,,,Shortbread Cookies Dark Chocolate Yoghurt Flavor 144g,Be the first!,China,
KIT KAT Coffee Chocolate wafer 12pc,https://www.yamibuy.com/en/p/kit-kat-coffee-chocolate-wafer-12pc/3018045921,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,12 Options,$6.00,$9.90,40% OFF,KIT KAT Coffee Chocolate wafer 12pc,Be the first!,Japan,
Japanese Kit Kat Cocoa Flavor Wafer,https://www.yamibuy.com/en/p/kitkat-cocoa-flavor-wafer/1018046401,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,1,$6.99,,,,,Japanese Kit Kat Cocoa Flavor Wafer,Be the first!,Japan,5
KUKKIA Whipped Chocolate Sandwiched with Cookie 4 Flavor 48pcs 374g,https://www.yamibuy.com/en/p/kukkia-374g/1016088181,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AKAIBOHSHI,2,$27.99,,,,,KUKKIA Whipped Chocolate Sandwiched with Cookie 4 Flavor 48pcs 374g,2,Japan,5
MARSHMALLOW HELLO KITTY MANGO 90g,https://www.yamibuy.com/en/p/marshmallow-hello-kitty-mango-88g/1018043581,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,EIWA,7,$2.69,4 Options,,,,MARSHMALLOW HELLO KITTY MANGO 90g,7,Japan,5
Fruit Candy Muscat Flavor  48g,https://www.yamibuy.com/en/p/uha-fruit-candy-muscat-flavor-48g/3018009031,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,UHA,27,,8 Options,$1.50,$2.99,50% OFF,Fruit Candy Muscat Flavor  48g,27,Japan,4.7
Castella Japanese Style Baked Sponge Cake Chocolate Flavor 7Slices 280g,https://www.yamibuy.com/en/p/imuraya-castilla-japanese-style-baked-sponge-cake-chocolate-flavor-7slices-280g/1016013971,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,IMURAYA,50,$6.99,4 Options,,,,Castella Japanese Style Baked Sponge Cake Chocolate Flavor 7Slices 280g,50,Japan,4.2
Hokkaido Four Season Chocolate Gift Set 40pc,https://www.yamibuy.com/en/p/hokkaido-four-season-chocolate-gift-set-40pc/1018037701,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYCE,1,$32.99,,,,,Hokkaido Four Season Chocolate Gift Set 40pc,1,Japan,5
Japanese Kit Kat Mini Chocolate 81g,https://www.yamibuy.com/en/p/aero-mini-chocolate-148g/1018046961,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,4,$5.99,,,,,Japanese Kit Kat Mini Chocolate 81g,4,Japan,4
GINBIS Animal Biscuits Chocolate Flavor 50g,https://www.yamibuy.com/en/p/ginbis-animal-biscuits-coconuts-50g/1016097141,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GINBIS,,$1.19,,,,,GINBIS Animal Biscuits Chocolate Flavor 50g,Be the first!,Japan,
Creamy Chocolate Biscuits 200g,https://www.yamibuy.com/en/p/khong-guan-creamy-chocolate-biscuits-200g/1016006991,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KHONG GUAN,68,$2.69,,,,,Creamy Chocolate Biscuits 200g,68,Singapore,4.8
KIT KAT Melon Chocolate wafer 11pc,https://www.yamibuy.com/en/p/kit-kat-melon-chocolate-wafer-11pc/3018046901,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,12 Options,$6.00,$9.99,40% OFF,KIT KAT Melon Chocolate wafer 11pc,Be the first!,Japan,
Orange Peel Gummy 150g,https://www.yamibuy.com/en/p/item/5018045251,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MushroomStorm,1,,,$7.59,$7.99,6% OFF,Orange Peel Gummy 150g,1,China,5
MARSHMALLOW HELLO KITTY CHOCOLATE 47g,https://www.yamibuy.com/en/p/marshmallow-hello-kitty-chocolate-48-2g/1018043611,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,EIWA,3,$3.29,4 Options,,,,MARSHMALLOW HELLO KITTY CHOCOLATE 47g,3,Japan,5
Mini Bit Assorted Chocolate 165g,https://www.yamibuy.com/en/p/mini-bit-assort-165g/1018046481,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,1,$5.69,,,,,Mini Bit Assorted Chocolate 165g,1,Japan,5
