Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,price-valid,price-invalid,price-discount,Headline,Field1,Field2,Field3
Sweet Rice 907g,https://www.yamibuy.com/en/p/shirakiku-sweet-rice-907g/1021024271?scene=item_search.result&bu_type=search&module_name=input&index=21&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHIRAKIKU,93,,$3.99,$5.99,34% OFF,Sweet Rice 907g,96,Japan,4.8
Spicy Rice Cake Sticks Snack 230g,https://www.yamibuy.com/en/p/haitai-spicy-sindangdong-rice-cake-sticks-snack-230g/1017003341?scene=item_search.result&bu_type=search&module_name=input&index=22&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,301,$3.49,,,,Spicy Rice Cake Sticks Snack 230g,302,Korea,4.5
"Xinjiang Stir Fried Rice Noodle Vermicelli Hot Spicy, 250g",https://www.yamibuy.com/en/p/xinjiang-rice-noodle-with-chili-sauce-hot-spicy-250g/1021073711?scene=item_search.result&bu_type=search&module_name=input&index=23&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,QIANFENXISHI,,$4.59,,,,"Xinjiang Stir Fried Rice Noodle Vermicelli Hot Spicy, 250g",293,China,4.7
Energy 99 Rice Roll Egg Yolk Flavor 180g,https://www.yamibuy.com/en/p/pei-tien-energy-99-rice-roll-egg-yolk-flavor-180g/1017000171?scene=item_search.result&bu_type=search&module_name=input&index=24&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Pei Tien,478,$2.59,,,,Energy 99 Rice Roll Egg Yolk Flavor 180g,481,Taiwan,4.8
Cup Rice Cake Spicy Carbonara 140g,https://www.yamibuy.com/en/p/cup-rice-cake-spicy-carbonara-142g/1017037921?scene=item_search.result&bu_type=search&module_name=input&index=25&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WELLHEIM,18,$2.99,,,,Cup Rice Cake Spicy Carbonara 140g,18,Korea,4.6
WANTWANT Rice Snack Original Flavor  70g,https://www.yamibuy.com/en/p/wantwant-rice-snack-original-flavor-70g/1017019361?scene=item_search.result&bu_type=search&module_name=input&index=26&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WANT WANT,,,$1.89,$2.19,14% OFF,WANTWANT Rice Snack Original Flavor  70g,18,Taiwan,4.6
Puffed Rice Caramel Flavor 100g,https://www.yamibuy.com/en/p/captain-danny-puffed-rice-caramel-100g/1017030121?scene=item_search.result&bu_type=search&module_name=input&index=27&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CAPTAIN DANNY,,$5.49,,,,Puffed Rice Caramel Flavor 100g,8,Taiwan,4.8
WanHe Sesame Paste Soup Base Rice Noodle 220g,https://www.yamibuy.com/en/p/wanhe-sesame-paste-soup-base-rice-noodle-220g/1021085021?scene=item_search.result&bu_type=search&module_name=input&index=28&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WanHe,94,,$1.99,$3.99,51% OFF,WanHe Sesame Paste Soup Base Rice Noodle 220g,94,China,4.7
Spice Shrimp Rice Noodles 60g*4bag,https://www.yamibuy.com/en/p/old-pot-rice-noodles-spice-shrimp-rice-noodles-60g-4bag/1149001141?scene=item_search.result&bu_type=search&module_name=input&index=29&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OLD POT RICE NOODLES,,$9.99,,,,Spice Shrimp Rice Noodles 60g*4bag,9,Taiwan,4.1
Extra Spicy Soup Rice Noodle 220g,https://www.yamibuy.com/en/p/extra-spicy-soup-rice-noodle-220g/1021087271?scene=item_search.result&bu_type=search&module_name=input&index=30&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WanHe,5,$3.99,,,,Extra Spicy Soup Rice Noodle 220g,5,China,4
Rice Cake Topokki Original Spicy 142g,https://www.yamibuy.com/en/p/cup-rice-cake-original-142g/1017037911?scene=item_search.result&bu_type=search&module_name=input&index=31&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WELLHEIM,9,$2.99,,,,Rice Cake Topokki Original Spicy 142g,9,Korea,4.1
HongKong Style Rice Noodle Tomato Beef Flavor 297g,https://www.yamibuy.com/en/p/hongkong-style-rice-noodle-tomato-beef-flavor-297g/1021089061?scene=item_search.result&bu_type=search&module_name=input&index=32&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BaMan,1,,$6.99,$7.49,7% OFF,HongKong Style Rice Noodle Tomato Beef Flavor 297g,1,China,5
Rice Cake Stick 600g,https://www.yamibuy.com/en/p/rice-cake-stick-690g/1150002321?scene=item_search.result&bu_type=search&module_name=input&index=33&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OTHER BRANDS,10,$3.59,,,,Rice Cake Stick 600g,10,N/A,4.8
Red Bean Purple Rice Coix Seed Drink 15g*30,https://www.yamibuy.com/en/p/red-bean-black-glutinous-rice-drink/1020056681?scene=item_search.result&bu_type=search&module_name=input&index=34&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Yami,272,,$14.29,$14.99,5% OFF,Red Bean Purple Rice Coix Seed Drink 15g*30,272,United States,4.91
GGE Baked Rice Snack Chocolate Flavor 45g,https://www.yamibuy.com/en/p/weilih-gge-baked-rice-snack-chocolate-flavor-45g/1017000261?scene=item_search.result&bu_type=search&module_name=input&index=35&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WEILIH,200,$1.89,,,,GGE Baked Rice Snack Chocolate Flavor 45g,200,Taiwan,4.7
Red bean and barley rice noodles Low-fat and high-fiber classic damp-removing meal replacement powder 50,https://www.yamibuy.com/en/p/red-bean-and-barley-rice-noodles-low-fat-and-high-fiber-classic-damp-removing-meal-replacement-powder-50/1147008401?scene=item_search.result&bu_type=search&module_name=input&index=36&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MR FANG'S STORE,23,,$17.99,$18.99,6% OFF,Red bean and barley rice noodles Low-fat and high-fiber classic damp-removing meal replacement powder 50,Be the first!,China,5
【Frozen】Rice Cake(Dukbokki)1.5lb,https://www.yamibuy.com/en/p/rice-cake-dukbokki-1-5lb/1146142021?scene=item_search.result&bu_type=search&module_name=input&index=37&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DAFENG,,$2.69,,,,【Frozen】Rice Cake(Dukbokki)1.5lb,Be the first!,China,
Baolaifa Brown Sugar Rice Cake -Original 550g,https://www.yamibuy.com/en/p/baolaifa-brown-sugar-rice-cake-original-550g/1150004071?scene=item_search.result&bu_type=search&module_name=input&index=38&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,宝来发,3,$21.99,,,,Baolaifa Brown Sugar Rice Cake -Original 550g,3,Taiwan,5
Crispy Rice Chips original flavor 220g,https://www.yamibuy.com/en/p/crispy-rice-chips-original-flavor-220g/1017045361?scene=item_search.result&bu_type=search&module_name=input&index=39&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUMEI,,$3.69,,,,Crispy Rice Chips original flavor 220g,Be the first!,China,
Rice Cracker Honey Sauce  Flavor 108g,https://www.yamibuy.com/en/p/rice-cracker-honey-sauce-flavor-108g/1017044271?scene=item_search.result&bu_type=search&module_name=input&index=40&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,xasunfood,,$2.99,,,,Rice Cracker Honey Sauce  Flavor 108g,Be the first!,China,
Yami x Ishizawa Exclusive Rice Skin Care Bonus Kit,https://www.yamibuy.com/en/p/yami-x-ishizawa-exclusive-rice-skin-care-bonus-kit/1022145121?scene=item_search.result&bu_type=search&module_name=input&index=41&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ISHIZAWA LAB,5,,$23.50,$29.99,22% OFF,Yami x Ishizawa Exclusive Rice Skin Care Bonus Kit,5,Japan,5
Rice Cracker 218g,https://www.yamibuy.com/en/p/rice-cracker-218g/1017045641?scene=item_search.result&bu_type=search&module_name=input&index=42&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WOLONG,,$4.69,,,,Rice Cracker 218g,Be the first!,China,
Crispy Rice Chips Hot and Spicy flavor 220g,https://www.yamibuy.com/en/p/crispy-rice-chips-hot-and-spicy-flavor-220g/1017045371?scene=item_search.result&bu_type=search&module_name=input&index=43&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUMEI,,$3.69,,,,Crispy Rice Chips Hot and Spicy flavor 220g,Be the first!,China,
Soban Cooked White Rice 210g,https://www.yamibuy.com/en/p/soban-cooked-white-rice-240g/1147009861?scene=item_search.result&bu_type=search&module_name=input&index=44&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,3,$1.29,,,,Soban Cooked White Rice 210g,3,Korea,5
HongKong Style Rice Noodle Pork Bone Flavor 289g,https://www.yamibuy.com/en/p/hongkong-style-rice-noodle-pork-bone-flavor-289g/1021089081?scene=item_search.result&bu_type=search&module_name=input&index=45&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BaMan,1,,$6.99,$7.49,7% OFF,HongKong Style Rice Noodle Pork Bone Flavor 289g,1,China,5
Rice Cracker (Sesame ) 108g,https://www.yamibuy.com/en/p/rice-cracker-sesame-108g/1017045661?scene=item_search.result&bu_type=search&module_name=input&index=46&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WOLONG,,$2.69,,,,Rice Cracker (Sesame ) 108g,Be the first!,China,
Rice Cracker (Sweet Spicy) 218g,https://www.yamibuy.com/en/p/rice-cracker-sweet-spicy-218g/1017045651?scene=item_search.result&bu_type=search&module_name=input&index=47&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WOLONG,,$4.69,,,,Rice Cracker (Sweet Spicy) 218g,Be the first!,China,
Rice Stick Seafood Flavor 75g,https://www.yamibuy.com/en/p/rice-stick-seafood-flavor-75g/1017043961?scene=item_search.result&bu_type=search&module_name=input&index=48&content=rice%20crust,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KOIKEYA,1,$2.09,,,,Rice Stick Seafood Flavor 75g,1,Japan,5
,,,,,,,,,,,,
,,,,,,,,,,,,
HongKong Style Szechwan Rice Noodle Spicy Intestines Flavor 275.5g,https://www.yamibuy.com/en/p/hongkong-style-szechwan-rice-noodle-spicy-intestines-flavor-275-5g/1021089051,https://cdn.yamibuy.net/item/51ae3237137213cd14603152d452272c_684x684.webp,BaMan,,,$6.99,$7.49,7% OFF,HongKong Style Szechwan Rice Noodle Spicy Intestines Flavor 275.5g,Be the first!,China,
Rice Crackers Bites Spicy Flavor  3.5oz,https://www.yamibuy.com/en/p/ww-rice-crackers-bites-spicy-3-5oz/1017043491,https://cdn.yamibuy.net/item/3aa7ca5d94bf711140f2c558b0c408b4_684x684.webp,WANT WANT,1,,$1.59,$2.29,31% OFF,Rice Crackers Bites Spicy Flavor  3.5oz,1,Taiwan,5
Rice Noodle 800g,https://www.yamibuy.com/en/p/rice-noodle-800g/1021088831,https://cdn.yamibuy.net/item/076ca24f57290d9066de54006aaa1ffc_684x684.webp,YITIANMIANGUAN,,$3.99,,,,Rice Noodle 800g,Be the first!,China,
HongKong Style Rice Noodle Tom Yam Flavor 204g,https://www.yamibuy.com/en/p/hongkong-style-rice-noodle-tom-yam-flavor-204g/1021089071,https://cdn.yamibuy.net/item/c47c2636d0748ba2c2db2f6bb48acf84_684x684.webp,BaMan,,,$6.99,$7.49,7% OFF,HongKong Style Rice Noodle Tom Yam Flavor 204g,Be the first!,China,
Bun Tuoi Rice Stick ( L ) 907g,https://www.yamibuy.com/en/p/bun-tuoi-rice-stick-l-907g/1149015091,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DRAGONFLY BRAND,,$4.99,,,,Bun Tuoi Rice Stick ( L ) 907g,Be the first!,China,
Red Bean Purple Rice Barley Tea 15g x 30 bags,https://www.yamibuy.com/en/p/awastea-ed-bean-purple-rice-barley-tea-15g-x-30-bags/1030014031,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AWASTEA,269,,$16.99,$17.99,6% OFF,Red Bean Purple Rice Barley Tea 15g x 30 bags,272,Taiwan,4.91
Oh! Ricey Rice Noodles Spare Ribs Flavor Bag 70g,https://www.yamibuy.com/en/p/oh-ricey-rice-noodles-spare-ribs-flavor-bag-70g/1021087411,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ACECOOK,1,$0.99,,,,Oh! Ricey Rice Noodles Spare Ribs Flavor Bag 70g,1,Japan,5
Oh! Ricey Rice Noodles Beef Ball Flavour Bag 70g,https://www.yamibuy.com/en/p/oh-ricey-rice-noodles-beef-ball-flavour-bag-70g/1021087401,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ACECOOK,,$0.99,,,,Oh! Ricey Rice Noodles Beef Ball Flavour Bag 70g,Be the first!,Japan,
Jiangxi Rice Vermicelli (L) 400g,https://www.yamibuy.com/en/p/jiangxi-rice-vermicelli-l-400g/1149009621,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DRAGONFLY BRAND,5,$1.99,,,,Jiangxi Rice Vermicelli (L) 400g,5,China,5
Cup Rice Cake 153g,https://www.yamibuy.com/en/p/cup-rice-cake-153g/1150004091,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,,$2.89,,,,Cup Rice Cake 153g,Be the first!,Korea,
Rice Cracker Spicy Pepper  Flavor 108g,https://www.yamibuy.com/en/p/rice-cracker-spicy-pepper-flavor-108g/1017044261,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,xasunfood,,$2.99,,,,Rice Cracker Spicy Pepper  Flavor 108g,Be the first!,China,
Glutinous Rice 2lb,https://www.yamibuy.com/en/p/glutinous-rice-2lb/1149016111,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JINGUYUAN,,$3.99,,,,Glutinous Rice 2lb,Be the first!,China,
USA Sweet Rice Short Grained 5lbs,https://www.yamibuy.com/en/p/usa-sweet-rice-short-grained-5lbs/1149015041,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,APPLE,1,$8.99,,,,USA Sweet Rice Short Grained 5lbs,1,United States,5
Spice Paste For Singapore Hainanese Chicken Rice 50g,https://www.yamibuy.com/en/p/asian-home-gourmet-spice-paste-for-singapore-hainanese-chicken-rice-50g/1021013951,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ASIAN HOME GOURMET,70,$1.99,,,,Spice Paste For Singapore Hainanese Chicken Rice 50g,70,Thailand,4.7
Black Glutinous Rice 2lb,https://www.yamibuy.com/en/p/black-glutinous-rice-2lb/1149016141,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JINGUYUAN,,$6.49,,,,Black Glutinous Rice 2lb,Be the first!,China,
Cooked White Rice With Seaweed Soup 165g,https://www.yamibuy.com/en/p/cj-cooked-white-rice-with-seaweed-soup-165g/1021022601,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHE IL JEDANG,320,,$3.29,$3.99,18% OFF,Cooked White Rice With Seaweed Soup 165g,320,Korea,4.7
Oh! Ricey Phnom Penh Style Rice Noodles 71g,https://www.yamibuy.com/en/p/oh-ricey-phnom-penh-style-bag-71g/1021087391,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ACECOOK,1,$0.99,,,,Oh! Ricey Phnom Penh Style Rice Noodles 71g,1,Japan,5
Pepper Crispy Rice Crackers Green Pepper Flavor 108g,https://www.yamibuy.com/en/p/pepper-crispy-rice-crackers-rotten-pepper-flavor-108g/1017045221,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,xasunfood,,$2.99,,,,Pepper Crispy Rice Crackers Green Pepper Flavor 108g,Be the first!,China,
Rice Punch 2L,https://www.yamibuy.com/en/p/rice-punch-2l/1020065001,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FARM GROUP,,$4.89,,,,Rice Punch 2L,Be the first!,Korea,
Rice Noodle Seasoning 150g,https://www.yamibuy.com/en/p/rice-noodle-seasoning-150g/1148017031,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HXBY,,$2.19,,,,Rice Noodle Seasoning 150g,Be the first!,China,
Rice Chips 280g,https://www.yamibuy.com/en/p/rice-chips-280g/1017045631,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,kaqi,,,$2.49,$2.69,8% OFF,Rice Chips 280g,Be the first!,China,
Lite Seasoned Rice Vinegar 710ml,https://www.yamibuy.com/en/p/lite-seasoned-rice-vinegar-710ml/1148018701,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MARUKAN,,$3.99,,,,Lite Seasoned Rice Vinegar 710ml,Be the first!,Japan,
WANG Rice Cake Soup 177g,https://www.yamibuy.com/en/p/wang-rice-cake-soup-177g/1021003531,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WANG FOOD,70,$3.69,,,,WANG Rice Cake Soup 177g,70,Korea,4.5
Rice Noodle Soup With Crab Flavor 720g 6Cups,https://www.yamibuy.com/en/p/crab-flavor-bean-thread-bowls-720g/1021089111,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,VIFON,,$15.99,,,,Rice Noodle Soup With Crab Flavor 720g 6Cups,Be the first!,Taiwan,
Thai Red Rice 5lbs,https://www.yamibuy.com/en/p/thai-red-rice-5lbs/1149015061,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DRAGONFLY BRAND,1,$10.99,,,,Thai Red Rice 5lbs,1,China,5
【Frozen】Cooked Rice Ball W Tuna Spicy Cabbage 100g,https://www.yamibuy.com/en/p/frozen-cooked-rice-ball-w-tuna-spicy-cabbage-100g/1147011981,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Mr. Lee,1,$1.99,,,,【Frozen】Cooked Rice Ball W Tuna Spicy Cabbage 100g,1,China,5
Rice Cracker Happy Turn English 108g,https://www.yamibuy.com/en/p/rice-cracker-happy-turn-english-108g/1017044651,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KAMEDA,,$4.39,,,,Rice Cracker Happy Turn English 108g,Be the first!,Japan,
Crispy Rice Chip Spicy Chicken Flavor 130g,https://www.yamibuy.com/en/p/kaqi-crispy-rice-chip-spicy-chicken-flavor-130g/1017014011,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,kaqi,9,$2.00,,,,Crispy Rice Chip Spicy Chicken Flavor 130g,9,China,4.8
Rice Crackers Bites Original Flavor  3.5oz,https://www.yamibuy.com/en/p/ww-rice-crackers-bites-original-3-5oz/1017043481,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WANT WANT,1,,$1.99,$2.29,14% OFF,Rice Crackers Bites Original Flavor  3.5oz,1,Taiwan,5
Unagi Fried Rice with Roasted Beef,https://www.yamibuy.com/en/p/24910/1147011801,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CAPTAIN JIANG,,$7.99,,,,Unagi Fried Rice with Roasted Beef,Be the first!,China,
