Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,brand-variants,Headline,DetailPrice,OriginalPrice,Field1,Field2
Milky Stick Bread Original Flavor 750g,https://www.yamibuy.com/en/p/milky-stick-bread-original-flavor-750g/1016098571?scene=item_search.result&bu_type=search&module_name=input&index=13&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LEJINJI,1,,,Milky Stick Bread Original Flavor 750g,$12.49,$12.99,5,China
Lava Bread w/ Ice-Cream Flavor 330g,https://www.yamibuy.com/en/p/lava-bread-w-ice-cream-flavor-330g/1016098561?scene=item_search.result&bu_type=search&module_name=input&index=14&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KAILILAI,,$5.29,,Lava Bread w/ Ice-Cream Flavor 330g,,,,China
Butter Bread Cheese Flavor,https://www.yamibuy.com/en/p/lejinji-butter-bread-cheese-flavor/1016070261?scene=item_search.result&bu_type=search&module_name=input&index=15&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LEJINJI,18,$6.49,,Butter Bread Cheese Flavor,,,4.9,China
Japanese Koubo Blueberry Jam Bread  2.46oz,https://www.yamibuy.com/en/p/blueberry-jam-bread/1016094661?scene=item_search.result&bu_type=search&module_name=input&index=16&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Panex,1,$2.19,8 Options,Japanese Koubo Blueberry Jam Bread  2.46oz,,,5,Japan
Japanese Koubo Butter Danish Bread 2.36oz,https://www.yamibuy.com/en/p/butter-denish/1016094671?scene=item_search.result&bu_type=search&module_name=input&index=17&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Panex,2,$2.19,8 Options,Japanese Koubo Butter Danish Bread 2.36oz,,,5,Japan
Cranberry Flavored Stick Bread 380g,https://www.yamibuy.com/en/p/lejinji-cranberry-flavored-stick-bread-380g/1016057801?scene=item_search.result&bu_type=search&module_name=input&index=18&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LEJINJI,81,$6.49,2 Options,Cranberry Flavored Stick Bread 380g,,,4.7,China
Japanese Koubo Cheese Danish Bread 2.36oz,https://www.yamibuy.com/en/p/cheese-denish/1016094731?scene=item_search.result&bu_type=search&module_name=input&index=19&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Panex,2,$2.19,8 Options,Japanese Koubo Cheese Danish Bread 2.36oz,,,4.5,Japan
Japanese Koubo Maple Danish Bread 2.36oz,https://www.yamibuy.com/en/p/maple-denish/1016094691?scene=item_search.result&bu_type=search&module_name=input&index=20&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Panex,3,$2.19,,Japanese Koubo Maple Danish Bread 2.36oz,,,5,Japan
Crispy Bread 300g,https://www.yamibuy.com/en/p/daliyuan-crispy-bread-300g/1016057631?scene=item_search.result&bu_type=search&module_name=input&index=21&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DALI,3,$3.89,,Crispy Bread 300g,,,3.7,China
Cheese Flavored Cake Bread 50g,https://www.yamibuy.com/en/p/cheese-flavored-cake-bread-50g/1149011511?scene=item_search.result&bu_type=search&module_name=input&index=22&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,D-PLUS,9,$1.49,,Cheese Flavored Cake Bread 50g,,,4.2,Japan
Chocoloate Flavored Cake Bread 50g,https://www.yamibuy.com/en/p/chocoloate-flavored-cake-bread-50g/1149011491?scene=item_search.result&bu_type=search&module_name=input&index=23&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,D-PLUS,6,$1.49,,Chocoloate Flavored Cake Bread 50g,,,4.2,Japan
Butter Bread 40g*8,https://www.yamibuy.com/en/p/lejinji-butter-bread-40g-8/1016067781?scene=item_search.result&bu_type=search&module_name=input&index=24&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LEJINJI,15,$6.49,,Butter Bread 40g*8,,,4.8,China
Custard Bread Original Flavor 320g,https://www.yamibuy.com/en/p/kaililai-popping-bread-original-flavor-320g/1016069901?scene=item_search.result&bu_type=search&module_name=input&index=25&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KAILILAI,1,,,Custard Bread Original Flavor 320g,$5.49,$5.89,5,China
SHENG CHANG FOODS Apple Bread (New Packaging)60g,https://www.yamibuy.com/en/p/sheng-chang-foods-apple-bread-60g/3016075291?scene=item_search.result&bu_type=search&module_name=input&index=26&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIEN HAW FOODS,2,,,SHENG CHANG FOODS Apple Bread (New Packaging)60g,$2.84,$2.99,5,Taiwan
Japan Pretz Roast Butter Bread Stick 80g,https://www.yamibuy.com/en/p/japan-glico-pretz-roast-butter-bread-stick-80g/3016075131?scene=item_search.result&bu_type=search&module_name=input&index=27&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GLICO,,,5 Options,Japan Pretz Roast Butter Bread Stick 80g,$3.10,$5.99,,Japan
KVASS Bread Fermented Beverage 330ml,https://www.yamibuy.com/en/p/qiulin-kavass/1020044491?scene=item_search.result&bu_type=search&module_name=input&index=28&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Qiulin,321,,,KVASS Bread Fermented Beverage 330ml,$1.49,$1.79,4.77,China
I Will Forget My Mistake Tonight Rice! Bread! Noodle!,https://www.yamibuy.com/en/p/shinyakoso-i-will-forget-my-mistake-tonight-rice-bread-noodle/1026025161?scene=item_search.result&bu_type=search&module_name=input&index=29&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHINYAKOSO,3,,3 Options,I Will Forget My Mistake Tonight Rice! Bread! Noodle!,$2.29,$3.00,5,Japan
2 Ingots (1000 Series Non-stick) Bread Cake Mold with 10 Complimentary Ingot GIft Box,https://www.yamibuy.com/en/p/2-ingots-1000-series-non-stick-bread-cake-mold-with-10-complimentary-ingot-gift-box/1029054301?scene=item_search.result&bu_type=search&module_name=input&index=30&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,San Neng Bakeware,,,,2 Ingots (1000 Series Non-stick) Bread Cake Mold with 10 Complimentary Ingot GIft Box,$45.00,$54.99,,China
Doughnut Bread Mix Batter 1000g,https://www.yamibuy.com/en/p/ottogi-doughnut-bread-mix-batter-1000g/1149003011?scene=item_search.result&bu_type=search&module_name=input&index=31&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OTTOGI,,$5.59,,Doughnut Bread Mix Batter 1000g,,,,Korea
Steamed Bread Powder 350g,https://www.yamibuy.com/en/p/steamed-bread-powder-350g/1149016331?scene=item_search.result&bu_type=search&module_name=input&index=32&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ANQI,,$3.69,,Steamed Bread Powder 350g,,,,China
"Bread Tart Nonstick Flower Mold, 1pc, UN11024, SN-008552",https://www.yamibuy.com/en/p/bread-tart-nonstick-flower-mold-1pc-un11024-sn-008552/1029039311?scene=item_search.result&bu_type=search&module_name=input&index=33&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,San Neng Bakeware,,,,"Bread Tart Nonstick Flower Mold, 1pc, UN11024, SN-008552",$26.99,$34.99,,China
Bread Biscuits Vanilla Flavor 96g,https://www.yamibuy.com/en/p/biscuitl-rasucre-vanilla-99g/1016083761?scene=item_search.result&bu_type=search&module_name=input&index=34&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,1,$4.69,,Bread Biscuits Vanilla Flavor 96g,,,2,Japan
"Nonstick Square Bread Mold Aluminum Toast Box, 250g, 1pc, SN2190",https://www.yamibuy.com/en/p/nonstick-square-bread-mold-aluminum-toast-box-250g-1pc-sn2190/1029039331?scene=item_search.result&bu_type=search&module_name=input&index=35&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,San Neng Bakeware,2,,,"Nonstick Square Bread Mold Aluminum Toast Box, 250g, 1pc, SN2190",$19.99,$26.99,5,China
"Bread Tart Nonstick Shell Mold, 1pc, UN11008",https://www.yamibuy.com/en/p/bread-tart-nonstick-shell-mold-1pc-un11008/1029039321?scene=item_search.result&bu_type=search&module_name=input&index=36&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,San Neng Bakeware,,,,"Bread Tart Nonstick Shell Mold, 1pc, UN11008",$34.99,$38.99,,China
Mini Doughnut Bread Mix 500g,https://www.yamibuy.com/en/p/ottogi-mini-doughnut-bread-mix-500g/1149003021?scene=item_search.result&bu_type=search&module_name=input&index=37&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OTTOGI,12,$5.39,,Mini Doughnut Bread Mix 500g,,,4.7,Korea
Toasted Bread Slice Spicy Flavor 138g,https://www.yamibuy.com/en/p/wolong-toasted-bread-slice-spicy-flavor-138g/1016053361?scene=item_search.result&bu_type=search&module_name=input&index=38&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WOLONG,37,$2.89,2 Options,Toasted Bread Slice Spicy Flavor 138g,,,4.5,China
Short Bread 95g,https://www.yamibuy.com/en/p/short-bread-95g/1016095271?scene=item_search.result&bu_type=search&module_name=input&index=39&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ITO SEIKA,2,$2.89,,Short Bread 95g,,,5,Japan
SUNRIGHT High Gluten Bread Flour 500g,https://www.yamibuy.com/en/p/high-gluten-flour-500g/1149001581?scene=item_search.result&bu_type=search&module_name=input&index=40&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SUNLIGHT,19,$2.99,,SUNRIGHT High Gluten Bread Flour 500g,,,4.8,Taiwan
CJ Sesame Bread Mix 500g,https://www.yamibuy.com/en/p/cj-sesame-bread-mix-500g/1149003151?scene=item_search.result&bu_type=search&module_name=input&index=41&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHE IL JEDANG,45,$6.99,,CJ Sesame Bread Mix 500g,,,4.9,Korea
Pita Bread in Soup 265g,https://www.yamibuy.com/en/p/pita-bread-in-soup-265g/1147010141?scene=item_search.result&bu_type=search&module_name=input&index=42&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Liuyipao,1,$4.99,,Pita Bread in Soup 265g,,,3,China
DIY Bread Flour 1kg,https://www.yamibuy.com/en/p/chiahe-flour-diy-bread-flour-1kg/1021028711?scene=item_search.result&bu_type=search&module_name=input&index=43&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHIAHE FLOUR,,$4.99,,DIY Bread Flour 1kg,,,,Taiwan
Toasted Bread Slice Cumin Flavor 138g,https://www.yamibuy.com/en/p/wolong-toasted-bread-slice-cumin-flavor-138g/1016053351?scene=item_search.result&bu_type=search&module_name=input&index=44&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WOLONG,41,$2.59,2 Options,Toasted Bread Slice Cumin Flavor 138g,,,4.7,China
"Cream Horn Bread Maker Dough Mold,10pcs, SN41616",https://www.yamibuy.com/en/p/cream-horn-bread-maker-dough-mold-10pcs-sn41616/1029039291?scene=item_search.result&bu_type=search&module_name=input&index=45&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,San Neng Bakeware,,,,"Cream Horn Bread Maker Dough Mold,10pcs, SN41616",$34.99,$38.99,,China
Hungry Satisfy Egg Milk Toast 102g,https://www.yamibuy.com/en/p/hungry-satisfy-egg-milk-toast-102g/1016097661?scene=item_search.result&bu_type=search&module_name=input&index=46&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OTHER BRANDS,9,$3.49,,Hungry Satisfy Egg Milk Toast 102g,,,4.6,N/A
Watermelon Stuffed Toast 480g,https://www.yamibuy.com/en/p/lxyjx-watermelon-stuffed-toast-480g/1016075031?scene=item_search.result&bu_type=search&module_name=input&index=47&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SNACK LAB,231,$13.99,3 Options,Watermelon Stuffed Toast 480g,,,4.7,China
Breadsticks Cheese Flavor 380g,https://www.yamibuy.com/en/p/lejinji-baby-is-hungry-380g/1016062561?scene=item_search.result&bu_type=search&module_name=input&index=48&content=bread,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LEJINJI,152,$5.69,,Breadsticks Cheese Flavor 380g,,,4.8,China
,,,,,,,,,,,
,,,,,,,,,,,
Luxury Taiwanese Wagashi Wooden Gift Box 6/Box,https://www.yamibuy.com/en/p/joy-joy-golden-wooden-gift-box-6-box/1016096291,https://cdn.yamibuy.net/item/91c278881b66961263e16c68383084be_684x684.webp,JoyJoy,4,,,Luxury Taiwanese Wagashi Wooden Gift Box 6/Box,$52.99,$55.99,5,Taiwan
Mini Baked Wheat Baum Kuchen Cake 10pc 270g,https://www.yamibuy.com/en/p/marukin-mini-baked-wheat-baum-cake-10pc-270g/1016009741,https://cdn.yamibuy.net/item/2ba7647df94abf80dffed3f96d09427c_684x684.webp,MARUKIN,536,$6.49,5 Options,Mini Baked Wheat Baum Kuchen Cake 10pc 270g,,,4.6,Japan
Lunar New Year Gift Set with Shadow Play (Pi Ying Xi) Material,https://www.yamibuy.com/en/p/westward-journey/1016097331,https://cdn.yamibuy.net/item/746cc313f5a56d18b2c6d4622dd90c74_684x684.webp,zhiweiguan,4,,,Lunar New Year Gift Set with Shadow Play (Pi Ying Xi) Material,$89.99,$109.99,5,China
DXC Mung Bean Cake 180g,https://www.yamibuy.com/en/p/dxc-mung-bean-cake-180g/1016057771,https://cdn.yamibuy.net/item/e3945630fd5e15b8c0d87adc6b464e65_684x684.webp,Dao Xiang Cun,631,$6.89,2 Options,DXC Mung Bean Cake 180g,,,4.7,China
Reunion Gift 1120g,https://www.yamibuy.com/en/p/dxc-reunion-gift-1120g/1016098221,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,2,$36.99,,Reunion Gift 1120g,,,5,China
Bun With Chocolate Filling Breadd 75g,https://www.yamibuy.com/en/p/bun-with-chocolate-filling-breadd-75g/1016085481,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,D-PLUS,26,,,Bun With Chocolate Filling Breadd 75g,$1.99,$2.29,4.5,Japan
Dragon Fruit Toast 480g,https://www.yamibuy.com/en/p/dragon-fruit-paste-toast-480g/1016079731,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SNACK LAB,83,$14.99,3 Options,Dragon Fruit Toast 480g,,,4.7,China
Traditional Pastry Gift Box 1200g,https://www.yamibuy.com/en/p/dxc-ruyi-zunli-1200g/1016097251,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,,$53.99,,Traditional Pastry Gift Box 1200g,,,,China
Daoxiang Fengnian New Year Gift Set 1650g,https://www.yamibuy.com/en/p/dxc-daoxiang-fengnian-1650g/1016098211,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,2,$47.99,,Daoxiang Fengnian New Year Gift Set 1650g,,,5,China
Oreo Cookie and Cream Pie Cake 360g,https://www.yamibuy.com/en/p/cake-oh-yes-cookie-cream/1016059891,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,130,$4.99,,Oreo Cookie and Cream Pie Cake 360g,,,4.7,Korea
Walnut Crisp Cake 650g,https://www.yamibuy.com/en/p/dxc-walnut-crisp-cake-650g/1016097271,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,1,$19.99,,Walnut Crisp Cake 650g,,,5,China
Precieux white chocolate Covered Lemon Cake 5pcs,https://www.yamibuy.com/en/p/precieux-white-chocolate-covered-lemon-cake-5pcs/1016097561,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHEN YUN PAO CHUAN,4,,,Precieux white chocolate Covered Lemon Cake 5pcs,$12.99,$13.99,5,Taiwan
HuaMuZi Baked Cheese Toast 150g,https://www.yamibuy.com/en/p/huamuzi-baked-cheese-toast-150g/1016089491,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HUAMUZI,24,$13.49,,HuaMuZi Baked Cheese Toast 150g,,,4.8,China
White Peach Baumkuchen 184g,https://www.yamibuy.com/en/p/white-peach-baumkuchen-184g/1016096801,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AS FOODS,1,$4.99,,White Peach Baumkuchen 184g,,,3,Japan
Banana Petit Cake 6pcs 85g,https://www.yamibuy.com/en/p/banana-petit-cake-6pcs-85g/1016096811,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MARUKIN,1,$3.39,,Banana Petit Cake 6pcs 85g,,,4,Japan
Castella Japanese Style Baked Sponge Cake Matcha Flavor 7 Slices 280g,https://www.yamibuy.com/en/p/imuraya-castilla-japanese-style-baked-sponge-cake-matcha-flavor-7-slices-280g/1016009051,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,IMURAYA,123,$6.99,4 Options,Castella Japanese Style Baked Sponge Cake Matcha Flavor 7 Slices 280g,,,4,Japan
Shine Muscat Baumkuchen 184g,https://www.yamibuy.com/en/p/shine-muscat-baumkuchen-184g/1016096791,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OTHER BRANDS,,$4.99,,Shine Muscat Baumkuchen 184g,,,,N/A
Pia Durian Cake Egg Yolk Taro Mung Bean Flavor 400g,https://www.yamibuy.com/en/p/pia-cake-yolk-mung-bean-durianu-taro-mixed-3-mien-400g/1016089751,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,THIEN SA,14,$5.69,2 Options,Pia Durian Cake Egg Yolk Taro Mung Bean Flavor 400g,,,4.6,Vietnam
Baked Cake-Roll Cake(Nama Baumkuchen)  295g,https://www.yamibuy.com/en/p/marukin-baked-cake-roll-cake-nama-baumkuchen-300g/1016059311,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MARUKIN,126,$4.99,,Baked Cake-Roll Cake(Nama Baumkuchen)  295g,,,4.6,Japan
Castella Japanese Style Baked Sponge Cake Original Flavor 7 Slices 280g,https://www.yamibuy.com/en/p/imuraya-castilla-japanese-style-baked-sponge-cake-original-flavor-7-slices-280g/1016009261,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,IMURAYA,99,$6.99,4 Options,Castella Japanese Style Baked Sponge Cake Original Flavor 7 Slices 280g,,,4.3,Japan
Japan Mocchiri Lemon Cake 7 PCS 119g,https://www.yamibuy.com/en/p/japan-mocchiri-lemon-cake-7-pcs-119g/1016096761,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TODAYA,1,$5.99,,Japan Mocchiri Lemon Cake 7 PCS 119g,,,5,China
Chocolate and Milk Cake,https://www.yamibuy.com/en/p/chocolate-and-milk-cake/1016085361,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GAOLEGAO,11,$11.99,2 Options,Chocolate and Milk Cake,,,5,China
Taiwanese Black Date And  Walnut Cake 350g,https://www.yamibuy.com/en/p/cherry-grandfather-taiwanese-black-date-and-walnut-cake-350g/1016031471,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHERRY GRANDFATHER,48,$25.99,,Taiwanese Black Date And  Walnut Cake 350g,,,4.9,Taiwan
Milk Cake 195g,https://www.yamibuy.com/en/p/huamei-stewed-milk-cake-195g-box/1016075841,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HUAMEI,22,$3.99,,Milk Cake 195g,,,5,China
HATANA Sweet Potato Tart 235g,https://www.yamibuy.com/en/p/hatana-naruto-kintoki-potato-232g/1016094121,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HATANA,4,$11.99,,HATANA Sweet Potato Tart 235g,,,4.5,Japan
"chính hiệu  ""Minh Ngoc"" Green Bean Cake         8.4 oz.",https://www.yamibuy.com/en/p/minh-ngoc-green-bean-cake-8-4-oz/1016097681,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Minh Ngoc,,$4.49,,"chính hiệu  ""Minh Ngoc"" Green Bean Cake         8.4 oz.",,,,Vietnam
"chính hiệu  ""Minh Ngoc"" Green Bean Cake      12.95 oz.",https://www.yamibuy.com/en/p/minh-ngoc-green-bean-cake-12-95-oz/1016097671,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Minh Ngoc,,$5.99,,"chính hiệu  ""Minh Ngoc"" Green Bean Cake      12.95 oz.",,,,Vietnam
Half Baked Lava Custard Cake 180g,https://www.yamibuy.com/en/p/half-baked-lava-custard-cake-180g/1016094001,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHIKODO,,$6.89,,Half Baked Lava Custard Cake 180g,,,,China
Cashew Crisp Cake 650g,https://www.yamibuy.com/en/p/dxc-cashew-crisp-cake-650/1016097281,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,2,$19.99,,Cashew Crisp Cake 650g,,,5,China
chính hiệu  Green Bean Cake (Durian Flavor 10.5 oz.,https://www.yamibuy.com/en/p/green-bean-cake-durian-flavor-10-5-oz/1016097691,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Minh Ngoc,,$5.89,,chính hiệu  Green Bean Cake (Durian Flavor 10.5 oz.,,,,Vietnam
Harajuku Baked Chocolate 198g,https://www.yamibuy.com/en/p/colombin-harajuku-chocolate-198g/1016071661,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,COLOMBIN,6,,,Harajuku Baked Chocolate 198g,$10.00,$19.99,3.3,Japan
Nuts Soft Flour Cake Brown Sugar Flv 384g TW,https://www.yamibuy.com/en/p/nuts-soft-flour-cake-brown-sugar-flv-384g-tw/1016098471,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JJF,,$5.89,,Nuts Soft Flour Cake Brown Sugar Flv 384g TW,,,,Taiwan
"Soft Flour Cake, Brown Sugar Flavor 300g TW",https://www.yamibuy.com/en/p/soft-flour-cake-brown-sugar-flavor-300g-tw/1016098491,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JJF,,$2.99,,"Soft Flour Cake, Brown Sugar Flavor 300g TW",,,,Taiwan
Egg Puff Cheese Flavor,https://www.yamibuy.com/en/p/egg-puff-cheese-flavor/1016098251,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BuErZaiZai,,$2.99,,Egg Puff Cheese Flavor,,,5,China
FRENCH PIE CHOCO SPREAD 179g,https://www.yamibuy.com/en/p/french-pie-choco-spread/1016060911,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,10,$3.29,,FRENCH PIE CHOCO SPREAD 179g,,,4.6,Korea
Vegetarian Mung Bean Durian Cake 400g,https://www.yamibuy.com/en/p/vegetarian-mung-bean-durian-400g/1016097471,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,3-MIEN,,$5.69,,Vegetarian Mung Bean Durian Cake 400g,,,,Vietnam
