Title,Title_link,brand-title,Price,comment-star__count,brand-variants,Headline,Field1,Field2,Field3,Field4
Salted Egg Yolk Roll 309g,https://www.yamibuy.com/en/p/salted-egg-yolk-roll-309g/1017045421?scene=item_search.result&bu_type=search&module_name=input&index=11&content=egg%20roll,OTHER BRANDS,$12.99,,,Salted Egg Yolk Roll 309g,Be the first!,N/A,,
Egg Roll Original 500g,https://www.yamibuy.com/en/p/weiquan-egg-roll-original-500g/1017033741?scene=item_search.result&bu_type=search&module_name=input&index=12&content=egg%20roll,WEIQUAN,$12.99,18,,Egg Roll Original 500g,18,United States,,4.8
Seaweed Egg Roll 80g,https://www.yamibuy.com/en/p/seaweed-egg-roll-80g/1017045261?scene=item_search.result&bu_type=search&module_name=input&index=13&content=egg%20roll,KALUOKAMAN,$4.99,,,Seaweed Egg Roll 80g,Be the first!,China,,
Ice Cream Flavor Egg Roll 64g,https://www.yamibuy.com/en/p/ice-cream-flavor-egg-roll-64g/1017045241?scene=item_search.result&bu_type=search&module_name=input&index=14&content=egg%20roll,KALUOKAMAN,,,,Ice Cream Flavor Egg Roll 64g,Be the first!,China,,
AJI Egg Roll Mango & Pomelo Flavor 218g,https://www.yamibuy.com/en/p/aji-egg-roll-mango-pomelo-flavor-218g/1017045711?scene=item_search.result&bu_type=search&module_name=input&index=15&content=egg%20roll,AJI,$6.69,,,AJI Egg Roll Mango & Pomelo Flavor 218g,Be the first!,China,,
AJI Hong Kong Style Egg Roll Milk Tea Flavored 218g,https://www.yamibuy.com/en/p/aji-hong-kong-style-egg-roll-milk-tea-flavored-218g/1017045701?scene=item_search.result&bu_type=search&module_name=input&index=16&content=egg%20roll,AJI,$6.69,,,AJI Hong Kong Style Egg Roll Milk Tea Flavored 218g,Be the first!,China,,
Purple Sweet Potato Egg Roll 500g,https://www.yamibuy.com/en/p/weiquan-purple-sweet-potato-egg-roll-500g/1017033751?scene=item_search.result&bu_type=search&module_name=input&index=17&content=egg%20roll,WEIQUAN,$12.99,5,,Purple Sweet Potato Egg Roll 500g,5,United States,,4.2
Chocolat Egg Roll 8pc 57.6g,https://www.yamibuy.com/en/p/chocolat-elise-8pc-57-6g/1017043621?scene=item_search.result&bu_type=search&module_name=input&index=18&content=egg%20roll,BOURBON,$2.89,,,Chocolat Egg Roll 8pc 57.6g,Be the first!,Japan,,
Salty Egg Yolk Crisp Egg Roll 218g,https://www.yamibuy.com/en/p/salty-egg-yolk-crisp-egg-roll-218g/1017040331?scene=item_search.result&bu_type=search&module_name=input&index=19&content=egg%20roll,KALUOKAMAN,$3.89,24,5 Options,Salty Egg Yolk Crisp Egg Roll 218g,24,China,Salty Egg Yolk Flavor,4.7
Toasted Egg Roll 178g,https://www.yamibuy.com/en/p/toasted-egg-roll-with-pork-floss-178g/1017040681?scene=item_search.result&bu_type=search&module_name=input&index=20&content=egg%20roll,TOTASTE,$7.99,3,,Toasted Egg Roll 178g,3,China,,3.7
Egg Roll Sesame Flavor 60g,https://www.yamibuy.com/en/p/imei-egg-roll-sesame-flavor-60g/1017004681?scene=item_search.result&bu_type=search&module_name=input&index=21&content=egg%20roll,IMEI,$1.89,111,2 Options,Egg Roll Sesame Flavor 60g,111,Taiwan,Sesame,4.5
Egg Roll Original Flavor 60g,https://www.yamibuy.com/en/p/imei-egg-roll-original-flavor-60g/1017004671?scene=item_search.result&bu_type=search&module_name=input&index=22&content=egg%20roll,IMEI,,125,2 Options,Egg Roll Original Flavor 60g,125,Taiwan,Original,4.5
Peacock Wafer Roll Egg Pudding Flavor 63g,https://www.yamibuy.com/en/p/peacock-wafer-roll-egg-pudding-flavor-63g/1017045141?scene=item_search.result&bu_type=search&module_name=input&index=23&content=egg%20roll,Peacock Brand Herbs,$3.29,,,Peacock Wafer Roll Egg Pudding Flavor 63g,Be the first!,China,,
Musang King Durian Flavor Egg Roll 64g,https://www.yamibuy.com/en/p/musang-king-durian-flavor-egg-roll-64g/1017045231?scene=item_search.result&bu_type=search&module_name=input&index=24&content=egg%20roll,KALUOKAMAN,,,,Musang King Durian Flavor Egg Roll 64g,Be the first!,China,,
AJI Egg Roll White Peach Flavor 218g,https://www.yamibuy.com/en/p/aji-egg-roll-white-peach-flavor-218g/1017045721?scene=item_search.result&bu_type=search&module_name=input&index=25&content=egg%20roll,AJI,$6.79,,,AJI Egg Roll White Peach Flavor 218g,Be the first!,China,,
CHIO HEONG YUEN Mini Egg Roll 150g,https://www.yamibuy.com/en/p/chio-heong-yuen-mini-egg-roll-150g/1017005321?scene=item_search.result&bu_type=search&module_name=input&index=26&content=egg%20roll,Choi Heong Yuen Bakery,$7.99,24,,CHIO HEONG YUEN Mini Egg Roll 150g,24,Macao,Macao,4.7
Durian Crisp Egg Roll 218g,https://www.yamibuy.com/en/p/durian-crisp-egg-roll-218g/1017040321?scene=item_search.result&bu_type=search&module_name=input&index=27&content=egg%20roll,KALUOKAMAN,$3.89,13,5 Options,Durian Crisp Egg Roll 218g,13,China,Durian Flavor,4.8
Egg Roll Coconut Flavor,https://www.yamibuy.com/en/p/sura-roll-cracker-coconut-flavor/1016068151?scene=item_search.result&bu_type=search&module_name=input&index=28&content=egg%20roll,SURA,$5.49,7,,Egg Roll Coconut Flavor,Be the first!,Korea,,4
Chocolate Flavored Peanut Crisp Egg Roll 218g,https://www.yamibuy.com/en/p/chocolate-flavored-peanut-crisp-egg-roll-218g/1017040311?scene=item_search.result&bu_type=search&module_name=input&index=29&content=egg%20roll,KALUOKAMAN,$4.39,1,5 Options,Chocolate Flavored Peanut Crisp Egg Roll 218g,1,China,Chocolate Peanut Flavor,3
Cheese Flavor Crispy Egg Roll 218g,https://www.yamibuy.com/en/p/cheese-flavor-crispy-egg-roll-218g/1017040351?scene=item_search.result&bu_type=search&module_name=input&index=30&content=egg%20roll,KALUOKAMAN,$3.99,14,5 Options,Cheese Flavor Crispy Egg Roll 218g,14,China,Cheese Flavor,4.7
YAM Twisted Roll Sea Sedge Flavor 88g,https://www.yamibuy.com/en/p/yumei-yam-twisted-roll-sea-sedge-flavor-88g/1017014941?scene=item_search.result&bu_type=search&module_name=input&index=31&content=egg%20roll,YUMEI,,241,2 Options,YAM Twisted Roll Sea Sedge Flavor 88g,241,China,Sea Sedge Flavor,4.7
YAM Twisted  Roll Caramel & Spicy Flavor  88g,https://www.yamibuy.com/en/p/yumei-yam-twisted-roll-brown-sugar-flavor-88g/1017014931?scene=item_search.result&bu_type=search&module_name=input&index=32&content=egg%20roll,YUMEI,$1.99,440,2 Options,YAM Twisted  Roll Caramel & Spicy Flavor  88g,440,China,Caramel Flavor,4.7
Spicy Fish Roll,https://www.yamibuy.com/en/p/bex-spicy-fish-roll/1017035511?scene=item_search.result&bu_type=search&module_name=input&index=33&content=egg%20roll,BEX,$0.99,149,,Spicy Fish Roll,149,China,,4.8
Wafer Roll Condensed Milk Flavor 400g,https://www.yamibuy.com/en/p/wafer-roll-condensed-milk-flavor-400g/1017044761?scene=item_search.result&bu_type=search&module_name=input&index=34&content=egg%20roll,Healthful,$19.99,,,Wafer Roll Condensed Milk Flavor 400g,Be the first!,Taiwan,,
10 Nut Roll Purple Sweet Potato Flavor 160g,https://www.yamibuy.com/en/p/10-nut-roll-purple-sweet-potato-fav-160g/1017045451?scene=item_search.result&bu_type=search&module_name=input&index=35&content=egg%20roll,Pei Tien,$2.69,,,10 Nut Roll Purple Sweet Potato Flavor 160g,Be the first!,Taiwan,,
"12 Grain Crispi Roll, Seaweed 180g",https://www.yamibuy.com/en/p/12-grain-crispi-roll-seaweed-180g/1017045461?scene=item_search.result&bu_type=search&module_name=input&index=36&content=egg%20roll,Pei Tien,$2.49,,,"12 Grain Crispi Roll, Seaweed 180g",Be the first!,Taiwan,,
"12 Grain Crispi Roll, Taro 180g",https://www.yamibuy.com/en/p/12-grain-crispi-roll-taro-180g/1017045471?scene=item_search.result&bu_type=search&module_name=input&index=37&content=egg%20roll,Pei Tien,$2.49,,,"12 Grain Crispi Roll, Taro 180g",Be the first!,Taiwan,,
LIOUCIOU FU WEI Handmade Twisted Roll Brown Sugar 200g,https://www.yamibuy.com/en/p/liouciou-fu-wei-handmade-twisted-roll-brown-sugar-200g/1017007361?scene=item_search.result&bu_type=search&module_name=input&index=38&content=egg%20roll,LIOUCIOUFUWEI,$3.89,125,5 Options,LIOUCIOU FU WEI Handmade Twisted Roll Brown Sugar 200g,125,Taiwan,Taiwan,4.8
LIOUCIOU FU WEI Handmade Twisted Roll Sesame Flavor 200g,https://www.yamibuy.com/en/p/liouciou-fu-wei-handmade-twisted-roll-sesame-flavor-200g/1017009821?scene=item_search.result&bu_type=search&module_name=input&index=39&content=egg%20roll,LIOUCIOUFUWEI,$3.89,34,5 Options,LIOUCIOU FU WEI Handmade Twisted Roll Sesame Flavor 200g,34,Taiwan,Taiwan,4.9
SURA JOONGMA-GO Laver Roll Cookie Cracker 365g,https://www.yamibuy.com/en/p/sura-joongma-go-laver-roll-cookie-cracker-365g/1017005251?scene=item_search.result&bu_type=search&module_name=input&index=40&content=egg%20roll,SURASANG,$5.99,25,,SURA JOONGMA-GO Laver Roll Cookie Cracker 365g,25,Korea,,4.4
Wafer Roll Chocolate 400g,https://www.yamibuy.com/en/p/healthful-wafer-roll-chocolate-400g/1017036021?scene=item_search.result&bu_type=search&module_name=input&index=41&content=egg%20roll,Healthful,$14.99,2,,Wafer Roll Chocolate 400g,2,Taiwan,,5
Chocolate and Caramel Crispy Wafer Roll 185g,https://www.yamibuy.com/en/p/two-flavors-chocolate-caramel-crispy-wafer-roll-185g/1017037871?scene=item_search.result&bu_type=search&module_name=input&index=42&content=egg%20roll,BOURBON,$5.99,4,,Chocolate and Caramel Crispy Wafer Roll 185g,4,Japan,,5
Wafer Roll Coffee 400g,https://www.yamibuy.com/en/p/healthful-wafer-roll-coffee-400g/1017036041?scene=item_search.result&bu_type=search&module_name=input&index=43&content=egg%20roll,Healthful,$15.99,2,,Wafer Roll Coffee 400g,2,Taiwan,,5
Roll Cake Vanilla 91g,https://www.yamibuy.com/en/p/bourbon-roll-cake-vanilla/1017029051?scene=item_search.result&bu_type=search&module_name=input&index=44&content=egg%20roll,BOURBON,$2.69,9,,Roll Cake Vanilla 91g,9,Japan,,4.4
Pizza Roll 25g,https://www.yamibuy.com/en/p/gy-pizza-roll/1017035491?scene=item_search.result&bu_type=search&module_name=input&index=45&content=egg%20roll,GY,$0.99,22,,Pizza Roll 25g,22,China,,4.6
Healthful Wafer Roll Hazelnut Cocoa,https://www.yamibuy.com/en/p/healthful-wafer-roll-hazelnut-cocoa/1017043351?scene=item_search.result&bu_type=search&module_name=input&index=46&content=egg%20roll,Healthful,,2,,Healthful Wafer Roll Hazelnut Cocoa,2,Taiwan,,4
Crispy Rice Treats Salted Egg Yolk Flavor 118g,https://www.yamibuy.com/en/p/yumei-rice-crusy-salted-yalk-flavor-118g/1017019091?scene=item_search.result&bu_type=search&module_name=input&index=47&content=egg%20roll,YUMEI,$3.49,932,,Crispy Rice Treats Salted Egg Yolk Flavor 118g,932,China,China,4.6
BACKERY Phoenix Egg Rolls 300g,https://www.yamibuy.com/en/p/choi-heong-yuen-backery-phoenix-egg-rolls-300g/1017006071?scene=item_search.result&bu_type=search&module_name=input&index=48&content=egg%20roll,Choi Heong Yuen Bakery,$13.49,13,,BACKERY Phoenix Egg Rolls 300g,13,Macao,Macao,4.8
,,,,,,,,,,
Salted Egg Yolks Filled Egg Rolls 220g,https://www.yamibuy.com/en/p/salted-egg-yolks-filled-egg-rolls-220g/1017044541,HUAMEI,$5.49,,,Salted Egg Yolks Filled Egg Rolls 220g,Be the first!,China,,
Peanut Love Egg Rolls 8 packs 400g,https://www.yamibuy.com/en/p/peanut-love-egg-rolls-8-packs-400g/1017043791,Hi Walk,$38.99,8,,Peanut Love Egg Rolls 8 packs 400g,8,Taiwan,,5
Cheese Filled Egg Rolls 220g,https://www.yamibuy.com/en/p/cheese-filled-egg-rolls-220g/1017044551,HUAMEI,$5.49,,,Cheese Filled Egg Rolls 220g,Be the first!,China,,
"Energy 99 Sticks, Egg Yolk 150g",https://www.yamibuy.com/en/p/energy-99-sticks-egg-yolk-150g/1017045441,Pei Tien,,,,"Energy 99 Sticks, Egg Yolk 150g",Be the first!,Taiwan,,
Japanese style egg rolls-boba tea flavor 160g,https://www.yamibuy.com/en/p/japanese-style-egg-rolls-boba-tea-flavor-160g/1017042301,YAKISS,$7.29,,,Japanese style egg rolls-boba tea flavor 160g,Be the first!,Hong Kong,,
Salted Egg Yolk Cookie Rolls 74g,https://www.yamibuy.com/en/p/toko-salted-egg-yolk-cookie-rolls-74g/1017029981,TOKO,$1.89,11,3 Options,Salted Egg Yolk Cookie Rolls 74g,11,Japan,Salted-egg Yolk Flavor,4.2
Year of Tiger Special Edition Salted Egg Yolk Crispy Egg Rolls 308g*2,https://www.yamibuy.com/en/p/new-year-gift-pack-salted-egg-yolk-crispy-egg-rolls-308g/1017045271,KALUOKAMAN,$8.49,,,Year of Tiger Special Edition Salted Egg Yolk Crispy Egg Rolls 308g*2,Be the first!,China,,
Tuna Flavor Egg Rolls 60g,https://www.yamibuy.com/en/p/wei-i-tuna-flavor-egg-rolls-60g/1017043471,WEIYI,$4.29,1,,Tuna Flavor Egg Rolls 60g,1,Taiwan,,5
Original Cigar Egg Roll 14pc,https://www.yamibuy.com/en/p/yoku-moku-original-cigar-egg-roll-14pc/3017010111,Yoku Moku,,34,5 Options,Original Cigar Egg Roll 14pc,34,Japan,,4.8
Cheese Egg Roll 8pc,https://www.yamibuy.com/en/p/cheese-egg-roll-8pc/3017039231,GRAMERCY NEW YORK,,13,,Cheese Egg Roll 8pc,13,Japan,,4.7
Valentine Day Limited Egg Roll Gift Box 10pc,https://www.yamibuy.com/en/p/yoku-moku-valentine-day-limited-egg-roll-gift-box-10pc/3017021141,Yoku Moku,,,5 Options,Valentine Day Limited Egg Roll Gift Box 10pc,Be the first!,Japan,Japan,
CAPLICO Chocolate Strawberry Egg Roll 1pc,https://www.yamibuy.com/en/p/glico-caplico-chocolate-strawberry-egg-roll-1pc/3017027771,GLICO,,,,CAPLICO Chocolate Strawberry Egg Roll 1pc,Be the first!,Japan,Japan,
ISHIYA GINZA White Chocolate Egg Roll 8pc,https://www.yamibuy.com/en/p/ishiya-ginza-white-chocolate-egg-roll-8pc/3017035371,ISHIYA SEIKA,,,2 Options,ISHIYA GINZA White Chocolate Egg Roll 8pc,Be the first!,Japan,Japan,
ISHIYA GINZA Milk Chocolate Egg Roll 8pc,https://www.yamibuy.com/en/p/ishiya-ginza-milk-chocolate-egg-roll-8pc/3017035361,ISHIYA SEIKA,,,2 Options,ISHIYA GINZA Milk Chocolate Egg Roll 8pc,Be the first!,Japan,Japan,
Energy 99 Rice Roll Egg Yolk Flavor 180g,https://www.yamibuy.com/en/p/pei-tien-energy-99-rice-roll-egg-yolk-flavor-180g/1017000171,Pei Tien,$2.59,481,4 Options,Energy 99 Rice Roll Egg Yolk Flavor 180g,481,Taiwan,Taiwan,4.8
Salted Egg Crunchy Roll Cracker 120g,https://www.yamibuy.com/en/p/irvins-salted-egg-crunchy-roll-cracker-120g/1017035581,IRVINS,,7,,Salted Egg Crunchy Roll Cracker 120g,7,Singapore,,4.6
Energy 99 Egg Roll Creamy Corn Flavor 100g,https://www.yamibuy.com/en/p/pei-tien-energy-99-egg-roll-creamy-corn-flavor-100g/1017001281,Pei Tien,$2.29,25,4 Options,Energy 99 Egg Roll Creamy Corn Flavor 100g,25,Taiwan,Taiwan,4.3
Energy 99 Egg Roll 180g -Pumpkin Flavor,https://www.yamibuy.com/en/p/pei-tien-energy-99-egg-roll-180g-pumpkin-flavor/1017001301,Pei Tien,$2.29,32,4 Options,Energy 99 Egg Roll 180g -Pumpkin Flavor,32,Taiwan,Taiwan,4.3
Egg Roll Chocolate Flavor 62g,https://www.yamibuy.com/en/p/roly-poly-biscuits-62g/1016081241,HAITAI,$1.99,8,,Egg Roll Chocolate Flavor 62g,8,Korea,,4.8
Lubera Egg Cookie 10pc,https://www.yamibuy.com/en/p/lubera-egg-cookie-10pc/3017039401,BOURBON,,1,5 Options,Lubera Egg Cookie 10pc,1,Japan,Butter Egg Roll,4
Adult toy EGG #013 Wavy 2 5ml,https://www.yamibuy.com/en/p/adult-toy-egg-013-wavy-2-5ml/1031039291,TENGA,,,4 Options,Adult toy EGG #013 Wavy 2 5ml,Be the first!,Japan,013 Wavy 2,
Adult toy EGG ＃002 Clicker 5ml,https://www.yamibuy.com/en/p/adult-toy-tenga-egg-002-clicker-5ml/1031001531,TENGA,,2,4 Options,Adult toy EGG ＃002 Clicker 5ml,2,Japan,,5
Bathe Soft Fragrance Body milk After Bath 80g,https://www.yamibuy.com/en/p/bathe-soft-fragrance-body-milk-after-bath-80g/3025047011,NATURAL EGG,$14.05,,,Bathe Soft Fragrance Body milk After Bath 80g,Be the first!,Japan,,
NATURAL EGG Bathe Soft Fragrance Body Gelato After Bath 100ml,https://www.yamibuy.com/en/p/natural-egg-bathe-soft-fragrance-body-gelato-after-bath-100ml/3025044281,NATURAL EGG,$14.49,,,NATURAL EGG Bathe Soft Fragrance Body Gelato After Bath 100ml,Be the first!,Japan,,
NATURAL EGG Bathe Soft Fragrance Body Gelato Fresh Soap 100ml,https://www.yamibuy.com/en/p/natural-egg-bathe-soft-fragrance-body-gelato-fresh-soap-100ml/3025044271,NATURAL EGG,$14.49,,,NATURAL EGG Bathe Soft Fragrance Body Gelato Fresh Soap 100ml,Be the first!,Japan,,
NATURAL EGG Bathe Soft Fragrance Body milk Morning Shower 80g,https://www.yamibuy.com/en/p/natural-egg-bathe-soft-fragrance-body-milk-morning-shower-80g/3025044291,NATURAL EGG,$14.49,,,NATURAL EGG Bathe Soft Fragrance Body milk Morning Shower 80g,Be the first!,Japan,,
Corn Roll-Japanese Style Grilled Seaweed  100g,https://www.yamibuy.com/en/p/pei-tien-pei-tien-corn-roll-japanese-style-grilled-seaweed-100g/1017014591,Pei Tien,$2.39,6,,Corn Roll-Japanese Style Grilled Seaweed  100g,6,Taiwan,Taiwan,4.7
Soybean Roll 14pc 6.35oz,https://www.yamibuy.com/en/p/soybean-roll-14pc-6-35oz/1149014301,DRAGONFLY BRAND,$5.99,1,,Soybean Roll 14pc 6.35oz,1,China,,5
Golden Soybean Roll 167g,https://www.yamibuy.com/en/p/golden-soybean-roll-167g/1149015031,DRAGONFLY BRAND,$5.29,,,Golden Soybean Roll 167g,Be the first!,China,,
Baked Cake-Roll Cake(Nama Baumkuchen)  295g,https://www.yamibuy.com/en/p/marukin-baked-cake-roll-cake-nama-baumkuchen-300g/1016059311,MARUKIN,$4.99,126,,Baked Cake-Roll Cake(Nama Baumkuchen)  295g,126,Japan,,4.6
Peacock Wafer Roll Coffee Flavor 63g,https://www.yamibuy.com/en/p/peacock-wafer-roll-coffee-63g/1016097001,Peacock Brand Herbs,$3.29,,,Peacock Wafer Roll Coffee Flavor 63g,Be the first!,China,,
Fiber Hawthron Jelly Roll 208g,https://www.yamibuy.com/en/p/fiber-hawthron-jelly-roll-208g/1019078161,YIDA,,2,,Fiber Hawthron Jelly Roll 208g,2,China,,5
Lactobacillus Hawthorn Roll,https://www.yamibuy.com/en/p/lactobacillus-hawthorn-roll/1019077221,YIDA,$5.99,2,,Lactobacillus Hawthorn Roll,2,China,,4
Sushi Nori with Sushi Roll 56g,https://www.yamibuy.com/en/p/sushi-nori-with-sushi-roll-56g/1149014241,MR FANG'S STORE,$7.99,,,Sushi Nori with Sushi Roll 56g,Be the first!,China,,
【Frozen】A5 Sliced Chuck Eye Roll 1.5mm(A5),https://www.yamibuy.com/en/p/a5-sliced-chuck-eye-roll-1-5mm-a5/1149011901,MIYAZAKI,$79.99,,,【Frozen】A5 Sliced Chuck Eye Roll 1.5mm(A5),Be the first!,Japan,,
【Frozen】Cinseed Clay Oven Roll 540g,https://www.yamibuy.com/en/p/cinseed-clay-oven-roll-540g/1146143091,JINPIN,$4.99,1,,【Frozen】Cinseed Clay Oven Roll 540g,1,China,,5
Hello Kitty Grains Rice Roll (Package Color Sent Randomly) 160g,https://www.yamibuy.com/en/p/pei-tien-hello-kitty-grains-rice-roll-pink-160g/1017025521,Pei Tien,$2.99,81,,Hello Kitty Grains Rice Roll (Package Color Sent Randomly) 160g,81,Taiwan,Taiwan,4.9
Egg Flavor Soft Flour Cake 608g,https://www.yamibuy.com/en/p/jingyizhen-egg-flavor-soft-flour-cake-608g/1016032471,JINGYIZHEN,$5.99,151,4 Options,Egg Flavor Soft Flour Cake 608g,151,China,China,4.9
Cheese Egg Roll 8pc,https://www.yamibuy.com/en/p/cheese-egg-roll-8pc/3016098411,GRAMERCY NEW YORK,,,,Cheese Egg Roll 8pc,Be the first!,Japan,Japan,
Mini Roll Cake Chocolate Flavor 70g,https://www.yamibuy.com/en/p/mini-roll-cake-chocolate-flavor-70g/1016083281,BOURBON,$2.99,7,3 Options,Mini Roll Cake Chocolate Flavor 70g,7,Japan,,4.6
Seaweed Pork Floss Egg Roll 100g*1,https://www.yamibuy.com/en/p/seaweed-pork-floss-egg-roll-100g-1/3019072891,BE & CHEERY,$11.90,,,Seaweed Pork Floss Egg Roll 100g*1,Be the first!,China,,
Biscuit Roll Orange Flavor 60g,https://www.yamibuy.com/en/p/want-want-biscuit-roll-orange-flavor-60g/1016019671,WANT WANT,$2.29,3,,Biscuit Roll Orange Flavor 60g,3,Taiwan,China,3.3
Beancurd Roll 300g,https://www.yamibuy.com/en/p/beancurd-roll-300g/1149014111,shuangxi,$3.99,,,Beancurd Roll 300g,Be the first!,China,,
Original Cigar Egg Roll 14pc,https://www.yamibuy.com/en/p/yoku-moku-original-cigar-egg-roll-14pc/3016063171,Yoku Moku,,6,3 Options,Original Cigar Egg Roll 14pc,6,Japan,Japan,5
GuangYang Cooked Salted Duck Egg 390g,https://www.yamibuy.com/en/p/guangming-cooked-salted-duck-egg-420g/1147003801,GOOSUN,$3.99,263,,GuangYang Cooked Salted Duck Egg 390g,263,China,,4.8
Chestnuts Tarto Roll 293g,https://www.yamibuy.com/en/p/chestnuts-tarto-1roll-293g/1016093421,KAMEI SEIKA,$9.99,2,,Chestnuts Tarto Roll 293g,2,Japan,,5
Soybean Roll 325g,https://www.yamibuy.com/en/p/hongye-soybean-roll-311g/1149001991,HONGYE,$9.99,9,,Soybean Roll 325g,9,China,,4.4
Hawthorn Roll (L) 120g,https://www.yamibuy.com/en/p/big-green-hawthorn-roll-l-120g/1019020101,BIG GREEN,$1.89,46,,Hawthorn Roll (L) 120g,46,China,China,4.7
Yuba Roll 500g,https://www.yamibuy.com/en/p/double-dragons-yuba-roll-500g/1149008061,DOUBLE DRAGONS,$3.59,5,,Yuba Roll 500g,5,China,,5
Z Roll Potato Stick Original Flavor 72g,https://www.yamibuy.com/en/p/tao-kae-noi-z-roll-original-flavored-72g/1019017461,TAO KAE NOI,$3.49,34,,Z Roll Potato Stick Original Flavor 72g,34,Thailand,Not Organic,4.8
Deka Choco Wafer Roll 360g,https://www.yamibuy.com/en/p/dua-kelinci-deka-choco-wafer-roll-360g/1016016671,DUA KELINCI,$4.49,15,,Deka Choco Wafer Roll 360g,15,Indonesia,Indonesia,4.2
Deka Choco Banana Wafer Roll 360g,https://www.yamibuy.com/en/p/dua-kelinci-deka-choco-banana-wafer-roll-360g/1016016661,DUA KELINCI,$4.49,11,,Deka Choco Banana Wafer Roll 360g,11,Indonesia,Indonesia,3.9
Crunch Seaweed Roll 400g,https://www.yamibuy.com/en/p/crunch-seaweed-roll-400g/1149011241,OTTOGI,,,,Crunch Seaweed Roll 400g,Be the first!,Korea,,
Mini Roll Cake Strawberry Flavor 70g,https://www.yamibuy.com/en/p/mini-roll-cake-strawberry-flavor-70g/1016083291,BOURBON,$2.69,7,3 Options,Mini Roll Cake Strawberry Flavor 70g,7,Japan,,3.6
Chocolates Egg Roll 5pc,https://www.yamibuy.com/en/p/message-de-rose-chocolates-egg-roll-5pc/3018014731,message de rose,,2,,Chocolates Egg Roll 5pc,Be the first!,Japan,Japan,5
Atoom Bulan Egg Needle 200g,https://www.yamibuy.com/en/p/atoom-bulan-egg-needle-200g/1021039471,atom bulan,$1.15,4,,Atoom Bulan Egg Needle 200g,4,Indonesia,Indonesia,3.5
Mini Roll Cake Milk Flavor 70g,https://www.yamibuy.com/en/p/mini-roll-cake-milk-flavor-70g/1016083271,BOURBON,$2.99,7,3 Options,Mini Roll Cake Milk Flavor 70g,7,Japan,,4.7
