Title,Title_link,Thumbnail,brand-title,Price,brand-variants,comment-star__count,Headline,DetailPrice,OriginalPrice,Field1,Field2,Field3
Pita Crackers Mediterranean Herb 120g,https://www.yamibuy.com/en/p/pita-crackers-mediterranean-herb-120g/1017041101?scene=item_search.result&bu_type=search&module_name=input&index=11&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SIMPLE MILLS,$6.49,,,Pita Crackers Mediterranean Herb 120g,,,Be the first!,United States,
Shrimp Crackers Spicy 80g,https://www.yamibuy.com/en/p/chinchin-shrimp-crackers-spicy-80g/1017035921?scene=item_search.result&bu_type=search&module_name=input&index=12&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHINCHIN,$1.99,6 Options,,Shrimp Crackers Spicy 80g,,,3,Taiwan,5
MIX Biscuit Sticks Original Flavor 60g,https://www.yamibuy.com/en/p/vfoods-mix-biscuit-sticks-original-flavor-75g/1017024871?scene=item_search.result&bu_type=search&module_name=input&index=13&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,VFOODS,$1.29,6 Options,,MIX Biscuit Sticks Original Flavor 60g,,,Be the first!,Thailand,4.9
Spicy Rice Cake Sticks Snack 230g,https://www.yamibuy.com/en/p/haitai-spicy-sindangdong-rice-cake-sticks-snack-230g/1017003341?scene=item_search.result&bu_type=search&module_name=input&index=14&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,$3.49,2 Options,301,Spicy Rice Cake Sticks Snack 230g,,,302,Korea,4.5
Energy 99 Rice Roll Egg Yolk Flavor 180g,https://www.yamibuy.com/en/p/pei-tien-energy-99-rice-roll-egg-yolk-flavor-180g/1017000171?scene=item_search.result&bu_type=search&module_name=input&index=15&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Pei Tien,$2.59,4 Options,478,Energy 99 Rice Roll Egg Yolk Flavor 180g,,,481,Taiwan,4.8
WANTWANT Rice Snack Original Flavor  70g,https://www.yamibuy.com/en/p/wantwant-rice-snack-original-flavor-70g/1017019361?scene=item_search.result&bu_type=search&module_name=input&index=16&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WANT WANT,,2 Options,,WANTWANT Rice Snack Original Flavor  70g,$1.89,$2.19,18,Taiwan,4.6
Puffed Rice Caramel Flavor 100g,https://www.yamibuy.com/en/p/captain-danny-puffed-rice-caramel-100g/1017030121?scene=item_search.result&bu_type=search&module_name=input&index=17&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CAPTAIN DANNY,$5.49,5 Options,,Puffed Rice Caramel Flavor 100g,,,8,Taiwan,4.8
GGE Baked Rice Snack Chocolate Flavor 45g,https://www.yamibuy.com/en/p/weilih-gge-baked-rice-snack-chocolate-flavor-45g/1017000261?scene=item_search.result&bu_type=search&module_name=input&index=18&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WEILIH,$1.89,,200,GGE Baked Rice Snack Chocolate Flavor 45g,,,200,Taiwan,4.7
Rice Stick Seafood Flavor 75g,https://www.yamibuy.com/en/p/rice-stick-seafood-flavor-75g/1017043961?scene=item_search.result&bu_type=search&module_name=input&index=19&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KOIKEYA,$2.09,,1,Rice Stick Seafood Flavor 75g,,,1,Japan,5
Rice Cracker Happy Turn English 108g,https://www.yamibuy.com/en/p/rice-cracker-happy-turn-english-108g/1017044651?scene=item_search.result&bu_type=search&module_name=input&index=20&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KAMEDA,$4.39,,,Rice Cracker Happy Turn English 108g,,,Be the first!,Japan,
Korean Rice Snack 8.8oz,https://www.yamibuy.com/en/p/korean-rice-snack-8-8oz/1017044801?scene=item_search.result&bu_type=search&module_name=input&index=21&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Arirang,$6.99,,,Korean Rice Snack 8.8oz,,,Be the first!,Korea,
Rice Cracker Soft Salad New 139g,https://www.yamibuy.com/en/p/rice-cracker-soft-salad-new-145g/1017044641?scene=item_search.result&bu_type=search&module_name=input&index=22&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KAMEDA,$3.99,,,Rice Cracker Soft Salad New 139g,,,Be the first!,Japan,
【Hnamatsuri Limited Edition】Baked Rice Cracker 50g,https://www.yamibuy.com/en/p/hinamatsuri-hina-arare-baked-rice-cracker-50g/1017044561?scene=item_search.result&bu_type=search&module_name=input&index=23&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BEFCO,$3.49,,,【Hnamatsuri Limited Edition】Baked Rice Cracker 50g,,,Be the first!,Japan,
Japanese Traditional Seaweed Rice Cracker 85g,https://www.yamibuy.com/en/p/shirakiku-japanese-traditional-seaweed-rice-cracker-85g/1017000481?scene=item_search.result&bu_type=search&module_name=input&index=24&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHIRAKIKU,$2.99,,53,Japanese Traditional Seaweed Rice Cracker 85g,,,53,Japan,3.9
Rice Cracker 8 Mate Mix Arae 454g,https://www.yamibuy.com/en/p/rice-cracker-8-mate-mix-arae-454g/1017041991?scene=item_search.result&bu_type=search&module_name=input&index=25&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHIRAKIKU,$7.99,3 Options,2,Rice Cracker 8 Mate Mix Arae 454g,,,2,Japan,5
Puffed Rice Sour Cream & Onion Flavor100g,https://www.yamibuy.com/en/p/puffed-rice-sour-cream-onion-100g/1017039791?scene=item_search.result&bu_type=search&module_name=input&index=26&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CAPTAIN DANNY,$5.49,,,Puffed Rice Sour Cream & Onion Flavor100g,,,Be the first!,Taiwan,
Crunchy Rice Rolls Strawberry Flavor,https://www.yamibuy.com/en/p/crunchy-rice-rolls-strawberry-mammos/1017043331?scene=item_search.result&bu_type=search&module_name=input&index=27&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Mammos,$2.49,,1,Crunchy Rice Rolls Strawberry Flavor,,,1,Korea,3
Hello Kitty Grains Rice Roll (Package Color Sent Randomly) 160g,https://www.yamibuy.com/en/p/pei-tien-hello-kitty-grains-rice-roll-pink-160g/1017025521?scene=item_search.result&bu_type=search&module_name=input&index=28&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Pei Tien,$2.99,,,Hello Kitty Grains Rice Roll (Package Color Sent Randomly) 160g,,,81,Taiwan,4.9
Rice Cracker Hot Mate Mix Arare 453g,https://www.yamibuy.com/en/p/rice-cracker-hot-mate-mix-arare-454g/1017042001?scene=item_search.result&bu_type=search&module_name=input&index=29&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHIRAKIKU,$7.99,3 Options,,Rice Cracker Hot Mate Mix Arare 453g,,,Be the first!,Japan,
Rice Snack Soybean Flavor 85g,https://www.yamibuy.com/en/p/rice-cracker-85g/1017039021?scene=item_search.result&bu_type=search&module_name=input&index=30&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FUNWARI,,,5,Rice Snack Soybean Flavor 85g,$2.50,$4.99,5,Japan,4.4
Japanese Rice Cracker 132g,https://www.yamibuy.com/en/p/amanoya-japanese-rice-cracker-145g/1017003501?scene=item_search.result&bu_type=search&module_name=input&index=31&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AMANOYA,$3.39,,14,Japanese Rice Cracker 132g,,,14,Japan,4.7
Mayonnaise Mentaiko Rice crackers 40g,https://www.yamibuy.com/en/p/mayonnaise-mentaiko-rice-crackers-40g/3017040811?scene=item_search.result&bu_type=search&module_name=input&index=32&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AMEYASAN,,19 Options,1,Mayonnaise Mentaiko Rice crackers 40g,$2.99,$4.99,1,Japan,5
Mayonnaise Curry Rice crackers 40g,https://www.yamibuy.com/en/p/mayonnaise-curry-rice-crackers-40g/3017040791?scene=item_search.result&bu_type=search&module_name=input&index=33&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AMEYASAN,,19 Options,,Mayonnaise Curry Rice crackers 40g,$2.99,$4.99,Be the first!,Japan,
Rice Cracker 70g,https://www.yamibuy.com/en/p/mizuho-rice-cracker-handmade-70g/1017002081?scene=item_search.result&bu_type=search&module_name=input&index=34&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MIZUHO,$1.69,,7,Rice Cracker 70g,,,7,Japan,4.4
Rice Crackers With Anchovy 1years old+ 4pack,https://www.yamibuy.com/en/p/rice-crackers-with-anchovy-1years-old-4pack/3017042061?scene=item_search.result&bu_type=search&module_name=input&index=35&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WAKODO,,,,Rice Crackers With Anchovy 1years old+ 4pack,$7.99,$9.99,Be the first!,Japan,
Cheese Rice crackers  12pc,https://www.yamibuy.com/en/p/cheese-rice-crackers-12pc/3017040961?scene=item_search.result&bu_type=search&module_name=input&index=36&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KAMEDA,,19 Options,,Cheese Rice crackers  12pc,$6.50,$9.99,Be the first!,Japan,
Spicy Soy Rice Crackers 80g,https://www.yamibuy.com/en/p/spicy-soy-rice-crackers-80g/3017041741?scene=item_search.result&bu_type=search&module_name=input&index=37&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ECHIGO SEIKA,,,,Spicy Soy Rice Crackers 80g,$3.50,$5.00,Be the first!,Japan,
Rice Cracker 100g,https://www.yamibuy.com/en/p/mizuho-rice-cracker-handmade-100g/1017002091?scene=item_search.result&bu_type=search&module_name=input&index=38&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MIZUHO,$1.99,,3,Rice Cracker 100g,,,5,Japan,4.6
Rice Cracker Nori Flavor 454g,https://www.yamibuy.com/en/p/rice-cracker-norimaki-mate-arare-454g/1017042011?scene=item_search.result&bu_type=search&module_name=input&index=39&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHIRAKIKU,$11.49,3 Options,,Rice Cracker Nori Flavor 454g,,,Be the first!,Japan,
Japanese Baked Rice Cracker Japanese Salt 10 Pack 144g,https://www.yamibuy.com/en/p/japanese-baked-rice-cracker-japanese-salt-10-pack-142g/1017037811?scene=item_search.result&bu_type=search&module_name=input&index=40&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KINGODO,$3.69,,,Japanese Baked Rice Cracker Japanese Salt 10 Pack 144g,,,Be the first!,Japan,
Puffed Black Bean Rice Cake125g,https://www.yamibuy.com/en/p/puffed-black-bean-rice-cake-snack/1017029011?scene=item_search.result&bu_type=search&module_name=input&index=41&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NONGHYUP,$3.69,2 Options,,Puffed Black Bean Rice Cake125g,,,11,Korea,4.5
Bin Bin Rice Cracker 106g,https://www.yamibuy.com/en/p/namchow-pin-pin-rice-cracker-106g/1017027851?scene=item_search.result&bu_type=search&module_name=input&index=42&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NAMCHOW,$1.29,,,Bin Bin Rice Cracker 106g,,,56,China,4.8
Japanese Shoyo Rice Cracker 60g,https://www.yamibuy.com/en/p/amanoya-japanese-shoyo-rice-cracker-60g/1017008021?scene=item_search.result&bu_type=search&module_name=input&index=43&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AMANOYA,$1.99,,30,Japanese Shoyo Rice Cracker 60g,,,30,Japan,4.9
Puffed Rice Cake 125g,https://www.yamibuy.com/en/p/puffed-rice-cake-snack/1017029001?scene=item_search.result&bu_type=search&module_name=input&index=44&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NONGHYUP,$2.99,2 Options,,Puffed Rice Cake 125g,,,9,Korea,5
Mayonnaise Bacon Rice crackers 40g,https://www.yamibuy.com/en/p/mayonnaise-bacon-rice-crackers-40g/3017040821?scene=item_search.result&bu_type=search&module_name=input&index=45&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AMEYASAN,,19 Options,,Mayonnaise Bacon Rice crackers 40g,$2.99,$4.99,Be the first!,Japan,
Mayonnaise Rice crackers 40g,https://www.yamibuy.com/en/p/mayonnaise-rice-crackers-40g/3017040801?scene=item_search.result&bu_type=search&module_name=input&index=46&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AMEYASAN,,19 Options,,Mayonnaise Rice crackers 40g,$2.99,$4.99,Be the first!,Japan,
AMAEBI Rice crackers 6bags,https://www.yamibuy.com/en/p/amaebi-rice-crackers-6bags/3017040831?scene=item_search.result&bu_type=search&module_name=input&index=47&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AMEYASAN,,19 Options,,AMAEBI Rice crackers 6bags,$4.50,$7.99,Be the first!,Japan,
Fish Crackers Spicy Cheese and Onion 50g,https://www.yamibuy.com/en/p/fish-crackers-spicy-cheese-and-onion-50g/3017045761?scene=item_search.result&bu_type=search&module_name=input&index=48&content=rice%20crackers,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,COCOLAND,,,,Fish Crackers Spicy Cheese and Onion 50g,$5.59,$6.99,Be the first!,Malaysia,
,,,,,,,,,,,,
Fish Crackers Spicy Mala 50g,https://www.yamibuy.com/en/p/fish-crackers-spicy-mala-50g/3017045751,https://cdn.yamibuy.net/item/07c6829a6d3c2eba3295a057126b31dc_684x684.webp,COCOLAND,,,,Fish Crackers Spicy Mala 50g,$5.59,$6.99,Be the first!,Malaysia,
Prawn Crackers Barbecue Flavor 25g,https://www.yamibuy.com/en/p/bestore-prawn-crackers-barbecue-flavor-25g/3017038031,https://cdn.yamibuy.net/item/8beecf1d2c17dc1740c9b25bd1bcbd6d_684x684.webp,BESTORE,$3.99,,,Prawn Crackers Barbecue Flavor 25g,,,Be the first!,China,
Prawn Crackers Original Flavor 7g,https://www.yamibuy.com/en/p/oishi-prawn-crackers-original-flavor-7g/3017036111,https://cdn.yamibuy.net/item/734ed103064c6832e8dc5175e2f8ee10_684x684.webp,OISHI,$0.22,,,Prawn Crackers Original Flavor 7g,,,Be the first!,China,
Chicken Flavoured Crackers 60g,https://www.yamibuy.com/en/p/miaow-miaow-chicken-flavoured-crackers-60g/3017023691,https://cdn.yamibuy.net/item/d65f9819aedeb55f179831790fdab1d2_684x684.webp,MIAOW MIAOW,,2 Options,,Chicken Flavoured Crackers 60g,$6.39,$7.99,Be the first!,Malaysia,
Crackers Cuttlefish Flavour 60g,https://www.yamibuy.com/en/p/miaow-miaow-crackers-cuttlefish-flavour-60g/3017023661,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MIAOW MIAOW,,2 Options,,Crackers Cuttlefish Flavour 60g,$6.39,$7.99,Be the first!,Malaysia,
Hot & Spicy Flavoured Prawn Crackers 60g,https://www.yamibuy.com/en/p/miaow-miaow-hot-spicy-flavoured-prawn-crackers-60g/3017035121,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MIAOW MIAOW,,,,Hot & Spicy Flavoured Prawn Crackers 60g,$6.39,$7.99,Be the first!,Malaysia,
Chili Cheese Flavoured Prawn Crackers 70g,https://www.yamibuy.com/en/p/bika-chili-cheese-flavoured-prawn-crackers-70g/3017039151,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BIKA,,,,Chili Cheese Flavoured Prawn Crackers 70g,$3.99,$4.99,Be the first!,Malaysia,
BBQ Cuttlefish Flavoured Crackers 70g,https://www.yamibuy.com/en/p/bika-bbq-cuttlefish-flavoured-crackers-70g/3017039161,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BIKA,,,,BBQ Cuttlefish Flavoured Crackers 70g,$3.99,$4.99,Be the first!,Malaysia,
TAINAN ONLY Grand Matsu Pea Crackers (Koloko - Salted Flavor),https://www.yamibuy.com/en/p/tainan-only-grand-matsu-pea-crackers-koloko-salted-flavor-95g/3017035641,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIEN HAW FOODS,,,,TAINAN ONLY Grand Matsu Pea Crackers (Koloko - Salted Flavor),$6.64,$6.99,Be the first!,Taiwan,
Korean Traditional Rice Cookie 127g,https://www.yamibuy.com/en/p/korean-traditional-rice-cookie-127g/1016096941,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ASSI BRAND,$3.49,,,Korean Traditional Rice Cookie 127g,,,Be the first!,Korea,
Pepper Crispy Rice Crackers Green Pepper Flavor 108g,https://www.yamibuy.com/en/p/pepper-crispy-rice-crackers-rotten-pepper-flavor-108g/1017045221,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,xasunfood,$2.99,,,Pepper Crispy Rice Crackers Green Pepper Flavor 108g,,,Be the first!,China,
3 Years Aged Habanero Kanzuri Rice Cracker 38g,https://www.yamibuy.com/en/p/3-years-aged-habanero-kanzuri-rice-cracker-38g/3017045771,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TOHATO,,,,3 Years Aged Habanero Kanzuri Rice Cracker 38g,$6.39,$7.99,Be the first!,Japan,
Chocolate Rice Cracker 40g,https://www.yamibuy.com/en/p/chocolate-rice-cracker-40g/3017044681,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Sugar Butter Tree,,,,Chocolate Rice Cracker 40g,$4.50,$6.50,Be the first!,Japan,
Honey Butter Chip 60g,https://www.yamibuy.com/en/p/haitai-honey-butter-chip-60g/1017004481,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,$2.19,4 Options,1213,Honey Butter Chip 60g,,,1215,Korea,4.7
Brown Rice Snack Spicy Barbecue Flavour 50g,https://www.yamibuy.com/en/p/brown-rice-snack-spicy-barbecue-flavour-50g/3017041511,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Grain Mii,,,,Brown Rice Snack Spicy Barbecue Flavour 50g,$6.39,$7.99,Be the first!,Thailand,
Theokbokki Topokki Sweet & Spicy Rice Cake Snack 57g,https://www.yamibuy.com/en/p/theokbokki-topokki-sweet-spicy-rice-cake-snack-57g/3017041581,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,COSMOS,,,,Theokbokki Topokki Sweet & Spicy Rice Cake Snack 57g,$5.59,$6.99,Be the first!,Korea,
Sweet Shrimp Rice Cracker 72g,https://www.yamibuy.com/en/p/sweet-shrimp-rice-cracker-72g/3017039861,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KAMEDA,,19 Options,2,Sweet Shrimp Rice Cracker 72g,$6.50,$7.99,2,Japan,5
PANPAN Wheat Crunch Chicken Flavor 105g,https://www.yamibuy.com/en/p/panpan-wheat-crunch-chicken-flavor-105g/1017008261,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ASIA FOODS,,8 Options,270,PANPAN Wheat Crunch Chicken Flavor 105g,$1.79,$1.89,272,China,4.8
Mimi Shrimp Flavored Chips 10 Packs 180g,https://www.yamibuy.com/en/p/aishang-mimi-shrimp-flavored-chips-10-packs-180g/1017007641,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,aishang,$2.99,4 Options,150,Mimi Shrimp Flavored Chips 10 Packs 180g,,,153,China,4.7
GGE BBQ Cube Wheat Cracker 80g,https://www.yamibuy.com/en/p/weilih-good-good-eat-bbq-cube-wheat-cracker-80g-random-delivery-of-2-packaging/1017000211,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WEILIH,$1.89,9 Options,400,GGE BBQ Cube Wheat Cracker 80g,,,401,Taiwan,4.6
Soybean Snacks 360g,https://www.yamibuy.com/en/p/mini-la-tiao-soybean-snacks-360g/1017041441,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WEILONG,$6.49,,10,Soybean Snacks 360g,,,10,China,4.8
Potato Chips Garlic Roasted Oyster Flavor 70g,https://www.yamibuy.com/en/p/potato-chips-garlic-roasted-oyster-flavor-28g/1017040721,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Lay's,$2.49,,17,Potato Chips Garlic Roasted Oyster Flavor 70g,,,17,China,4.6
"Potato Chips Cucumber Flavor, 70g",https://www.yamibuy.com/en/p/lay-s-potato-chips-cucumber-flavor-70g/1017014081,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Lay's,,7 Options,405,"Potato Chips Cucumber Flavor, 70g",$2.29,$2.49,406,China,4.7
Potato Chips Spicy Hot Pot Flavor 70g,https://www.yamibuy.com/en/p/lay-s-potato-chips-numb-amp-spicy-hot-pot-flavor-70g/1017014091,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Lay's,$2.49,7 Options,260,Potato Chips Spicy Hot Pot Flavor 70g,,,260,China,4.7
GGE Seaweed Cracker 80g,https://www.yamibuy.com/en/p/weilih-good-good-eat-seaweed-cracker-80g-random-delivery-of-2-packaging/1017000251,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WEILIH,$1.89,9 Options,192,GGE Seaweed Cracker 80g,,,192,Taiwan,4.6
Potato Farm Hokkaido Premium Potato Chips Jaga Pokkuru 18g*10 Packs,https://www.yamibuy.com/en/p/calbee-potato-farm-hokkaido-premium-potato-18g-10-packs/1017000911,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CALBEE,,,103,Potato Farm Hokkaido Premium Potato Chips Jaga Pokkuru 18g*10 Packs,$17.99,$20.99,104,Japan,4.8
CALBEE MY POTE GARLIC HERB BUTTR 60g,https://www.yamibuy.com/en/p/calbee-my-pote-garlic-herb-buttr-60g/1017042901,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CALBEE,$1.49,,18,CALBEE MY POTE GARLIC HERB BUTTR 60g,,,18,Japan,4.4
Rich Cut Chili Chips 54g (New and old packaging randomly sent),https://www.yamibuy.com/en/p/koikeya-rich-cut-chili-chips-54g/1017000791,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KOIKEYA,,,199,Rich Cut Chili Chips 54g (New and old packaging randomly sent),$1.89,$2.29,200,Japan,4.6
Sour Cream Onion Chips 47g,https://www.yamibuy.com/en/p/max-sour-cream-onion-chips-47g/1017044501,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Lay's,$1.99,,5,Sour Cream Onion Chips 47g,,,5,China,4.4
PANPAN Wheat Crunch Spicy Chicken Flavor 105g,https://www.yamibuy.com/en/p/panpan-wheat-crunch-spicy-chicken-flavor-105g/1017008301,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ASIA FOODS,$1.89,8 Options,161,PANPAN Wheat Crunch Spicy Chicken Flavor 105g,,,162,China,4.7
