Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,DetailPrice,OriginalPrice,Field1,Field2,Field3
Neoguri Cup Noodles Spicy Seafood Flavor 75g,https://www.yamibuy.com/en/p/nongshim-neoguri-cup-spicy-seafood-flavor-75g/1021024941?scene=item_search.result&bu_type=search&module_name=input&index=31&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NONGSHIM,18,,$1.29,$1.49,18,Korea,4.4
Shrimp Seafood Flavored Hotpot Base 200g,https://www.yamibuy.com/en/p/haidilao-shrimp-seafood-flavored-hotpot-base-200g/1021006971?scene=item_search.result&bu_type=search&module_name=input&index=32&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAIDILAO,72,$4.39,,,72,China,4.3
Koikeya Cup Noodle Potato Chips Spicy Seafood Flavor 50g,https://www.yamibuy.com/en/p/nissin-koikeya-cup-noodle-potato-chips-spicy-seafood-50g/1017029861?scene=item_search.result&bu_type=search&module_name=input&index=33&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,17,$1.99,,,17,Japan,4.8
Neoguri Noodle Soup Spicy Seafood Flavor 120g,https://www.yamibuy.com/en/p/nongshim-neoguri-noodle-soup-spicy-seafood-flavor-120g/1021024991?scene=item_search.result&bu_type=search&module_name=input&index=34&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NONGSHIM,11,$1.69,,,11,Korea,4.4
Tofu Broth Seasoning Seafood 450g,https://www.yamibuy.com/en/p/jayone-tofu-broth-seasoning-seafood-450g/1021044961?scene=item_search.result&bu_type=search&module_name=input&index=35&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JAYONE,45,$2.49,,,45,Korea,4.6
Squid Aberdeen Spicy Seed Seafood Snacks Spicy 500g,https://www.yamibuy.com/en/p/sea-fortune-squid-spicy-with-seeds/5019072601?scene=item_search.result&bu_type=search&module_name=input&index=36&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SEA FORTUNE,3,,$19.99,$36.00,3,China,4.7
[China Direct Mail] Baicao Flavour-Spicy Aberdeen Xiaoyu Dried Seafood Snacks 105g,https://www.yamibuy.com/en/p/china-direct-mail-baicao-flavour-spicy-aberdeen-xiaoyu-dried-seafood-snacks-105g-2/3019063661?scene=item_search.result&bu_type=search&module_name=input&index=37&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BE & CHEERY,,$11.90,,,Be the first!,China,
Dried sea oysters Dried sea oysters seafood 160g,https://www.yamibuy.com/en/p/dried-sea-oysters-dried-sea-oysters-seafood-160g-3/3149010631?scene=item_search.result&bu_type=search&module_name=input&index=38&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YAODUODUO,,$29.90,,,Be the first!,China,
Premium Dried Abalone - All Natural Gluten Free Wild Caught Gourmet Dried Seafood for Cooking -  100g Jar,https://www.yamibuy.com/en/p/nestlady-premium-dried-abalone-all-natural-gluten-free-wild-caught-gourmet-dried-seafood-for-cooking-100g-jar/3030033351?scene=item_search.result&bu_type=search&module_name=input&index=39&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NestLady,10,$35.90,,,10,United States,4.6
Premium Dried Conch Slices - All Natural Gluten Free Wild Caught Gourmet Dried Seafood for Cooking 55g Jar,https://www.yamibuy.com/en/p/nestlady-premium-dried-conch-slices-all-natural-gluten-free-wild-caught-gourmet-dried-seafood-for-cooking-55g-jar/3030033361?scene=item_search.result&bu_type=search&module_name=input&index=40&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NestLady,1,,$15.99,$18.90,1,United States,5
ROASTED SHRIMP FLAVOR HIMEGO 50g- 100% Natural Dried fish Dried seafood snack Resealable bag NON GMO,https://www.yamibuy.com/en/p/nestlady-roasted-shrimp-flavor-himego-50g-100-natural-dried-fish-dried-seafood-snack-resealable-bag-non-gmo/3030053401?scene=item_search.result&bu_type=search&module_name=input&index=41&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NestLady,,,$16.99,$19.99,Be the first!,United States,
Lightly dried shrimp skin dried seafood 90g,https://www.yamibuy.com/en/p/lightly-dried-shrimp-skin-dried-seafood/3149010611?scene=item_search.result&bu_type=search&module_name=input&index=42&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YAODUODUO,,$29.90,,,Be the first!,China,
Freeze Dried Strawberry 20g,https://www.yamibuy.com/en/p/big-green-freeze-dried-strawberry-20g/1019034271?scene=item_search.result&bu_type=search&module_name=input&index=43&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BIG GREEN,178,$1.99,,,178,China,4.6
Dried Plum Slice 14g,https://www.yamibuy.com/en/p/i-factory-umeboshi-no-sheet-84g-6/1019048611?scene=item_search.result&bu_type=search&module_name=input&index=44&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,I FACTORY,229,$2.49,,,229,Japan,4.8
ROASTED SAKURA SHRIMP 40g  - 100% Natural Dried shrimp Dried seafood snack Resealable bag NON GMO Ready to eat,https://www.yamibuy.com/en/p/roasted-sakura-shrimp-40g-100-natural-dried-shrimp-dried-seafood-snack-resealable-bag-non-gmo-ready-to-eat/3019072301?scene=item_search.result&bu_type=search&module_name=input&index=45&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NestLady,,,$12.99,$16.99,Be the first!,United States,
Instant Shrimp Tai Chi Shrimp Seafood Snack Original Flavor 200g,https://www.yamibuy.com/en/p/shuiyifang-primary-taste-shrimp/5019072611?scene=item_search.result&bu_type=search&module_name=input&index=46&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SEA FORTUNE,1,,$18.99,$39.00,1,China,5
Freeze Dried Peach Slices 20g,https://www.yamibuy.com/en/p/big-green-freeze-dried-peach-slices-20g/1019034291?scene=item_search.result&bu_type=search&module_name=input&index=47&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BIG GREEN,63,,$1.79,$1.99,63,China,4.3
Freeze Dried Pear Slices 20g,https://www.yamibuy.com/en/p/big-green-freeze-dried-pear-slices-20g/1019034301?scene=item_search.result&bu_type=search&module_name=input&index=48&content=dried%20seafood,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BIG GREEN,58,,$1.79,$1.99,58,China,4.6
,,,,,,,,,,
Freeze Dried Banana Slices 20g,https://www.yamibuy.com/en/p/big-green-freeze-dried-banana-slices-20g/1019034281,https://cdn.yamibuy.net/item/13fed713bdd9dd2372716dd9a57cf076_684x684.webp,BIG GREEN,41,,$1.79,$1.99,41,China,4.2
DRIED BEAN CURD STICK  170g,https://www.yamibuy.com/en/p/dried-bean-curd-stick-170g/1149000911,https://cdn.yamibuy.net/item/c8247f5c6706f82484154bc76addc6ee_684x684.webp,CHUZHIBAO,91,$2.99,,,91,United States,4.6
"Dried Bean Curd Sichuan Spicy Flavor, 2.12 oz",https://www.yamibuy.com/en/p/weilong-kiss-bean-curd-spiced-flavor-60g/1019007171,https://cdn.yamibuy.net/item/08e7aed98b077c3cad1c40a71d984d13_684x684.webp,WEILONG,670,,$1.39,$1.69,670,China,4.3
Dried Mustard Seaweed 100g,https://www.yamibuy.com/en/p/dried-mustard-seaweed-100g/1149012331,https://cdn.yamibuy.net/item/950581dc69261e60a3f1861dcea39ffc_684x684.webp,KWANGCHEONKIM,,$3.49,,,Be the first!,Korea,
Fragrant Dried Olives 70g,https://www.yamibuy.com/en/p/fragrant-olices-70g/1019073681,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,yifen,,$2.19,,,Be the first!,China,
Dried purple yam Oatmeal 2 bags 90g,https://www.yamibuy.com/en/p/dried-purple-yam-oatmeal-2-bags-90g/1147007081,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BUYDEEM,14,$3.39,,,14,China,4.7
Dried Young Bamboo Shoots 250g,https://www.yamibuy.com/en/p/dried-young-bamboo-shoots-250g/1149014641,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIANFENG,1,$6.99,,,1,China,5
Dried Kelp 80g,https://www.yamibuy.com/en/p/dried-kelp-80g/1149012311,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KWANGCHEONKIM,,$3.59,,,Be the first!,Korea,
Dried Noodles (Kal) 3Ib,https://www.yamibuy.com/en/p/dried-noodles-kal-3ib/1149015311,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YISSINE,,$4.99,,,Be the first!,Korea,
Dried Radish Spicy Sauce 340g,https://www.yamibuy.com/en/p/dried-radish-spicy-sauce-340g/1147012361,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Da Qiao Tou,,$12.99,,,Be the first!,Taiwan,
Dried Osmanthus 5g,https://www.yamibuy.com/en/p/dried-osmanthus-5g/1020062641,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OS,,$8.99,,,Be the first!,Taiwan,
Dried Radish 80g,https://www.yamibuy.com/en/p/dried-radish-80g/1147009541,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SANJIANG,,$0.99,,,Be the first!,China,
Dried Shirimp 90g,https://www.yamibuy.com/en/p/dried-shirimp-90g/1149015171,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CAPTAIN JIANG,,$4.99,,,Be the first!,China,
Dashi Kombu Dried Kelp 57g,https://www.yamibuy.com/en/p/dashi-kombu-kelp-50g/1147008121,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHIRAKIKU,17,$1.89,,,17,Japan,4.9
Dried Soy Sheet Knot 200g,https://www.yamibuy.com/en/p/dried-soy-sheet-knot-200g/1149012761,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DOUXIANGFANG,4,,$4.49,$4.99,4,China,4.2
Big Green Dried Soy Bean Curd (Sheet),https://www.yamibuy.com/en/p/big-green-dried-soy-bean-curd-sheet/1149013311,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DOUXIANGFANG,3,,$4.39,$4.89,3,China,4.3
Dried Fish Maw 16oz,https://www.yamibuy.com/en/p/dried-fish-maw-16oz/1030058841,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TSH,,$279.00,,,Be the first!,United States,
Dried Chili 100g,https://www.yamibuy.com/en/p/panda-dried-chili-two-vitex-chili-100g/1021030121,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,PANDA,32,$2.69,,,32,China,4.5
TAK SHING HONG Dried Fish Maw Butterfly Style 20g AAAA,https://www.yamibuy.com/en/p/tak-shing-hong-dried-fish-maw-butterfly-style-20g/1149005451,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TSH,,,$149.00,$159.99,Be the first!,United States,
HSIN TUNG YANG Dried Marinated Mustard 65g,https://www.yamibuy.com/en/p/hsin-tung-yang-dried-marinated-mustard-65g/1021016611,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HSINTUNGYANG,49,,$1.99,$2.19,49,Taiwan,4.6
SWEETB Honey Dried Mango 105g,https://www.yamibuy.com/en/p/honey-mango-105g/1019056281,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SIAM'S ROYAL,1,$5.39,,,1,Thailand,5
HAN Dried Plum 160g,https://www.yamibuy.com/en/p/ten-wow-han-dried-plum-160g/1019026471,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TEN WOW,,$4.89,,,Be the first!,China,
Wugang Presrever Dried Tofu 280g,https://www.yamibuy.com/en/p/wugang-presrever-dried-tofu-280g/1019065271,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FANGJIE,9,$2.99,,,9,China,4.6
Dried Gold Chrysanthemum 30g,https://www.yamibuy.com/en/p/dried-chrysanthemum-gold-30g/1020063101,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BIG GREEN,1,$4.39,,,1,China,5
HY Dried Beancurd 200g,https://www.yamibuy.com/en/p/hy-dried-beancurd-200g/1021046241,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HONGYE,26,$5.99,,,26,China,4.6
Organic Dried Wild Yam Root Slice 120g,https://www.yamibuy.com/en/p/big-green-organic-dried-wild-yam-root-slice-120g/1030029581,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BIG GREEN,13,,$6.29,$6.99,13,China,4.8
Dried Glass Noodle-Sweet Potato 5lb,https://www.yamibuy.com/en/p/dried-glass-noodle-sweet-potato-5lb/1149015801,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JAYONE,,$17.99,,,Be the first!,Korea,
Dried Beancured Sheet 170g,https://www.yamibuy.com/en/p/dragon-dried-beancured-sheet-6oz/1021064021,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DRAGON,8,$2.99,,,8,China,4.1
TAK SHING HONG Dried Prickly Ash 3oz,https://www.yamibuy.com/en/p/tak-shing-hong-dried-prickly-ash-3oz/1021012941,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TSH,3,$7.99,,,3,United States,4.7
Dried Medlar 200g,https://www.yamibuy.com/en/p/asian-taste-dried-medlar-200g/1021016231,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ASIAN TASTE,25,$6.99,,,25,Taiwan,4.6
Dried Seaweed Ties 50g,https://www.yamibuy.com/en/p/jinhailin-dried-seaweed-ties-50g/1021017451,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JINHAILIN,11,$1.99,,,11,China,4.5
Freeze Dried Durian 30g,https://www.yamibuy.com/en/p/lyophilized-durian-30g/1019076151,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,THREE SQUIRRELS,,$3.89,,,Be the first!,China,
Dried Bean Curd Stick 340g,https://www.yamibuy.com/en/p/dried-bean-curd-stick-340g/1149004381,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHUZHIBAO,34,$5.99,,,34,United States,4.8
Gaobeidian Shredded Dried Bean Curd 700g,https://www.yamibuy.com/en/p/gaobeidian-shredded-dried-bean-curd-700g/1149016371,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HD,,$7.99,,,Be the first!,China,
Dried Lemon Slices 60g,https://www.yamibuy.com/en/p/mr-fang-s-store-dried-lemon-slices-60g/1149008551,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MR FANG'S STORE,30,$4.99,,,30,China,4.8
Dried Milkfish Seasoned Slices 150g,https://www.yamibuy.com/en/p/dried-milkfish-seasoned-slices-150g/1019066451,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DONGGANG,,$10.99,,,Be the first!,China,
WEL PAC FUERU WAKAME Dried Seaweed 56.7g,https://www.yamibuy.com/en/p/wel-pac-fueru-wakame-dried-seaweed-56-7g/1021017691,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WEL.PAC,13,$2.99,,,13,China,4.8
Dried Soba Noodles 800g,https://www.yamibuy.com/en/p/yumei-dried-soba-noodles-800g/1149003521,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUMEI,22,,$4.69,$4.99,22,China,4.8
Organic Dried Monk Fruit 80g,https://www.yamibuy.com/en/p/big-green-organic-dried-monk-fruit-80g/1149004071,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BIG GREEN,5,$7.59,,,5,China,5
Dried Aniseed 4oz,https://www.yamibuy.com/en/p/dried-aniseed-4oz/1148018441,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CW1,,$7.99,,,Be the first!,China,
Dried Mango 135g,https://www.yamibuy.com/en/p/mr-fang-s-store-dried-mango-135g/1019060231,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MR FANG'S STORE,28,$7.39,,,28,China,4.9
Dried Baby Chrysanthemum 50g,https://www.yamibuy.com/en/p/dried-baby-chrysanthemum-50g/1020063111,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BIG GREEN,1,$5.89,,,1,China,5
Dried Japanese Scallops Small 8oz,https://www.yamibuy.com/en/p/tsh-dried-japanese-scallops-small-8oz/1021025171,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TSH,6,,$67.99,$69.99,6,United States,4.7
Dried Noodle(Somen) 500g,https://www.yamibuy.com/en/p/dried-noodle-somen-500g/1149015791,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JAYONE,,$3.69,,,Be the first!,Korea,
