Title,Title_link,brand-title,comment-star__count,Price,brand-variants,Headline,Field1,Field2,Field3
Dried Strawberries 150g - Fruit Snack / 100% Nature,https://www.yamibuy.com/en/p/nestlady-dried-strawberries-150g-fruit-snack-100-nature/5019066321,NestLady,,$16.99,,Dried Strawberries 150g - Fruit Snack / 100% Nature,Be the first!,United States,
Thin Dried Tofu Sweet Spicy Taste 160g,https://www.yamibuy.com/en/p/bestore-thin-dried-tofu-sweet-spicy-taste-160g/3019046111,BESTORE,1,$6.99,,Thin Dried Tofu Sweet Spicy Taste 160g,1,China,5
[China Direct Mail] BE-CHEERY dried bayberry 100g,https://www.yamibuy.com/en/p/china-direct-mail-be-cheery-dried-bayberry-100g/3019060991,BE & CHEERY,,$9.90,,[China Direct Mail] BE-CHEERY dried bayberry 100g,Be the first!,China,
JAPAN Small Dried Fish Almond Gustatory 28g,https://www.yamibuy.com/en/p/tianliu-small-dried-fish-28g/3019064041,DENROKU,,,,JAPAN Small Dried Fish Almond Gustatory 28g,Be the first!,Japan,
[China Direct Mail] BE-CHEERY Dried Mango Original Flavor 120g,https://www.yamibuy.com/en/p/china-direct-mail-be-cheery-dried-mango-original-flavor-120g/3019060921,BE & CHEERY,,$9.90,,[China Direct Mail] BE-CHEERY Dried Mango Original Flavor 120g,Be the first!,China,
【China Direct Mail】BE-CHEERY-Dried Strawberry 100g,https://www.yamibuy.com/en/p/china-direct-mail-be-cheery-dried-strawberry-100g/3019060871,BE & CHEERY,1,$9.90,,【China Direct Mail】BE-CHEERY-Dried Strawberry 100g,1,China,5
Mixed dried fruit daily dried fruit 30g,https://www.yamibuy.com/en/p/china-direct-mail-baicao-flavour-be-cheery-dried-mango-mint-flavour-120g/3019060931,BE & CHEERY,,$9.90,,Mixed dried fruit daily dried fruit 30g,Be the first!,China,
FUKANG Dried Guava 70g(Shelf life:2022/6/10),https://www.yamibuy.com/en/p/fukang-dried-guava-70g/3019055911,LIEN HAW FOODS,1,,,FUKANG Dried Guava 70g(Shelf life:2022/6/10),1,Taiwan,3
Dried figs 25g,https://www.yamibuy.com/en/p/dried-figs-25g/3019072951,BE & CHEERY,,$7.90,,Dried figs 25g,Be the first!,China,
Freeze Dried Durian 50g,https://www.yamibuy.com/en/p/alor-freeze-dried-durian-50g/3019045861,ALOR,,,,Freeze Dried Durian 50g,Be the first!,Malaysia,
[China Direct Mail] BE-CHEERY Dried White Peach 100g,https://www.yamibuy.com/en/p/china-direct-mail-be-cheery-dried-white-peach-100g/3019060901,BE & CHEERY,,$9.90,,[China Direct Mail] BE-CHEERY Dried White Peach 100g,Be the first!,China,
[China Direct Mail] BE-CHEERY Dried Yellow Peach 100g,https://www.yamibuy.com/en/p/china-direct-mail-be-cheery-dried-yellow-peach-100g/3019060891,BE & CHEERY,1,$9.90,,[China Direct Mail] BE-CHEERY Dried Yellow Peach 100g,1,China,5
Dried Mango 80g / box,https://www.yamibuy.com/en/p/jijibanana-dried-mango-80g-box/3019023801,jijibanana,2,,,Dried Mango 80g / box,2,Taiwan,4
Freeze Dried Strawberry Yogurt Bites 30g,https://www.yamibuy.com/en/p/alor-freeze-dried-strawberry-yogurt-bites-30g/3019050311,ALOR,,,,Freeze Dried Strawberry Yogurt Bites 30g,Be the first!,Malaysia,
Dried Fruit - Mango 120g,https://www.yamibuy.com/en/p/yuan-rong-tang-dried-fruit-mango-120g/3019058041,Yuan Rong Tang,,,,Dried Fruit - Mango 120g,Be the first!,Taiwan,
BE&CHEERY Dried White Peach 100g,https://www.yamibuy.com/en/p/be-cheery-dried-white-peach-100g/3019041431,BE & CHEERY,,$4.61,,BE&CHEERY Dried White Peach 100g,Be the first!,China,
Dried Tomato 80g/Box,https://www.yamibuy.com/en/p/jijibanana-dried-tomato-80g-box/3019023841,jijibanana,1,,,Dried Tomato 80g/Box,1,Taiwan,4
Organic Dried Pineapple Rings 70g - Dried Fruit Harvested in Mexico Packed in USA,https://www.yamibuy.com/en/p/organic-dried-pineapple-rings-70g-dried-fruit-harvested-in-mexico-packed-in-usa/3019066991,NestLady,1,,,Organic Dried Pineapple Rings 70g - Dried Fruit Harvested in Mexico Packed in USA,1,United States,5
Daily Lotus Root Flour (Nuts x Dried Fruits) 420g,https://www.yamibuy.com/en/p/item/5020055621,MushroomStorm,1,,,Daily Lotus Root Flour (Nuts x Dried Fruits) 420g,1,China,5
SPICY HOUSE SPECIAL BEEF JERKY 75g- Spicy House Special Flavor Beef Snacks Dried Meat Ready To Eat High Protein,https://www.yamibuy.com/en/p/spicy-house-special-beef-jerky-75g-spicy-house-special-flavor-beef-snacks-dried-meat-ready-to-eat-high-protein/3019071691,NestLady,4,,,SPICY HOUSE SPECIAL BEEF JERKY 75g- Spicy House Special Flavor Beef Snacks Dried Meat Ready To Eat High Protein,4,United States,5
[China direct mail] BE&CHEERY freeze-dried durian dry snacks specialty fruit dry gold pillow Thai flavor 25g,https://www.yamibuy.com/en/p/china-direct-mail-be-cheery-freeze-dried-durian-dry-snacks-specialty-fruit-dry-gold-pillow-thai-flavor-30g/3019044251,BE & CHEERY,2,$9.90,,[China direct mail] BE&CHEERY freeze-dried durian dry snacks specialty fruit dry gold pillow Thai flavor 25g,2,China,5
PORK JERKY 75g- BBQ Flavor Pork Snacks Ready To Eat High Protein Dried Meet Chinese flavor Dried Pork,https://www.yamibuy.com/en/p/pork-jerky-75g-bbq-flavor-pork-snacks-ready-to-eat-high-protein-dried-meet-chinese-flavor-dried-pork/3019071681,NestLady,4,,,PORK JERKY 75g- BBQ Flavor Pork Snacks Ready To Eat High Protein Dried Meet Chinese flavor Dried Pork,4,United States,4.8
SPICY FRUIT FLAVORED BEEF JERKY 75g - Fruit Flavored Beef Snacks Dried Meat Ready To Eat High Protein Beef Snack,https://www.yamibuy.com/en/p/nestlady-fruit-flavored-beef-jerky-75g-fruit-flavored-beef-snacks-dried-meat-ready-to-eat-high-protein-beef-snack-usda/3019071911,NestLady,2,,,SPICY FRUIT FLAVORED BEEF JERKY 75g - Fruit Flavored Beef Snacks Dried Meat Ready To Eat High Protein Beef Snack,2,United States,5
Freeze-dried Strawberry Yogurt Cubes 30g,https://www.yamibuy.com/en/p/nestlady-freeze-dried-strawberry-yogurt-cubes-30g/3017038051,NestLady,3,,,Freeze-dried Strawberry Yogurt Cubes 30g,3,United States,4.33
Dried Taiwan Guava 80g/box,https://www.yamibuy.com/en/p/jijibanana-dried-taiwan-guava-80g-box/3019023811,jijibanana,2,,,Dried Taiwan Guava 80g/box,2,Taiwan,3.5
ROASTED SAKURA SHRIMP 40g  - 100% Natural Dried shrimp Dried seafood snack Resealable bag NON GMO Ready to eat,https://www.yamibuy.com/en/p/roasted-sakura-shrimp-40g-100-natural-dried-shrimp-dried-seafood-snack-resealable-bag-non-gmo-ready-to-eat/3019072301,NestLady,,,,ROASTED SAKURA SHRIMP 40g  - 100% Natural Dried shrimp Dried seafood snack Resealable bag NON GMO Ready to eat,Be the first!,United States,
FIVE SPICES BEEF JERKY 75g- Five Spices Flavor Beef Snacks Dried Meat Ready To Eat High Protein Beef Snack,https://www.yamibuy.com/en/p/five-spices-beef-jerky-75g-five-spices-flavor-beef-snacks-dried-meat-ready-to-eat-high-protein-beef-snack-made-with/3019071671,NestLady,2,,,FIVE SPICES BEEF JERKY 75g- Five Spices Flavor Beef Snacks Dried Meat Ready To Eat High Protein Beef Snack,2,United States,5
[China Direct Mail] BE-CHEERY Dried Papaya 100g,https://www.yamibuy.com/en/p/china-direct-mail-be-cheery-dried-papaya-100g/3019060911,BE & CHEERY,1,$10.90,,[China Direct Mail] BE-CHEERY Dried Papaya 100g,1,China,5
[China Direct Mail] BE-CHEERY Dried Pineapple 100g,https://www.yamibuy.com/en/p/china-direct-mail-be-cheery-dried-pineapple-100g/3019060981,BE & CHEERY,,$9.90,,[China Direct Mail] BE-CHEERY Dried Pineapple 100g,Be the first!,China,
SLICE DRIED HAWTHORN FRUIT 75g - 100% Fruit Meat Sweet And Sour Delicious Snack Chinese Flavor Snacks,https://www.yamibuy.com/en/p/slice-dried-hawthorn-fruit-75g-100-fruit-meat-sweet-and-sour-delicious-snack-chinese-flavor-snacks/3019071711,NestLady,2,,,SLICE DRIED HAWTHORN FRUIT 75g - 100% Fruit Meat Sweet And Sour Delicious Snack Chinese Flavor Snacks,2,United States,4
Dried Pineapple 80g/Box,https://www.yamibuy.com/en/p/jijibanana-dried-pineapple-80g-box/3019023831,jijibanana,,,,Dried Pineapple 80g/Box,Be the first!,Taiwan,
Ume Candied Dried Fruit Snacks 168g,https://www.yamibuy.com/en/p/ume-candied-dried-fruit-snacks-168g-3/3019065471,BE & CHEERY,,$9.90,3 Options,Ume Candied Dried Fruit Snacks 168g,Be the first!,China,
Seedless Dried Plums Sweet Taste  22g,https://www.yamibuy.com/en/p/seedless-dried-plums-sweet-taste-22g/3019070181,Healthy Times,,,,Seedless Dried Plums Sweet Taste  22g,Be the first!,United States,
FUKANG Dried Sweet Plum 35g,https://www.yamibuy.com/en/p/fukang-dried-sweet-plum-35g/3019055971,LIEN HAW FOODS,2,,,FUKANG Dried Sweet Plum 35g,2,Taiwan,4.5
Preserved Fruit Dried Plum Salty Sweet and Sour Plum Seedless plum meat 6oz,https://www.yamibuy.com/en/p/preserved-fruit-dried-plum-salty-sweet-and-sour-plum-seedless-plum-meat-6oz/3019072041,PRESIDENT BRAND,,$13.99,,Preserved Fruit Dried Plum Salty Sweet and Sour Plum Seedless plum meat 6oz,Be the first!,United States,
MARINATED DRIED TOFU CURD 75g - Vegetarian Snacks Ready to Eat  Braised Bean Curd Products No Preservatives,https://www.yamibuy.com/en/p/marinated-dried-tofu-curd-75g-vegetarian-snacks-ready-to-eat-braised-bean-curd-products-no-preservatives/3019071721,NestLady,9,,,MARINATED DRIED TOFU CURD 75g - Vegetarian Snacks Ready to Eat  Braised Bean Curd Products No Preservatives,9,United States,4.67
Dried Durian 30g,https://www.yamibuy.com/en/p/bestore-dried-durian-30g/3019043561,BESTORE,3,$6.99,,Dried Durian 30g,3,China,5
Seven Colors Dried Vegetables 50g,https://www.yamibuy.com/en/p/bestore-seven-colors-dried-vegetables-50g/3019045571,BESTORE,,$4.99,,Seven Colors Dried Vegetables 50g,Be the first!,China,
Japanese Dried Sweet Seedless Plum 45g - 100% Natural healthy snacks suitable for everyone seedless plum NON GMO Vegan,https://www.yamibuy.com/en/p/japanese-dried-sweet-seedless-plum-45g-100-natural-healthy-snacks-suitable-for-everyone-seedless-plum-non-gmo-vegan/3019072061,NestLady,3,,,Japanese Dried Sweet Seedless Plum 45g - 100% Natural healthy snacks suitable for everyone seedless plum NON GMO Vegan,3,United States,5
Original Dried Bean Curd 420g,https://www.yamibuy.com/en/p/original-dried-bean-curd-420g/3019065991,De Delicious,,,,Original Dried Bean Curd 420g,Be the first!,Taiwan,
Freeze Dried Mango Yogurt Bites 30g,https://www.yamibuy.com/en/p/alor-freeze-dried-yogurt-bites-30g/3019050301,ALOR,,,,Freeze Dried Mango Yogurt Bites 30g,Be the first!,Malaysia,
FUKANG Dried Pineapple 60g (Shelf life:2022/6/10),https://www.yamibuy.com/en/p/fukang-dried-pineapple-60g/3019055951,LIEN HAW FOODS,,,,FUKANG Dried Pineapple 60g (Shelf life:2022/6/10),Be the first!,Taiwan,
Dried Durian 30g,https://www.yamibuy.com/en/p/bestore-dried-durian-30g/3019043561,BESTORE,3,$6.99,,Dried Durian 30g,Be the first!,China,5
