Product_Name,Brand,Price,Option,Rate,Origin,Reviews,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
Popping Candy Macaron Biscuits Strawberry Flavor 133g,aji,3.49,No,3.5,Mainland China,2,Yami,Pastries,300,1200,1047
Chocolate Mascarpone Cookies 10pc,tokyo milk cheese factory,19.99,No,4.8,Japan,10,Yami,Pastries,400,1600,7996
Butter Cookies 454g,royal danisa,7.49,No,4.8,Denmark,187,Yami,Pastries,1000,4000,7490
Coffee Sandwich Cookie 288g,crown,5.99,3 Options,4.7,Korea,74,Yami,Pastries,200,800,1198
CHIO HEONG YUEN Mini Crunchy Cookies 200g,choi heong yuen bakery,6.99,No,5,Macao,6,Yami,Pastries,400,1600,2796
Deka Wafer Bites Ube Flavor 198g,jans,3.49,No,0,Indonesia,0,Yami,Pastries,400,1600,1396
CHIO HEONG YUEN Walnut Cookies 340g,choi heong yuen bakery,9.99,5 Options,4.5,Macao,24,Yami,Pastries,50,200,499.5
Blue Box Giftset,akaibohshi,17.99,6 Options,0,Japan,0,Yami,Pastries,100,400,1799
Coffee Latte Thousand Crisp 120g TW,good appetite,2.99,No,0,Taiwan,0,Yami,Pastries,400,1600,1196
Balance Power Biscuit Almond Flavor 63.2g 2pc,healthy club,2.49,5 Options,4.7,Japan,53,Yami,Pastries,400,1600,996
Natural Wheat Biscuits 400g,mcvities,3.49,No,4.8,England,106,Yami,Pastries,400,1600,1396
ACE Cracker 121g,haitai,1.49,No,4.8,Korea,123,Yami,Pastries,1000,4000,1490
Biscuit With 9 kinds of Vegetables(Tomato Flavour)308g,huamei,5.29,No,0,Mainland China,0,Yami,Pastries,400,1600,2116
Original Faff Cake 64g,kaluokaman,1.69,No,0,Mainland China,0,Yami,Pastries,400,1600,676
?€?BOURBON X Demon Slayer: Kimetsu no Yaiba?€?Petite Endomame Umashio 37g,bourbon,1.69,19 Options,5,Japan,2,Yami,Pastries,25,50,42.25
GuoKui Chocolate Walnut Biscuit 70g,agan,5.99,3 Options,5,Mainland China,3,Yami,Pastries,300,1200,1797
Evergreen Biscuit 400g,sanniu,3.79,3 Options,4.9,Mainland China,248,Yami,Pastries,1000,4000,3790
Mini Almond Cookie 120g,imperial palace,4.99,No,0,Mainland China,0,Yami,Pastries,400,1600,1996
Biscuit Roll Orange Flavor 60g,want want,2.29,No,3.3,Taiwan,3,Yami,Pastries,400,1600,916
Every Zenryufun Biscuit&Choco 58.8g,ybc,3.49,No,4.7,Japan,3,Yami,Pastries,400,1600,1396
Crispy Crepes Coconut 3.5oz,chun guang,2.69,No,5,Mainland China,3,Yami,Pastries,400,1600,1076
Sakusaku Panda Family Pack 102g,kabaya,3.99,No,0,Japan,0,Yami,Pastries,400,1600,1596
Almond Cookies Original Flavor 120g,imperial palace,4.99,No,0,Mainland China,0,Yami,Pastries,400,1600,1996
TK FOOD Black Sesame Cookies 230g,tkfood,6.29,10 Options,4.5,Taiwan,76,Yami,Pastries,400,1600,2516
YanYan Double Cream Choco Dip 57g,meiji,1.19,No,4.5,Japan,21,Yami,Pastries,400,1600,476
Glico Garden Biscuit Green Onion Spicy Flavor 80g,glico,2.49,No,5,Japan,1,Yami,Pastries,200,800,498
Chocolate Hand Made Buscuit 105g,tianpeng,2.99,No,4.7,Taiwan,41,Yami,Pastries,400,1600,1196
Ming Kung Cake,choi heong yuen bakery of macau,7.99,No,5,Macao,1,Yami,Pastries,400,1600,3196
Popping Candy Macaron Biscuits Matcha Flavor 133g,aji,3.49,No,0,Mainland China,0,Yami,Pastries,300,1200,1047
Puff Chocolate Flavor 46g,haitai,1.39,3 Options,4.5,Korea,4,Yami,Pastries,400,1600,556
BBQ Cumin Flavor Biscuit 80g,glico,2.69,No,5,Japan,2,Yami,Pastries,200,800,538
TK FOOD Almond Thousand Layers Cookies 120g,tkfood,2.69,No,4.3,Taiwan,70,Yami,Pastries,400,1600,1076
KUKKIA Whipped Chocolate Sandwiched with Cookie 4 Flavor 32pcs,akaibohshi,19.99,5 Options,4.8,Japan,21,Yami,Pastries,300,1200,5997
Lemon Puff 200g,khong guan,2.69,No,4.3,Singapore,31,Yami,Pastries,400,1600,1076
Mire Biscuits 180g,nomura,3.79,5 Options,0,Japan,0,Yami,Pastries,400,1600,1516
Salted Egg Golden Cube 100g,snazk bites,3.99,No,4.3,Malaysia,3,Yami,Pastries,400,1600,1596
Dream Animals Butter Flavored Biscuits 50g,ginbis,1.49,No,4.8,Japan,32,Yami,Pastries,200,800,298
Creamy Chocolate Biscuits 200g,khong guan,2.69,No,4.8,Singapore,68,Yami,Pastries,400,1600,1076
Balance Power Cacao Sand  6pc 108g,healthy club,3.89,No,5,Japan,1,Yami,Pastries,400,1600,1556
MOEGINO Cookies 20pcs 95.8g,tivoli tivon,5.99,No,4.8,Japan,10,Yami,Pastries,400,1600,2396
Mini Every Burger Wheat Cracker 66g,bourbon,2.99,No,4.5,Japan,26,Yami,Pastries,50,200,149.5
Crispy Crepes Durian Flavor 3.5oz,chun guang,2.69,No,5,Mainland China,1,Yami,Pastries,400,1600,1076
TK FOOD Durian Pastry 230g,tkfood,6.29,10 Options,4.2,Taiwan,29,Yami,Pastries,400,1600,2516
Rice Cracker - Strawberry 70g,farm group,1.89,No,4.8,Korea,5,Yami,Pastries,25,50,47.25
KEKOU Angle Wafer 114g,lucky,1.59,No,4.4,Taiwan,18,Yami,Pastries,400,1600,636
Almond Cracker 6pcs,haitai,2.29,No,4.5,Korea,49,Yami,Pastries,400,1600,916
White Chocolate Cookie 78g,bourbon,2.99,No,4.7,Japan,17,Yami,Pastries,200,800,598
Biscuits Stick Cream Flavor 115.2g,bourbon,3.99,No,5,Japan,1,Yami,Pastries,25,50,99.75
Pocky Classic Chocolate Biscuit Sticks 70g,glico,2.19,No,5,Japan,33,Yami,Pastries,200,800,438
TK FOOD Durian Pastry 100g,tkfood,2.49,10 Options,4.2,Taiwan,136,Yami,Pastries,400,1600,996
Biscuit Osmanthus Flavor 175g,zhiweiguan,7.39,4 Options,4,Mainland China,3,Yami,Pastries,400,1600,2956
Purple Box,akaibohshi,15.99,6 Options,5,Japan,3,Yami,Pastries,100,400,1599
Butter Handmade Waffle 96g,tianpeng,2.89,No,4.6,Taiwan,42,Yami,Pastries,400,1600,1156
MOEGINO Chocolate Sandwich Cookie 24pcs 464g,tivoli tivon,22.99,No,5,Japan,1,Yami,Pastries,400,1600,9196
Danish Butter Cookies 340g,royal dansk,6.89,No,3.9,Denmark,17,Yami,Pastries,400,1600,2756
Top Choice Biscuit Assortment 1190g,khong guan,11.99,No,3,Singapore,1,Yami,Pastries,400,1600,4796
PICOLA Strawberry Filling Egg Roll Sticks 2packs,nabisco,2.49,No,4.9,Unclear,7,Yami,Pastries,400,1600,996
Sando Biscuit Milk Flavor 161g,crown,2.79,No,4.7,Korea,27,Yami,Pastries,200,800,558
Filled Crisp White chocolate Flavor 116g,jinyu,2.19,2 Options,5,Mainland China,1,Yami,Pastries,400,1600,876
TK FOOD Purple Sweet Potato Cookies 230g,tkfood,6.29,10 Options,4.2,Taiwan,128,Yami,Pastries,400,1600,2516
Digestive Biscuit 300g,khong guan,3.99,No,4.8,Singapore,24,Yami,Pastries,400,1600,1596
Creamy Chocolate Biscuits 200g,khong guan,2.69,No,4.8,Singapore,68,Yami,Pastries,400,1600,1076
Alfort Chocolate Cookies 199g,bourbon,4.99,No,4.8,Japan,9,Yami,Pastries,25,50,124.75
Bing Bing Crispy Ice Cream Cone Snack with Strawberry Filling 8pcs 71.2g,hapi,3.89,No,4.7,Japan,9,Yami,Pastries,400,1600,1556
Sand Cookies Black Cheese Flavor 108g,koobi,3.49,No,5,Mainland China,0,Yami,Pastries,400,1600,1396
Butter Coconut Biscuits 199g,khong guan,2.99,3 Options,4.9,Singapore,25,Yami,Pastries,400,1600,1196
Cheese Sandwich Cracker 322g,crown,5.99,No,4.6,Korea,44,Yami,Pastries,200,800,1198
BACKERY Assorted Almond Cales 450g,choi heong yuen bakery,13.99,No,4.2,Macao,9,Yami,Pastries,25,50,349.75
Carb Balance Choco Chip Cookie 12pcs,bourbon,4.49,No,4.8,Japan,6,Yami,Pastries,25,50,112.25
Sesame Crackers,choi heong yuen bakery of macau,6.99,No,4.5,Macao,2,Yami,Pastries,400,1600,2796
Bakery Mini Almond Walnut Cookies 180g,choi heong yuen bakery,5.99,No,5,Macao,2,Yami,Pastries,400,1600,2396
Choco Chip Cookie 127g,ito seika,2.89,No,5,Japan,1,Yami,Pastries,400,1600,1156
Digestives Choco Biscuit 250g,mybizcuit,2.99,No,4.5,Malaysia,2,Yami,Pastries,400,1600,1196
Creamy Sandwich Cookie 288g,crown,5.99,No,4.7,Korea,35,Yami,Pastries,200,800,1198
Millefas Chocolate Flavor 119g,bourbon,4.99,No,5,Japan,1,Yami,Pastries,25,50,124.75
TK FOOD Durian Pastry 100g,tkfood,2.49,10 Options,4.2,Taiwan,136,Yami,Pastries,400,1600,996
Biscuit Osmanthus Flavor 175g,zhiweiguan,7.39,4 Options,4,Mainland China,3,Yami,Pastries,400,1600,2956
Chocolate Koeda Milk 11pc 64.9g,morinaga,4.39,No,4.6,Japan,16,Yami,Pastries,400,1600,1756
MOEGINO Chocolate Sandwich Cookie 10pcs 122g,tivoli tivon,8.99,No,5,Japan,1,Yami,Pastries,400,1600,3596
Orange Cream Biscuits 200g,khong guan,2.69,No,4.4,Singapore,28,Yami,Pastries,400,1600,1076
Roasted Bean Millet Biscuit Lemon Flavor 70g,nomura,2.99,No,4.7,Japan,3,Yami,Pastries,400,1600,1196
MOEGINO Chocolate Sandwich Cookie 24pcs 464g,tivoli tivon,22.99,No,5,Japan,1,Yami,Pastries,400,1600,9196
Nanguo Mini Sweet Crisp,nanguo,2.49,No,4.3,Mainland China,7,Yami,Pastries,400,1600,996
Nougat Biscuit Original Flavor 140g,tang shop,11.99,No,5,Taiwan,1,Yami,Pastries,400,1600,4796
Sanrio Kokuto Biscuit 60g,hokka,2.89,No,5,Japan,1,Yami,Pastries,400,1600,1156
Levain Sand Garlic & Herb 50g,yamazaki,2.89,No,0,Japan,0,Yami,Pastries,400,1600,1156
Yan Yan Strawberry Dip 57g,meiji,1.19,No,4.8,Japan,33,Yami,Pastries,400,1600,476
Soybeans And Almonds 108g,sanxingzhiguo,4.39,No,5,Japan,1,Yami,Pastries,400,1600,1756
MOEGINO Cookies 32pcs 153g,tivoli tivon,10.99,No,4.2,Japan,5,Yami,Pastries,400,1600,4396
Blackcurrant Filling and Dark Chocolate,gastone lago,4.79,No,4.7,New Zealand,3,Yami,Pastries,200,800,958
KOALA MINI COOKIE Chocolate Filling 50g,lotte japan,2.09,No,0,Japan,0,Yami,Pastries,400,1600,836
Filled Crisp White chocolate Flavor 116g,jinyu,2.19,2 Options,5,Mainland China,1,Yami,Pastries,400,1600,876
Bing Bing Crispy Ice Cream Cone Snack with Green Tea Filling 8pcs 71.2g,hapi,3.89,No,4.7,Japan,7,Yami,Pastries,400,1600,1556
TK FOOD Purple Sweet Potato Cookies 230g,tkfood,6.29,10 Options,4.2,Taiwan,128,Yami,Pastries,400,1600,2516
Milk Crackers 250g,chu lu,8.99,No,4.5,Taiwan,2,Yami,Pastries,200,800,1798
Milk Almond Chocolate Bar with Yogurt Flavor,chu lu,8.99,2 Options,0,Taiwan,0,Yami,Pastries,200,800,1798
Animal Cookie with Chocolate Filling 32g,lotte japan,4.99,No,0,Japan,0,Yami,Pastries,400,1600,1996
Mincher Lemon Chocolate Flakes Biscuits 144g,mincher,5.99,No,5,Taiwan,1,Yami,Pastries,400,1600,2396
MOEGINO Assorted Cookied 24pcs 523g,tivoli tivon,33.99,No,3,Japan,1,Yami,Pastries,400,1600,13596
Strawberry French Pie 15packs,haitai,3.99,No,3.2,Korea,13,Yami,Pastries,400,1600,1596
Mixed Fruit Biscuits 150g,asahi,8.99,5 Options,0,Japan,0,Yami,Pastries,25,50,224.75
Butter Cookies Tin 454g,royal danish,5.99,No,3.8,Denmark,25,Yami,Pastries,400,1600,2396
Choco Pick Biscuit 45g,haitai,1.49,No,4,Korea,7,Yami,Pastries,400,1600,596
Salted Egg Cube Wafer Spicy Flavor 100g,snazk bites,3.99,No,5,Malaysia,2,Yami,Pastries,400,1600,1596
TK FOOD Black Sesame Cookies 100g,tkfood,3.49,10 Options,3.9,Taiwan,0,Yami,Pastries,400,1600,1396
Pejoy Chocolate Cream Filled Biscuit Sticks 56g,glico,2.09,4 Options,4.9,Japan,32,Yami,Pastries,200,800,418
Lucky Chocolate Flavor Biscuit Stick 45g,meiji,1.89,No,4.8,Japan,35,Yami,Pastries,400,1600,756
Coconut Cream and Dark Chocolate Biscuits 98g,gastone lago,4.79,No,3.3,New Zealand,3,Yami,Pastries,200,800,958
Roasted Bean Millet Non-Fried Biscuits 70g,nomura,2.99,No,5,Japan,3,Yami,Pastries,400,1600,1196
Barley Snack (round),haitai,4.59,No,3,Korea,1,Yami,Pastries,400,1600,1836
Stuffed Cookie Ball  Yogurt Flavor 108g,hanshi,3.79,No,4.4,Mainland China,8,Yami,Pastries,400,1600,1516
Digestives Wholemeal Biscuit 250g,mybizcuit,2.99,No,0,Malaysia,0,Yami,Pastries,400,1600,1196
Pretzel Chocolate Flavor 46g,bourbon,2.49,No,0,Japan,0,Yami,Pastries,25,50,62.25
Rice Cracker - Banana 70g,farm group,1.89,No,5,Korea,2,Yami,Pastries,400,1600,756
Sanrio Ribon  Biscuit 79g,hokka,2.89,No,5,Japan,3,Yami,Pastries,400,1600,1156
Short Bread 95g,ito seika,2.89,No,5,Japan,2,Yami,Pastries,400,1600,1156
Passion Fruit Cream and Milk Chocolate Biscuits 110g,gastone lago,4.79,No,4,New Zealand,1,Yami,Pastries,200,800,958
Biscuits Crackers Original Flavor 380g,jinyu,4.39,3 Options,0,Mainland China,0,Yami,Pastries,400,1600,1756
Pepero Stick Biscuit & Chocolate Big Pack 240g,lotte korea,9.99,No,0,Korea,0,Yami,Pastries,400,1600,3996
Cranberry Butter ShortBread 150g,huamei,2.49,2 Options,5,Mainland China,2,Yami,Pastries,400,1600,996
Country Maam Vanilla & Cocoa 20pcs,fujiya,6.99,No,4.2,Japan,4,Yami,Pastries,25,50,174.75
Almond Cakes,choi heong yuen bakery of macau,14.99,No,5,Macao,1,Yami,Pastries,400,1600,5996
Icon Chocolate Sandwich Cookie 42g,fujiya,2.19,No,5,Japan,1,Yami,Pastries,200,800,438
North Egg Omlette Cookie 8pc,bourbon,2.99,No,4.9,Japan,11,Yami,Pastries,200,800,598
"Cookies, Imported With Belgian Chocolate 154g",biscoff,4.39,No,3.5,United States,2,Yami,Pastries,400,1600,1756
Black Tea Chocolate Cookie 9pc,letao,18.99,No,5,Japan,8,Yami,Pastries,400,1600,7596
Shaped Butter Cookies 78g,hello kitty,6.99,3 Options,4.6,Japan,7,Yami,Pastries,400,1600,2796
MOEGINO  Assorted Cookied 15pcs 750g,tivoli tivon,26.99,No,4.7,Japan,3,Yami,Pastries,400,1600,10796
Choco & Hachimitsu Lemon Biscuit 230g,bourbon,5.69,No,4,Japan,3,Yami,Pastries,25,50,142.25
Butter Ring Cookie 86g,haitai,1.89,No,4.5,Korea,71,Yami,Pastries,200,800,378
Coconut Chocolate Sand 135g,akaibohshi,7.99,No,5,Japan,2,Yami,Pastries,25,50,199.75
