Product_Name,Price,Sold_Weekly,Origin,Brand,Option,Rate,Sold_Monthly,Weekly_Revenue,Platform,Category,Reviews
Isabelle Taiwan Specialties Pineapple Cakes 10ct 480 g,14.99,700,Taiwan,Unclear,Unclear,Unclear,2800,10493,Weee,Pastries,239
"Daifuku Mochi Red Bean Cakes, Frozen 3.88 oz",1.99,700,Japan,Unclear,Unclear,Unclear,2800,1393,Weee,Pastries,30
Marukin Mini Muffins 16 count,5.99,500,Japan,Unclear,Unclear,Unclear,2000,2995,Weee,Pastries,434
Chen Yun Pao Chuan Royal Taiwanese Tamba Cakes 3ct  1 each,8.49,500,Taiwan,Unclear,Unclear,Unclear,2000,4245,Weee,Pastries,388
Sunny Hills Pineapple Cake 10pcs 500 g,39.99,500,Taiwan,Unclear,Unclear,Unclear,2000,19995,Weee,Pastries,198
"Orange Patisserie Custard Cream Puff, Frozen 2.75 oz",2.29,500,United States,Unclear,Unclear,Unclear,2000,1145,Weee,Pastries,306
Country House Black Sesame Crunch 7 oz,4.99,500,United States,Unclear,Unclear,Unclear,2000,2495,Weee,Pastries,85
"Ao Kun Small Portuguese Style Tart Crust, Frozen 60pc 570 g",8.59,400,Mainland China,Unclear,Unclear,Unclear,1600,3436,Weee,Pastries,58
Chen Yun Pao Chuan Sun Cakes Box 5pc 6.7 oz,8.99,400,Taiwan,Unclear,Unclear,Unclear,1600,3596,Weee,Pastries,203
"IJEAN Egg Yolk Puff with Mochi, Rose and Purple Yam Paste 8.47 oz",8.99,400,United States,Unclear,Unclear,Unclear,1600,3596,Weee,Pastries,14
Meixin Assorted Petite Egg Rolls 36pcs 208 g,17.99,400,Hong Kong,Unclear,Unclear,Unclear,1600,7196,Weee,Pastries,76
"Orange Patisserie Mini Custard Cream Eclairs, Frozen  132 g",4.49,300,Unclear,Unclear,Unclear,Unclear,1200,1347,Weee,Pastries,266
DXC Flower Shaped Jujube Puff Cake  210 g,5.49,300,Mainland China,Unclear,Unclear,Unclear,1200,1647,Weee,Pastries,31
Baozhisu Mango Sago Cream with Pomelo 200 g,3.39,300,Mainland China,Unclear,Unclear,Unclear,1200,1017,Weee,Pastries,100
Regent Mochi Assorted 240 g,3.69,300,Philippines,Unclear,Unclear,Unclear,1200,1107,Weee,Pastries,6
Orange Matcha Mini Cream Puffs 3.8 oz,4.49,300,Japan,Unclear,Unclear,Unclear,1200,1347,Weee,Pastries,70
Red Bean Mochi 120 g,1.89,300,Taiwan,Unclear,Unclear,Unclear,1200,567,Weee,Pastries,19
DXC Fruit Mochi Coconut Milk Flavor 210 g,4.29,300,Mainland China,Unclear,Unclear,Unclear,1200,1287,Weee,Pastries,0
Zuming Soft Beancurd Snack  500 g,3.79,300,Mainland China,Unclear,Unclear,Unclear,1200,1137,Weee,Pastries,43
Sunny Hills Pineapple Fortune Cake 3pcs 1 box,22.99,300,Taiwan,Unclear,Unclear,Unclear,1200,6897,Weee,Pastries,20
Hsin Tung Yang Mung Bean Cake  5.3 oz,7.29,300,Taiwan,Unclear,Unclear,Unclear,1200,2187,Weee,Pastries,106
ZHANYI Frozen Egg Tart Skin 51pc/box 1020 g,19.99,200,Mainland China,Unclear,Unclear,Unclear,800,3998,Weee,Pastries,50
APoJia Mochi Mango Flavor  80 g,1.59,200,Mainland China,Unclear,Unclear,Unclear,800,318,Weee,Pastries,2
Cherry Grandfather Handmade Walnut and Date Pastille Candies 350 g,23.99,200,Taiwan,Unclear,Unclear,Unclear,800,4798,Weee,Pastries,40
Shirakiku Red Bean Mochi  100 g,1.59,200,Japan,Unclear,Unclear,Unclear,800,318,Weee,Pastries,46
"IJEAN Egg Yolk Puff with Mochi, Cheese, and Mung Bean Paste 8.47 oz",8.99,200,United States,Unclear,Unclear,Unclear,800,1798,Weee,Pastries,7
DXC Sweetheart Cake with Honey  210 g,7.29,200,Mainland China,Unclear,Unclear,Unclear,800,1458,Weee,Pastries,3
Meijiya Mini Plain Doughnuts 250 g,4.99,200,Japan,Unclear,Unclear,Unclear,800,998,Weee,Pastries,23
"Regent Ube Mochi, 10pcs 240 g",3.69,200,Philippines,Unclear,Unclear,Unclear,800,738,Weee,Pastries,9
"DXC Fruit Mochi, Matcha 210 g",3.99,200,Mainland China,Unclear,Unclear,Unclear,800,798,Weee,Pastries,76
"Taiwanese Sun Cake, Brown Sugar Flavor 12 pcs 600 g",12.99,200,Taiwan,Unclear,Unclear,Unclear,800,2598,Weee,Pastries,42
Regent Mochi Mango 240 g,3.99,200,Philippines,Unclear,Unclear,Unclear,800,798,Weee,Pastries,9
Mu Sang King Durian Cake 300 g,4.39,200,Mainland China,Unclear,Unclear,Unclear,800,878,Weee,Pastries,13
Chen Yun Pao Chuan White Chocolate Yuzu Lemon Cake  1 box,27.99,200,Taiwan,Unclear,Unclear,Unclear,800,5598,Weee,Pastries,76
"Ao Kun Red Bean Cake, Frozen 18pc 630 g",10.99,200,Mainland China,Unclear,Unclear,Unclear,800,2198,Weee,Pastries,33
DEKA WAFER BITES MATCHA 7 oz,3.29,200,Indonesia,Unclear,Unclear,Unclear,800,658,Weee,Pastries,31
Red Bean and Matcha Mochi 120 g,1.79,200,Taiwan,Unclear,Unclear,Unclear,800,358,Weee,Pastries,13
DEKA WAFER BITES CHOCO CHOCO 7 oz,3.29,200,Indonesia,Unclear,Unclear,Unclear,800,658,Weee,Pastries,27
Mung Bean Cake (Original Flavor) 240 g,6.99,200,United States,Unclear,Unclear,Unclear,800,1398,Weee,Pastries,3
Dried Persimmons 1 lb,7.99,100,Mainland China,Unclear,Unclear,Unclear,400,799,Weee,Pastries,62
Country House Pumpkin Seed Crunch 7 oz,4.89,100,United States,Unclear,Unclear,Unclear,400,489,Weee,Pastries,37
Dragonfly Brand Coconut Layer Cake Mix 8 oz,1.99,100,Thailand,Unclear,Unclear,Unclear,400,199,Weee,Pastries,2
Samlip Black Sugar Oboro Bread 3.52 oz,1.99,100,South Korea,Unclear,Unclear,Unclear,400,199,Weee,Pastries,2
Hsin Tung Yang Mixed Mochi 230 g,2.9,100,Taiwan,Unclear,Unclear,Unclear,400,290,Weee,Pastries,4
Banh Pia Mung Bean and Durian with Salted Egg Yolk 14 oz,6.99,100,Vietnam,Unclear,Unclear,Unclear,400,699,Weee,Pastries,16
DXC Happiness Cake Gift Box  880 g,28.49,100,Mainland China,Unclear,Unclear,Unclear,400,2849,Weee,Pastries,7
DXC Beijing Style Assorted Cakes 1380 g,33.99,100,Mainland China,Unclear,Unclear,Unclear,400,3399,Weee,Pastries,20
IJEAN Egg Yolk Puff with Mochi and Red Bean Paste 8.47 oz,8.99,100,United States,Unclear,Unclear,Unclear,400,899,Weee,Pastries,4
IJEAN Egg Yolk Puff with Mochi and Lotus Paste 8.47 oz,8.99,100,United States,Unclear,Unclear,Unclear,400,899,Weee,Pastries,4
"Regent Green Tea Mochi, 10pcs 240 g",3.69,100,Philippines,Unclear,Unclear,Unclear,400,369,Weee,Pastries,1
DXC Happiness Cake Gift Box 880 g,28.49,100,Mainland China,Unclear,Unclear,Unclear,400,2849,Weee,Pastries,15
Samlip Honey Stuffed Sweet Corn Pancake  12.06 oz,4.39,100,South Korea,Unclear,Unclear,Unclear,400,439,Weee,Pastries,0
DXC Sweetheart Cake with Brown Sugar 210 g,7.29,100,Mainland China,Unclear,Unclear,Unclear,400,729,Weee,Pastries,7
Four Types Famous Taiwan Snacks 321 g,4.69,100,Taiwan,Unclear,Unclear,Unclear,400,469,Weee,Pastries,45
Flour Cake Jasmine Flavor 210g 216 g,3.69,100,Mainland China,Unclear,Unclear,Unclear,400,369,Weee,Pastries,6
AC EAGLE Frozen Faro 500 g,7.29,100,Mainland China,Unclear,Unclear,Unclear,400,729,Weee,Pastries,13
Orange Strawberry Mini Cream Puff 3.8 oz,4.49,100,Japan,Unclear,Unclear,Unclear,400,449,Weee,Pastries,36
"Chen Yun Pao Chuan Chinese Gourmet Sweets Gift Set, Frozen 20pc 1 each",45.99,100,Taiwan,Unclear,Unclear,Unclear,400,4599,Weee,Pastries,14
DXC Chinese Cakes Gift Box 732 g,24.99,100,Mainland China,Unclear,Unclear,Unclear,400,2499,Weee,Pastries,10
Sunny Hills Pineapple Cakes 800 g,59.99,100,Taiwan,Unclear,Unclear,Unclear,400,5999,Weee,Pastries,7
Nora Kitchen Buko Pandan Jelly Mix 5.9 oz,2.89,100,United States,Unclear,Unclear,Unclear,400,289,Weee,Pastries,4
Chikodo Half Baked Lava Cheese Cake  180 g,7.89,50,Mainland China,Unclear,Unclear,Unclear,200,394.5,Weee,Pastries,6
Samlip Castella Cream Cake 3.35 oz,2.49,50,South Korea,Unclear,Unclear,Unclear,200,124.5,Weee,Pastries,3
Coconut Rice Cake 480 g,3.49,50,Taiwan,Unclear,Unclear,Unclear,200,174.5,Weee,Pastries,7
GUOSHANLAOCUN Mung Bean Pie Cake 128 g,4.59,50,Mainland China,Unclear,Unclear,Unclear,200,229.5,Weee,Pastries,32
APoJia Mochi Peach Flavor  80 g,1.59,50,Mainland China,Unclear,Unclear,Unclear,200,79.5,Weee,Pastries,5
Serena Original Egg Roll Cookies  512 g,13.99,50,Taiwan,Unclear,Unclear,Unclear,200,699.5,Weee,Pastries,47
BIMBO Mini Mantecadas Muffins 4ct 4.41 oz,1.99,50,Mexico,Unclear,Unclear,Unclear,200,99.5,Weee,Pastries,2
Kanom Tuay Pandan Coconut Pudding 200 g,5.99,50,Thailand,Unclear,Unclear,Unclear,200,299.5,Weee,Pastries,40
"Daifuku Mochi Kurogoma, Frozen 3.88 oz",1.99,50,Japan,Unclear,Unclear,Unclear,200,99.5,Weee,Pastries,25
DXC Happy Honorable Gift Set 24pcs  1200 g,49.99,50,Mainland China,Unclear,Unclear,Unclear,200,2499.5,Weee,Pastries,1
MARINELA Principe Sandwich Cookies with Chocolate Filling  2.96 oz,1.99,50,Mexico,Unclear,Unclear,Unclear,200,99.5,Weee,Pastries,0
Vara Foods Tapioca Pearl Pudding with Red Beans 4 oz,2.49,50,Thailand,Unclear,Unclear,Unclear,200,124.5,Weee,Pastries,5
Kuo Yuan Ye Taiwan Golden Prize Pineapple Cake 168 g,13.19,50,Taiwan,Unclear,Unclear,Unclear,200,659.5,Weee,Pastries,16
"DXC Soft Flour Cake, Brown Sugar Flavor 454 g",6.99,50,Mainland China,Unclear,Unclear,Unclear,200,349.5,Weee,Pastries,5
Uni Bread Portuguese Egg Tart 4ct 290 g,12.49,50,United States,Unclear,Unclear,Unclear,200,624.5,Weee,Pastries,17
Native Pineapple Cakes  300 g,4.49,50,Taiwan,Unclear,Unclear,Unclear,200,224.5,Weee,Pastries,12
Bakerly Chocolate Filled Crepes 6.78 oz,3.99,50,United States,Unclear,Unclear,Unclear,200,199.5,Weee,Pastries,1
"Marukyo Assorted Baked Bean Cakes, 5 Flavors 18pc 250 g",5.49,50,Japan,Unclear,Unclear,Unclear,200,274.5,Weee,Pastries,13
INACO Nata De Coco Mango Flavor 12.7 oz,1.69,50,Indonesia,Unclear,Unclear,Unclear,200,84.5,Weee,Pastries,0
MARINELA Pingüinos - Cup Cakes 2.82 oz,1.99,50,Mexico,Unclear,Unclear,Unclear,200,99.5,Weee,Pastries,2
Serena Sesame Egg Roll Cookies  512 g,14.49,50,Taiwan,Unclear,Unclear,Unclear,200,724.5,Weee,Pastries,53
Golden Coins Mango Pudding Oriental Dessert Mix 4.5 oz,1.99,50,United States,Unclear,Unclear,Unclear,200,99.5,Weee,Pastries,18
"AROY-D Taro Ball in Coconut Milk, Frozen  180 g",4.49,50,Thailand,Unclear,Unclear,Unclear,200,224.5,Weee,Pastries,0
"Fortune Bakery Egg Yolk Puff, Purple Yam and Rose 330 g",19.99,50,United States,Unclear,Unclear,Unclear,200,999.5,Weee,Pastries,1
Samlip Egg Castella 3.35 oz,2.99,50,South Korea,Unclear,Unclear,Unclear,200,149.5,Weee,Pastries,2
Royal Macaron Rusk  2.11 oz,3.99,50,Hong Kong,Unclear,Unclear,Unclear,200,199.5,Weee,Pastries,4
"BIMBO Pound Cake with Pecans, Sliced 9 oz",2.89,50,Mexico,Unclear,Unclear,Unclear,200,144.5,Weee,Pastries,2
YuanXian Konjac Jelly 283 g,3.29,50,Mainland China,Unclear,Unclear,Unclear,200,164.5,Weee,Pastries,7
"AROY-D Durian with Sticky Rice in Coconut Milk, Frozen  180 g",4.99,50,Thailand,Unclear,Unclear,Unclear,200,249.5,Weee,Pastries,2
Zuming Dried Bean Cake  180 g,1.99,50,Mainland China,Unclear,Unclear,Unclear,200,99.5,Weee,Pastries,15
Fortune Bakery Egg Yolk Puff 6pc 330 g,19.99,50,United States,Unclear,Unclear,Unclear,200,999.5,Weee,Pastries,29
Orange Custard Mini Cream Puff 4.44 oz,4.49,50,Unclear,Unclear,Unclear,Unclear,200,224.5,Weee,Pastries,72
Salty egg yolk crisp egg roll  218 g,3.99,50,Mainland China,Unclear,Unclear,Unclear,200,199.5,Weee,Pastries,6
Sunny Hills Pineapple Fortune Cake 9pcs 1 box,64.99,50,Taiwan,Unclear,Unclear,Unclear,200,3249.5,Weee,Pastries,10
Kyoshin Daifuku Mochi with Bean Paste 8pc 11.01 oz,5.29,50,Japan,Unclear,Unclear,Unclear,200,264.5,Weee,Pastries,9
Mc Cormick Ube Flavor  20 ml,3.29,50,Philippines,Unclear,Unclear,Unclear,200,164.5,Weee,Pastries,2
Country House Mixed Nut Crunch 11.2 oz,8.49,0,United States,Unclear,Unclear,Unclear,0,0,Weee,Pastries,36
GUOSHANLAOCUN Chestnut Pie Cake 128 g,4.59,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,33
Shu Shin Bou Heart Shaped Egg Rolls 30pcs 240 g,23.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,6
Pineapple Cake Gift Box 10pcs Double Pack 2 box,69.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,2
"AROY-D Mixed Thai Fruit Dessert in Coconut Milk, Frozen  180 g",3.59,0,Thailand,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
La Monarca Bakery Orejitas 3.4 oz,5.99,0,United States,Unclear,Unclear,Unclear,0,0,Weee,Pastries,4
Regent Japanese Chokoreto Cake 34 g,5.49,0,Philippines,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
Shu Shin Bou Pineapple Cake 10pcs 500 g,24.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,3
Sunny Hills Pineapple Fortune Cake Gift Box  1 box,49.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,3
Flower Cake Rose Flavor 210 g,3.69,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,5
Kee Wah Holiday Bakery Gift Box 93 g,12.99,0,Hong Kong,Unclear,Unclear,Unclear,0,0,Weee,Pastries,3
Chen Yun Pao Chuan Taiwan Moon Cake 1 box,8.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,4
Samlip Castella Sweet Rice Cake Mochi 6pc 7.93 oz,4.99,0,South Korea,Unclear,Unclear,Unclear,0,0,Weee,Pastries,5
Chikodo Half Baked Lava Chocolate Cake  180 g,7.89,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,1
Duen Tai Strawberry Taro Cake 6pcs 300 g,26.09,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
Bamboo House Alishan Green Tea Cake  250 g,4.69,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,5
Coco Rice Rolls Durian Flavor 3.53oz 3.53 oz,3.69,0,Thailand,Unclear,Unclear,Unclear,0,0,Weee,Pastries,7
Pure White Lotus-Seed Paste 500 g,5.29,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,5
"Sunity Herbal Jelly, Kumquat Lemon Flavor 396 g",3.79,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,1
Orange Custard Cream Éclair 2.01 oz,1.99,0,Japan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,24
Tresbon Pineapple Mini Pie 280 g,4.99,0,Indonesia,Unclear,Unclear,Unclear,0,0,Weee,Pastries,2
"AROY-D Red Ruby in Coconut Milk, Frozen  150 g",4.49,0,Thailand,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
"Hesheng Royal Product Mung Bean Cakes, Brown Sugar Bubble Milk Flavor 198 g",21.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,16
Pineapple Cake and Apple Cake Gift Box 10pcs 1 count,54.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,1
Yogurt Flavor Puff 158 g,4.19,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,1
Regent Mochi Wintermelon Milk Tea Flavor 24 g,3.59,0,Philippines,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
Saongwon Korean Sweet Dessert Pancake (Hotteok) Original Flavor 14.1 oz,4.99,0,South Korea,Unclear,Unclear,Unclear,0,0,Weee,Pastries,1
Black Pineapple Cake 6pc 270 g,22.79,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,19
Chen Yun Pao Chuan Taiwanese Moon Cake with Cream Cheese Filling 1 box,24.64,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,46
Yue Mi Qi Crisp Cookies 586 g,7.39,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,1
Leeker Red Bean Mochi Tart 1 count,11.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,217
Hsin Tung Yang Bubble Latte Cakes 8.8 oz,8.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,36
Kuo Yuan Ye Creamy Paste Cake with Sesame and Mung Bean 15 count,17.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,14
SunnyHills Apple Cake 500 g,41.79,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,27
Taiwan Rice Cake Eight Treasure 980 g,8.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,1
"Angelina Tapioca Pearl in Syrup, Green 12 oz",2.79,0,Philippines,Unclear,Unclear,Unclear,0,0,Weee,Pastries,2
Jiu Zhen Nan Chinese Date and Walnut Nougat 220 g,22.89,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,19
Mango Mango Black Sugar Boba Puffs 2 count,7.99,0,United States,Unclear,Unclear,Unclear,0,0,Weee,Pastries,68
Kee Wah Tiger & Panda Rice Pudding Twin Gift Box 800 g,25.89,0,Hong Kong,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
Regent Mochi Buko Pandan Flavor 24 g,3.59,0,Philippines,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
M Tea Magnum Valentine 335 g,19.99,0,United States,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
"AROY-D Gingko Nuts with Taro Mousse, Frozen  180 g",4.49,0,Thailand,Unclear,Unclear,Unclear,0,0,Weee,Pastries,3
Emperor Love Monet's Garden Golden & Lychee Pineapple Cake Gift Set 8pc 360 g,23.49,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
Durian Cake 210g 210 g,3.69,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,2
Senjuan Meidia Mushi Kintsuba 8pc 7.32 oz,14.99,0,Japan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,10
Lago Plaisir Lingotti Wafers with Passion Fruit Cream and Milk Chocolate 110 g,3.49,0,Italy,Unclear,Unclear,Unclear,0,0,Weee,Pastries,1
Sarap Pinoy Maja Blanca Mix 185 g,2.39,0,Philippines,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
BRAVO BEAR  Vanilla Chocolate Baumkuchen 300 g,28.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,1
Country House Variety Gift Pack 18 oz,15.99,0,United States,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
"AROY-D Banana in Coconut Milk, Frozen  180 g",4.49,0,Thailand,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
Kam Wah Egg Yolk Pies 8pcs 19.7 oz,28.99,0,Malaysia,Unclear,Unclear,Unclear,0,0,Weee,Pastries,1
Angelina Tapioca In Syrup (red) 12 oz,2.79,0,Philippines,Unclear,Unclear,Unclear,0,0,Weee,Pastries,2
Osmanthus Cake 218 g,4.19,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,2
Chen Yun Pao Chuan Pomelo Cake 1 box,8.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,2
Lago Plaisir Rondo Coconut Cream and Dark Chocolate 98 g,3.49,0,Italy,Unclear,Unclear,Unclear,0,0,Weee,Pastries,1
"AROY-D Sago & Black Bean in Coconut Milk, Frozen  180 g",4.49,0,Thailand,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
Mango Cake 218 g,4.19,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,1
Kaman Biscuits Gift Bag 508 g,15.99,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
Fortune Gathering Shanghai Walnut Cookies 500 g,10.99,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,1
Lago Plaisir Fiaccole Wafer Rolls Filled with Blackcurrant and Dark Chocolate 100 g,3.49,0,Italy,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
SDC Shanghai Crisp Pastry White Sesame Flavor Frozen 240 g,6.59,600,Mainland China,Unclear,Unclear,Unclear,2400,3954,Weee,Pastries,29
"KSF Sweet Puff Pastry Cookie, Hazulnut Chocolate Flavor  80 g",1.79,400,Mainland China,Unclear,Unclear,Unclear,1600,716,Weee,Pastries,15
Sesame Pastry 12pc 360 g,3.49,100,Unclear,Unclear,Unclear,Unclear,400,349,Weee,Pastries,33
Magic Melt Ube Otap Puff Pastry Cookie 200 g,2.99,50,Philippines,Unclear,Unclear,Unclear,200,149.5,Weee,Pastries,7
LOTTE Pie Rich Chocolate Flavor Pastry Cookie 69 g,4.29,50,Japan,Unclear,Unclear,Unclear,200,214.5,Weee,Pastries,3
MX Hearty Butter Pastries Gift Set 22pcs 206 g,31.99,50,Hong Kong,Unclear,Unclear,Unclear,200,1599.5,Weee,Pastries,3
Wei-Chuan 9 PCS TAIWANESE ASSORTED PASTRY BOX 528 g,29.99,50,Taiwan,Unclear,Unclear,Unclear,200,1499.5,Weee,Pastries,1
DXC New Year's Pastries Gift Box 600 g,14.99,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
Marky's Pilipit Twisted Pastry Biscuits 200 g,3.89,0,Philippines,Unclear,Unclear,Unclear,0,0,Weee,Pastries,6
"MX Fine Goods ""Fat Choy"" Pastries Gift Box 134 g",26.49,0,Hong Kong,Unclear,Unclear,Unclear,0,0,Weee,Pastries,2
"MX Fine Goods ""Jiu Jiu Choy"" Pastries Gift Box 90 g",23.99,0,Hong Kong,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
Sunrise Otap Cinnamon Puff Pastry  250 g,3.99,0,Philippines,Unclear,Unclear,Unclear,0,0,Weee,Pastries,3
Crispy Durian Pastry 1 each,8.48,0,Unclear,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
Preserved Egg Pastry 1 each,4.8,0,Unclear,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
Taro Mochi Pastry 6cs 300 g,18.19,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,57
Rose of Love Flower Pastry  200 g,3.79,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,1
