Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Platform,Category,Sold_Monthly,Weekly_Revenue,Rate
Sato Arpajon Asano Hakkoda Nama Chocolate 5pcs 4.58 oz,25.49,200,Japan,Unclear,8,Weee,Chocolate,800,5098,Unclear
Nestle Milo Chocolate Malt Mix 14.1 oz,6.29,200,United States,Unclear,17,Weee,Chocolate,800,1258,Unclear
Garden Wafer Chocolate  200 g,2.79,200,Philippines,GARDEN,10,Weee,Chocolate,800,558,Unclear
Jack 'n Jill Chocolate Pretzel Sticks 40 g,0.59,200,Philippines,JACK 'n JILL,0,Weee,Chocolate,800,118,Unclear
Winter Melty Pocky Chocolate cream covered biscuit sticks 6P 4.62 oz,4.69,200,Japan,Glico,2,Weee,Chocolate,800,938,Unclear
Chen Yun Pao Chuan White Chocolate Yuzu Lemon Cake  1 box,27.99,200,Taiwan,Unclear,76,Weee,Chocolate,800,5598,Unclear
Karila Chocolate Flower Ball Random Color  40 g,8.99,200,Estonia,Unclear,3,Weee,Chocolate,800,1798,Unclear
Franzzi Yogurt Chocolate Cookies 126 g,3.59,200,Mainland China,FRANZZI,18,Weee,Chocolate,800,718,Unclear
"Look Chocolate Aoi Hoseki, Muscat Flavor 1.41 oz",3.99,200,Japan,Unclear,5,Weee,Chocolate,800,798,Unclear
Meiji Pucca Chocolate Biscuits 1.51 oz,2.79,100,Japan,MEIJI,6,Weee,Chocolate,400,279,Unclear
Unisman King ChocNut Peanut Milk Chocolate 200 g,2.99,100,Philippines,Unclear,2,Weee,Chocolate,400,299,Unclear
Ishiya Shiroi Koibito White Lover Chocolate Milk Drink  190 g,4.89,100,Japan,Unclear,2,Weee,Chocolate,400,489,Unclear
Frankford Milk Chocolate Gold Coins 1.23 oz,1.49,100,Israel,Unclear,10,Weee,Chocolate,400,149,Unclear
"KSF European Style Cake, Chocolate Flavor  192 g",4.59,100,Mainland China,Master Kong,13,Weee,Chocolate,400,459,Unclear
ISHIYA Shiroi Koibito Milk Chocolate Cookies 18 Pieces 1 box,24.99,100,Japan,Unclear,23,Weee,Chocolate,400,2499,Unclear
Franzzi Rich Aroma Dark Chocolate Cookies 126 g,3.59,100,Mainland China,FRANZZI,18,Weee,Chocolate,400,359,Unclear
Oreo Chocolate Sandwich Cookies 14.3 oz,6.19,100,United States,Unclear,3,Weee,Chocolate,400,619,Unclear
Daiichi Mini Bread with Chocolate Cream 7pc 6.66 oz,5.99,100,Japan,Unclear,36,Weee,Chocolate,400,599,Unclear
No Brand Cookies & Cream Chocolate Bar  240 g,3.19,100,South Korea,Unclear,1,Weee,Chocolate,400,319,Unclear
"Haitai Home Run Ball Chocolate Biscuits, 1 bag 146 g",3.99,50,South Korea,HAITAI,10,Weee,Chocolate,200,200,Unclear
LOTTE Pie Rich Chocolate Flavor Pastry Cookie 69 g,4.29,50,Japan,Lotte,3,Weee,Chocolate,200,215,Unclear
Energen Cereal Mix with Milk Chocolate 10pk 14 oz,3.99,50,Indonesia,Unclear,0,Weee,Chocolate,200,200,Unclear
Morozoff Chocolate 8 Pieces 60 g,14.99,50,Japan,Unclear,1,Weee,Chocolate,200,750,Unclear
Bitter Chocolate 172 g,9.99,50,Japan,Unclear,8,Weee,Chocolate,200,500,Unclear
Kit Kat Mini White Chocolate 4.1 oz,8.99,50,Japan,KIT KAT,0,Weee,Chocolate,200,450,Unclear
Bakerly Chocolate Filled Crepes 6.78 oz,3.99,50,United States,Unclear,1,Weee,Chocolate,200,200,Unclear
Gamesa Emperador Chocolate Crème Cookies 14.34 oz,3.69,50,United States,GAMESA,4,Weee,Chocolate,200,185,Unclear
MARINELA Principe Sandwich Cookies with Chocolate Filling  2.96 oz,1.99,50,Mexico,BIMBO,0,Weee,Chocolate,200,100,Unclear
"Healthful Wafer Roll, Chocolate 400 g",14.99,50,Taiwan,Healthful,35,Weee,Chocolate,200,750,Unclear
"Ultra Milk Variety Chocolate, Taro and Caramel 6pk 1200 ml",6.99,50,Indonesia,Unclear,5,Weee,Chocolate,200,350,Unclear
Lotte Kancho Biscuits Filled with Chocolate 168 g,4.49,50,South Korea,Lotte,6,Weee,Chocolate,200,225,Unclear
Tate's Bake Shop Chocolate Chip Cookies 7 oz,6.59,50,United States,Unclear,5,Weee,Chocolate,200,330,Unclear
"Stikko Wafer Sticks, Chocolate Flavor  14.11 oz",4.99,50,Indonesia,STIKKO,2,Weee,Chocolate,200,250,Unclear
Franzzi Matcha Chocolate Cookies 126 g,3.59,50,Mainland China,FRANZZI,5,Weee,Chocolate,200,180,Unclear
"Karman Egg Rolls, Chocolate Peanut Crisp Flavor 218 g",6.89,50,Mainland China,Unclear,4,Weee,Chocolate,200,345,Unclear
MadeGood Foods Chocolate Chip Crispy Squares 4.68 oz,3.49,50,United States,Unclear,8,Weee,Chocolate,200,175,Unclear
Gamesa Mamut Chocolate Coated Marshmallow Cookies 8.1 oz,4.19,0,Mexico,Unclear,3,Weee,Chocolate,0,0,Unclear
Seoul Chocolate Flavored Milk 6pk 1 each,6.99,0,South Korea,Unclear,0,Weee,Chocolate,0,0,Unclear
"Mincher Brittle Biscuits, Lemon and Chocolate Flavor 5.08 oz",5.89,0,Taiwan,Unclear,1,Weee,Chocolate,0,0,Unclear
Michel et Augustin Milk Chocolate & Caramel Cookie Squares 4.9 oz,5.19,0,United States,Unclear,4,Weee,Chocolate,0,0,Unclear
Morinaga Milk Chocolate Sticks 64.9 g,3.99,0,Japan,Morinaga,18,Weee,Chocolate,0,0,Unclear
Fibisco Chocolate Chip Cookies 200 g,1.99,0,Philippines,Fibisco,1,Weee,Chocolate,0,0,Unclear
Hawaiian Host Island Macs Milk Chocolate 5 oz,7.99,0,United States,Hawaiian Host,2,Weee,Chocolate,0,0,Unclear
Lotte Pepero Crunchy Chocolate Biscuit Stick(39g*8) 312 g,6.69,0,South Korea,Lotte,2,Weee,Chocolate,0,0,Unclear
Chikodo Half Baked Lava Chocolate Cake  180 g,7.89,0,Mainland China,Unclear,1,Weee,Chocolate,0,0,Unclear
Justin's Organic Dark Chocolate Peanut Butter Cups 4.7 oz,6.79,0,United States,JUSTIN`S,3,Weee,Chocolate,0,0,Unclear
Woodstock Farms Organic Dark Chocolate Almonds 12 oz,11.99,0,United States,Unclear,1,Weee,Chocolate,0,0,Unclear
Bellie Chocolate Flavored Cream Sandwich 190 g,2.59,0,Malaysia,Unclear,0,Weee,Chocolate,0,0,Unclear
Nestle Carlos V Chocolate Powder Drink Mix 14.1 oz,3.69,0,Mexico,Nestle,1,Weee,Chocolate,0,0,Unclear
Chocolove Almonds and Sea Salt in Dark Chocolate Bar 3.2 oz,2.99,0,United States,CHOCOLOVE,1,Weee,Chocolate,0,0,Unclear
Chocolove Rich Dark Chocolate Bar 3.2 oz,2.99,0,United States,CHOCOLOVE,5,Weee,Chocolate,0,0,Unclear
Hawaiian Host Aloha Macs Milk Chocolate 7 oz,11.29,0,United States,Hawaiian Host,2,Weee,Chocolate,0,0,Unclear
Maiko Matcha Chocolate Ball 4.23 oz,17.99,0,Japan,Unclear,0,Weee,Chocolate,0,0,Unclear
La Monarca Bakery Mexican Hot Chocolate 8 oz,8,0,United States,Unclear,0,Weee,Chocolate,0,0,Unclear
Ghirardelli Milk Chocolate Chips 11.5 oz,4.49,0,United States,Unclear,1,Weee,Chocolate,0,0,Unclear
"Petit Pot Organic French Pudding, Dark Chocolate Flavor  3.5 oz",2.99,0,United States,Unclear,0,Weee,Chocolate,0,0,Unclear
Chocolove Salted Caramel in Dark Chocolate Bar 3.2 oz,2.99,0,United States,CHOCOLOVE,1,Weee,Chocolate,0,0,Unclear
"Cogit Make Hips Bagel Cushion, Bitter Chocolate 1 each",20,0,Mainland China,COGIT,5,Weee,Chocolate,0,0,Unclear
Alfonso's Hot Chocolate Tablea 200 g,5.89,0,Philippines,Unclear,0,Weee,Chocolate,0,0,Unclear
Takaoka Fresh Raw Chocolate Caramel Flavor 165 g,9.99,0,Japan,Unclear,0,Weee,Chocolate,0,0,Unclear
Guancha Volcano Chocolates  100 g,36.99,0,Mainland China,Unclear,5,Weee,Chocolate,0,0,Unclear
Franzzi Vanilla Lemon Chocolate Cookies 126 g,3.59,0,Mainland China,FRANZZI,4,Weee,Chocolate,0,0,Unclear
Lago Plaisir Lingotti Wafers with Passion Fruit Cream and Milk Chocolate 110 g,3.49,0,Italy,Unclear,1,Weee,Chocolate,0,0,Unclear
Swiss Miss Hot Cocoa Mix Milk Chocolate  11.04 oz,2.99,0,United States,Unclear,0,Weee,Chocolate,0,0,Unclear
Hawaiian Sun Chocolate Macadamia Pancake Mix 6 oz,4.99,0,United States,Unclear,0,Weee,Chocolate,0,0,Unclear
Madhu Chocolate Saffron Milk 45% Cacao 2.6 oz,8.49,0,United States,Unclear,3,Weee,Chocolate,0,0,Unclear
Organic Valley Organic 1% Low Fat Chocolate Milk 12 PK 1 box,16.99,0,United States,Unclear,0,Weee,Chocolate,0,0,Unclear
BRAVO BEAR  Vanilla Chocolate Baumkuchen 300 g,28.99,0,Taiwan,Unclear,1,Weee,Chocolate,0,0,Unclear
Silk Half Gallon Chocolate Soymilk 64 oz,5.49,0,United States,Unclear,0,Weee,Chocolate,0,0,Unclear
CROWN Choco Heim Chocolate Wafers with Hazelnut Family 4pk 1 box,14.99,0,South Korea,Unclear,4,Weee,Chocolate,0,0,Unclear
Lago Plaisir Rondo Coconut Cream and Dark Chocolate 98 g,3.49,0,Italy,Lago,1,Weee,Chocolate,0,0,Unclear
Madhu Chocolate Dark Masala Chai 60% Cacao 2.6 oz,8.49,0,United States,Unclear,1,Weee,Chocolate,0,0,Unclear
Royce 2020 Memories of Hokkaido Spring Season Chocolates 40ct 1 each,39.99,0,Japan,Unclear,8,Weee,Chocolate,0,0,Unclear
"DXC Mini Crisps, Chocolate Flavor 200 g",5.19,0,Mainland China,Daoxiangcun,15,Weee,Chocolate,0,0,Unclear
Choco Milk Chocolate Drink Mix 28.2 oz,9.79,0,United States,CHOCO MIL,0,Weee,Chocolate,0,0,Unclear
Mary's Chocolate Advent Calendar 200 g,29.49,0,Japan,Unclear,6,Weee,Chocolate,0,0,Unclear
Chocolove Dark Chocolate Bars with Almonds and Sea Salt 3.2 oz,2.95,0,United States,CHOCOLOVE,1,Weee,Chocolate,0,0,Unclear
Sunflower Butter Cream Chocolate Crackers 250 g,3.49,0,Philippines,Unclear,0,Weee,Chocolate,0,0,Unclear
Ritz Color Chocolate Sprinkles 300 g,7.59,0,Unclear,Unclear,0,Weee,Chocolate,0,0,Unclear
Nestle Abuelita Authentic Mexican Hot Chocolate Drink Tablets 19 oz,5.99,0,Mexico,Unclear,1,Weee,Chocolate,0,0,Unclear
"Chu Lu Milk Almond Chocolate Bars, Strawberry Flavor 96 g",8.99,0,Taiwan,Unclear,0,Weee,Chocolate,0,0,Unclear
Lago Plaisir Fiaccole Wafer Rolls Filled with Blackcurrant and Dark Chocolate 100 g,3.49,0,Italy,Unclear,0,Weee,Chocolate,0,0,Unclear
Antonio Pueo Rollos Chocolate Cacao Sugar & Skim Milk  7 oz,9.49,0,Philippines,Unclear,0,Weee,Chocolate,0,0,Unclear
Bourbon Kikori No Kirikabu Milk Chocolate Cookies 1 box,2.99,0,Japan,BOURBON,0,Weee,Chocolate,0,0,Unclear
"CHOCOLOVE, Chocolate Bar Filled Passion Fruit in Ruby 3.2 oz",3.79,0,United States,Unclear,0,Weee,Chocolate,0,0,Unclear
Chocolate Croissant *2 1 each,13.8,0,Unclear,Unclear,0,Weee,Chocolate,0,0,Unclear
【糖纸甜品】Valrhona Chocolate Cake Slice 1 each,9,0,Unclear,Unclear,0,Weee,Chocolate,0,0,Unclear
Chocolate Cakeroll 1 each,11.5,0,Unclear,Unclear,0,Weee,Chocolate,0,0,Unclear
【糖纸甜品】Chocolate Melaleuca 1 each,10,0,Unclear,Unclear,0,Weee,Chocolate,0,0,Unclear
【糖纸甜品】Chocolate towel roll 1 each,15,0,Unclear,Unclear,0,Weee,Chocolate,0,0,Unclear
White Chocolate strawberry Cake 4 inch 1 each,38.8,0,Unclear,Unclear,0,Weee,Chocolate,0,0,Unclear
Hazelnut chocolate cake  1 each,32.8,0,Unclear,Unclear,0,Weee,Chocolate,0,0,Unclear
Chocolate Cup Cake*8 1 each,8.05,0,Unclear,Unclear,0,Weee,Chocolate,0,0,Unclear
Chocolate Puff（6） 1 each,14.39,0,Unclear,Unclear,0,Weee,Chocolate,0,0,Unclear
Chocolate Baguette 1 each,3.99,0,Unclear,Unclear,0,Weee,Chocolate,0,0,Unclear
【糖纸甜品】9-inch Chocolate Melaleuca 1 each,100,0,Unclear,Unclear,0,Weee,Chocolate,0,0,Unclear
Chocolate Chunk Cookie 1 each,2.99,0,Unclear,Unclear,0,Weee,Chocolate,0,0,Unclear
Add Chocolate Chunk Cookie 1 each,2.39,0,Unclear,Unclear,0,Weee,Chocolate,0,0,Unclear
Buke Mylikes Chocolate Beans 30 g,0.49,1000,Mainland China,Buke,128,Weee,Chocolate,4000,490,Unclear
Glico Pocky Chocolate Cream Covered Biscuit Sticks 9pk 4.13 oz,3.49,600,Thailand,Glico,257,Weee,Chocolate,2400,2094,Unclear
"Meiji Hello Panda Cookies, Chocolate Filling 9.1 oz",5.99,200,United States,Unclear,45,Weee,Chocolate,800,1198,Unclear
"LeTAO Japanese Chocolate Double Cheesecake 12cm, Frozen 1 count",39.99,200,United States,Unclear,136,Weee,Chocolate,800,7998,Unclear
"Maeil Cafe Latte, Chocolate Latte  220 ml",2.29,50,South Korea,Unclear,13,Weee,Chocolate,200,115,Unclear
Tokyo Bread Chocolate Pan 70 g,3.19,50,Japan,Unclear,14,Weee,Chocolate,200,160,Unclear
"Karila Chocolate Flower with Stem, Random Color 88 g",8.99,50,Finland,Unclear,2,Weee,Chocolate,200,450,Unclear
Parle Hide & Seek Chocolate Chip Cookies 82.5 g,1,50,India,Unclear,15,Weee,Chocolate,200,50,Unclear
San Miguel Chocolait Chocolate Flavored Drink 3pk 750 ml,4.99,0,Philippines,Unclear,0,Weee,Chocolate,0,0,Unclear
Rimo Chocolate and Milk Flavored Biscuits  120 g,4.09,0,Mainland China,Unclear,6,Weee,Chocolate,0,0,Unclear
Lotte Papico Chocolate Ice Pouch 6pk 780 ml,5.99,0,South Korea,Lotte,13,Weee,Chocolate,0,0,Unclear
