Brand,Category,Origin,Platform,Price,Product_Name,Rate,Reviews,Sold_Monthly,Sold_Weekly,Weekly_Revenue,Sold_Weekly_Group,Price_Group
nestle,Chocolate,Japan,Yami,5.99,Japanese Kit Kat Strawberry Chocolate Wafer,5,1,1600,400,2396,300+,4+
glico,Chocolate,Japan,Yami,2.19,Pocky Super Slender Chocolate Biscuit Sticks 73g  Random version,4.8,143,1600,400,876,300+,2+
uha,Chocolate,Japan,Yami,2.49,Mikakuto Coke Flavored Gummy 40g,5,2,1600,400,996,300+,2+
gaolegao,Chocolate,Mainland China,Yami,11.99,Chocolate and Milk Cake,5,11,1600,400,4796,300+,10+
bourbon,Chocolate,Japan,Yami,1.99,Gummy Candy Peach Flavor 50g,4.8,9,1600,400,796,300+,Less than 2
nestle,Chocolate,Japan,Yami,6.99,Japanese Kit Kat Milk Tea Chocolate Wafer 12pc,3.7,3,1600,400,2796,300+,6+
fujiya,Chocolate,Japan,Yami,1.69,PEKO Chan Gummy Grape 1.76oz,4.2,9,1600,400,676,300+,Less than 2
fujiya,Chocolate,Japan,Yami,1.69,PEKO Chan Gummy Peach 1.76oz,4.7,6,1600,400,676,300+,Less than 2
glico,Chocolate,Japan,Yami,1.99,POCKY Banana Cream Covered Chocolate Biscuit Sticks 70g,4.7,96,1600,400,796,300+,Less than 2
nestle,Chocolate,Japan,Yami,6.99,Japanese Kit Kat Matcha Chocolate Wafer 135g,4.7,203,1600,400,2796,300+,6+
meiji,Chocolate,Japan,Yami,4.49,Chocolate Gummy Candy Muscat Flavor 81g,4.9,49,1600,400,1796,300+,4+
meiji,Chocolate,Japan,Yami,1.99,Dark Chocolate 50g,4.6,47,1600,400,796,300+,Less than 2
nestle,Chocolate,Japan,Yami,6.99,Japanese Kit Kat Matcha Chocolate Wafer 12pc,5,1,1600,400,2796,300+,6+
meiji,Chocolate,Japan,Yami,1.99,Milk Chocolate 50g,4.5,25,1600,400,796,300+,Less than 2
bourbon,Chocolate,Japan,Yami,1.99,Gummy Candy Grape Flavor 50g,5,2,100,25,49.75,Less than 50,Less than 2
nestle,Chocolate,Japan,Yami,6.99,Japanese Kit Kat Strawberry Milk Flavor 11pc,5,2,1600,400,2796,300+,6+
kuang quan,Chocolate,Taiwan,Yami,7.99,Chocolate Milk 200ml*6,5,5,1600,400,3196,300+,6+
nestle,Chocolate,Japan,Yami,6.99,Japanese Kit Kat Crepe White Chocolate Wafer,5,1,1600,400,2796,300+,6+
bourbon,Chocolate,Japan,Yami,2.49,Jaga Chocolate Potato Chips 40g,4.6,17,1600,400,996,300+,2+
morinaga,Chocolate,Japan,Yami,2.19,Mixed Fruit Flavor Candy with Real Fruit 2.82oz,4.7,10,1600,400,876,300+,2+
meiji,Chocolate,Japan,Yami,4.49,Chocolate Gummy Candy Mixed Fruits Flavor 81g,4.6,25,1600,400,1796,300+,4+
eiwa,Chocolate,Japan,Yami,2.69,Hello Kitty Marshmallow Strawberry Flavor 90g,5,7,1600,400,1076,300+,2+
nestle,Chocolate,Japan,Yami,7.99,Japanese Kit Kat Pistachio Chocolate Wafer 11pc,4,2,1600,400,3196,300+,6+
fujiya,Chocolate,Japan,Yami,3.49,Matcha Chocolate,4.7,41,1600,400,1396,300+,2+
nestle,Chocolate,Japan,Yami,6.99,Japanese Kit Kat Orange Chocolate Wafer 9pc,5,2,1600,400,2796,300+,6+
glico,Chocolate,Japan,Yami,2.19,Pocky Classic Chocolate Biscuit Sticks 70g,5,33,1600,400,876,300+,2+
bourbon,Chocolate,Japan,Yami,2.99,White Chocolate Cookie 78g,4.7,17,1600,400,1196,300+,2+
bourbon,Chocolate,Japan,Yami,1.89,Fettuccine Gummy  Lemon 50g,5,4,100,25,47.25,Less than 50,Less than 2
glico,Chocolate,Japan,Yami,0.75,Candy Lollipop Present Gift 1pc,5,4,1600,400,300,300+,Less than 2
nestle,Chocolate,Japan,Yami,6.99,Japanese Kit Kat Oat Chocolate Wafer,5,1,1600,400,2796,300+,6+
lotte korea,Chocolate,Korea,Yami,4.99,Xylitol Alpha Gum Powermint Flavor 86g,,0,1600,400,1996,300+,4+
nestle,Chocolate,Japan,Yami,6.99,Japanese Kit Kat Raspberry Chocolate Wafer,4.7,11,1600,400,2796,300+,6+
glico,Chocolate,Japan,Yami,2.09,Pejoy Cookies & Cream Creamy Vanilla Filled Chocolate Biscuit Sticks 56g,4.8,41,1600,400,836,300+,2+
fujiya,Chocolate,Japan,Yami,2.99,Hokkaido Milk Candy 120g,4.4,33,1600,400,1196,300+,2+
nestle,Chocolate,Japan,Yami,5.99,Japanese Kit Kat Crunch Chocolate Mini 82.8g,5,2,1600,400,2396,300+,4+
akaibohshi,Chocolate,Japan,Yami,11.99,KUKKIA Whipped Chocolate Sandwiched with Cookie Gift Box 4 Flavor 20pcs,4.8,27,800,200,2398,100+,10+
meiji,Chocolate,Japan,Yami,4.69,Chocolate Gummy Candy Strawberry Flavor 81g,4.7,24,1600,400,1876,300+,4+
nestle,Chocolate,Japan,Yami,6,KIT KAT Macha Latte Chocolate wafer 11pc,,0,1600,400,2400,300+,4+
fujiya,Chocolate,Japan,Yami,1.99,Chocolate Pencil 4pcs 27g,5,3,1600,400,796,300+,Less than 2
glico,Chocolate,Japan,Yami,0.75,Snack Candy Lollipop Present Gift 1pc,5,1,1600,400,300,300+,Less than 2
uha,Chocolate,Japan,Yami,2.49,Mikakutang Soda Flavour Soft Candy 40g,4,2,1600,400,996,300+,2+
uha,Chocolate,Japan,Yami,1.5,Fruit Candy Grape Flavor 48g,4.8,36,1600,400,600,300+,Less than 2
jzjt,Chocolate,Mainland China,Yami,6.99,Shortbread Cookies Dark Chocolate Yoghurt Flavor 144g,,0,1600,400,2796,300+,6+
nestle,Chocolate,Japan,Yami,6,KIT KAT Coffee Chocolate wafer 12pc,,0,1600,400,2400,300+,4+
nestle,Chocolate,Japan,Yami,6.99,Japanese Kit Kat Cocoa Flavor Wafer,5,0,1600,400,2796,300+,6+
akaibohshi,Chocolate,Japan,Yami,27.99,KUKKIA Whipped Chocolate Sandwiched with Cookie 4 Flavor 48pcs 374g,5,2,1200,300,8397,200+,16+
eiwa,Chocolate,Japan,Yami,2.69,MARSHMALLOW HELLO KITTY MANGO 90g,5,7,1600,400,1076,300+,2+
uha,Chocolate,Japan,Yami,1.5,Fruit Candy Muscat Flavor  48g,4.7,27,1600,400,600,300+,Less than 2
imuraya,Chocolate,Japan,Yami,6.99,Castella Japanese Style Baked Sponge Cake Chocolate Flavor 7Slices 280g,4.2,50,1600,400,2796,300+,6+
royce,Chocolate,Japan,Yami,32.99,Hokkaido Four Season Chocolate Gift Set 40pc,5,1,1600,400,13196,300+,16+
nestle,Chocolate,Japan,Yami,5.99,Japanese Kit Kat Mini Chocolate 81g,4,4,1600,400,2396,300+,4+
ginbis,Chocolate,Japan,Yami,1.19,GINBIS Animal Biscuits Chocolate Flavor 50g,,0,1600,400,476,300+,Less than 2
khong guan,Chocolate,Singapore,Yami,2.69,Creamy Chocolate Biscuits 200g,4.8,68,1600,400,1076,300+,2+
nestle,Chocolate,Japan,Yami,6,KIT KAT Melon Chocolate wafer 11pc,,0,1600,400,2400,300+,4+
mushroomstorm,Chocolate,Mainland China,Yami,7.59,Orange Peel Gummy 150g,5,1,1600,400,3036,300+,6+
eiwa,Chocolate,Japan,Yami,3.29,MARSHMALLOW HELLO KITTY CHOCOLATE 47g,5,3,100,25,82.25,Less than 50,2+
bourbon,Chocolate,Japan,Yami,5.69,Mini Bit Assorted Chocolate 165g,5,1,1600,400,2276,300+,4+
royce,Chocolate,Japan,Yami,18.99,HOKKAIDO OKINAWA Chocolate Mango 20pc,,0,1600,400,7596,300+,16+
morinaga,Chocolate,Japan,Yami,1.99,Dars White Chocolate Confectionery 42g,4.6,63,1600,400,796,300+,Less than 2
bourbon,Chocolate,Japan,Yami,2.99,Mini Roll Cake Chocolate Flavor 70g,4.6,7,1600,400,1196,300+,2+
chen yun pao chuan,Chocolate,Taiwan,Yami,12.99,Precieux white chocolate Covered Lemon Cake 5pcs,4.6,5,100,25,324.75,Less than 50,12+
loacker,Chocolate,Italy,Yami,5.29,Quadratini Bite Size Wafer Cookies Chocolate Flavor 250g,4.9,42,1600,400,2116,300+,4+
morinaga,Chocolate,Japan,Yami,2.49,Hi-chew 3 Flavor Soft Candy 100g,4.8,22,1600,400,996,300+,2+
meiji,Chocolate,Japan,Yami,5.49,Macadami Choco 9pc 60g,5,1,1600,400,2196,300+,4+
tianpeng,Chocolate,Taiwan,Yami,2.99,Chocolate Hand Made Buscuit 105g,4.7,41,1600,400,1196,300+,2+
kabaya,Chocolate,Japan,Yami,1.69,Kamu Cola 27g,4,2,1600,400,676,300+,Less than 2
morinaga,Chocolate,Japan,Yami,1.29,HI-CHEW Soft Chewy Fruit Candy Grape 50g,4.8,5,1600,400,516,300+,Less than 2
morinaga,Chocolate,Japan,Yami,2.99,Uji Hojicha Flavor Chocolate Stick 61.6g,4,2,1600,400,1196,300+,2+
nobel,Chocolate,Japan,Yami,3.29,Nobel Super Soda Candy 84g,,0,1600,400,1316,300+,2+
popcan,Chocolate,Japan,Yami,9.99,Disney fruit soda flavor lollipop 10pcs,5,2,1600,400,3996,300+,8+
go long,Chocolate,Taiwan,Yami,12.99,Chocolate Milk 215ml*6,5,1,1600,400,5196,300+,12+
morinaga,Chocolate,Japan,Yami,2.29,Hi-Chew Soft Candy Mixed Berry Flavor 90g,5,9,1600,400,916,300+,2+
morinaga,Chocolate,Japan,Yami,1.99,Bitter Chocolate Pack 42g,,0,1600,400,796,300+,Less than 2
nestle,Chocolate,Japan,Yami,6,KIT KAT Cocoa Chocolate wafer 12pc,5,1,1600,400,2400,300+,4+
royce,Chocolate,Japan,Yami,19.58,ROYCE HOKKAIDO Original Flavor Fresh Chocolate 20pc,5,1,1600,400,7832,300+,16+
agan,Chocolate,Mainland China,Yami,5.99,GuoKui Chocolate Walnut Biscuit 70g,5,3,1200,300,1797,200+,4+
hapi,Chocolate,Japan,Yami,3.89,Bing Bing Crispy Ice Cream Cone Snack with Chocolate Filling 8pcs 71.2g,4.6,14,1600,400,1556,300+,2+
taiki,Chocolate,Japan,Yami,3.99,Candy Bag Flower Pattern 150g,4.7,9,1600,400,1596,300+,2+
hamada,Chocolate,Japan,Yami,13.99,Napoleon Brandy bonbon,5,2,1600,400,5596,300+,12+
glico,Chocolate,Japan,Yami,6.49,Pejoy Red Wine Chocolate 126g,,0,1600,400,2596,300+,6+
lao jin mofang,Chocolate,Mainland China,Yami,5.99,Pear Paste Lollipop,5,1,1600,400,2396,300+,4+
rimo,Chocolate,Japan,Yami,3.49,BiscuitI Milk And Chocolate Flavor 120g,5,3,1600,400,1396,300+,2+
morinaga,Chocolate,Japan,Yami,1.29,HI-CHEW Soft Chewy Fruit Candy Green Apple Flavor 50g,5,1,1600,400,516,300+,Less than 2
imei,Chocolate,Taiwan,Yami,1.59,Chocolate Cream Filling Puff 65g,4.6,111,1600,400,636,300+,Less than 2
hamada,Chocolate,Japan,Yami,14.99,Cocktail bonbon 96g,,0,1600,400,5996,300+,14+
shoei delicy,Chocolate,Japan,Yami,3.89,Tublo Matcha Azuki  80g,5,1,1600,400,1556,300+,2+
milkita,Chocolate,Indonesia,Yami,2.29,Strawberry Shake Candy 4.2oz,5,1,1600,400,916,300+,2+
nobel,Chocolate,Japan,Yami,3.49,Super Lemon Candy 84g,,0,1600,400,1396,300+,2+
eiwa,Chocolate,Japan,Yami,2.49,Marshmallow Pineapple Flavor 90g,5,1,100,25,62.25,Less than 50,2+
jinyu,Chocolate,Mainland China,Yami,2.19,Filled Crisp White chocolate Flavor 116g,5,1,1600,400,876,300+,2+
meiji,Chocolate,Japan,Yami,3.99,Choco Ball 68g,,0,1600,400,1596,300+,2+
kasugai,Chocolate,Japan,Yami,3.19,Lipton Tea Candy 61g,5,2,1600,400,1276,300+,2+
alpenliebe,Chocolate,Mainland China,Yami,4.39,Caramel Hard Candy 50g,5,6,1200,300,1317,200+,4+
nestle,Chocolate,Japan,Yami,6,KITKAT Orange Chocolate wafer 9pc,,0,1600,400,2400,300+,4+
haitai,Chocolate,Korea,Yami,1.39,Puff Chocolate Flavor 46g,4.5,4,1600,400,556,300+,Less than 2
morinaga,Chocolate,Japan,Yami,3.49,Toshitsu 90% Off Nodoame 58g,,0,1600,400,1396,300+,2+
royce,Chocolate,Japan,Yami,19.68,ROYCE HOKKAIDO Matcha Flavor Fresh Chocolate 20pc,5,1,1600,400,7872,300+,16+
lrgw,Chocolate,Mainland China,Yami,4.39,Coconut Milk With Paw Shape Marshmellow 92g,5,5,1600,400,1756,300+,4+
seika foods,Chocolate,Japan,Yami,1.99,Probiotics Soft Candy 50g,5,2,1600,400,796,300+,Less than 2
morinaga,Chocolate,Japan,Yami,1.4,HI-CHEW Soft Chewy Fruit Candy Lemon Flavor 12tablet,,0,1600,400,560,300+,Less than 2
morinaga,Chocolate,Japan,Yami,1.99,Dars Silky Milk Chocolate42g,4.6,54,1600,400,796,300+,Less than 2
meiji,Chocolate,Japan,Yami,5.29,Milk Cchocolate 120g,,0,1600,400,2116,300+,4+
amos,Chocolate,Korea,Yami,1.49,AMOS 4D Gummy Blocks 100g,4.3,6,1200,300,447,200+,Less than 2
uha,Chocolate,Japan,Yami,4.59,Extra Concentrated Salted Milk Candy 80g,5,3,1600,400,1836,300+,4+
morinaga,Chocolate,Japan,Yami,1.4,HI-CHEW Soft Chewy Fruit Candy Green Apple Flavor 12tablet,,0,1600,400,560,300+,Less than 2
morinaga,Chocolate,Japan,Yami,1.4,HI-CHEW Soft Chewy Fruit Candy Strawberry Flavor 12tablet,,0,1600,400,560,300+,Less than 2
eiwa,Chocolate,Japan,Yami,3.29,MARSHMALLOW HELLO KITTY MATCHA 80g,5,1,100,25,82.25,Less than 50,2+
tokyo milk cheese factory,Chocolate,Japan,Yami,19.99,Chocolate Mascarpone Cookies 10pc,4.8,10,1600,400,7996,300+,16+
mushroomstorm,Chocolate,Mainland China,Yami,8.45,Pear Extract lollipop 100g,5,3,1600,400,3380,300+,8+
lotte japan,Chocolate,Japan,Yami,2.09,KOALA MINI COOKIE Chocolate Filling 50g,,0,1600,400,836,300+,2+
meiji,Chocolate,Japan,Yami,1.19,Panda Chocolate Filling Cookie 57g,4.8,70,1600,400,476,300+,Less than 2
bourbon,Chocolate,Japan,Yami,2.09,Alfort Mini Chocolate 12pc 55g,,0,100,25,52.25,Less than 50,2+
want want,Chocolate,Taiwan,Yami,0.49,Gummy Candy Orange Flavor 20g,,0,1600,400,196,300+,Less than 2
uha,Chocolate,Japan,Yami,2.89,Soft Candy 2 Soda Flavor 100g,4.8,39,1600,400,1156,300+,2+
haitai,Chocolate,Korea,Yami,3.29,Dalgona 20g*3,5,3,1600,400,1316,300+,2+
fujiya,Chocolate,Japan,Yami,2.19,Icon Chocolate Sandwich Cookie 42g,5,1,1600,400,876,300+,2+
lejiajia,Chocolate,Mainland China,Yami,4.69,Black Sesame Candy 312g,4.4,27,1600,400,1876,300+,4+
kanro,Chocolate,Japan,Yami,3.59,Premium Milk Candy Tea Flavor 66g,4.7,12,1600,400,1436,300+,2+
gaolegao,Chocolate,Mainland China,Yami,11.99,Strawberry Flavor Chocolate Layer Cake,4.3,12,1600,400,4796,300+,10+
nanguo,Chocolate,Mainland China,Yami,3.29,Coconut Candy 200g,,0,1600,400,1316,300+,2+
yuraku,Chocolate,Japan,Yami,4.89,Black Thunder Chcolate Strawberry Flavor 161g,4.8,4,1600,400,1956,300+,4+
shoei delicy,Chocolate,Japan,Yami,2.29,Teitoshitsu Milk Chocolate 60g,5,2,1600,400,916,300+,2+
tivoli tivon,Chocolate,Japan,Yami,8.99,MOEGINO Chocolate Sandwich Cookie 10pcs 122g,5,1,1600,400,3596,300+,8+
milkita,Chocolate,Indonesia,Yami,2.69,Milky Creamy Lollipop Assorted Fruit Flavor 115g,4.8,10,1600,400,1076,300+,2+
royce,Chocolate,Japan,Yami,18.99,JAPAN HOKKAIDO Chocolate SAKURA 20pc,5,2,1600,400,7596,300+,16+
bourbon,Chocolate,Japan,Yami,2.39,Cheese Chocolat 47g,4,2,100,25,59.75,Less than 50,2+
akaibohshi,Chocolate,Japan,Yami,19.99,KUKKIA Whipped Chocolate Sandwiched with Cookie 4 Flavor 32pcs,4.8,21,800,200,3998,100+,16+
glico,Chocolate,Japan,Yami,2.09,Pejoy Chocolate Cream Filled Biscuit Sticks 56g,4.9,32,1600,400,836,300+,2+
kakao friends,Chocolate,Korea,Yami,3.29,Mint Candy Strawberry Flavor  FRODO 15g,4.9,11,1600,400,1316,300+,2+
bourbon,Chocolate,Japan,Yami,4.99,Alfort Chocolate Cookies 199g,4.8,9,1600,400,1996,300+,4+
kanro,Chocolate,Japan,Yami,2.99,Pure Gummy Candy Plum 56g,,0,1600,400,1196,300+,2+
meito,Chocolate,Japan,Yami,2.19,Alphabet Chocolate 39.6g,4,2,1600,400,876,300+,2+
milkita,Chocolate,Indonesia,Yami,2.29,Chocolate Shake Candy 4.2oz,,0,1600,400,916,300+,2+
kao,Chocolate,Japan,Yami,11.99,LIESE PRETTIA Bubble Hair Dye Dark Chocolate 1set @Cosme Award No.1,4.8,0,1600,400,4796,300+,10+
royce,Chocolate,Japan,Yami,18.99,HOKKAIDO OKINAWA Chocolate Brown sugar 20pc,,0,1600,400,7596,300+,16+
gastone lago,Chocolate,New Zealand,Yami,4.79,Blackcurrant Filling and Dark Chocolate,4.7,3,1600,400,1916,300+,4+
kanro,Chocolate,Japan,Yami,3.29,4D Mini Fruit Strawberry 72g,,0,1600,400,1316,300+,2+
meito,Chocolate,Japan,Yami,2.19,Uji Matcha Chocolate Bar 3pc,3.6,5,1600,400,876,300+,2+
glico,Chocolate,Japan,Yami,0.83,Snack Candy Lollipop Present Gift 1pc,,0,1600,400,332,300+,Less than 2
lrgw,Chocolate,Mainland China,Yami,4.39,Coconut Milk With Corgi Shape Marshmellow 92g,5,2,1600,400,1756,300+,4+
ishiya seika,Chocolate,Japan,Yami,36.84,Shiroi Koibito Chocolate Cookie White Chocolate 27Piece,,0,1600,400,14736,300+,16+
nissin,Chocolate,Japan,Yami,8.99,Cereal Chocolate Flavor  300g,,0,1600,400,3596,300+,8+
morinaga,Chocolate,Japan,Yami,1.29,HI-CHEW Soft Chewy Fruit Candy Strawberry Flavor 50g,5,6,1600,400,516,300+,Less than 2
haitai,Chocolate,Korea,Yami,4.49,Matcha Chocolat Au Lait 13.5g,5,2,1600,400,1796,300+,4+
nestle,Chocolate,Japan,Yami,7.29,Japanese KitKat Blue Ocean Chocolate Wafer 12pcs 124g,,0,1600,400,2916,300+,6+
deej,Chocolate,Mainland China,Yami,12.99,Ejiao Gummy Candy  60Pcs,4.8,4,100,25,324.75,Less than 50,12+
ishiya seika,Chocolate,Japan,Yami,21.99,Ishiya Winter Chocolate Gianduja Mille-Feuille 6Pcs,,0,1600,400,8796,300+,16+
kasugai,Chocolate,Japan,Yami,2.99,Xylicrystal Ichigo Milk 63g,,0,1600,400,1196,300+,2+
senjaku,Chocolate,Japan,Yami,1.15,SENJAKU KURO AME CANDY 106g,,0,1600,400,460,300+,Less than 2
kakao friends,Chocolate,Korea,Yami,3.29,CANDY IMPACT MINTS 0.53OZ,4,2,1600,400,1316,300+,2+
morinaga,Chocolate,Japan,Yami,6.49,2 in 1 Mixed Fruit Candy 11.65oz,5,4,1600,400,2596,300+,6+
wonderland,Chocolate,Japan,Yami,1.29,X'mas Party Hard Candy 13g,,0,1600,400,516,300+,Less than 2
kakao friends,Chocolate,Korea,Yami,3.29,CANDY IMPACT MINTS 15g,4.7,3,1600,400,1316,300+,2+
bourbon,Chocolate,Japan,Yami,2.99,Elise Biscuit Milk & Chocolate 110g,4.5,15,1600,400,1196,300+,2+
yoku moku,Chocolate,Japan,Yami,19.99,Japanese Chocolate Egg Roll Limited Edition 7pc,5,2,1600,400,7996,300+,16+
disney,Chocolate,United States,Yami,0.85,Disney Chocolate 1bag,5,1,800,200,170,100+,Less than 2
uha,Chocolate,Japan,Yami,1.99,Mango Soft Candy 50g,4.3,9,1600,400,796,300+,Less than 2
wenheyou,Chocolate,Mainland China,Yami,5.69,WENHEYOU CINNAMON OIL CANDY,,0,1600,400,2276,300+,4+
kasugai,Chocolate,Japan,Yami,3.49,Queen Milk Candy 70g,5,2,1600,400,1396,300+,2+
kanro,Chocolate,Japan,Yami,2.35,Strawberry Blueberry Mixed Flavor Elastic Gummy 56g,,0,1600,400,940,300+,2+
bourbon,Chocolate,Japan,Yami,4.99,Millefas Chocolate Flavor 119g,5,1,100,25,124.75,Less than 50,4+
bourbon,Chocolate,Japan,Yami,3.29,Wafer White Chocolate 57g,,0,100,25,82.25,Less than 50,2+
nestle,Chocolate,Japan,Yami,6.99,Japanese Kit Kat Chocolate Wafer Original 14pc,,0,1600,400,2796,300+,6+
rimo,Chocolate,Japan,Yami,3.49,Biscuit Strawberry And Chocolate Flavor 120g,5,2,1600,400,1396,300+,2+
mushroomstorm,Chocolate,Mainland China,Yami,7.21,Cute Sanwish Gummy 150g,4.8,4,1600,400,2884,300+,6+
kanro,Chocolate,Japan,Yami,2.99,Pure Gummy Candy Strawberry 56g,,0,1600,400,1196,300+,2+
kakao friends,Chocolate,Korea,Yami,3.49,Kakao Friend Mint JAY-G 15g,5,2,1600,400,1396,300+,2+
hongyuan,Chocolate,Mainland China,Yami,3.49,HONG YUAN Candy  Lychee Flavor 350g,5,0,1600,400,1396,300+,2+
royce,Chocolate,Japan,Yami,19.68,ROYCE HOKKAIDO Tiramisu Flavor Fresh Chocolate 20pc,,0,1600,400,7872,300+,16+
royce,Chocolate,Japan,Yami,19.68,ROYCE HOKKAIDO Sakura Flavor Fresh Chocolate 20pc,,0,1600,400,7872,300+,16+
house,Chocolate,Japan,Yami,2.99,Corn Cracker Light Salted Flavor Christmas Limited Edition 75g,,0,1600,400,1196,300+,2+
meito,Chocolate,Japan,Yami,5.99,Uji Matcha Crunchy Chocolate 135g,5,4,1600,400,2396,300+,4+
mushroomstorm,Chocolate,Mainland China,Yami,6.64,MUSHROOMSTORM Howthorn lollipop 90g,4.7,7,1600,400,2656,300+,6+
kanro,Chocolate,Japan,Yami,3.29,4D Blocks 72g,5,1,1600,400,1316,300+,2+
bourbon,Chocolate,Japan,Yami,2.39,Sspiart Namacream 60g,,0,100,25,59.75,Less than 50,2+
akaibohshi,Chocolate,Japan,Yami,7.99,Coconut Chocolate Sand 135g,5,2,1200,300,2397,200+,6+
maxim top,Chocolate,Korea,Yami,7.99,Kanu Mint Chocolate Latte 8pc*17.3g,,0,1600,400,3196,300+,6+
royce,Chocolate,Japan,Yami,19.68,ROYCE HOKKAIDO Flavor Fresh Chocolate #White 20pc,,0,1600,400,7872,300+,16+
gavottes,Chocolate,France,Yami,4.49,Crepe Dentelle Crispy Crepe Chocolate Walnut Flavor 90g,4.9,8,1600,400,1796,300+,4+
morinaga,Chocolate,Japan,Yami,2.49,Hi-chew 3 Flavor Tropical Mix Soft Candy 100g,4.9,14,1600,400,996,300+,2+
glico,Chocolate,Japan,Yami,1.99,GLICO Disney Chocolate Lollipop 2pc,,0,1600,400,796,300+,Less than 2
ishiya seika,Chocolate,Japan,Yami,10.99,Ishiya Winter Chocolate Waffle 3Pcs,4,3,1600,400,4396,300+,10+
haitai,Chocolate,Korea,Yami,3.89,Puff Chocolate Flavor 146g,,0,1600,400,1556,300+,2+
morinaga,Chocolate,Japan,Yami,1.99,Milk Chocolate 50g,5,2,1600,400,796,300+,Less than 2
royce,Chocolate,Japan,Yami,18.88,ROYCE  HOKKAIDO Chocolate Champagne 20pc,,0,1600,400,7552,300+,16+
other brands,Chocolate,Unclear,Yami,3.49,Coconut Flakers,,0,1600,400,1396,300+,2+
tivoli tivon,Chocolate,Japan,Yami,22.99,MOEGINO Chocolate Sandwich Cookie 24pcs 464g,5,1,1600,400,9196,300+,16+
kakao friends,Chocolate,Korea,Yami,3.29,Mint Candy Orange Flavor TUBE 15g,4.7,3,1600,400,1316,300+,2+
marutai,Chocolate,Japan,Yami,1.99,Matcha Konpeito 45g,3,1,1600,400,796,300+,Less than 2
kakao friends,Chocolate,Korea,Yami,3.29,Mint Candy Honey Mellon Flavor 15g,3.5,4,1600,400,1316,300+,2+
xongjingwu,Chocolate,Japan,Yami,12.99,PIKACHU Valentine's day limited Chocolat 4pc,,0,1600,400,5196,300+,12+
kanro,Chocolate,Japan,Yami,3.49,Nuts Bon Caramel Crunch 81g,,0,1600,400,1396,300+,2+
bourbon,Chocolate,Japan,Yami,2.89,Pretzel Chocolate 48g,,0,100,25,72.25,Less than 50,2+
milkita,Chocolate,Indonesia,Yami,2.99,Milky Creamy Candy Assorted Tropical Fruit Flavor 120g,4.7,6,1600,400,1196,300+,2+
