Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Sold_Monthly,Weekly_Revenue,Platform,Category,Rate
Meiji Gummy Choco Strawberry 81 g,3.99,300,Mainland China,Unclear,14,1200,1197,Weee,Candy,Unclear
Orihiro Muscat and Orange Konjac Jelly 12 pc 1 each,4.99,400,Japan,ORIHIRO,52,1600,1996,Weee,Candy,Unclear
Orihiro Jelly Strawberry 6pcs 120 g,3.09,500,Japan,Unclear,3,2000,1545,Weee,Candy,Unclear
Meiji Meltyblend Green Tea Chocolate 2.11 oz,3.99,1000,Mainland China,MEIJI,39,4000,3990,Weee,Candy,Unclear
Dr. Liv Konjac Jelly Blueberry Flavor  150 g,1.99,100,South Korea,Unclear,10,400,199,Weee,Candy,Unclear
"Kabaya Pureral Gummy Candy, Apple Flavor 58 g",2.99,200,Japan,Unclear,1,800,598,Weee,Candy,Unclear
Fujiya Peko Chan Peach Gummy  1.76 oz,2.59,300,Japan,Unclear,20,1200,777,Weee,Candy,Unclear
"UHA Kororo Gummy Candy, Soda Flavor 40 g",2.99,400,Japan,Unclear,16,1600,1196,Weee,Candy,Unclear
Prince of Peace Original Ginger Chews 113 g,1.89,400,Indonesia,Prince of Peace,43,1600,756,Weee,Candy,Unclear
Fujiya Peko Chan Grape Gummy  1.76 oz,2.39,200,Japan,Unclear,16,800,478,Weee,Candy,Unclear
Jinguan Brown Sugar Candy with Plum  180 g,2.99,700,Mainland China,Unclear,59,2800,2093,Weee,Candy,Unclear
Fujiya Peko Poko Chocolatey Lollipop 0.84 oz,2.79,1000,Japan,Unclear,9,4000,2790,Weee,Candy,Unclear
Bourbon Chocolate Ichigo Mousse 1.55 oz,1.89,300,Japan,BOURBON,26,1200,567,Weee,Candy,Unclear
SnackTalk Cow Milk Tablet  20 g,1.69,700,Australia,Unclear,36,2800,1183,Weee,Candy,Unclear
Popin' Cookin' Tanoshii Bento Set 1 oz,3.99,100,Japan,Kracie,27,400,399,Weee,Candy,Unclear
Meiji Pucca Chocolate Biscuits 1.51 oz,2.79,100,Japan,MEIJI,6,400,279,Weee,Candy,Unclear
Tarami Grape Jelly Pouch 150 g,2.49,800,Japan,Unclear,18,3200,1992,Weee,Candy,Unclear
Black Ball Matcha Jelly 3ct 13.8 oz,4.99,200,United States,Unclear,43,800,998,Weee,Candy,Unclear
"ORIHIRO Konjac Jelly, Peach snd Pink Grapefruit Flavors 12pcs 240 g",4.99,700,Japan,ORIHIRO,10,2800,3493,Weee,Candy,Unclear
"Hi-Chew Candy, Original Flavors 12.7 oz",6.99,200,United States,Morinaga,10,800,1398,Weee,Candy,Unclear
Kit Kat Minis Unwrapped 7.6 oz,5.19,100,United States,KIT KAT,13,400,519,Weee,Candy,Unclear
Taiwan Dessert Milk Nougat  100 g,3.69,100,Taiwan,Unclear,29,400,369,Weee,Candy,Unclear
Konjac Jelly Mango 11 oz,3.99,300,Taiwan,Unclear,49,1200,1197,Weee,Candy,Unclear
Kracie Popin' Cookin' Tanoshii Hamburger Set 1.1 oz,3.99,50,Japan,Kracie,37,200,200,Weee,Candy,Unclear
Meiji Fruit Gummy Assortment 12pk 156 g,6.19,200,Japan,MEIJI,9,800,1238,Weee,Candy,Unclear
UHA Kororo Gummy Candy - Grape 1 each,2.99,400,Japan,Unclear,24,1600,1196,Weee,Candy,Unclear
Sesame Cakes 300 g,8.49,1000,Taiwan,Helaodie,145,4000,8490,Weee,Candy,Unclear
ORIHIRO Jelly Peach and Kyoho Grape Flavor 12pc 240 g,4.99,100,Japan,ORIHIRO,21,400,499,Weee,Candy,Unclear
"Orihiro Jelly, Apple Flavor 6pcs 120 g",3.09,500,Japan,Unclear,4,2000,1545,Weee,Candy,Unclear
"QuanFuDe Sugar-Coated Hawthorns, Frozen 200 g",6.99,500,Mainland China,Unclear,56,2000,3495,Weee,Candy,Unclear
UHA Kororo Gummy Candy - Muscat,2.89,500,Unclear,Unclear,13,2000,1445,Weee,Candy,Unclear
Meiji Strawberry Gummies 1.79 oz,1.99,400,Japan,MEIJI,25,1600,796,Weee,Candy,Unclear
Lao Jie Kou Candied Hawthorn Skewers 5ct 70 g,12.79,50,Mainland China,Unclear,249,200,640,Weee,Candy,Unclear
"Hi-Chew Candy, Sweet and Sour Flavors 12.7 oz",6.99,25,United States,Morinaga,11,100,175,Weee,Candy,Unclear
Meiji Kajyu Gummy Grape 51 g,1.99,100,Japan,MEIJI,12,400,199,Weee,Candy,Unclear
"Kit Kat Minis, Matcha 4.78 oz",9.99,200,Japan,KIT KAT,5,800,1998,Weee,Candy,Unclear
Haribo Goldbears 142g 142 g,1.79,100,Germany,Unclear,38,400,179,Weee,Candy,Unclear
Morinaga Ramune Soda Fizzy Candy  1.02 oz,1.99,500,Japan,Unclear,6,2000,995,Weee,Candy,Unclear
Dr. Liv Konjac Jelly Peach Flavor  150 g,2.19,300,South Korea,Unclear,0,1200,657,Weee,Candy,Unclear
Mochi - Strawberry Flavor 120 g,3.33,300,Mainland China,Unclear,0,1200,999,Weee,Candy,Unclear
"Meiji Chocolate Melty Blend, Strawberry Flavor 2.11 oz",4.99,700,Mainland China,MEIJI,2,2800,3493,Weee,Candy,Unclear
Kasugai Frutia Lychee Gummy Candy 3.59 oz,2.49,200,Japan,Unclear,0,800,498,Weee,Candy,Unclear
Orihiro 0kcal Jelly Green Grape Flavor 130 g,2.99,400,Japan,Unclear,1,1600,1196,Weee,Candy,Unclear
Meiji Gummy Choco Green Grape Flavor 2.85 oz,3.99,400,Mainland China,MEIJI,0,1600,1596,Weee,Candy,Unclear
Kit Kat Mini White Chocolate 4.1 oz,8.99,50,Japan,KIT KAT,0,200,450,Weee,Candy,Unclear
Mochi - Matcha Flavor 120 g,3.33,200,Mainland China,Unclear,0,800,666,Weee,Candy,Unclear
"Cocomels Organic Coconut Milk Caramels, Original 3.5 oz",2.99,50,United States,Unclear,1,200,150,Weee,Candy,Unclear
Justin's Organic Dark Chocolate Peanut Butter Cups 4.7 oz,6.79,25,United States,JUSTIN`S,3,100,170,Weee,Candy,Unclear
Smartsweets Sweet Fish 1.8 oz,2.99,25,United States,Unclear,0,100,75,Weee,Candy,Unclear
Ghirardelli Milk Chocolate Chips 11.5 oz,4.49,25,United States,Unclear,1,100,112,Weee,Candy,Unclear
Smart Sweets Sour Blast Buddies 1.8 oz,2.99,25,United States,Smart Sweets,0,100,75,Weee,Candy,Unclear
Mi Dulce Mexico Jelly Cups 8 count,1.59,200,Mainland China,Mi Dulce Mexico,4,800,318,Weee,Candy,Unclear
Unisman King ChocNut Peanut Milk Chocolate 200 g,2.99,100,Philippines,Unclear,2,400,299,Weee,Candy,Unclear
"Lotte Gummy Candy, Strawberry Flavor 66 g",1.49,100,South Korea,Lotte,0,400,149,Weee,Candy,Unclear
Striking Popping Candy Lychee Flavor 1.06 oz,1.99,200,Mainland China,Unclear,3,800,398,Weee,Candy,Unclear
KitKat Otona No Amasa  5.18 oz,8.99,200,Japan,KIT KAT,4,800,1798,Weee,Candy,Unclear
Philippine Brand Mango Tamarind Ball 3.5 oz,2.49,50,Philippines,Unclear,2,200,125,Weee,Candy,Unclear
"Asahi Tablet Candy, Mango & Peach 0.52 oz",2.69,100,Japan,Unclear,4,400,269,Weee,Candy,Unclear
FormosaYAY Adzuki Bean Mochi 6pcs 180 g,1.89,200,Taiwan,Unclear,4,800,378,Weee,Candy,Unclear
Fujjya Chocolate Pencil Candy  0.95 oz,2.79,300,Japan,Unclear,11,1200,837,Weee,Candy,Unclear
Striking Popping Candy Watermelon Flavor 1.06 oz,1.99,100,Mainland China,Unclear,3,400,199,Weee,Candy,Unclear
"Orihiro Konjac Jelly, Grape  130 g",2.49,200,Japan,Unclear,5,800,498,Weee,Candy,Unclear
"ORIHIRO Konjac Jelly, Lemon and Hokkaido Melon Flavor 12pcs 240 g",4.99,100,Japan,ORIHIRO,3,400,499,Weee,Candy,Unclear
Striking Popping Candy Peach Flavor 1.06 oz,1.99,100,Mainland China,Unclear,1,400,199,Weee,Candy,Unclear
De La Rosa Pulparindo Spicy and Salted Tamarind Candy 20 count,2.29,100,Mexico,De La Rosa,2,400,229,Weee,Candy,Unclear
Jans Milk Chewy Candy Matcha Flavor 4.2 oz,1.69,50,Indonesia,Unclear,10,200,85,Weee,Candy,Unclear
Vero Mango Chili Coated Mango Lollipops 22.6 oz,5.99,50,United States,Barcel,1,200,300,Weee,Candy,Unclear
Kopiko Coffee Candy  120 g,1.49,300,Indonesia,Kopiko,0,1200,447,Weee,Candy,Unclear
Kinder Joy Egg with Toy  7 oz,1.89,50,United States,Kinder Joy,26,200,95,Weee,Candy,Unclear
"Lotte Xylitol Gum, Apple Mint 96 g",4.99,50,South Korea,Lotte,1,200,250,Weee,Candy,Unclear
Diana Vanilla Nougat Candy 6.73 oz,2.99,25,Mexico,Unclear,0,100,75,Weee,Candy,Unclear
Lucas Panzon Watermelon Hard Candy 14.1 oz,4.69,25,Mexico,Unclear,0,100,117,Weee,Candy,Unclear
Striking Popping Candy Melon Flavor 1.06 oz,1.99,50,Mainland China,Unclear,1,200,100,Weee,Candy,Unclear
De La Rosa Marzipan-Style Peanut Candy Mazapan 12 count,2.49,100,Mexico,De La Rosa,5,400,249,Weee,Candy,Unclear
"Look Chocolate Aoi Hoseki, Muscat Flavor 1.41 oz",3.99,200,Japan,Unclear,5,800,798,Weee,Candy,Unclear
Kracie Popin Cookin Tanoshii Cakes 0.9 oz,3.59,50,Japan,Unclear,36,200,180,Weee,Candy,Unclear
"Asahi Tablet Candy, Mint 0.77 oz",3.15,50,Japan,Unclear,2,200,158,Weee,Candy,Unclear
Banderilla Tama-Roca Original 30 oz,10.99,25,Mexico,Unclear,0,100,275,Weee,Candy,Unclear
Mei Wei Almond Flavor Coconut Milk Pudding 5.3 oz,1.79,25,United States,Unclear,0,100,45,Weee,Candy,Unclear
Lucas Gusano Tamarind Liquid Candy 10 count,3.79,25,Mexico,Unclear,0,100,95,Weee,Candy,Unclear
Tarami Konnyaku Peach Jelly Cup 5.64 oz,2.49,50,Japan,Tarami,0,200,125,Weee,Candy,Unclear
Dragonfly Mangosteen Flavored Pudding 6pk 27.5 oz,3.49,50,Malaysia,Dragon Fly,3,200,175,Weee,Candy,Unclear
"Angelina Nata De Coco Red, Sweet Coconut Gel 12 oz",2.79,2,Philippines,Unclear,0,8,6,Weee,Candy,Unclear
Brown Sugar Pearl Milk Tea Candy 108 g,4.19,50,Mainland China,Unclear,0,200,210,Weee,Candy,Unclear
Indy Hormigas Watermelon Flavor Candy 1 box,1.99,50,Mexico,Unclear,1,200,100,Weee,Candy,Unclear
Gummy Candy Lychee Flavor 5 Bags Per Pack 100 g,2.49,300,Mainland China,Unclear,0,1200,747,Weee,Candy,Unclear
Salt & Lemon Candy  5.2 oz,1.99,200,Malaysia,Unclear,1,800,398,Weee,Candy,Unclear
Cherry Grandfather Handmade Nougat with Cranberry  100 g,7.99,25,Taiwan,Unclear,4,100,200,Weee,Candy,Unclear
"Beny Locochas Sabor Mango Hard Candy with Chili,60ct 1 each",3.89,25,Mexico,Unclear,0,100,97,Weee,Candy,Unclear
Beny Locochas Sabor Chamoy Hard Candy 1 each,3.89,25,Mexico,Unclear,0,100,97,Weee,Candy,Unclear
Fujiya Peko Crunch Milk Candy  1.8 oz,2.99,100,Japan,Unclear,4,400,299,Weee,Candy,Unclear
Lucas Salsagheti Mango 10.2 oz,5.19,25,United States,LUCAS,3,100,130,Weee,Candy,Unclear
"Aerbeise Candy, Caramel Flavor 150 g",4.79,50,Mainland China,Unclear,1,200,240,Weee,Candy,Unclear
Gummy Candy Cola Flavor 5 Bags Per Pack 100 g,2.49,200,Mainland China,Unclear,1,800,498,Weee,Candy,Unclear
Morinaga Hi-Chew Original Mix 3.53 oz,2.19,50,Unclear,Unclear,9,200,110,Weee,Candy,Unclear
Orihiro Jelly Apple and Orange Flavors 12pcs 240 g,4.9,200,Japan,Unclear,0,800,980,Weee,Candy,Unclear
Fibisco Choco Crunchies 200 g,3.19,25,Philippines,Fibisco,4,100,80,Weee,Candy,Unclear
Mauduoli Tamarind Gummy 128 g,3.99,50,Mainland China,Unclear,1,200,200,Weee,Candy,Unclear
Milkita Tropical Shake Candy 4.23 oz,2.99,50,Indonesia,Unclear,3,200,150,Weee,Candy,Unclear
"Ricolino Duvalín Candy, Vanilla And Strawberry 18 count",3.69,25,Mexico,Unclear,0,100,92,Weee,Candy,Unclear
Konjac jelly drink peach flavor 130 g,1.69,100,Mainland China,Unclear,0,400,169,Weee,Candy,Unclear
Lot 100 Brand Assorted Gummy Candy 150 g,2.99,50,Malaysia,Unclear,1,200,150,Weee,Candy,Unclear
U Kiss Mango Flavored Ice Cream Jelly  480 g,4.39,50,Mainland China,U kiss,1,200,220,Weee,Candy,Unclear
"Ricolino Duvalín Candy, Strawberry and Hazelnut 9.52 oz",3.19,25,Mexico,Ricolino,3,100,80,Weee,Candy,Unclear
Orihiro 0kcal Jelly Honey Lemon 130 g,2.99,100,Japan,Unclear,1,400,299,Weee,Candy,Unclear
Milk Candy Stick (Milk Flavor) 128 g,4.89,200,Mainland China,Unclear,0,800,978,Weee,Candy,Unclear
Jack 'N Jill X.O. Coffee Candy 190 g,1.69,50,Philippines,JACK 'n JILL,5,200,85,Weee,Candy,Unclear
Milkita Creamy Shake Lollipop Assorted 4.23 oz,4.29,25,Indonesia,Unclear,2,100,107,Weee,Candy,Unclear
"Cherry Grandfather Handmade Nougat, Strawberry 100 g",8.29,25,Taiwan,Unclear,5,100,207,Weee,Candy,Unclear
"Aji Konjac Jelly, Lychee and Pineapple Flavor 260 g",5.19,100,Mainland China,AJI,1,400,519,Weee,Candy,Unclear
American Best Pineapple Candy Curled  7 oz,2.99,25,Vietnam,Unclear,0,100,75,Weee,Candy,Unclear
Jack & Jill Maxx Candy Extra Strength 7 oz,1.69,50,Philippines,JACK 'n JILL,0,200,85,Weee,Candy,Unclear
Hongmao Durain Candy 350 g,5.09,50,Mainland China,Unclear,0,200,255,Weee,Candy,Unclear
Indy Dedos Spicy and Sour Candy 1 box,2.19,25,Mexico,Unclear,0,100,55,Weee,Candy,Unclear
Sonrics Rockaleta Chili Lollipops 16.9 oz,7.49,25,United States,Unclear,1,100,187,Weee,Candy,Unclear
Dragonfly Jelly Cups Cow Jar  24.6 oz,9.39,25,Mainland China,Dragonfly,1,100,235,Weee,Candy,Unclear
YUMEI Rice Jelly (Brown Sugar Flavor) 240 g,3.39,300,Mainland China,YUMEI,16,1200,1017,Weee,Candy,Unclear
Orihiro 0kcal Jelly Apple Drink 130 g,2.99,50,Japan,Unclear,1,200,150,Weee,Candy,Unclear
"De La Rosa Strawberry and Vanilla Marshmallows, Giant Size 14.5 oz",2.19,50,Mexico,De La Rosa,11,200,110,Weee,Candy,Unclear
Hsufuchi Assorted Peanut Crispy Candy Bucket 600 g,15.19,25,Mainland China,HSUFUCHI,1,100,380,Weee,Candy,Unclear
"Lotte Malang Milky Chewy Cow Candy, Multi Small Packs Inside 158 g",6.79,25,South Korea,Lotte,2,100,170,Weee,Candy,Unclear
Bitter Chocolate 172 g,9.99,50,Japan,Unclear,8,200,500,Weee,Candy,Unclear
Alpenliebe Mix Flavored Lollipop 200 g,4.59,200,Mainland China,Unclear,5,800,918,Weee,Candy,Unclear
Pearl Milk Tea Candy 108 g,4.19,25,Mainland China,Unclear,0,100,105,Weee,Candy,Unclear
Beny Locochas Sabor Sandia Watermelon Hard Candy  1 each,3.89,25,Mexico,Unclear,0,100,97,Weee,Candy,Unclear
Konjac jelly drink grape flavor 130 g,1.69,100,Mainland China,Unclear,0,400,169,Weee,Candy,Unclear
Fujiya Pop Candy 4.34 oz,2.89,1,Japan,Unclear,10,4,3,Weee,Candy,Unclear
"Aji Konjac Jelly, Passion Fruit and Grape Flavor 260 g",4.99,50,Mainland China,AJI,1,200,250,Weee,Candy,Unclear
Orihiro 0kcal Jelly Orange Flavor 130 g,2.99,50,Japan,Unclear,0,200,150,Weee,Candy,Unclear
Gummy Candy Peach Flavor 5 Bags Per Pack 23 g,2.49,500,Mainland China,Unclear,0,2000,1245,Weee,Candy,Unclear
GOGOFUN Peach Flavored Jelly 165 g,3.09,25,Mainland China,Unclear,2,100,77,Weee,Candy,Unclear
Nobel Otoko Ume Candy 80 g,3.49,25,Japan,Nobel,4,100,87,Weee,Candy,Unclear
Rongshing Crisp Candy 200 g,5.09,25,Mainland China,Unclear,0,100,127,Weee,Candy,Unclear
Shengkui Hawthorn Roll 90 g,2.49,25,Mainland China,Unclear,0,100,62,Weee,Candy,Unclear
Jack 'N Jill Maxx Honey Mansi Menthol Candy  7.5 oz,1.49,25,Philippines,JACK 'n JILL,3,100,37,Weee,Candy,Unclear
Jack 'N Jill Maxx Honey Lemon Menthol Candy 7.05 oz,1.49,25,Philippines,JACK 'n JILL,7,100,37,Weee,Candy,Unclear
Lianggao Well Rice Cake with Brown Sugar Syrup 240 g,1.79,25,Mainland China,Unclear,9,100,45,Weee,Candy,Unclear
UHA Salted Red Beans Candy  109 g,2.99,25,Japan,Unclear,3,100,75,Weee,Candy,Unclear
"Cherry Grandfather Handmade Nougat, Coffee Flavor  100 g",6.5,25,Taiwan,Unclear,4,100,163,Weee,Candy,Unclear
"Aji Kojac Jelly, Peach and Mango Flavor 260 g",4.99,100,Mainland China,AJI,0,400,499,Weee,Candy,Unclear
Snak Club Sour Gummy Bears 4 oz,1.99,25,United States,Snak Club,4,100,50,Weee,Candy,Unclear
Konjac jelly drink salty lemon flavor 130 g,1.69,25,Mainland China,Unclear,0,100,42,Weee,Candy,Unclear
WENHEYOU Cinnamon Oil Candy 90 g,5.59,25,Mainland China,Unclear,1,100,140,Weee,Candy,Unclear
Chayan Black Tea and Oolong Flavored Candy 32 g,6.59,25,Mainland China,Chayanyuese,1,100,165,Weee,Candy,Unclear
"U Kiss Ice Cream Flavored Jelly, Assorted Flavors 270 g",3.79,25,Mainland China,U kiss,3,100,95,Weee,Candy,Unclear
Maoduoli Passionfruit Gummy 160 g,3.99,50,Mainland China,Unclear,2,200,200,Weee,Candy,Unclear
"Big Green Hawthorn Berry Jam Cups, 12ct 540 g",4.49,50,Mainland China,Big Green,11,200,225,Weee,Candy,Unclear
Madhu Chocolate Saffron Milk 45% Cacao 2.6 oz,8.49,25,United States,Unclear,3,100,212,Weee,Candy,Unclear
"Kit Kat Mini, Original Less Sugar 15pcs 5.2 oz",7.59,25,Japan,KIT KAT,0,100,190,Weee,Candy,Unclear
Morozoff Chocolate 8 Pieces 60 g,14.99,50,Japan,Unclear,1,200,750,Weee,Candy,Unclear
Jans Milk Chewy Candy Melon Flavor 4.2 oz,1.69,25,Indonesia,Unclear,6,100,42,Weee,Candy,Unclear
Hawaiian Host Island Macs Milk Chocolate 5 oz,7.99,25,United States,Hawaiian Host,2,100,200,Weee,Candy,Unclear
U Kiss Vanilla Ice Cream Flavored Jelly Cups  480 g,4.39,25,Mainland China,U kiss,0,100,110,Weee,Candy,Unclear
U Kiss Vanilla Ice Cream Flavored Jelly Cups  480 g,4.39,25,Mainland China,U kiss,0,100,110,Weee,Candy,Unclear
Taimatsu Mango Pudding 500 g,4.39,50,Japan,Unclear,5,200,220,Weee,Candy,Unclear
Peanut Nougat Candy 328 g,7.99,25,Mainland China,Unclear,1,100,200,Weee,Candy,Unclear
Gummy Candy Multi Flavor 200 g,4.99,200,Mainland China,WANT WANT,0,800,998,Weee,Candy,Unclear
Gummy Candy Strawberry Flavor 5 Bags Per Pack 100 g,2.49,200,Mainland China,Unclear,0,800,498,Weee,Candy,Unclear
"Chomis Gomis Sandillitas Locas Candy, Watermelon Flavor 8 oz",6.29,25,United States,Chomis Gomis,0,100,157,Weee,Candy,Unclear
"Chungjungone O'Food Drinking Vinegar with Konjac Jelly, Pomegranate Flavor 900 g",12.99,25,South Korea,Chung Jung One,1,100,325,Weee,Candy,Unclear
Tangsan Black Crispy Sesame Candy 8 oz,4.99,25,Taiwan,Unclear,0,100,125,Weee,Candy,Unclear
White Crispy Sesame Candy 6 oz,4.49,25,Taiwan,Unclear,1,100,112,Weee,Candy,Unclear
Rongshing Corn Candy 300 g,3.89,25,Mainland China,Unclear,0,100,97,Weee,Candy,Unclear
Shunlong Milk Candy 280 g,4.89,25,Mainland China,Unclear,1,100,122,Weee,Candy,Unclear
Hualisha Assorted Hard Candy 600 g,7.69,25,Mainland China,Unclear,0,100,192,Weee,Candy,Unclear
Hualisha Dragon Crisp Candy 300 g,4.99,25,Mainland China,Unclear,0,100,125,Weee,Candy,Unclear
CHUNGUANG Hainan Specialty Coconut Sticky Jelly  200 g,4.49,25,Mainland China,Unclear,5,100,112,Weee,Candy,Unclear
"Ren Ren He Tea Jelly, Honey Grapefruit Flavor 320 g",4.29,25,Mainland China,Unclear,0,100,107,Weee,Candy,Unclear
Frankford Milk Chocolate Gold Coins 1.23 oz,1.49,100,Israel,Unclear,10,400,149,Weee,Candy,Unclear
"Yili Milk Flakes, Strawberry Flavor 160 g",5.99,50,Mainland China,Unclear,12,200,300,Weee,Candy,Unclear
Black Sesame Pill 108 g,9.99,50,Mainland China,Unclear,3,200,500,Weee,Candy,Unclear
Choki Choki Chococashew Snack 200 g,19.9,25,Indonesia,Choki Choki,0,100,498,Weee,Candy,Unclear
Chomis Gomis Mangitos Locos Mango Candy  8 oz,6.29,25,United States,Chomis Gomis,0,100,157,Weee,Candy,Unclear
Gummy Candy Pineapple Flavor 5 Bags Per Pack 100 g,2.49,300,Mainland China,Unclear,0,1200,747,Weee,Candy,Unclear
Mary's Chocolate Advent Calendar 200 g,29.49,25,Japan,Unclear,6,100,737,Weee,Candy,Unclear
American Best Ginger Strip Candy 12.3 oz,7.99,25,Vietnam,Unclear,0,100,200,Weee,Candy,Unclear
Milk Candy Stick Yogurt Flavor 128 g,4.89,100,Mainland China,Unclear,0,400,489,Weee,Candy,Unclear
Milk Candy Stick(Prebiotics Flavor) 128 g,4.89,50,Mainland China,Unclear,0,200,245,Weee,Candy,Unclear
Argao Guilang Tableya (Cacao Tablets) 330 g,9.99,25,Philippines,Unclear,0,100,250,Weee,Candy,Unclear
Queen Mani Choco Peanut Bar 336 g,2.99,25,Philippines,Unclear,0,100,75,Weee,Candy,Unclear
Madhu Chocolate Dark Masala Chai 60% Cacao 2.6 oz,8.49,25,United States,Unclear,1,100,212,Weee,Candy,Unclear
"LYFEN QQ Jelly, Original Flavor  150 g",1.49,25,Mainland China,LYFEN,2,100,37,Weee,Candy,Unclear
MN Yogurt Cubes Almond 42 g,7.59,25,Mainland China,Unclear,1,100,190,Weee,Candy,Unclear
Ritz Color Chocolate Sprinkles 300 g,7.59,25,Indonesia,Ritz,2,100,190,Weee,Candy,Unclear
Hawthorn Syrup Lollipop 12ct 1 can,6.69,25,Mainland China,Unclear,2,100,167,Weee,Candy,Unclear
"Tarami Big Jelly Cup, Mixed Fruit 8.11 oz",2.99,50,Japan,Tarami,1,200,150,Weee,Candy,Unclear
Karila Chocolate Flower Ball Random Color  40 g,8.99,200,Estonia,Unclear,3,800,1798,Weee,Candy,Unclear
Royce 2020 Memories of Hokkaido Spring Season Chocolates 40ct 1 each,39.99,25,Japan,Unclear,8,100,1000,Weee,Candy,Unclear
Sugar and Spice Taiwanese Classic Nougats 400 g,33.49,25,Taiwan,Unclear,24,100,837,Weee,Candy,Unclear
"Shirakiku Jelly Cup, Peach Flavor 2ct 200 g",3.49,50,Unclear,Unclear,13,200,175,Weee,Candy,Unclear
"Top Savor Ice Cream Flavored Jelly, Strawberry 198 g",2.59,25,Mainland China,Unclear,0,100,65,Weee,Candy,Unclear
Orihiro Konjac Jelly Peach Flavor 6 pcs 120 g,2.99,50,Japan,ORIHIRO,54,200,150,Weee,Candy,Unclear
"Petit Pot Organic French Pudding, Vanilla Bean Flavor  3.5 oz",2.99,25,United States,Unclear,0,100,75,Weee,Candy,Unclear
"Petit Pot Organic French Pudding, Dark Chocolate Flavor  3.5 oz",2.99,25,United States,Unclear,0,100,75,Weee,Candy,Unclear
AIZA'S PASTILLAS UBE  133 g,3.99,25,Philippines,Unclear,1,100,100,Weee,Candy,Unclear
