,Product_Name,Brand,Price,Option,Reviews,Origin,Rate,Platform,Category,Sold_Weekly
47,Fish Crackers Spicy Cheese and Onion 50g,cocoland,5.59,No,0,Malaysia,0.0,Yami,Rice Cracker,400+ Sold
48,Fish Crackers Spicy Mala 50g,cocoland,5.59,No,0,Malaysia,0.0,Yami,Rice Cracker,400+ Sold
49,Prawn Crackers Barbecue Flavor 25g,bestore,3.99,No,0,Mainland China,0.0,Yami,Rice Cracker,Less than 50
50,Prawn Crackers Original Flavor 7g,oishi,0.22,No,0,Mainland China,0.0,Yami,Rice Cracker,400+ Sold
51,Chicken Flavoured Crackers 60g,miaow miaow,6.39,2 Options,0,Malaysia,0.0,Yami,Rice Cracker,400+ Sold
52,Crackers Cuttlefish Flavour 60g,miaow miaow,6.39,2 Options,0,Malaysia,0.0,Yami,Rice Cracker,400+ Sold
53,Hot & Spicy Flavoured Prawn Crackers 60g,miaow miaow,6.39,No,0,Malaysia,0.0,Yami,Rice Cracker,400+ Sold
54,Chili Cheese Flavoured Prawn Crackers 70g,bika,3.99,No,0,Malaysia,0.0,Yami,Rice Cracker,Less than 50
55,BBQ Cuttlefish Flavoured Crackers 70g,bika,3.99,No,0,Malaysia,0.0,Yami,Rice Cracker,Less than 50
56,TAINAN ONLY Grand Matsu Pea Crackers (Koloko - Salted Flavor),lien haw foods,6.64,No,0,Taiwan,0.0,Yami,Rice Cracker,400+ Sold
57,Korean Traditional Rice Cookie 127g,assi brand,3.49,No,0,Korea,0.0,Yami,Rice Cracker,200+ Sold
58,Pepper Crispy Rice Crackers Green Pepper Flavor 108g,xasunfood,2.99,No,0,Mainland China,0.0,Yami,Rice Cracker,400+ Sold
59,3 Years Aged Habanero Kanzuri Rice Cracker 38g,tohato,6.39,No,0,Japan,0.0,Yami,Rice Cracker,400+ Sold
60,Chocolate Rice Cracker 40g,sugar butter tree,4.5,No,0,Japan,0.0,Yami,Rice Cracker,400+ Sold
61,Honey Butter Chip 60g,haitai,2.19,4 Options,1215,Korea,4.7,Yami,Rice Cracker,1K+ Sold
62,Brown Rice Snack Spicy Barbecue Flavour 50g,grain mii,6.39,No,0,Thailand,0.0,Yami,Rice Cracker,400+ Sold
63,Theokbokki Topokki Sweet & Spicy Rice Cake Snack 57g,cosmos,5.59,No,0,Korea,0.0,Yami,Rice Cracker,400+ Sold
64,Sweet Shrimp Rice Cracker 72g,kameda,6.5,19 Options,2,Japan,5.0,Yami,Rice Cracker,400+ Sold
65,PANPAN Wheat Crunch Chicken Flavor 105g,asia foods,1.79,8 Options,272,Mainland China,4.8,Yami,Rice Cracker,1K+ Sold
66,Mimi Shrimp Flavored Chips 10 Packs 180g,aishang,2.99,4 Options,153,Mainland China,4.7,Yami,Rice Cracker,1K+ Sold
67,GGE BBQ Cube Wheat Cracker 80g,weilih,1.89,9 Options,401,Taiwan,4.6,Yami,Rice Cracker,400+ Sold
68,Soybean Snacks 360g,weilong,6.49,No,10,Mainland China,4.8,Yami,Rice Cracker,400+ Sold
69,Potato Chips Garlic Roasted Oyster Flavor 70g,lay's,2.49,No,17,Mainland China,4.6,Yami,Rice Cracker,400+ Sold
70,"Potato Chips Cucumber Flavor, 70g",lay's,2.29,7 Options,406,Mainland China,4.7,Yami,Rice Cracker,400+ Sold
71,Potato Chips Spicy Hot Pot Flavor 70g,lay's,2.49,7 Options,260,Mainland China,4.7,Yami,Rice Cracker,400+ Sold
72,GGE Seaweed Cracker 80g,weilih,1.89,9 Options,192,Taiwan,4.6,Yami,Rice Cracker,400+ Sold
73,Potato Farm Hokkaido Premium Potato Chips Jaga Pokkuru 18g*10 Packs,calbee,17.99,No,104,Japan,4.8,Yami,Rice Cracker,400+ Sold
74,CALBEE MY POTE GARLIC HERB BUTTR 60g,calbee,1.49,No,18,Japan,4.4,Yami,Rice Cracker,200+ Sold
75,Rich Cut Chili Chips 54g (New and old packaging randomly sent),koikeya,1.89,No,200,Japan,4.6,Yami,Rice Cracker,400+ Sold
76,Sour Cream Onion Chips 47g,lay's,1.99,No,5,Mainland China,4.4,Yami,Rice Cracker,400+ Sold
77,PANPAN Wheat Crunch Spicy Chicken Flavor 105g,asia foods,1.89,8 Options,162,Mainland China,4.7,Yami,Rice Cracker,400+ Sold
78,Potato Chips Sweet Basil Flavor 50g,lay's,1.99,No,13,Mainland China,4.4,Yami,Rice Cracker,400+ Sold
79,MY POTE Potato Chips Onion Soup 60g,calbee,1.49,No,40,Japan,4.2,Yami,Rice Cracker,200+ Sold
80,JagaRico Potato Stick Sukiyaki Flavor 52g,calbee,2.09,4 Options,47,Japan,4.9,Yami,Rice Cracker,100+ Sold
81,Potato Chips BBQ Flavor 47g,lay's,1.99,No,4,Mainland China,4.2,Yami,Rice Cracker,400+ Sold
82,GGE Soy Sauce Ramen Wheat Cracker 80g,weilih,1.89,9 Options,135,Taiwan,4.7,Yami,Rice Cracker,400+ Sold
83,Stax Original Flavor 90g,lay's,3.29,No,0,Mainland China,0.0,Yami,Rice Cracker,400+ Sold
84,Mimi Crab Flavored Chips 10 Packs 180g,aishang,2.49,4 Options,132,Mainland China,4.6,Yami,Rice Cracker,1K+ Sold
85,Potato Chips Tomato Flavor 90g,lay's,3.79,No,0,Mainland China,0.0,Yami,Rice Cracker,400+ Sold
86,MY POTE Potato Chips Himalayan Pink Salt 60g,calbee,1.49,No,42,Japan,4.4,Yami,Rice Cracker,100+ Sold
87,Shrimp Chips Sriracha Mayo 94g,calbee,2.29,No,1,Japan,5.0,Yami,Rice Cracker,400+ Sold
88,MY POTE White Truffle Potato Chips 60g,calbee,1.99,No,0,Japan,0.0,Yami,Rice Cracker,400+ Sold
89,【Editor's Pick】Hot Snacks,calbee,20.99,No,0,Japan,0.0,Yami,Rice Cracker,Less than 50
90,Turtle Chip Choco Churos Flavor 160g,orion,4.39,No,4,Korea,4.8,Yami,Rice Cracker,400+ Sold
91,Umaibo Corn Cracker Cheese Flavor 30 Pieces English Version,riska,6.69,No,17,Japan,4.9,Yami,Rice Cracker,400+ Sold
92,Japanese Shrimp Cracker 2.92oz,kameda,3.49,No,1,Japan,5.0,Yami,Rice Cracker,400+ Sold
93,Potato Chips  Tomato Flavor 122g,v-loong,2.99,No,0,Mainland China,0.0,Yami,Rice Cracker,400+ Sold
94,LESLIE'S Banana Thins Honey Dipped 100g,leslie's,1.99,No,1,Philippine,5.0,Yami,Rice Cracker,400+ Sold
95,Orion Turtle Chips Flamin Lime,orion,4.89,No,0,Korea,0.0,Yami,Rice Cracker,400+ Sold
96,Potato Chips  Tomato Flavor 122g,v-loong,2.99,No,0,Mainland China,0.0,Yami,Rice Cracker,400+ Sold
97,Japanese Shrimp Cracker 2.92oz,kameda,3.49,No,1,Japan,5.0,Yami,Rice Cracker,400+ Sold
98,【Editor's Pick】Asian Salsa & Chips,other brands,6.99,No,0,Unclear,0.0,Yami,Rice Cracker,400+ Sold
99,Stax Cucumber Flavor 104g,lay's,3.29,10 Options,244,Mainland China,4.7,Yami,Rice Cracker,400+ Sold
100,Egg Great Original Flavor 180g,zsxx,3.49,No,0,Mainland China,0.0,Yami,Rice Cracker,400+ Sold
101,GGE Wheat Cracker Original Ramen Flavor 80g,weilih,1.89,9 Options,84,Taiwan,4.4,Yami,Rice Cracker,400+ Sold
102,Rick Cracker-Yuzu Flavor 80g,jayone,2.49,No,0,Korea,0.0,Yami,Rice Cracker,400+ Sold
103,Clover Chips BBQ Flavor 145g,leslie's,2.29,No,0,Philippine,0.0,Yami,Rice Cracker,400+ Sold
104,Conch Shape Snack 300g,mirae bakery,3.99,No,0,Korea,0.0,Yami,Rice Cracker,400+ Sold
105,Clover Chips Cheese Flavor 145g,leslie's,1.99,No,1,Philippine,5.0,Yami,Rice Cracker,400+ Sold
106,Salted Egg Yolk Fish Skin Crisps 105g,golden duck,7.99,No,0,Singapore,0.0,Yami,Rice Cracker,400+ Sold
107,Potato Chips Crispy Grilled Fish Flavor 70g,lay's,2.49,No,0,Mainland China,0.0,Yami,Rice Cracker,400+ Sold
108,Chocolate  Brownie Crispy 90g,bruno,2.99,No,0,Japan,0.0,Yami,Rice Cracker,400+ Sold
109,Korean Snack Puffed Star Snack Macaroni 297g,assi brand,8.19,No,0,Korea,0.0,Yami,Rice Cracker,Less than 50
110,Puffed Grain Snack-Round-Small 100g,jayone,3.69,No,0,Korea,0.0,Yami,Rice Cracker,400+ Sold
111,Sweet Potato Crispy Crunch-Plum Flavor 150g,yingbo,7.69,No,0,Taiwan,0.0,Yami,Rice Cracker,400+ Sold
112,BBQ Potato Straw Chips Tomato Flavor 80g,kaka,4.69,No,0,Taiwan,0.0,Yami,Rice Cracker,400+ Sold
113,Jaga Chocolate Potato Chips 40g,bourbon,2.49,No,17,Japan,4.6,Yami,Rice Cracker,200+ Sold
114,Koala Chocolate Cream Filling Biscuit 41g,lotte japan,1.19,2 Options,142,Japan,4.8,Yami,Rice Cracker,400+ Sold
115,Oishi Seaweed Flavor Cracker 80g,oishi,3.99,No,0,Mainland China,0.0,Yami,Rice Cracker,400+ Sold
116,Shrimp Snack Cheese Flavor,marco polo,1.59,No,0,Indonesia,0.0,Yami,Rice Cracker,400+ Sold
117,Orio Turtle Chips--Sweet Corn Flavor 560g,orion,18.99,No,0,Korea,0.0,Yami,Rice Cracker,400+ Sold
118,Korean Oranda Snack 300g,other brands,3.99,No,0,Unclear,0.0,Yami,Rice Cracker,400+ Sold
119,Sapporo Corn Senbei Grilled 6pcs,yoshimi,14.99,No,6,Japan,4.8,Yami,Rice Cracker,400+ Sold
120,Shrimp Snack Original Flavor 70g,marco polo,1.59,No,0,Indonesia,0.0,Yami,Rice Cracker,400+ Sold
121,Karamucho Hot Chili Potato Sticks 40g,koikeya,1.89,No,86,Japan,4.6,Yami,Rice Cracker,400+ Sold
122,Potato Chips Fleur De Sel Flavor 100g TW,huayuan,3.99,No,0,Taiwan,0.0,Yami,Rice Cracker,400+ Sold
123,Bino 4 Strip Tasty Salt,tohato,2.39,No,0,Japan,0.0,Yami,Rice Cracker,400+ Sold
124,Potato Chips TW Popcorn Chicken Flavor 100g,huayuan,3.99,No,0,Taiwan,0.0,Yami,Rice Cracker,400+ Sold
125,Potato Chips BBQ Flavor 122g,v-loong,2.99,No,0,Mainland China,0.0,Yami,Rice Cracker,400+ Sold
126,Puffed Corn 14.1oz,arirang,8.69,No,0,Korea,0.0,Yami,Rice Cracker,200+ Sold
127,Egg Great With Add Calcium 180g,zsxx,3.49,No,1,Mainland China,5.0,Yami,Rice Cracker,400+ Sold
128,Japanese Pride Potato Vege Flavor 63g,koikeya,3.29,7 Options,1,Japan,5.0,Yami,Rice Cracker,400+ Sold
129,Fried Paste 150g,other brands,3.69,No,0,Unclear,0.0,Yami,Rice Cracker,400+ Sold
130,Spicy Seaweed Chips 57g,koikeya,1.99,No,55,Japan,4.8,Yami,Rice Cracker,400+ Sold
131,Ya Potato Spicy Crayfish Flavor 70g,orion,3.29,No,0,Korea,0.0,Yami,Rice Cracker,400+ Sold
132,Potato Chips Sauerkraut Flavor 28g,lay's,2.49,No,22,Mainland China,4.5,Yami,Rice Cracker,400+ Sold
133,Potato Chips BBQ Flavor 100g,zidi potato,2.99,4 Options,14,Mainland China,4.8,Yami,Rice Cracker,400+ Sold
134,JAGABEE KETCHUP 3P 90g,calbee,3.69,No,8,Japan,4.1,Yami,Rice Cracker,400+ Sold
135,Peanut Butter Brownie Crispy 90g,bruno,2.99,No,0,Japan,0.0,Yami,Rice Cracker,400+ Sold
136,Sweet Potato Crispy Crunch-Original Flavor 150g,yingbo,7.69,No,0,Taiwan,0.0,Yami,Rice Cracker,400+ Sold
137,Mocha Brownie Crispy 90g,bruno,2.99,No,0,Japan,0.0,Yami,Rice Cracker,400+ Sold
138,Potato Chips Black Pepper & Chili Flavor 100g,huayuan,3.99,No,0,Taiwan,0.0,Yami,Rice Cracker,400+ Sold
139,Sweet Potato Crispy Crunch-Pepper Flavor 150g,yingbo,7.69,No,0,Taiwan,0.0,Yami,Rice Cracker,400+ Sold
140,Vegetable Chips Barbecue 142g,pulp pantry,5.69,No,0,United States,0.0,Yami,Rice Cracker,400+ Sold
141,Sweet Potatoes Purple Chips Ube 2.5oz,other brands,2.69,No,0,Unclear,0.0,Yami,Rice Cracker,400+ Sold
142,Seaweed&Salt Potato Chips,calbee,2.19,No,48,Japan,4.7,Yami,Rice Cracker,100+ Sold
143,Potato Chips Lemon Flavor 42g,lay's,1.99,No,1,Mainland China,5.0,Yami,Rice Cracker,400+ Sold
144,H.Y. JENYOWE CUTTLEFISH CRACKER-SP,huayuan,1.69,No,0,Taiwan,0.0,Yami,Rice Cracker,400+ Sold
145,Jagabee Lightly Salted 3p 3.18oz,calbee,3.89,No,2,Japan,5.0,Yami,Rice Cracker,400+ Sold
146,Sesame Cracker Sticks 70g,paldo,1.49,No,20,Korea,4.5,Yami,Rice Cracker,400+ Sold
147,Baked Taro Chips Original Flavor 62g,cadina,3.69,No,35,Taiwan,4.7,Yami,Rice Cracker,200+ Sold
148,QinQin-Crawfish Crakers (Thai Curry) 80g,chinchin,1.69,6 Options,4,Taiwan,4.8,Yami,Rice Cracker,Less than 50
149,Koikoya Potato Chips Hot Chili Seaweed Flavor,koikeya,5.29,No,3,Japan,5.0,Yami,Rice Cracker,400+ Sold
150,Crispy Ramen Snack Yakisoba Flavor 74g,babystar,1.69,No,6,Japan,4.5,Yami,Rice Cracker,200+ Sold
151,Salted Egg Salmon Skin 230g,irvins,17.99,2 Options,4,Singapore,5.0,Yami,Rice Cracker,400+ Sold
152,Kettle Chips Black Pepper Flavor 150g,calbee,4.69,No,5,Japan,5.0,Yami,Rice Cracker,400+ Sold
153,Salted Egg Yolk Potato Ridges 105g,golden duck,7.99,No,1,Singapore,5.0,Yami,Rice Cracker,400+ Sold
154,Barley Snack 150g,haitai,2.29,No,5,Korea,4.8,Yami,Rice Cracker,400+ Sold
155,Corn Roll-Japanese Style Grilled Seaweed  100g,pei tien,2.39,No,6,Taiwan,4.7,Yami,Rice Cracker,400+ Sold
156,Crab Chips 50g,paldo,1.29,No,50,Korea,4.6,Yami,Rice Cracker,400+ Sold
157,Potato Chips Spicy Hot Chili 54g,koikeya,2.49,No,60,Japan,4.5,Yami,Rice Cracker,400+ Sold
158,Shrimp Chips Fresh Wasabi Flavor 56.6g,other brands,2.29,No,8,Unclear,4.5,Yami,Rice Cracker,400+ Sold
159,Imo Karinto 140g,sakakin,3.49,No,1,Japan,3.0,Yami,Rice Cracker,400+ Sold
160,Sweet Corn Chips South American BBQ Style 90g,oishi,2.79,No,62,Mainland China,4.7,Yami,Rice Cracker,400+ Sold
161,Koikeya Polinky Corn Soup Flavor 45g,koikeya,1.99,No,9,Japan,4.8,Yami,Rice Cracker,400+ Sold
162,Leisure Sweet Purple Yam Chips 100g  (New Packaging 100g),shibuya,3.89,No,51,Japan,3.8,Yami,Rice Cracker,400+ Sold
163,LAYS NPC MP(ORI+CC+LIME 2021Q3)70G*3,lay's,10.99,No,5,Mainland China,5.0,Yami,Rice Cracker,400+ Sold
164,Salted Egg Salmon Skin 105g,irvins,9.99,2 Options,6,Singapore,4.7,Yami,Rice Cracker,400+ Sold
165,Taro Chips Original 170g,terra chips,6.89,No,1,United States,5.0,Yami,Rice Cracker,400+ Sold
166,GUAI GUAI Corn Cracker Creamy Coconut Flavor 52g,kwan,1.49,3 Options,37,Taiwan,4.7,Yami,Rice Cracker,400+ Sold
167,Kettle Chips Light Salt Flavor 150g,calbee,4.69,No,4,Japan,4.2,Yami,Rice Cracker,400+ Sold
168,Csssava Chips Seaweed Flavor 200g,kusuka,2.69,No,5,Indonesia,4.6,Yami,Rice Cracker,400+ Sold
169,Potato Chips Seaweed Flavor 100g,zidi potato,2.99,4 Options,9,Mainland China,4.9,Yami,Rice Cracker,400+ Sold
170,Exotic Vegetable Chips Original 141g,terra chips,6.49,No,1,United States,4.0,Yami,Rice Cracker,400+ Sold
171,Popcorn Chips White Cheddar 198g,popcorners,4.29,2 Options,1,United States,5.0,Yami,Rice Cracker,400+ Sold
172,Baked Shrimp Flavored Chips 113g,calbee,1.79,5 Options,68,Japan,4.7,Yami,Rice Cracker,400+ Sold
173,Stevia Sweetened Chocolate Covered Poprorn Dark Chocolate Caramel Popcorn,lilys,7.99,No,0,United States,0.0,Yami,Rice Cracker,400+ Sold
174,KARAMUCHO HOT CHILI PARTY BAG 175g,koikeya,5.49,No,2,Japan,5.0,Yami,Rice Cracker,400+ Sold
175,Pita Chips Fire Roasted Jalapeno 207g,stacy`s,3.59,6 Options,3,United States,5.0,Yami,Rice Cracker,400+ Sold
176,Potato French Fries BBQ Steak Flavor 70g,orion,2.59,10 Options,5,Korea,5.0,Yami,Rice Cracker,400+ Sold
177,Sweet Potatoes Orange Chips Yam 2.5oz,other brands,2.49,No,1,Unclear,5.0,Yami,Rice Cracker,400+ Sold
178,Mixed Roots Chips Coriander Sea Salt 80g,jans,2.99,No,20,United States,4.3,Yami,Rice Cracker,400+ Sold
179,BBQ Potato Chips Salted Egg Yolk 120g,kakasha,6.99,No,0,Japan,0.0,Yami,Rice Cracker,400+ Sold
180,Salt Seaweed Potato Sticks 40g,koikeya,1.69,No,8,Japan,4.4,Yami,Rice Cracker,400+ Sold
181,"CORN CHO Hazelnut Choco Flavor, 2.33 Oz",crown,2.39,2 Options,63,Korea,4.6,Yami,Rice Cracker,400+ Sold
182,Potato Chips Tomato Ketchup Flavor 90g,oishi,2.49,No,52,Mainland China,4.6,Yami,Rice Cracker,400+ Sold
183,Red Lentil Snack Crisps Tomato Basil Flavor 85g,harvest snaps,2.49,No,1,United States,3.0,Yami,Rice Cracker,400+ Sold
184,BBQ Flavor 108g,angel potato chips,2.99,9 Options,1,Mainland China,3.0,Yami,Rice Cracker,300+ Sold
185,Cassava Blackpepper 200g,kusuka,2.39,3 Options,1,Indonesia,4.0,Yami,Rice Cracker,400+ Sold
186,Chips Soy Sauce Flavor 115G,ybc,2.15,No,2,Japan,4.0,Yami,Rice Cracker,400+ Sold
187,Mixed Roots Chips Salt & Vinegar 80g,jans,2.29,No,15,United States,4.3,Yami,Rice Cracker,400+ Sold
188,Potato French Fries BBQ Chicken Flavor 70g,orion,2.59,10 Options,3,Korea,5.0,Yami,Rice Cracker,400+ Sold
189,Energy 99 Egg Roll 180g -Pumpkin Flavor,pei tien,2.29,4 Options,32,Taiwan,4.3,Yami,Rice Cracker,400+ Sold
190,Csssava Chips Spicy Flavor 200g,kusuka,2.69,3 Options,6,Indonesia,4.3,Yami,Rice Cracker,400+ Sold
191,Ramen Snack Tonkatsu Flavor 70g,babystar,2.09,No,4,Japan,4.5,Yami,Rice Cracker,200+ Sold
192,Corn Chip Snack 148g,crown,2.69,No,2,Korea,5.0,Yami,Rice Cracker,400+ Sold
193,Potato Chips(Honey Butter Flavor ) 50g,oishi,2.89,8 Options,49,Mainland China,4.9,Yami,Rice Cracker,400+ Sold
194,Energy 99 Egg Roll Creamy Corn Flavor 100g,pei tien,2.29,4 Options,25,Taiwan,4.3,Yami,Rice Cracker,400+ Sold
195,Pita Crisps Garlic & Herb 191g,stacy`s,3.59,6 Options,3,United States,5.0,Yami,Rice Cracker,400+ Sold
196,Red Lentil Snack Crisps Sour Cream Onion 71g,harvest snaps,2.99,No,0,United States,0.0,Yami,Rice Cracker,400+ Sold
197,Potato Strips BBQ Flavor 75g,koikeya,2.29,3 Options,3,Japan,4.7,Yami,Rice Cracker,400+ Sold
198,Spicy Salted Egg Cassava Chips 105g,irvins,8.99,2 Options,1,Singapore,5.0,Yami,Rice Cracker,400+ Sold
199,Chips Black Oyster Mushroom,shirakiku,4.29,No,27,Japan,4.5,Yami,Rice Cracker,400+ Sold
200,Wide Ramen Chicken Big Pack 185g,babystar,4.79,No,4,Japan,4.8,Yami,Rice Cracker,Less than 50
201,Potato Chips Roasted Chicken Wing Flavor 70g,lay's,2.29,10 Options,244,Mainland China,4.8,Yami,Rice Cracker,400+ Sold
202,Pita Chips Multigrain 207g,stacy`s,3.59,6 Options,2,United States,5.0,Yami,Rice Cracker,400+ Sold
203,Popcorn Chips Kettle 198g,popcorners,4.69,2 Options,2,United States,5.0,Yami,Rice Cracker,400+ Sold
204,Snack Sesame&Honey 294g,crown,2.69,No,16,Korea,4.2,Yami,Rice Cracker,200+ Sold
205,Spicy Salted Egg Potato Chips 105g,irvins,8.99,No,4,Singapore,4.8,Yami,Rice Cracker,400+ Sold
206,JAGABEE Potato Cut French Fries Crisp Lightly Salted 113.4g,calbee,3.39,No,32,Japan,4.6,Yami,Rice Cracker,200+ Sold
207,Sweet Potato Chips Plum Flavor 240g,mama wu,9.89,2 Options,7,Taiwan,4.9,Yami,Rice Cracker,400+ Sold
208,Yopokki Shaped Snack Cheese Flavor 50g,youngpoong,1.69,3 Options,12,Korea,4.8,Yami,Rice Cracker,400+ Sold
209,Potato Chips Kyushu Seaweed Flavor 43g,lay's,1.99,7 Options,8,Mainland China,4.8,Yami,Rice Cracker,400+ Sold
210,JagaRico Potato Stick Umami Seaweed Flavor 52g,calbee,2.09,4 Options,140,Japan,4.7,Yami,Rice Cracker,400+ Sold
211,Shrimp Sticks 20g * 40 Bags,mimi,6.99,2 Options,210,Mainland China,4.8,Yami,Rice Cracker,400+ Sold
212,Yam Chips Tomato Flavor 80g,lay's,2.39,3 Options,189,Mainland China,4.9,Yami,Rice Cracker,400+ Sold
213,Plantain Tortilla Chips Himalayan Pink Salt 113g,barnana,4.59,No,0,United States,0.0,Yami,Rice Cracker,300+ Sold
