Product_Name,Reviews,Price,Option,Origin,Rate,Platform,Category
Pair Hart Sister Juice 370ML Human Lubricant Lubricant Sex Toys Famous House,0,69.9,No,Japan,0,Yami,Juice
Pi Girl Juice Pi Girl Sister Lubricant Lubricant,0,26.9,2 Options,United States,0,Yami,Juice
Anime famous lubricating liquid girl juice water-soluble moisturizing body masturbation lubricant couple red bottle,0,23,2 Options,Japan,0,Yami,Juice
Virgin juice water-soluble human lubricant private parts sex lubricant thick silky sister juice,0,26.5,No,Mainland China,0,Yami,Juice
Meng juice human body lubricating oil famous device men's orgasm agent refreshing disposable [230ML] pack,0,30.8,2 Options,Mainland China,0,Yami,Juice
Sister Juice 370ML Human Body Lubricant Lubricant Oil Sex Toys,0,51.9,No,Japan,0,Yami,Juice
New barley green juice powder dietary fiber meal replacement powder 75g,0,28.8,No,Mainland China,0,Yami,Juice
Virgin juice water-soluble human lubricant private parts sex lubricating oil refreshing disposable sister juice,0,23.5,No,Mainland China,0,Yami,Juice
Pulp Juice Chewable Gummy Plum Flavor 56g,0,2.99,No,Japan,0,Yami,Juice
Pi Girl Juice Pi Girl Sister Lubricant Lubricant,0,26.9,2 Options,United States,0,Yami,Juice
Anime famous lubricating liquid girl juice water-soluble moisturizing body masturbation lubricant couple blue bottle,0,23,2 Options,Japan,0,Yami,Juice
Cute juice human body lubricating male orgasm agent for couples' intercourse powder bottle [viscous version] 230ML,0,30.8,2 Options,Mainland China,0,Yami,Juice
Black Fungus Juice 300g(Limited to 5 bottles),2,4.74,No,Taiwan,5,Yami,Juice
Canned 100% Pineapple Juice 350ml  (Limited to 5 cans),0,3.79,No,Taiwan,0,Yami,Juice
Household small electric multi-function mixer mini minced meat juice QSJ-P01A1 brown,0,59.9,No,Mainland China,0,Yami,Juice
Fruit Juice Pudding Litchi 100g*4pcs,3,9.49,No,Taiwan,4.7,Yami,Juice
Glass Cup Tea Coffee Mug Ice Cup Heat Resistant Insulated Glass Cup Creative Juice 520ml Green,0,38,5 Options,Mainland China,0,Yami,Juice
USB wireless charging juicer juice machine electric mini slag juice separation fruit small juice machine blue version,0,103,2 Options,Mainland China,0,Yami,Juice
Fruit Juice Pudding Strawberry 100g*4pcs(Shelf life:2022/5/12),0,5.99,No,Taiwan,0,Yami,Juice
Rechargeable Portable Blender Mixer Juicer Juice Citrus Lemon Vegetable Fruit Smoothie Squeezers Blue 1 pc,0,59.23,2 Options,Mainland China,0,Yami,Juice
NITTO White Peach Fruit Juice Tea 240g,0,6.68,No,Japan,0,Yami,Juice
Lulu Cup Real Juice Meng Liquid Aircraft Cup Famous Lubricant 210ml Lubricant A27 Hot,0,24,3 Options,Mainland China,0,Yami,Juice
Anime famous 20pro male inverted model real vagina masturbation jet cup juice sister type,1,64.9,3 Options,Mainland China,5,Yami,Juice
Household small mini portable multifunctional juice machine LLJ-P03H1 blue,0,45.4,2 Options,Mainland China,0,Yami,Juice
JAPAN Vegetable Juice 125ml,1,2.8,2 Options,Japan,5,Yami,Juice
Rechargeable Blender Mixer Portable Mini Juice Machine Smoothie Maker Household Juice Extractor White 1 pc,0,69.93,3 Options,Mainland China,0,Yami,Juice
Lipice Fruity Lip Balm With Real Fruit Juice Lemon 3.5g,0,7.99,No,United States,0,Yami,Juice
Lu Lu Cup Real Juice Meng Liquid Aircraft Cup Famous Lubricant 210 ml Lubricant A19 Grinding Stick,0,21.6,3 Options,Mainland China,0,Yami,Juice
Bubble Juicer Cup Wireless Portable Juice Cup,0,112,5 Options,Mainland China,0,Yami,Juice
Household small wireless electric mini cooking fruit juice cup cherry blossom pink,0,79.4,2 Options,Mainland China,0,Yami,Juice
Fruit Juice Pudding Mango100g*4 pcs,0,9.49,No,Taiwan,0,Yami,Juice
Bubble Juicer Cup Wireless Portable Juice Cup Lilac Purple,0,112,5 Options,Mainland China,0,Yami,Juice
COCOALAND LOT100 Yogurt Gummy Fruits Juice Flavor 60g,0,5.59,3 Options,Malaysia,0,Yami,Juice
ISDG Barley Green Leaf Juice 50bags,0,48.68,No,Japan,0,Yami,Juice
Korean Red Onion Extract Juice 100% Natural No Sugar or Water Added 100ml x 10 pouches,0,27.95,No,Korea,0,Yami,Juice
Household small wireless electric mini cooking fruit juice cup avocado green,0,79.4,2 Options,Mainland China,0,Yami,Juice
Green Juice Smoothie Mixed Fruit and Vegetable Flavour Dietary Fiber,0,67.34,No,Japan,0,Yami,Juice
White Fungus Juice 235g(Limited to 5 bottles),1,7.59,No,Taiwan,5,Yami,Juice
Real Juice Meng Liquid Airplane Cup Famous Lubricant Heat Sensitive 210ml Lubricant A27 Hot,2,24,3 Options,Mainland China,5,Yami,Juice
Rechargeable Blender Mixer Portable Mini Juice Machine Smoothie Maker Household Juice Extractor Blue 1 pc,0,69.93,3 Options,Mainland China,0,Yami,Juice
JAPAN Vegetable Juice  125ml,1,2.8,2 Options,Japan,5,Yami,Juice
Glass Cup Tea Coffee Mug Ice Cup Heat Resistant Insulated Glass Cup Creative Juice 520ml Deep Pink,0,38,5 Options,Mainland China,0,Yami,Juice
USB wireless charging juicer juice machine electric mini slag juice separation fruit small juice machine white model,0,103,2 Options,Mainland China,0,Yami,Juice
Glass Cup Tea Coffee Mug Ice Cup Heat Resistant Insulated Glass Cup Creative Juice 520ml Yellow,0,38,5 Options,Mainland China,0,Yami,Juice
COCOALAND LOT100 Yogurt Gummy With mango Juice 60g,0,5.59,3 Options,Malaysia,0,Yami,Juice
This gas juice foam mousse lubricating fluid appliance lubricating lubricant 200ml,1,69.9,No,Mainland China,5,Yami,Juice
Girl juice dark blue super COOL lubricant liquid water-soluble flirting adult products,0,34.7,No,Japan,0,Yami,Juice
Water-soluble human lubricant private parts lubricating oil refreshing disposable sister juice hot skin-friendly,0,22.9,No,Mainland China,0,Yami,Juice
Lulu Cup Real Juice Cute Liquid Aircraft Cup Famous Lubricant 210ml Lubricant A23 Slimy,0,19.6,3 Options,Mainland China,0,Yami,Juice
Rechargeable Portable Blender Mixer Juicer Juice Citrus Lemon Vegetable Fruit Smoothie Squeezers Pink 1 pc,0,59.23,2 Options,Mainland China,0,Yami,Juice
Heart-shaped Fruit Juice Collagen Jelly White Peach Flavor 54g,0,2.9,No,Japan,0,Yami,Juice
KOREA EROM Pear & Balloon Flower Root Juice 30pouches,0,95,No,Korea,0,Yami,Juice
COCOALAND LOT100 Yogurt Gummy With Grape Juice 60g,0,5.59,3 Options,Malaysia,0,Yami,Juice
Bubble Juicer Cup Wireless Portable Juice Cup Light Luxury Blue,0,112,5 Options,Mainland China,0,Yami,Juice
Rechargeable Blender Mixer Portable Mini Juice Machine Smoothie Maker Household Juice Extractor Pink 1 pc,3,69.93,3 Options,Mainland China,4.3,Yami,Juice
Glass Cup Tea Coffee Mug Ice Cup Heat Resistant Insulated Glass Cup Creative Juice 520ml Pink,0,38,5 Options,Mainland China,0,Yami,Juice
Household fruit small portable multi-function fried juice cup blue type,0,79,No,Mainland China,0,Yami,Juice
Real juice cute liquid airplane cup famous device lubricating oil scrub brushed 210 ml lubricating fluid A19 grinding stick,0,21.6,3 Options,Mainland China,0,Yami,Juice
Lipice Fruity Lip Balm With Real Fruit Juice Apple 3.5g,0,7.99,No,United States,0,Yami,Juice
Bubble Juicer Cup Wireless Portable Juice Cup Coconut Milk White,0,112,5 Options,Mainland China,0,Yami,Juice
Floral sister juice fun lubricating oil husband and wife room fun rose flower fragrance,0,30.8,3 Options,Japan,0,Yami,Juice
Floral sister juice fun lubricating oil husband and wife room fun colorless original style,0,28.4,3 Options,Japan,0,Yami,Juice
Floral girl juice fun lubricating oil for couples room fun cool mint,0,30.8,3 Options,Japan,0,Yami,Juice
VITA Lemon Tea 250ml,745,0.89,5 Options,Hong Kong,4.8,Yami,Juice
"Peach Sparkling Water, 16.2 fl oz",1072,2.29,9 Options,Mainland China,4.8,Yami,Juice
Herbal Drink 10.9 fl oz,189,1.09,2 Options,Mainland China,4.8,Yami,Juice
"Jasmine Green Tea with Honey, 500ml",399,1.49,11 Options,Mainland China,4.9,Yami,Juice
"Lemon Iced Tea, 500ml",861,1.49,11 Options,Mainland China,4.9,Yami,Juice
KVASS Bread Fermented Beverage 330ml,325,1.49,No,Mainland China,4.7,Yami,Juice
VITA HK Style Milk Tea 250ml,682,1.04,2 Options,Hong Kong,4.6,Yami,Juice
White Strawberry &coconut Flavor Soda Sparkling Water Can 330ml,77,1.49,7 Options,Mainland China,4.5,Yami,Juice
"Osmanthus Plum Drink, 300ml",748,2.29,No,Mainland China,4.8,Yami,Juice
Sparkling Water(Pineapple&Sea Salt) 480ml,23,2.29,9 Options,Mainland China,4.6,Yami,Juice
"Low Sugar Green Tea Honey Jasmine Flavor, 500ml",197,1.49,11 Options,Mainland China,4.8,Yami,Juice
"Herbal Beverage, 10.9 fl oz,  Pack of 6",384,5.99,2 Options,Mainland China,4.9,Yami,Juice
Yogurt Flavor  Sparkling Water 480ml,88,1.99,No,Mainland China,4.9,Yami,Juice
"Low Sugar Jasmine Green Tea, 500ml",324,1.49,11 Options,Mainland China,4.9,Yami,Juice
"Peach Oolong Tea, 16.9 fl oz",438,2.29,4 Options,Mainland China,4.8,Yami,Juice
"Crystal Sugar Pear Drink, 500ml",258,1.49,11 Options,Mainland China,4.7,Yami,Juice
Genki Forest Sparkling Water Lime and Cactus Flavor 480ml,7,2.29,No,Mainland China,4.4,Yami,Juice
VITA Chrysanthemum Tea 250ml,136,0.79,4 Options,Hong Kong,4.7,Yami,Juice
Guang Pineapple Drink 330ml,7,1.79,2 Options,Mainland China,5,Yami,Juice
"Sour Plum Drink, 500ml",376,1.49,11 Options,Mainland China,4.6,Yami,Juice
Black Grape Soda Sparkling Water 480ml,60,2.29,9 Options,Mainland China,4.7,Yami,Juice
"Honey Citron Drink, 500ml",270,1.49,11 Options,Mainland China,4.7,Yami,Juice
Corn Silk Tea 480ml,3,2.49,No,Mainland China,5,Yami,Juice
Genki Sparkling Water Lychee Flavor Cans 330ml,89,1.49,7 Options,Mainland China,4.8,Yami,Juice
"Plum Sparkling Water, 16.2 fl oz",266,2.29,9 Options,Mainland China,4.7,Yami,Juice
ICE PEAK Orange Soda 330ml,143,1.39,2 Options,Mainland China,4.7,Yami,Juice
Sugar Free Oolong Tea 500ml,220,2.29,4 Options,Mainland China,4.6,Yami,Juice
Peach Red Pomelo Tea 400ml,192,1.99,5 Options,Mainland China,4.5,Yami,Juice
HBL Lychee Drink 330ml,68,1.29,No,Mainland China,4.5,Yami,Juice
Red Bean Purple Rice Coix Seed Drink 15g*30,272,14.29,2 Options,United States,4.9,Yami,Juice
VITA Less Sugar Chrysanthemum Tea 250ml,156,0.79,4 Options,Hong Kong,4.8,Yami,Juice
MizNe Vitamin Drink Peach Flavor 600ml,48,1.99,6 Options,Mainland China,4.9,Yami,Juice
"Citrus Sparkling Water, 16.2 fl oz",353,2.29,9 Options,Mainland China,4.8,Yami,Juice
Sparkling Peach Soda 300ml,2,2.79,No,Mainland China,5,Yami,Juice
Lychee Naturally  Artificially Flavored Non Carbonated Soft Drink 1.5L,6,3.29,No,Japan,5,Yami,Juice
Guang's Pineapple Drink 330ml*6,21,9.99,2 Options,Mainland China,4.9,Yami,Juice
"Orange Soda, 11.16 fl oz",203,1.59,3 Options,Mainland China,4.8,Yami,Juice
Iced Lemon Black Tea 500ml,35,1.39,No,Taiwan,4.6,Yami,Juice
VITA Ceylon Lemon Tea 250ml,257,0.79,5 Options,Hong Kong,4.9,Yami,Juice
Genki Sparkling Water Yogurt Flavor 330ml,26,1.49,7 Options,Mainland China,4.8,Yami,Juice
Pocari Sweat Soft Drink 500ml,1,3.29,No,Korea,5,Yami,Juice
Alien Electrolyte Water Grapefruit 500ml,30,2.29,No,Mainland China,4.9,Yami,Juice
Ramune Soda Original 400ml,0,2.69,No,Japan,0,Yami,Juice
Nectar Shine Muscat Soda 410ml,3,2.49,No,Japan,4.7,Yami,Juice
Grass Jelly Drink Original 310ml,31,0.99,4 Options,Taiwan,4.4,Yami,Juice
Sparkling Water Peach Flavor 500ml,2,2.99,No,Mainland China,5,Yami,Juice
Sencha Green Tea 460ml,3,1.6,No,Mainland China,4.7,Yami,Juice
Bubble Milk Tea Drink Taro Flavor 350g,7,1.29,No,Taiwan,4.7,Yami,Juice
Chocolate Milk 215ml*6,1,12.99,No,Taiwan,5,Yami,Juice
VITA Honey Chrysanthemum Tea 250ml,77,0.79,4 Options,Hong Kong,4.8,Yami,Juice
MizNe Vitamin Drink Lime Flavor 600ml,34,1.99,6 Options,Mainland China,4.9,Yami,Juice
Earl Grey Milk Tea 300ml,0,8.99,No,Taiwan,0,Yami,Juice
Rock Sugar Lime Drink 500ml,2,1.49,No,Mainland China,5,Yami,Juice
Zero Degree Lemon Green Tea 455ml,3,1.29,No,Vietnam,4.3,Yami,Juice
Lemon Tea 250ml*6,5,4.99,No,Mainland China,5,Yami,Juice
Salty Lemon Isotonic Drink 455ml,1,1.29,No,Vietnam,5,Yami,Juice
Dry Zero Soft Drink 350ml,13,3.59,No,Japan,4.8,Yami,Juice
Milkis Peach Flavor 250ml,141,1.09,6 Options,Korea,4.8,Yami,Juice
Grapefruit Jasmine Tea 500ml,149,1.99,5 Options,Mainland China,4.8,Yami,Juice
Apricot Drink 300ml,10,2.99,4 Options,Mainland China,4.1,Yami,Juice
Bubble Milk Tea Drink Thai Tea Flavor,8,1.29,No,Taiwan,4.9,Yami,Juice
Peach Oolong Tea 500 ml,176,1.99,5 Options,Mainland China,4.8,Yami,Juice
SNOW Rose and Lychee Flavor Soda  500ml,0,2.99,No,Mainland China,0,Yami,Juice
Unsweetened Jasmine Green Tea 500ml,48,1.99,8 Options,Japan,4.8,Yami,Juice
VITA Winter Honey & Lime Tea 250ml,174,0.79,2 Options,Hong Kong,4.6,Yami,Juice
WATSONS Collagen Water Lychee Flavor  400ml,1,3.49,No,Hong Kong,5,Yami,Juice
Okinawa Salted Lychee Drink 500ml,122,2.49,No,Japan,4.6,Yami,Juice
【Dragon Ball Collaboration】OCEAN BOMB White Grape Flavor Soda 330ml,0,2.59,No,Mainland China,0,Yami,Juice
Big Apple Soda Drink 330ml,1,1.99,No,Taiwan,4,Yami,Juice
Thai Lime Tea 400ml,102,2.49,5 Options,Mainland China,4.5,Yami,Juice
【Dragon Ball Collaboration】OCEAN BOMB Orange Flavor Soda 330ml,0,2.59,No,Mainland China,0,Yami,Juice
【Dragon Ball Collaboration】OCEAN BOMB Apple Flavor Soda 330ml,0,2.59,No,Mainland China,0,Yami,Juice
【Dragon Ball Collaboration】OCEAN BOMB Vanilla Flavor Soda 330ml,0,2.59,No,Mainland China,0,Yami,Juice
Dry Zero Free Soft Drink 11.83floz,1,3.49,No,Japan,5,Yami,Juice
Sparkling Water Peach Flavor 500ml,128,2.49,2 Options,Mainland China,4.9,Yami,Juice
Rice Punch 2L,0,4.89,No,Korea,0,Yami,Juice
Fruit Tea Red Pomegranate White Grapes 400ml,0,2.49,No,Mainland China,0,Yami,Juice
Aloe Drink Pineapple 500ml,0,1.89,No,Korea,0,Yami,Juice
Mitsuya Frozen Pouch 155g,1,2.69,No,Japan,5,Yami,Juice
Refreshing Water 2% Peach 240ml,90,1.09,No,Korea,4.3,Yami,Juice
Gogo No Kocha Milk Tea 500ml,10,2.99,No,Japan,4.8,Yami,Juice
All free Sparkling Malt and Hops Beverage 4pack 1400ml,1,7.99,No,Japan,4,Yami,Juice
Chrysanthemum Tea Drink 300ml,7,1.09,15 Options,Singapore,4.7,Yami,Juice
SUNTORY NACHAN 50.72floz,0,6.49,No,Japan,0,Yami,Juice
Coconut Drink with Pulp Plant-based Protein Drink 420ml,0,3.19,No,Mainland China,0,Yami,Juice
POKKA Peach Oolong Tea 300ml,72,1.89,No,Japan,4.5,Yami,Juice
Drip Bag Black Coffee   24 packs,0,34.99,No,Mainland China,0,Yami,Juice
Unsweetened Oolong Tea 2L,34,4.99,No,Japan,5,Yami,Juice
WATSONS Collagen Water Orange Flavor  400ML,0,3.49,No,Hong Kong,0,Yami,Juice
Sparkling Water Peach Flavor 16.9floz,0,2.69,No,Japan,0,Yami,Juice
VITALON Ice-Brewed Green Tea 335ml,1,2.09,No,Taiwan,4,Yami,Juice
Yowanai Soda Yuzu Flavor 350ml,157,2.29,3 Options,Japan,4.5,Yami,Juice
Veggie Shot Wellness 862g,0,5.99,No,Japan,0,Yami,Juice
【Editors' Pick】Sparkling Yuzu with Calpico Drink,0,4.29,No,Unclear,0,Yami,Juice
Basil Seed Drink Passion Fruit Flavor 9.8oz,0,1.69,No,Mainland China,0,Yami,Juice
Body Maintenance Drink,1,3.49,No,Japan,5,Yami,Juice
Herbal Tea 550ml,0,1.89,No,Mainland China,0,Yami,Juice
Sarsaparilla Drink Carbonated Soda 330ml,15,0.99,No,Taiwan,4.9,Yami,Juice
Melon Cream Soda 11.83oz,8,1.29,No,Japan,4.5,Yami,Juice
JANS - 100% COCONUT WATER WITH PULP,0,1.89,No,Indonesia,0,Yami,Juice
Sparkling Yuzu Water 250ml,27,2.99,4 Options,Japan,4.8,Yami,Juice
Sparkling Water White Peach Flavor 450ml,71,1.99,No,Mainland China,4.8,Yami,Juice
Basil Seed Pomegranate Flavor 9.8oz,0,1.69,No,Mainland China,0,Yami,Juice
Raw Tea,0,2.99,No,Japan,0,Yami,Juice
Mangosteen Drink 10.5oz,0,1.69,No,Mainland China,0,Yami,Juice
Jasmine Green Tea 300ml,46,1.89,No,Japan,4.7,Yami,Juice
Unsweetened Green Tea O-I Ocha 2L,4,4.89,No,Japan,5,Yami,Juice
Unsweetened Green Tea With Roasted Rice 500ml,44,1.99,8 Options,Japan,4.8,Yami,Juice
Milkis Apple Flavor 250ml,89,1.09,6 Options,Korea,4.8,Yami,Juice
Unsweetened Green Tea 500ml,60,1.99,8 Options,Japan,4.9,Yami,Juice
Lemon Tea 500ml,34,3.49,5 Options,Japan,4.8,Yami,Juice
Peach Flavored Drink 500ml,57,1.49,No,Mainland China,4.8,Yami,Juice
VitaminI C Red Grape Ddink 500ml,4,1.49,No,Mainland China,4.8,Yami,Juice
NACCHAN BUDO,0,6.49,No,Japan,0,Yami,Juice
Hotfruits Passion Fruits Popsicle (Room Temperature),0,15.99,No,Mainland China,0,Yami,Juice
Veggie Shot Immunity 862g,0,5.99,No,Japan,0,Yami,Juice
Non Alcohol Japanese Premium 100% Fruit Ume Plum Drink 700ml,10,16.99,No,Japan,5,Yami,Juice
Watermelon Soda 300ml,65,2.59,5 Options,Japan,4.2,Yami,Juice
Jasmine Fruit Tea 500ml,0,1.49,No,Mainland China,0,Yami,Juice
Lapsang Souchong BoBa Milk Tea 83g,13,3.89,3 Options,Mainland China,4.7,Yami,Juice
Unsweetened Golden Oolong Tea 500ml,27,1.99,8 Options,Japan,4.9,Yami,Juice
Carbonated Soft Drink Soda Original Flavor 335ml,11,1.39,No,Japan,4.8,Yami,Juice
WANTWANT Smoothie Vanilla & Blueberry Peach Flavor 320ml,12,5.59,No,Taiwan,4.3,Yami,Juice
【Dragon Ball Collaboration】OCEAN BOMB Peach Flavor Soda 330ml,0,2.59,No,Mainland China,0,Yami,Juice
Yuzu Sparkling Water 12oz,0,2.29,No,United States,0,Yami,Juice
Muskmelon Soda 300ml,21,2.49,5 Options,Japan,4.4,Yami,Juice
Zero-Hi Grapefruit 350ml,4,2.29,3 Options,Japan,4.8,Yami,Juice
Aloe Drink 1500ml,13,3.39,No,Japan,4.9,Yami,Juice
Zero-Hi Lemon Soft Drink 350ml,3,2.29,3 Options,Japan,5,Yami,Juice
EMeiXue Soda Lychee 500ml,10,2.09,No,Mainland China,4.6,Yami,Juice
Peach Mango Drink 1.5L,0,6.89,No,Korea,0,Yami,Juice
Energy Drink 100ml,14,0.99,No,Korea,4.5,Yami,Juice
SUNTORY NACHAN APPLE 50.72floz,0,6.49,No,Japan,0,Yami,Juice
Black Bean Drink 15g*30,31,14.29,2 Options,United States,4.8,Yami,Juice
DaHongPao BoBa Milk Tea 83g,9,3.99,3 Options,Mainland China,4.6,Yami,Juice
Sorbet Lemon Cola 80ml*4,2,5.49,No,Taiwan,4,Yami,Juice
Grass Jelly Drink 315ml,13,1.49,No,Taiwan,4.4,Yami,Juice
Plum Drink 250mlx6pk,1,5.29,No,Mainland China,5,Yami,Juice
Strawberry Naturally & Artificially Flavored Non Carbonated Soft Drink 1L,5,5.29,No,Japan,4.4,Yami,Juice
Drink with Peach and Oolong Flavor 500ml,0,1.89,No,Mainland China,0,Yami,Juice
Tea Jasmine 2LT,6,4.99,No,Japan,5,Yami,Juice
Plum Wine Non-alcohol 280ml,71,3.99,No,Japan,4.5,Yami,Juice
WANTWANT Smoothie Strawberry & Blueberry Yogurt Flavor 320ml,5,4.64,No,Taiwan,4.6,Yami,Juice
White Peach Black Tea 500ml,2,1.89,No,United States,5,Yami,Juice
Aloe- Melon Soft Drink 500ml,11,1.69,6 Options,Korea,4.6,Yami,Juice
Milkis Banana Flavor 250ml,75,1.09,6 Options,Korea,4.7,Yami,Juice
Green Tea Sugar Free Can 340ml,13,1.59,No,Japan,4.9,Yami,Juice
Unsweetened Black Coffee 288ml,19,2.39,No,Japan,4.3,Yami,Juice
Bergamot Lemon Sparkling Water 330ml,0,2.99,No,Mainland China,0,Yami,Juice
CICI Fruit Flavored Drink Orange 258ml,35,1.29,4 Options,Mainland China,4.7,Yami,Juice
Lychee OOlong Tea 500ml,10,1.89,No,United States,4.6,Yami,Juice
Basil Seed Drink Watermelon Flavor 9.8oz,0,1.69,No,Mainland China,0,Yami,Juice
Honeysuckle Peach Sparkling Water 330ml,0,2.99,No,Mainland China,0,Yami,Juice
Basil Seed Drink Lychee Flavor 9.8oz,0,1.69,No,Mainland China,0,Yami,Juice
WEI CHUAN Guava Drink With Pulp 500ml,13,1.49,No,United States,4.7,Yami,Juice
Jasmine Green BoBa Milk Tea 80g,7,3.99,3 Options,Mainland China,3.9,Yami,Juice
Aloe- Pineapple Soft Drink 500ml,12,1.69,6 Options,Korea,4.8,Yami,Juice
Pokka Sapporo Soft Drink Orange Flavor 400ml,17,2.89,No,Mainland China,4.9,Yami,Juice
Soft Drink Natchan Orange 425ml,6,2.49,2 Options,Japan,5,Yami,Juice
Beverage Tea Black Oolong 2LT,2,4.99,No,Japan,5,Yami,Juice
Gogo No Kocha Lemon Tea 500ml,0,2.49,No,Japan,0,Yami,Juice
Yuzu Soda Unsweetened Sparkling Water,10,3.59,4 Options,United States,4.8,Yami,Juice
Jelly Soda 300ml,2,2.49,No,Mainland China,4.5,Yami,Juice
Non Carbonated Soft Drink Original 1.5L,4,5.49,No,Japan,5,Yami,Juice
Yowanai Soda Ume Flavor 350ml,63,2.19,3 Options,Japan,4.3,Yami,Juice
Jujube Honey Tea 550g,8,5.5,No,Taiwan,4.8,Yami,Juice
Sparkling Ume Water 250ml,15,2.99,4 Options,Japan,4.2,Yami,Juice
