Product_Name,Brand,Price,Option,Reviews,Origin,Rate,Platform,Category
Chocolate Rice Cracker 40g,Sugar Butter Tree,4.5,No,0,Japan,0,Yami,Rice Cracker
Honey Butter Chip 60g,HAITAI,2.19,4 Options,1215,Korea,4.7,Yami,Rice Cracker
Brown Rice Snack Spicy Barbecue Flavour 50g,Grain Mii,6.39,No,0,Thailand,0,Yami,Rice Cracker
Theokbokki Topokki Sweet & Spicy Rice Cake Snack 57g,COSMOS,5.59,No,0,Korea,0,Yami,Rice Cracker
Sweet Shrimp Rice Cracker 72g,KAMEDA,6.5,19 Options,2,Japan,5,Yami,Rice Cracker
PANPAN Wheat Crunch Chicken Flavor 105g,ASIA FOODS,1.79,8 Options,272,Mainland China,4.8,Yami,Rice Cracker
Mimi Shrimp Flavored Chips 10 Packs 180g,aishang,2.99,4 Options,153,Mainland China,4.7,Yami,Rice Cracker
GGE BBQ Cube Wheat Cracker 80g,WEILIH,1.89,9 Options,401,Taiwan,4.6,Yami,Rice Cracker
Soybean Snacks 360g,WEILONG,6.49,No,10,Mainland China,4.8,Yami,Rice Cracker
Potato Chips Garlic Roasted Oyster Flavor 70g,Lay's,2.49,No,17,Mainland China,4.6,Yami,Rice Cracker
"Potato Chips Cucumber Flavor, 70g",Lay's,2.29,7 Options,406,Mainland China,4.7,Yami,Rice Cracker
Potato Chips Spicy Hot Pot Flavor 70g,Lay's,2.49,7 Options,260,Mainland China,4.7,Yami,Rice Cracker
GGE Seaweed Cracker 80g,WEILIH,1.89,9 Options,192,Taiwan,4.6,Yami,Rice Cracker
Potato Farm Hokkaido Premium Potato Chips Jaga Pokkuru 18g*10 Packs,CALBEE,17.99,No,104,Japan,4.8,Yami,Rice Cracker
CALBEE MY POTE GARLIC HERB BUTTR 60g,CALBEE,1.49,No,18,Japan,4.4,Yami,Rice Cracker
Rich Cut Chili Chips 54g (New and old packaging randomly sent),KOIKEYA,1.89,No,200,Japan,4.6,Yami,Rice Cracker
Sour Cream Onion Chips 47g,Lay's,1.99,No,5,Mainland China,4.4,Yami,Rice Cracker
PANPAN Wheat Crunch Spicy Chicken Flavor 105g,ASIA FOODS,1.89,8 Options,162,Mainland China,4.7,Yami,Rice Cracker
Potato Chips Sweet Basil Flavor 50g,Lay's,1.99,No,13,Mainland China,4.4,Yami,Rice Cracker
MY POTE Potato Chips Onion Soup 60g,CALBEE,1.49,No,40,Japan,4.2,Yami,Rice Cracker
JagaRico Potato Stick Sukiyaki Flavor 52g,CALBEE,2.09,4 Options,47,Japan,4.9,Yami,Rice Cracker
Potato Chips BBQ Flavor 47g,Lay's,1.99,No,4,Mainland China,4.2,Yami,Rice Cracker
GGE Soy Sauce Ramen Wheat Cracker 80g,WEILIH,1.89,9 Options,135,Taiwan,4.7,Yami,Rice Cracker
Stax Original Flavor 90g,Lay's,3.29,No,0,Mainland China,0,Yami,Rice Cracker
Mimi Crab Flavored Chips 10 Packs 180g,aishang,2.49,4 Options,132,Mainland China,4.6,Yami,Rice Cracker
Potato Chips Tomato Flavor 90g,Lay's,3.79,No,0,Mainland China,0,Yami,Rice Cracker
MY POTE Potato Chips Himalayan Pink Salt 60g,CALBEE,1.49,No,42,Japan,4.4,Yami,Rice Cracker
Shrimp Chips Sriracha Mayo 94g,CALBEE,2.29,No,1,Japan,5,Yami,Rice Cracker
MY POTE White Truffle Potato Chips 60g,CALBEE,1.99,No,0,Japan,0,Yami,Rice Cracker
【Editor's Pick】Hot Snacks,CALBEE,20.99,No,0,Japan,0,Yami,Rice Cracker
Turtle Chip Choco Churos Flavor 160g,ORION,4.39,No,4,Korea,4.8,Yami,Rice Cracker
Umaibo Corn Cracker Cheese Flavor 30 Pieces English Version,RISKA,6.69,No,17,Japan,4.9,Yami,Rice Cracker
Japanese Shrimp Cracker 2.92oz,KAMEDA,3.49,No,1,Japan,5,Yami,Rice Cracker
Potato Chips  Tomato Flavor 122g,V-loong,2.99,No,0,Mainland China,0,Yami,Rice Cracker
LESLIE'S Banana Thins Honey Dipped 100g,LESLIE'S,1.99,No,1,Philippine,5,Yami,Rice Cracker
Orion Turtle Chips Flamin Lime,ORION,4.89,No,0,Korea,0,Yami,Rice Cracker
Potato Chips  Tomato Flavor 122g,V-loong,2.99,No,0,Mainland China,0,Yami,Rice Cracker
Japanese Shrimp Cracker 2.92oz,KAMEDA,3.49,No,1,Japan,5,Yami,Rice Cracker
【Editor's Pick】Asian Salsa & Chips,OTHER BRANDS,6.99,No,0,Unclear,0,Yami,Rice Cracker
Stax Cucumber Flavor 104g,Lay's,3.29,10 Options,244,Mainland China,4.7,Yami,Rice Cracker
Egg Great Original Flavor 180g,ZSXX,3.49,No,0,Mainland China,0,Yami,Rice Cracker
GGE Wheat Cracker Original Ramen Flavor 80g,WEILIH,1.89,9 Options,84,Taiwan,4.4,Yami,Rice Cracker
Rick Cracker-Yuzu Flavor 80g,JAYONE,2.49,No,0,Korea,0,Yami,Rice Cracker
Clover Chips BBQ Flavor 145g,LESLIE'S,2.29,No,0,Philippine,0,Yami,Rice Cracker
Conch Shape Snack 300g,MIRAE BAKERY,3.99,No,0,Korea,0,Yami,Rice Cracker
Clover Chips Cheese Flavor 145g,LESLIE'S,1.99,No,1,Philippine,5,Yami,Rice Cracker
Salted Egg Yolk Fish Skin Crisps 105g,Golden Duck,7.99,No,0,Singapore,0,Yami,Rice Cracker
Potato Chips Crispy Grilled Fish Flavor 70g,Lay's,2.49,No,0,Mainland China,0,Yami,Rice Cracker
Chocolate  Brownie Crispy 90g,BRUNO,2.99,No,0,Japan,0,Yami,Rice Cracker
Korean Snack Puffed Star Snack Macaroni 297g,ASSI BRAND,8.19,No,0,Korea,0,Yami,Rice Cracker
Puffed Grain Snack-Round-Small 100g,JAYONE,3.69,No,0,Korea,0,Yami,Rice Cracker
Sweet Potato Crispy Crunch-Plum Flavor 150g,YINGBO,7.69,No,0,Taiwan,0,Yami,Rice Cracker
BBQ Potato Straw Chips Tomato Flavor 80g,KAKA,4.69,No,0,Taiwan,0,Yami,Rice Cracker
Jaga Chocolate Potato Chips 40g,BOURBON,2.49,No,17,Japan,4.6,Yami,Rice Cracker
Koala Chocolate Cream Filling Biscuit 41g,LOTTE Japan,1.19,2 Options,142,Japan,4.8,Yami,Rice Cracker
Oishi Seaweed Flavor Cracker 80g,OISHI,3.99,No,0,Mainland China,0,Yami,Rice Cracker
Shrimp Snack Cheese Flavor,marco polo,1.59,No,0,Indonesia,0,Yami,Rice Cracker
Orio Turtle Chips--Sweet Corn Flavor 560g,ORION,18.99,No,0,Korea,0,Yami,Rice Cracker
Korean Oranda Snack 300g,OTHER BRANDS,3.99,No,0,Unclear,0,Yami,Rice Cracker
Sapporo Corn Senbei Grilled 6pcs,YOSHIMI,14.99,No,6,Japan,4.8,Yami,Rice Cracker
Shrimp Snack Original Flavor 70g,marco polo,1.59,No,0,Indonesia,0,Yami,Rice Cracker
Karamucho Hot Chili Potato Sticks 40g,KOIKEYA,1.89,No,86,Japan,4.6,Yami,Rice Cracker
Potato Chips Fleur De Sel Flavor 100g TW,HUAYUAN,3.99,No,0,Taiwan,0,Yami,Rice Cracker
Bino 4 Strip Tasty Salt,TOHATO,2.39,No,0,Japan,0,Yami,Rice Cracker
Potato Chips TW Popcorn Chicken Flavor 100g,HUAYUAN,3.99,No,0,Taiwan,0,Yami,Rice Cracker
Potato Chips BBQ Flavor 122g,V-loong,2.99,No,0,Mainland China,0,Yami,Rice Cracker
Puffed Corn 14.1oz,Arirang,8.69,No,0,Korea,0,Yami,Rice Cracker
Egg Great With Add Calcium 180g,ZSXX,3.49,No,1,Mainland China,5,Yami,Rice Cracker
Japanese Pride Potato Vege Flavor 63g,KOIKEYA,3.29,7 Options,1,Japan,5,Yami,Rice Cracker
Fried Paste 150g,OTHER BRANDS,3.69,No,0,Unclear,0,Yami,Rice Cracker
Spicy Seaweed Chips 57g,KOIKEYA,1.99,No,55,Japan,4.8,Yami,Rice Cracker
Ya Potato Spicy Crayfish Flavor 70g,ORION,3.29,No,0,Korea,0,Yami,Rice Cracker
Potato Chips Sauerkraut Flavor 28g,Lay's,2.49,No,22,Mainland China,4.5,Yami,Rice Cracker
Potato Chips BBQ Flavor 100g,Zidi Potato,2.99,4 Options,14,Mainland China,4.8,Yami,Rice Cracker
JAGABEE KETCHUP 3P 90g,CALBEE,3.69,No,8,Japan,4.1,Yami,Rice Cracker
Peanut Butter Brownie Crispy 90g,BRUNO,2.99,No,0,Japan,0,Yami,Rice Cracker
Sweet Potato Crispy Crunch-Original Flavor 150g,YINGBO,7.69,No,0,Taiwan,0,Yami,Rice Cracker
Mocha Brownie Crispy 90g,BRUNO,2.99,No,0,Japan,0,Yami,Rice Cracker
Potato Chips Black Pepper & Chili Flavor 100g,HUAYUAN,3.99,No,0,Taiwan,0,Yami,Rice Cracker
Sweet Potato Crispy Crunch-Pepper Flavor 150g,YINGBO,7.69,No,0,Taiwan,0,Yami,Rice Cracker
Vegetable Chips Barbecue 142g,PULP PANTRY,5.69,No,0,United States,0,Yami,Rice Cracker
Sweet Potatoes Purple Chips Ube 2.5oz,OTHER BRANDS,2.69,No,0,Unclear,0,Yami,Rice Cracker
Seaweed&Salt Potato Chips,CALBEE,2.19,No,48,Japan,4.7,Yami,Rice Cracker
Potato Chips Lemon Flavor 42g,Lay's,1.99,No,1,Mainland China,5,Yami,Rice Cracker
H.Y. JENYOWE CUTTLEFISH CRACKER-SP,HUAYUAN,1.69,No,0,Taiwan,0,Yami,Rice Cracker
Jagabee Lightly Salted 3p 3.18oz,CALBEE,3.89,No,2,Japan,5,Yami,Rice Cracker
Sesame Cracker Sticks 70g,PALDO,1.49,No,20,Korea,4.5,Yami,Rice Cracker
Baked Taro Chips Original Flavor 62g,CADINA,3.69,No,35,Taiwan,4.7,Yami,Rice Cracker
QinQin-Crawfish Crakers (Thai Curry) 80g,CHINCHIN,1.69,6 Options,4,Taiwan,4.8,Yami,Rice Cracker
Koikoya Potato Chips Hot Chili Seaweed Flavor,KOIKEYA,5.29,No,3,Japan,5,Yami,Rice Cracker
Crispy Ramen Snack Yakisoba Flavor 74g,BABYSTAR,1.69,No,6,Japan,4.5,Yami,Rice Cracker
Salted Egg Salmon Skin 230g,IRVINS,17.99,2 Options,4,Singapore,5,Yami,Rice Cracker
Kettle Chips Black Pepper Flavor 150g,CALBEE,4.69,No,5,Japan,5,Yami,Rice Cracker
Salted Egg Yolk Potato Ridges 105g,Golden Duck,7.99,No,1,Singapore,5,Yami,Rice Cracker
Barley Snack 150g,HAITAI,2.29,No,5,Korea,4.8,Yami,Rice Cracker
Corn Roll-Japanese Style Grilled Seaweed  100g,Pei Tien,2.39,No,6,Taiwan,4.7,Yami,Rice Cracker
Crab Chips 50g,PALDO,1.29,No,50,Korea,4.6,Yami,Rice Cracker
Potato Chips Spicy Hot Chili 54g,KOIKEYA,2.49,No,60,Japan,4.5,Yami,Rice Cracker
Shrimp Chips Fresh Wasabi Flavor 56.6g,OTHER BRANDS,2.29,No,8,Unclear,4.5,Yami,Rice Cracker
Imo Karinto 140g,SAKAKIN,3.49,No,1,Japan,3,Yami,Rice Cracker
Sweet Corn Chips South American BBQ Style 90g,OISHI,2.79,No,62,Mainland China,4.7,Yami,Rice Cracker
Koikeya Polinky Corn Soup Flavor 45g,KOIKEYA,1.99,No,9,Japan,4.8,Yami,Rice Cracker
Leisure Sweet Purple Yam Chips 100g  (New Packaging 100g),SHIBUYA,3.89,No,51,Japan,3.8,Yami,Rice Cracker
LAYS NPC MP(ORI+CC+LIME 2021Q3)70G*3,Lay's,10.99,No,5,Mainland China,5,Yami,Rice Cracker
Salted Egg Salmon Skin 105g,IRVINS,9.99,2 Options,6,Singapore,4.7,Yami,Rice Cracker
Taro Chips Original 170g,TERRA CHIPS,6.89,No,1,United States,5,Yami,Rice Cracker
GUAI GUAI Corn Cracker Creamy Coconut Flavor 52g,KWAN,1.49,3 Options,37,Taiwan,4.7,Yami,Rice Cracker
Kettle Chips Light Salt Flavor 150g,CALBEE,4.69,No,4,Japan,4.2,Yami,Rice Cracker
Csssava Chips Seaweed Flavor 200g,KUSUKA,2.69,No,5,Indonesia,4.6,Yami,Rice Cracker
Potato Chips Seaweed Flavor 100g,Zidi Potato,2.99,4 Options,9,Mainland China,4.9,Yami,Rice Cracker
Exotic Vegetable Chips Original 141g,TERRA CHIPS,6.49,No,1,United States,4,Yami,Rice Cracker
Popcorn Chips White Cheddar 198g,POPCORNERS,4.29,2 Options,1,United States,5,Yami,Rice Cracker
Baked Shrimp Flavored Chips 113g,CALBEE,1.79,5 Options,68,Japan,4.7,Yami,Rice Cracker
Stevia Sweetened Chocolate Covered Poprorn Dark Chocolate Caramel Popcorn,LILYS,7.99,No,0,United States,0,Yami,Rice Cracker
KARAMUCHO HOT CHILI PARTY BAG 175g,KOIKEYA,5.49,No,2,Japan,5,Yami,Rice Cracker
Pita Chips Fire Roasted Jalapeno 207g,STACY`S,3.59,6 Options,3,United States,5,Yami,Rice Cracker
Potato French Fries BBQ Steak Flavor 70g,ORION,2.59,10 Options,5,Korea,5,Yami,Rice Cracker
Sweet Potatoes Orange Chips Yam 2.5oz,OTHER BRANDS,2.49,No,1,Unclear,5,Yami,Rice Cracker
Mixed Roots Chips Coriander Sea Salt 80g,JANS,2.99,No,20,United States,4.3,Yami,Rice Cracker
BBQ Potato Chips Salted Egg Yolk 120g,KAKASHA,6.99,No,0,Japan,0,Yami,Rice Cracker
Salt Seaweed Potato Sticks 40g,KOIKEYA,1.69,No,8,Japan,4.4,Yami,Rice Cracker
"CORN CHO Hazelnut Choco Flavor, 2.33 Oz",CROWN,2.39,2 Options,63,Korea,4.6,Yami,Rice Cracker
Potato Chips Tomato Ketchup Flavor 90g,OISHI,2.49,No,52,Mainland China,4.6,Yami,Rice Cracker
Red Lentil Snack Crisps Tomato Basil Flavor 85g,HARVEST SNAPS,2.49,No,1,United States,3,Yami,Rice Cracker
BBQ Flavor 108g,Angel Potato Chips,2.99,9 Options,1,Mainland China,3,Yami,Rice Cracker
Cassava Blackpepper 200g,KUSUKA,2.39,3 Options,1,Indonesia,4,Yami,Rice Cracker
Chips Soy Sauce Flavor 115G,YBC,2.15,No,2,Japan,4,Yami,Rice Cracker
Mixed Roots Chips Salt & Vinegar 80g,JANS,2.29,No,15,United States,4.3,Yami,Rice Cracker
Potato French Fries BBQ Chicken Flavor 70g,ORION,2.59,10 Options,3,Korea,5,Yami,Rice Cracker
Energy 99 Egg Roll 180g -Pumpkin Flavor,Pei Tien,2.29,4 Options,32,Taiwan,4.3,Yami,Rice Cracker
Csssava Chips Spicy Flavor 200g,KUSUKA,2.69,3 Options,6,Indonesia,4.3,Yami,Rice Cracker
Ramen Snack Tonkatsu Flavor 70g,BABYSTAR,2.09,No,4,Japan,4.5,Yami,Rice Cracker
Corn Chip Snack 148g,CROWN,2.69,No,2,Korea,5,Yami,Rice Cracker
Potato Chips(Honey Butter Flavor ) 50g,OISHI,2.89,8 Options,49,Mainland China,4.9,Yami,Rice Cracker
Energy 99 Egg Roll Creamy Corn Flavor 100g,Pei Tien,2.29,4 Options,25,Taiwan,4.3,Yami,Rice Cracker
Pita Crisps Garlic & Herb 191g,STACY`S,3.59,6 Options,3,United States,5,Yami,Rice Cracker
Red Lentil Snack Crisps Sour Cream Onion 71g,HARVEST SNAPS,2.99,No,0,United States,0,Yami,Rice Cracker
Potato Strips BBQ Flavor 75g,KOIKEYA,2.29,3 Options,3,Japan,4.7,Yami,Rice Cracker
Spicy Salted Egg Cassava Chips 105g,IRVINS,8.99,2 Options,1,Singapore,5,Yami,Rice Cracker
Chips Black Oyster Mushroom,SHIRAKIKU,4.29,No,27,Japan,4.5,Yami,Rice Cracker
Wide Ramen Chicken Big Pack 185g,BABYSTAR,4.79,No,4,Japan,4.8,Yami,Rice Cracker
Potato Chips Roasted Chicken Wing Flavor 70g,Lay's,2.29,10 Options,244,Mainland China,4.8,Yami,Rice Cracker
Pita Chips Multigrain 207g,STACY`S,3.59,6 Options,2,United States,5,Yami,Rice Cracker
Popcorn Chips Kettle 198g,POPCORNERS,4.69,2 Options,2,United States,5,Yami,Rice Cracker
Snack Sesame&Honey 294g,CROWN,2.69,No,16,Korea,4.2,Yami,Rice Cracker
Spicy Salted Egg Potato Chips 105g,IRVINS,8.99,No,4,Singapore,4.8,Yami,Rice Cracker
JAGABEE Potato Cut French Fries Crisp Lightly Salted 113.4g,CALBEE,3.39,No,32,Japan,4.6,Yami,Rice Cracker
Sweet Potato Chips Plum Flavor 240g,Mama Wu,9.89,2 Options,7,Taiwan,4.9,Yami,Rice Cracker
Yopokki Shaped Snack Cheese Flavor 50g,Youngpoong,1.69,3 Options,12,Korea,4.8,Yami,Rice Cracker
Potato Chips Kyushu Seaweed Flavor 43g,Lay's,1.99,7 Options,8,Mainland China,4.8,Yami,Rice Cracker
JagaRico Potato Stick Umami Seaweed Flavor 52g,CALBEE,2.09,4 Options,140,Japan,4.7,Yami,Rice Cracker
Shrimp Sticks 20g * 40 Bags,MIMI,6.99,2 Options,210,Mainland China,4.8,Yami,Rice Cracker
Yam Chips Tomato Flavor 80g,Lay's,2.39,3 Options,189,Mainland China,4.9,Yami,Rice Cracker
Plantain Tortilla Chips Himalayan Pink Salt 113g,BARNANA,4.59,No,0,United States,0,Yami,Rice Cracker
Japanese Pride Potato USU Shio Sea Salt Flavor 63g,KOIKEYA,3.29,7 Options,0,Japan,0,Yami,Rice Cracker
Sea Salt Sweet Potato Chips 84g,JANS,1.99,5 Options,4,United States,3,Yami,Rice Cracker
Corn Flavor Cracker 60g,KOIKEYA,2.69,No,15,Japan,4.8,Yami,Rice Cracker
Paleo Puffs Crunchy Himlyn Salt&Apple Cider Vngr At least 95% Organic 141g,Lesser Evil,5.69,No,2,United States,4.5,Yami,Rice Cracker
Glazed Cassava Chips Singkong SAOS Balado 160g,KUSUKA,2.99,3 Options,21,Indonesia,3.9,Yami,Rice Cracker
Salted Egg Crunchy Roll Cracker 120g,IRVINS,9.99,No,7,Singapore,4.6,Yami,Rice Cracker
Salted Egg Cassava Chips 105g,IRVINS,8.99,2 Options,4,Singapore,4.8,Yami,Rice Cracker
Salted Egg Potato Chips 230g,IRVINS,16.99,2 Options,4,Singapore,5,Yami,Rice Cracker
Potato Chips Pizza 72g,CALBEE,1.99,No,100,Japan,4.8,Yami,Rice Cracker
Shrimp Chips Value Pack 227g,CALBEE,2.49,No,42,Japan,5,Yami,Rice Cracker
Potato Chips Hot and Spicy Mega Size 200g,CALBEE,4.99,No,18,Japan,4.7,Yami,Rice Cracker
Sweet Potato Chips 240g,Mama Wu,9.89,2 Options,8,Taiwan,5,Yami,Rice Cracker
Chips King Trumpet Mushroom 40g,SHIRAKIKU,3.99,No,32,Japan,4.7,Yami,Rice Cracker
JagaRico Potato Stick Hokkaido Butter Flavor 58g,CALBEE,2.09,4 Options,109,Japan,4.6,Yami,Rice Cracker
JagaRico Potato Stick Original Flavor 60g,CALBEE,2.09,4 Options,75,Japan,4.7,Yami,Rice Cracker
Snack Crispy Ramen Garlic Flavor 70g,BABYSTAR,1.79,No,11,Japan,4.7,Yami,Rice Cracker
Snack Crispy Ramen Spicy 70g,BABYSTAR,1.79,No,9,Japan,4.9,Yami,Rice Cracker
CROWN Corn Chip Family Pack  248g,NATURAL STORY,6.49,No,11,Korea,4.7,Yami,Rice Cracker
Yam Chips Cucumber Flavor 80g,Lay's,2.89,3 Options,197,Mainland China,4.8,Yami,Rice Cracker
Demae Iccho Potato Chips Sesame Oil Flavor 50g,NISSIN,2.29,No,12,Japan,4.4,Yami,Rice Cracker
SAMXIINGZH Sanko Jukusei Salad 20pcs,SANXINGZHIGUO,3.29,No,0,Japan,0,Yami,Rice Cracker
Potato Chips Honey Butter 80g,CALBEE,2.49,No,20,Japan,4.7,Yami,Rice Cracker
Potato Chips BBQ Flavor 80g,OISHI,2.69,No,2,Mainland China,4.5,Yami,Rice Cracker
Sweet Potato Fries 155g,SHIBUYA,4.19,No,30,Japan,3.5,Yami,Rice Cracker
Popchips Sea Salt & Vinegar 142g,POPCHIPS,4.39,No,2,United States,5,Yami,Rice Cracker
Exotic Vegetable Chips Mediterranean Exotic Veg Chips,TERRA CHIPS,7.49,No,1,United States,5,Yami,Rice Cracker
Potato Chips Pure Spicy Flavor 145g,Lay's,5.29,10 Options,7,Mainland China,3.7,Yami,Rice Cracker
Pita Chips Parmesan Garlic Herb 7.33oz,STACY`S,3.59,6 Options,1,United States,3,Yami,Rice Cracker
Jalapeno Cassava Chips 84g,JANS,2.19,3 Options,15,Indonesia,4.1,Yami,Rice Cracker
Green Pea Snack Crisps Wasabi Ranch 94g,HARVEST SNAPS,2.29,No,1,United States,5,Yami,Rice Cracker
