Product_Name,Brand,Price,Reviewa,Origin,Rate,Platform,Category
Black Sesame & Purple Rice Nuts Cereal 12Packs,GREENMAX,5.99,18,Taiwan,4.7,Yami,Nuts
Nuts Bon Caramel Crunch 81g,KANRO,3.49,0,Japan,0.0,Yami,Nuts
Traditional Mooncake (  Fruit and nuts ) 1 piece 85g  Classic Festival Gift,SEA FORTUNE,5.99,3,Mainland China,4.3,Yami,Nuts
QIAQIA Sunflower Seed -Spiced Flavor 250g,CHACHEER,3.49,220,Mainland China,4.9,Yami,Nuts
QIAQIA Sunflower Seed 250g,CHACHEER,3.49,175,Mainland China,4.8,Yami,Nuts
Roasted Broad Bean Crab Roe Flavor 285g,KAM YUEN,3.89,498,Mainland China,4.9,Yami,Nuts
Sunflower Seeds Sichuan Pepper Flavor 160g,CHACHEER,2.99,52,Mainland China,4.8,Yami,Nuts
GANYUAN Sunflower Seeds Crab Roe Flavored 285g,KAM YUEN,3.99,344,Mainland China,4.8,Yami,Nuts
QIAQIA Sunflower Seed -Coconut Flavor 250g,CHACHEER,3.29,93,Mainland China,4.8,Yami,Nuts
KH Roasted Peanuts 170g,KH,4.59,1,United States,4.0,Yami,Nuts
MIZUHO Organic Roasted Chestnuts 150g,ASIAN TASTE,2.59,76,Taiwan,4.4,Yami,Nuts
Three Squirrels Joy Package 878g,THREE SQUIRRELS,29.99,0,Mainland China,0.0,Yami,Nuts
SHENG Garlic Green Pea 240g,TRIKOFOODS,3.39,215,Taiwan,4.8,Yami,Nuts
Peanut Reg 198g,FENGJI,4.49,1,Mainland China,3.0,Yami,Nuts
Garuda Hot Coated Peanuts 230g,GARUDA,2.69,0,Indonesia,0.0,Yami,Nuts
Sweet Walnut Kernel 80g,THREE SQUIRRELS,2.99,0,Mainland China,0.0,Yami,Nuts
Garuda Garlic Coated Peanuts 130g,GARUDA,1.69,0,Indonesia,0.0,Yami,Nuts
Garlic Flavor Peanuts 198g,FENGJI,4.49,0,Mainland China,0.0,Yami,Nuts
Hot Spicy Flavor Peanuts 110g,MURGERBON,3.39,0,Korea,0.0,Yami,Nuts
Hazelnut 185g,THREE SQUIRRELS,6.99,0,Mainland China,0.0,Yami,Nuts
Purple Skin Cashew 160g,THREE SQUIRRELS,7.29,0,Mainland China,0.0,Yami,Nuts
Almond 160g,THREE SQUIRRELS,6.59,0,Mainland China,0.0,Yami,Nuts
Sweet Soybean Powder Flavor Peanuts 110g,MURGERBON,3.39,0,Korea,0.0,Yami,Nuts
Cookies and Cream Flavor Peanuts,MURGERBON,3.39,0,Korea,0.0,Yami,Nuts
SXZ Soy sauce Watermelon Seed 180g,TRIKOFOODS,3.09,77,Taiwan,4.7,Yami,Nuts
Rattan Pepper Peanut 155g,OTHER BRANDS,4.49,0,Unclear,0.0,Yami,Nuts
Multi Flavor Peanut 265g,THREE SQUIRRELS,6.99,0,Mainland China,0.0,Yami,Nuts
Hickory Nut Kernels,SHIWAITAOYUAN,14.99,6,Mainland China,4.3,Yami,Nuts
Kui Da Ren Sunflower Seeds 180g,yifen,3.79,0,Mainland China,0.0,Yami,Nuts
3A Melon Seeds 400g,zhenglin,9.59,0,Mainland China,0.0,Yami,Nuts
Peanuts-Original Flavor,BAISHIXING,1.99,0,Mainland China,0.0,Yami,Nuts
CHACHA Rosted Premium Sunflower Seeds Original Flavor 98g,CHACHEER,2.49,53,Mainland China,4.8,Yami,Nuts
Penut Hot Curry 198g,FENGJI,4.69,0,Mainland China,0.0,Yami,Nuts
Herb Walnut 180g,THREE SQUIRRELS,5.79,0,Mainland China,0.0,Yami,Nuts
Peanuts- Spicy Flavor,BAISHIXING,1.99,0,Mainland China,0.0,Yami,Nuts
Cracker Peanut 300g,RUSHUI,7.29,0,Mainland China,0.0,Yami,Nuts
Sunflower Seed Kernel Salty Yolk Taste 205g,THREE SQUIRRELS,5.69,0,Mainland China,0.0,Yami,Nuts
Fish & Garlic Flavor Bean 60g,TRIKOFOODS,2.89,0,Taiwan,0.0,Yami,Nuts
Spicy Green Pea 90g TW,TRIKOFOODS,2.89,0,Taiwan,0.0,Yami,Nuts
Black Pumpkin Seed 200g,LAOJIEKOU,8.99,4,Mainland China,5.0,Yami,Nuts
Natural Taste Organic Chestnut 130g,LA CHEETA,3.29,24,Mainland China,4.5,Yami,Nuts
Fish & Pepper Salt Flavor Bean 60g,TRIKOFOODS,2.89,0,Taiwan,0.0,Yami,Nuts
SHENG Hot Green Pea 240g,TRIKOFOODS,2.99,65,Taiwan,4.8,Yami,Nuts
Chestnut 240g,TASTY SNACKS,5.99,3,Mainland China,4.3,Yami,Nuts
Peanut Red Skin 340g (DAU PHONG CO VO),3-MIEN,1.49,1,Vietnam,5.0,Yami,Nuts
SXZ Liquorice Watermelon Seed 180g,TRIKOFOODS,2.99,50,Taiwan,4.4,Yami,Nuts
Sunflower Seed Walnut Flavor227g,TASTY SNACKS,2.99,1,Mainland China,3.0,Yami,Nuts
Japanese Peanuts Spiced Flavor  340g,GONGHE,3.89,13,Mainland China,4.6,Yami,Nuts
Sunflower Seed  Dried Orange Flavor  90g,WENHEYOU,2.69,2,Mainland China,4.0,Yami,Nuts
SHENG Mustard Green Pea 240g,TRIKOFOODS,2.99,96,Taiwan,4.7,Yami,Nuts
WUFUJI Spiced Broad Beans,WUFUJI,5.29,3,Mainland China,5.0,Yami,Nuts
Sunflower Seed Spicy Flavor 227g,TASTY SNACKS,2.99,1,Mainland China,4.0,Yami,Nuts
SXZ Salted Pumpkin Seed 150g,TRIKOFOODS,3.59,24,Taiwan,4.5,Yami,Nuts
100% Organic Chestnut 180g,LA CHEETA,4.29,27,Mainland China,4.7,Yami,Nuts
GANYUAN Roasted Fried Beans (Crab Flavor) 138g,KAM YUEN,2.99,28,Mainland China,4.7,Yami,Nuts
Crispy Pepper 200g,YouJun,4.39,5,Mainland China,4.0,Yami,Nuts
Roasted Peanuts 454g,SUNGREEN,4.69,2,Korea,4.0,Yami,Nuts
Sunflower Seed Caramel Flavor227g,TASTY SNACKS,2.99,0,Mainland China,0.0,Yami,Nuts
Japanese Peanuts Original Flavor 340g,GONGHE,3.49,8,Mainland China,4.2,Yami,Nuts
Almond 5 Variety 10 Pack Bundle 270g,MURGERBON,15.69,2,Korea,5.0,Yami,Nuts
Yolk Broad Bean Original Flavor 198g,renzhewudi,5.99,8,Taiwan,4.8,Yami,Nuts
Pistachios Sea Salt Flavor 454g,SETTON FARMS,9.89,3,United States,4.7,Yami,Nuts
Odama Choco Ball The Peanut 56g,MORINAGA,2.69,0,Japan,0.0,Yami,Nuts
Sunflower Seed Caramel Flavor227g,TASTY SNACKS,2.99,0,Mainland China,0.0,Yami,Nuts
Japanese Peanuts Original Flavor 340g,GONGHE,3.49,8,Mainland China,4.2,Yami,Nuts
Sweet Chestnut 150g,NONGHYUP,9.69,4,Korea,4.5,Yami,Nuts
Wasabi Coated Green Peas 140g,HAPI,3.49,30,Japan,4.9,Yami,Nuts
Sunflower Seeds Caramel Flavor 150g,TRIKOFOODS,3.99,8,Taiwan,4.8,Yami,Nuts
Coated Peanuts Egg Flavor 220g,GARUDA,2.99,6,Indonesia,4.8,Yami,Nuts
Sunflower Seeds Logan & Jujube Flavor 150g,TRIKOFOODS,3.89,4,Taiwan,4.0,Yami,Nuts
Roasted Cashew 185g,THREE SQUIRRELS,12.99,6,Mainland China,3.8,Yami,Nuts
Broad Bean Crab Roe Flavor 205g,THREE SQUIRRELS,5.79,11,Mainland China,3.2,Yami,Nuts
Chestnut 100g,THREE SQUIRRELS,3.99,14,Mainland China,3.9,Yami,Nuts
[Mainland China Direct Mail] Li Ziqi Osmanthus Nuts Lotus Root Flour Meal Replacement Food 350g*1,LIZIQI,35.90,1,Mainland China,5.0,Yami,Nuts
[Mainland China Direct Mail] BE&CHEERYr-Big Pecan Nuts Pecan Meat 158g,BE & CHEERY,40.90,2,Mainland China,3.5,Yami,Nuts
Qian Shi Euryale Ferox Salisb Dried Fox Nuts 16oz,PRESIDENT BRAND,16.99,1,United States,5.0,Yami,Nuts
-Chestnut kernel 100g,THREE SQUIRRELS,4.49,45,Mainland China,4.6,Yami,Nuts
-Macadamia 265g,THREE SQUIRRELS,10.99,50,Mainland China,4.6,Yami,Nuts
Roasted Salted Almonds 12OZ  340g- Cholesterol free Perfect for snacking,NestLady,13.99,1,United States,5.0,Yami,Nuts
Cashews Roasted Salted 12OZ/340g,NestLady,13.99,1,United States,5.0,Yami,Nuts
Purple potato peanut 205g,THREE SQUIRRELS,7.99,2,Mainland China,4.0,Yami,Nuts
Orchid Bean Beef Flavor 120g,BESTORE,5.99,0,Mainland China,0.0,Yami,Nuts
Spicy Peanuts 100g,BESTORE,4.99,0,Mainland China,0.0,Yami,Nuts
Luzhu Pumpkin Seed 120g,BESTORE,6.99,0,Mainland China,0.0,Yami,Nuts
Sweet Chestnut 80g,BESTORE,6.99,0,Mainland China,0.0,Yami,Nuts
【Mainland China Direct Mail】BE&CHEERY Flavor Hand Peeled Pecans 128g,BE & CHEERY,25.90,0,Mainland China,0.0,Yami,Nuts
Sweet Chestnut 120g,BESTORE,6.99,1,Mainland China,5.0,Yami,Nuts
【Mainland China Direct Mail】Li Ziqi Hot Pot Base Sichuan Shufeng red oil flavor Hot Pot Seasoning 280g,LIZIQI,45.00,0,Mainland China,0.0,Yami,Nuts
Multi Taste Peanuts 148g,BESTORE,6.99,1,Mainland China,5.0,Yami,Nuts
【Mainland China Direct Mail】Bai Shi Xing Jiugui Peanut Original Peanut Snack Cooked Dish 92g,BAISHIXING,12.10,4,Mainland China,4.5,Yami,Nuts
LYFEN Linan Pecan Kernel 118g,yifen,16.99,0,Mainland China,0.0,Yami,Nuts
Peel Sunflower Seed 120g,BESTORE,6.99,0,Mainland China,0.0,Yami,Nuts
[Mainland China Direct Mail] BE&CHEERY Honey Amber Walnut 100g,BE & CHEERY,11.90,1,Mainland China,4.0,Yami,Nuts
【Mainland China Direct Mail】BE&CHEERY Longevity Fruit Pecan 100g,BE & CHEERY,15.90,0,Mainland China,0.0,Yami,Nuts
Bestnut Wild walnut kernel Nut specialty 268g,bestnut,39.99,0,Mainland China,0.0,Yami,Nuts
[Mainland China Direct Mail] BE&CHEERY Pistachio 100g,BE & CHEERY,15.90,0,Mainland China,0.0,Yami,Nuts
Northeast Mainland China Red Pine Nut 98g,BESTORE,9.99,1,Mainland China,5.0,Yami,Nuts
[Mainland China Direct Mail]  BE&CHEERY Crab Flavored Melon Seeds 100g,BE & CHEERY,7.90,0,Mainland China,0.0,Yami,Nuts
Shelled Walnuts 300g,Sunway Snack,9.99,0,United States,0.0,Yami,Nuts
[Mainland China Direct Mail] BE&CHEERY Open Hazelnut 180g,BE & CHEERY,16.90,1,Mainland China,5.0,Yami,Nuts
Bestnut Almond kernel Nut specialty 268g,bestnut,37.99,0,Mainland China,0.0,Yami,Nuts
JINBAO Organic Roasted Chestnut 455g,JinBao Chestnut,9.99,38,United States,4.3,Yami,Nuts
Pecan Milk flavor 120g,BESTORE,7.99,0,Mainland China,0.0,Yami,Nuts
Hawaiian Nut Milk Flavor 120g,BESTORE,9.99,0,Mainland China,0.0,Yami,Nuts
Sesame Jujube With Walnut 208g,BESTORE,13.99,4,Mainland China,5.0,Yami,Nuts
LYFEN Chinese torreya 250g,yifen,24.99,0,Mainland China,0.0,Yami,Nuts
Huamei watermelon seeds special roasted seeds 108g,BE & CHEERY,29.00,0,Mainland China,0.0,Yami,Nuts
[Mainland China direct mail]  Xiaoyao herbal tea red bean glutinous rice flower tea combination raw tea 9g * 10 packs,LIZIQI,53.10,1,Mainland China,5.0,Yami,Nuts
Almond Milk Flavor 120g,BESTORE,8.99,0,Mainland China,0.0,Yami,Nuts
XIAOMI YOUPIN HONGFANYOUNONG YUMO Black Melon Seed (Original) 218g/can,Xiaomiyoupin,29.80,0,Mainland China,0.0,Yami,Nuts
Pistachios 98g,BESTORE,14.99,0,Mainland China,0.0,Yami,Nuts
Bestnut Original flavor SHELLLESS hazelnut Nut specialty 248g,bestnut,36.99,0,Mainland China,0.0,Yami,Nuts
XIAOMI YOUPIN ZHIWEIXUAN Mixed Nut Crisp 300g,Xiaomiyoupin,18.90,0,Mainland China,0.0,Yami,Nuts
Roasted Salted Almonds 12OZ  340g- Cholesterol free Perfect for snacking,NestLady,13.99,1,United States,5.0,Yami,Nuts
Organic Dried Papaya Slice  50g - Dried Fruit  Grown and harvested in Vietnam,NestLady,11.90,2,United States,5.0,Yami,Nuts
Bestnut Original flavor Korean pine seed kernel Nut specialty 248g,bestnut,67.99,0,Mainland China,0.0,Yami,Nuts
Bestnut Pistachio Nut specialty 230g,bestnut,37.99,0,Mainland China,0.0,Yami,Nuts
[Mainland China Direct Mail] 2021 New Tea West Lake Brand Pre-Ming Longjing Tea Tea Selection Yan Value Green Tea Spring Tea 30g,XIHUPAI,45.00,0,Mainland China,0.0,Yami,Nuts
CALIFORNIAN JUMBO CHANDLER WALNUT 454g,Sunway Snack,6.69,0,United States,0.0,Yami,Nuts
​​​​​​​【Mainland China Direct Mail】BE&CHEERY Macadamia Nut Cream Flavor 268g,BE & CHEERY,22.90,0,Mainland China,0.0,Yami,Nuts
[Mainland China direct mail] BE&CHEERY chestnut kernels 80g,BE & CHEERY,7.90,0,Mainland China,0.0,Yami,Nuts
XIAOMI YOUPINHONGFANYOUNONG  YUMO Black Melon Seed (Original) 185g/bag,Xiaomiyoupin,14.90,0,Mainland China,0.0,Yami,Nuts
Cashews Roasted Salted 12OZ/340g,NestLady,13.99,1,United States,5.0,Yami,Nuts
Bestnut Queensland nut Nut specialty 238g,bestnut,57.99,0,Mainland China,0.0,Yami,Nuts
Bestnut Pistachio Nut specialty 230g,bestnut,37.99,0,Mainland China,0.0,Yami,Nuts
Wasabi Almond 120g,NUTS LAB,3.99,0,Korea,0.0,Yami,Nuts
Caramel Corn Nuts 77g,TOHATO,2.59,3,Japan,3.0,Yami,Nuts
Pine Nuts 180g,shanliren,8.89,11,Mainland China,4.4,Yami,Nuts
Salt and Pepper Pecan Nuts 158g,YaoShengJi,27.99,2,Mainland China,5.0,Yami,Nuts
NISSHIN Cisco Granola Choco Nuts,NISSIN,8.99,5,Japan,4.8,Yami,Nuts
Durian Flavored Cashew Nuts 45g,yifen,2.99,3,Mainland China,5.0,Yami,Nuts
Seaweed Flavored Cashew Nuts 45g,yifen,2.99,0,Mainland China,5.0,Yami,Nuts
Creamy Pecan Nuts 158g,YaoShengJi,27.99,0,Mainland China,0.0,Yami,Nuts
BE  CHEERY Pecan Nuts Brown Sugar 56g,BE & CHEERY,4.69,1,Mainland China,3.0,Yami,Nuts
Opening Pine Nuts Original 218g,THREE SQUIRRELS,16.99,23,Mainland China,4.0,Yami,Nuts
Original Pecan Nuts 158g,YaoShengJi,27.99,8,Mainland China,4.9,Yami,Nuts
Mixed Nuts,yifen,10.49,2,Mainland China,4.0,Yami,Nuts
Wild Red Pine Nuts 150g,LZG,6.29,29,Mainland China,4.6,Yami,Nuts
Pine Nuts 128g,BE & CHEERY,12.49,8,Mainland China,4.2,Yami,Nuts
Brazil Nuts 907g,SUNGREEN,15.99,10,Korea,5.0,Yami,Nuts
Mixed Nuts 140g,ZHENXINSHIPIN,3.99,2,Mainland China,4.0,Yami,Nuts
Mixed Nuts and Rice Crackers 180g,BEANS FAMILY,7.99,3,Taiwan,5.0,Yami,Nuts
Super Herbs & Cereals Beverage Walnut & Nuts 280g,QUAKER,8.99,6,United States,4.8,Yami,Nuts
QUAER Super Herbs & Cereals Beverage Grains & Nuts 230g,QUAKER,8.99,10,United States,4.4,Yami,Nuts
Chia Seed Cereal Nuts   Oatmeal-Rose Flavor 400g,HONLIFE,11.99,17,Mainland China,4.9,Yami,Nuts
Pine Nuts & Tofu Snack 110g,JAYONE,3.63,34,Korea,4.4,Yami,Nuts
DXC Nuts Cake 880g,Dao Xiang Cun,18.99,4,Mainland China,5.0,Yami,Nuts
Strawberry Nuts Dry Snack Fruit Cereals Meal Replacement Oatmeal 400g,OCAK,12.49,166,Mainland China,4.8,Yami,Nuts
Adzuki Bean&Purple Rice Nuts Cereal 12packs,GREENMAX,5.99,28,Taiwan,4.8,Yami,Nuts
One Satisfaction Bar Baked Nuts 40g,ASAHI,2.49,1,Japan,3.0,Yami,Nuts
Peking Style Assorted Nuts Mooncake 400g,Dao Xiang Cun,4.99,14,Mainland China,4.5,Yami,Nuts
Nuts Cereal 160g,NISSIN,5.99,4,Japan,5.0,Yami,Nuts
Chocolate Wafer Macadamia Nuts Flavor,ROYCE,13.99,0,Japan,0.0,Yami,Nuts
MARGARET COOKIES Soft Cookies with Nuts 12packs 264g,LOTTE Korea,3.49,21,Korea,4.2,Yami,Nuts
Black Soybean& Multi Grains Nuts Cereal 12packs,GREENMAX,5.99,5,Taiwan,4.4,Yami,Nuts
Walnut Date with Pine Nuts Cake 200g,CHERRY GRANDFATHER,14.99,0,Taiwan,0.0,Yami,Nuts
Nuts and Fruits Baked Oatmeal 260g,WANGBAOBAO,7.99,0,Mainland China,0.0,Yami,Nuts
Traditional Assorted Nuts Mooncake 300g,Dao Xiang Cun,3.49,8,Mainland China,4.5,Yami,Nuts
KitKat Nuts & Cranberry Chocolate Wafer Cookie  135g,NESTLE,7.99,9,Japan,4.7,Yami,Nuts
MARGARET COOKIES Soft Cookies with Nuts 396g,LOTTE Korea,5.49,14,Korea,3.9,Yami,Nuts
"Organic Sweet Chestnut, 100g USDA Certified",BIG GREEN,1.69,400,Mainland China,4.8,Yami,Nuts
QIAQIA Caramelized Sunflower Seed 160g,CHACHEER,2.99,224,Mainland China,4.8,Yami,Nuts
100% Natural Organic Chestnut 5PACKs,LA CHEETA,6.99,173,Japan,4.8,Yami,Nuts
QIAQIA Sunflower Seed Pecan Flavor 160g,CHACHEER,2.79,319,Mainland China,4.8,Yami,Nuts
Chili Crisp Broadbeans 120g,ZHIMAGUAN,1.99,91,Mainland China,4.7,Yami,Nuts
HUANG FEI HONG Spicy Peanuts 110g Random Delivery,XINHE,2.29,211,Mainland China,4.7,Yami,Nuts
Five-Spice Flavor Sunflower Seed 500g,LAOJIEKOU,5.89,13,Mainland China,4.8,Yami,Nuts
Almond Chocolate 22pcs,FUJIYA,6.49,0,Japan,0.0,Yami,Nuts
Dried Plum Flavor Watermelon Seeds 200g,LAOJIEKOU,4.39,6,Mainland China,4.7,Yami,Nuts
Honey Roasted Peanuts 130g,MURGERBON,3.29,3,Korea,5.0,Yami,Nuts
Setton Farms Pistacios 1lb,SETTON FARMS,4.99,0,United States,0.0,Yami,Nuts
Tiramisu Flavor Peanuts 110g,MURGERBON,3.39,2,Korea,4.0,Yami,Nuts
Miino Soramame Shio  70g,CALBEE,6.99,5,Japan,5.0,Yami,Nuts
Blanched Peanut 340g,3-MIEN,1.69,4,Vietnam,4.5,Yami,Nuts
SHENG Bamboo Charcoal Peanut 90g,TRIKOFOODS,2.89,104,Taiwan,4.7,Yami,Nuts
Shandong Peanuts Orginal Flavor 340g,GONGHE,4.49,10,Mainland China,5.0,Yami,Nuts
Roasted Cashewt Honey Butter Flavor 100g,MAYASI,3.99,3,Taiwan,5.0,Yami,Nuts
Pecan Flavor Sunflower Seed 500g,LAOJIEKOU,6.49,149,Mainland China,4.7,Yami,Nuts
Wasabi Almond 35g,A-SHA PRINCE KATSU,2.59,200,Taiwan,4.8,Yami,Nuts
Organic Chestnut 150g,JAYONE,3.29,63,Korea,4.5,Yami,Nuts
Sunflower Seed 227g,TASTY SNACKS,2.99,0,Mainland China,0.0,Yami,Nuts
Jujube With Walnut  500g,SIHONG,13.49,65,Mainland China,4.8,Yami,Nuts
FARMER BRAND Garlic Flavor Peanuts 300g,FRAMER BRAND,3.89,27,Singapore,4.5,Yami,Nuts
100% Natural Organic Chestnut 4Packs,LA CHEETA,5.69,17,Mainland China,4.4,Yami,Nuts
Crisp Broad Bean Spicy 160g,NICE CHOICE,1.99,2,Taiwan,5.0,Yami,Nuts
Roasted Chestnut 80g,BESTORE,3.39,9,Mainland China,4.1,Yami,Nuts
Crisp Broad Bean 160g,NICE CHOICE,1.99,13,Taiwan,4.5,Yami,Nuts
Roasted Cashew Salted Egg Flavor 100g,MAYASI,3.99,4,Taiwan,5.0,Yami,Nuts
WUFUJI Vinaigrette Broad Bean (Original Flavor),WUFUJI,5.29,2,Mainland China,4.0,Yami,Nuts
Dead Spicy peanut 140g,BAISHIXING,2.09,105,Mainland China,4.8,Yami,Nuts
"Peanuts with Dried Pepper Spicy Flavor, 210g",HUANGFEIHONG,3.89,224,Mainland China,4.8,Yami,Nuts
Walnut Stuffed Red Dates 250g,JY,8.49,93,Mainland China,4.7,Yami,Nuts
Broad Bean Crab Flavor 165g,yifen,3.29,10,Mainland China,4.8,Yami,Nuts
Macadamia Nut 265g,THREE SQUIRRELS,10.99,53,Mainland China,4.7,Yami,Nuts
Spicy Peanuts with Dried Shrimps 98g,HUANGFEIHONG,3.89,75,Mainland China,4.6,Yami,Nuts
Walnut Stuffed Red Dates 250g,JY,8.49,93,Mainland China,4.7,Yami,Nuts
Macadamia Nut 265g,THREE SQUIRRELS,10.99,53,Mainland China,4.7,Yami,Nuts
Spicy Peanuts with Dried Shrimps 98g,HUANGFEIHONG,3.89,75,Mainland China,4.6,Yami,Nuts
Fried Spicy Peanuts Sunflower Seed 140g,BAISHIXING,1.89,76,Mainland China,4.8,Yami,Nuts
South Milk Peanut Kernel 500g,GUANHUA,5.49,33,Mainland China,4.6,Yami,Nuts
GANYUAN Crab Flavor Roasted Sunflower Seeds 75g,KAM YUEN,1.69,70,Mainland China,4.9,Yami,Nuts
Sea Salt 113g,ROYAL HAWAIIAN ORCHARDS,8.99,4,Australia,4.8,Yami,Nuts
Salt and Peeper Roasted Walnuts 100g,shanliren,9.69,23,Mainland China,4.7,Yami,Nuts
FARMER BRAND Nan Ru Flavor Peanuts 300g,FRAMER BRAND,3.89,7,Unclear,4.7,Yami,Nuts
Fried Broad Bean Five Spices Flavor 88g,KOUSHUIWA,2.99,49,Mainland China,4.7,Yami,Nuts
Broad Bean Spicy 150g,HSINTUNGYANG,2.49,34,Taiwan,4.3,Yami,Nuts
Fried Salty Peanuts 200g,LI YUAN BAO,2.29,45,Mainland China,4.9,Yami,Nuts
Chinese Stewed Peanuts 340g,SZECHUAN FLAVOR,2.59,46,Mainland China,4.8,Yami,Nuts
LiuYong Roasted Chestnut 80g,CHREAS,1.89,47,Mainland China,4.6,Yami,Nuts
Kernel of Hickory 155g,THREE SQUIRRELS,18.99,16,Mainland China,4.7,Yami,Nuts
Prepared Broad Bean Spicy 100g,LIUFU,2.09,10,Mainland China,4.6,Yami,Nuts
WANTWANT Fried Broad Bean 42g,WANT WANT,0.89,31,Taiwan,4.9,Yami,Nuts
FARMER BRAND Dried Peanuts 300g,FRAMER BRAND,3.89,0,Singapore,4.5,Yami,Nuts
Organic Chestnut 240g,JONA,4.99,18,Japan,4.9,Yami,Nuts
Multi Flavored Peanuts 186g,yifen,3.49,9,Mainland China,4.6,Yami,Nuts
Strange Flavor Hupe 360g,CHENCHANGYIN,3.69,21,Mainland China,5.0,Yami,Nuts
Flavored Sunflower Seeds 210g,ZHANGERGA,2.89,32,Mainland China,4.8,Yami,Nuts
CHA CHA Flavorful Sunflower Seeds Graines De Tournesol 260g,CHACHEER,3.29,30,Mainland China,4.1,Yami,Nuts
GANYUAN Roasted Sunflower Seeds (Crab Flavor) 138g,KAM YUEN,2.69,25,Mainland China,4.9,Yami,Nuts
Multi-flavored Peanut Five Spices Flavor 86g,KOUSHUIWA,2.99,21,Mainland China,4.8,Yami,Nuts
Green Peas Original Flavor 45g,WANT WANT,0.89,26,Taiwan,4.8,Yami,Nuts
Organic Chestnut Roasted & Peeled  150g,WEIQUAN,2.49,18,United States,4.7,Yami,Nuts
Sunflower Seed Walnut Flavor 408g,XSS,4.59,13,Mainland China,4.7,Yami,Nuts
Salted Flavor Pumpkin Seeds 180g,HENGKANG,2.59,3,Mainland China,5.0,Yami,Nuts
Multi-flavored Peanut Spicy Flavor 86g,KOUSHUIWA,2.99,16,Mainland China,4.4,Yami,Nuts
HJ Boiled Sunflower Seed Brown Sugar & Sea Salt Flavor 112g,HUIJIFOOD,2.29,18,Mainland China,4.6,Yami,Nuts
Hickory Nut Kernels,SHIWAITAOYUAN,7.49,2,Mainland China,5.0,Yami,Nuts
Roasted Sunflower Seeds Caramel Flavor 150g,PAN PAN,2.59,19,Taiwan,4.3,Yami,Nuts
Coated Japanese Peanut 450g,US-Farmers,5.49,1,United States,4.0,Yami,Nuts
Fried Broad Bean Beef Flavor 88g,KOUSHUIWA,2.49,13,Mainland China,5.0,Yami,Nuts
Prepared Broad Bean Cumin Flavor 100g,LIUFU,2.09,11,Mainland China,3.5,Yami,Nuts
Roasted Sunflower Seeds Pecan Flavor 150g,PAN PAN,2.59,21,Taiwan,4.4,Yami,Nuts
Roasted Peanuts 400g,GUANHUA,3.99,5,Mainland China,4.6,Yami,Nuts
Be  Cheery Broad Beans 180g,BE & CHEERY,2.99,11,Mainland China,4.8,Yami,Nuts
Sunflower Seed Crayfish Flavor 90g,WENHEYOU,2.69,1,Mainland China,5.0,Yami,Nuts
Coated Peanuts Hot Spicy 200g,GARUDA,2.19,0,Indonesia,4.5,Yami,Nuts
SXZ Green Tea Pumpkin Seed 130g,TRIKOFOODS,2.69,6,Taiwan,4.0,Yami,Nuts
