Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Sold_Monthly,Weekly_Revenue,Platform,Category,Option,Rate
Big Green Hawthorn Roll 4.2 oz,1.99,900,Mainland China,Big Green,79,3600,1791,Weee,Dried Fruit,Unclear,Unclear
Yifen Crisp Winter Jujube 90 g,4.99,1000,Mainland China,LYFEN,214,4000,4990,Weee,Dried Fruit,Unclear,Unclear
Big Green Hawthorn Berry Chips 3.5 oz,2.39,700,Mainland China,Unclear,88,2800,1673,Weee,Dried Fruit,Unclear,Unclear
TenWow Han Preserved Yangmei 135 g,4.99,200,Mainland China,TenWow,18,800,998,Weee,Dried Fruit,Unclear,Unclear
Bestore Assorted Hawthorn Jelly Bag 500 g,6.99,500,Mainland China,Unclear,61,2000,3495,Weee,Dried Fruit,Unclear,Unclear
"Spring Farm Hawthorn Berry, Dried and Pitted  3.5 oz",2.99,400,Mainland China,Unclear,43,1600,1196,Weee,Dried Fruit,Unclear,Unclear
Farmers Grange Dried Bayberry 108 g,3.49,1000,Mainland China,Farmers Grange,46,4000,3490,Weee,Dried Fruit,Unclear,Unclear
Lyfen Seedless Preserved Orange Peel Prune 80 g,4.79,400,Mainland China,LYFEN,150,1600,1916,Weee,Dried Fruit,Unclear,Unclear
Lyfen Plum Milk Flavor 108 g,3.69,600,Mainland China,Unclear,17,2400,2214,Weee,Dried Fruit,Unclear,Unclear
TenWow Salted Preserved Plum 135 g,5.29,300,Mainland China,TenWow,18,1200,1587,Weee,Dried Fruit,Unclear,Unclear
"LLM Green Plum, Original Flavor  136 g",3.99,400,Mainland China,LLM,40,1600,1596,Weee,Dried Fruit,Unclear,Unclear
Chan Pui Mui Preserved Plum Bag  400 g,5.99,300,Hong Kong,Unclear,174,1200,1797,Weee,Dried Fruit,Unclear,Unclear
Lyfen Japanese-Style Seedless Prune 80 g,4.99,400,Mainland China,LYFEN,100,1600,1996,Weee,Dried Fruit,Unclear,Unclear
Preserved Dried Plums  170 g,5.79,200,Mainland China,Unclear,9,800,1158,Weee,Dried Fruit,Unclear,Unclear
Yimenggongshe Hawthorn Strips  280 g,3.29,400,Mainland China,Unclear,168,1600,1316,Weee,Dried Fruit,Unclear,Unclear
Sihong Jujube with Walnuts 500 g,12.99,300,Mainland China,SIHONG,108,1200,3897,Weee,Dried Fruit,Unclear,Unclear
"LLM Green Plum Snack, Green Tea Flavor 160 g",3.99,200,Mainland China,LLM,14,800,798,Weee,Dried Fruit,Unclear,Unclear
Bestore Dried Mango 108 g,4.79,200,Mainland China,Unclear,51,800,958,Weee,Dried Fruit,Unclear,Unclear
Yida Hawthorn Wafers 200 g,2.29,400,Mainland China,Unclear,102,1600,916,Weee,Dried Fruit,Unclear,Unclear
Yida Hawthorn Hard Jelly  150 g,1.99,500,Mainland China,Unclear,77,2000,995,Weee,Dried Fruit,Unclear,Unclear
YIFEN Candied Hawthorn Roll 125 g,1.99,400,Mainland China,LYFEN,21,1600,796,Weee,Dried Fruit,Unclear,Unclear
Hawthorn Jelly 135 g,3.69,600,Mainland China,Unclear,29,2400,2214,Weee,Dried Fruit,Unclear,Unclear
Big Green Hawthorn Jelly Candy 3.3 oz,1.59,100,Mainland China,Big Green,54,400,159,Weee,Dried Fruit,Unclear,Unclear
Crispy Red Dates 252 g,4.59,200,Mainland China,SIHONG,156,800,918,Weee,Dried Fruit,Unclear,Unclear
Sihong Crispy Sesame Dates 252 g,3.99,200,Mainland China,Unclear,84,800,798,Weee,Dried Fruit,Unclear,Unclear
Dried Date 500 g,10.89,50,Mainland China,Unclear,25,200,544.5,Weee,Dried Fruit,Unclear,Unclear
Happy Company Preserved Dried Plums 160 g,13.99,0,Japan,Unclear,9,0,0,Weee,Dried Fruit,Unclear,Unclear
Taiwan Seedless Plum Original  40 g,2.99,100,Taiwan,Unclear,1,400,299,Weee,Dried Fruit,Unclear,Unclear
"Rind Skin-On Dried Fruit, Straw-Peary 2.75 oz",5.79,0,United States,Unclear,1,0,0,Weee,Dried Fruit,Unclear,Unclear
"Pitted Preserved Plum, Tangerine Peel Flavor 60 g",3.59,200,Mainland China,Unclear,3,800,718,Weee,Dried Fruit,Unclear,Unclear
Coyote Hunt's Holy Crispy Natural Freeze-Dried Lychees 0.75 oz,4.99,50,Mainland China,Unclear,5,200,249.5,Weee,Dried Fruit,Unclear,Unclear
"Rind Skin On-Dried Fruit, Coco-Melon 2.75 oz",5.79,0,United States,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
Coyote Hunt's Holy Crispy Natural Freeze-Dried Jujube Date 0.75 oz,4.99,0,United States,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
Woodstock Farms Organic Dried Mango Slices 6 oz,7.99,50,United States,Unclear,0,200,399.5,Weee,Dried Fruit,Unclear,Unclear
Preserved Plum 4 oz,7.49,100,Taiwan,Unclear,2,400,749,Weee,Dried Fruit,Unclear,Unclear
iFactory Umeboshi Pickled Plum Taste Sheet  40 g,6.99,300,Japan,Unclear,0,1200,2097,Weee,Dried Fruit,Unclear,Unclear
Jir Aporn Solar Dried Banana 240 g,3.99,300,Thailand,Unclear,16,1200,1197,Weee,Dried Fruit,Unclear,Unclear
Vinamit Brand Mixed Fruit Chips 250 g,3.99,100,Vietnam,Unclear,6,400,399,Weee,Dried Fruit,Unclear,Unclear
Dragonfly Gooseberry with Chili 6 oz,2.69,50,Vietnam,Unclear,6,200,134.5,Weee,Dried Fruit,Unclear,Unclear
Taiwan Seedless Plum Honey Flavor  40 g,2.99,50,Taiwan,Unclear,1,200,149.5,Weee,Dried Fruit,Unclear,Unclear
Huihong Dried Bayberry 300 g,4.39,50,Mainland China,Unclear,0,200,219.5,Weee,Dried Fruit,Unclear,Unclear
Koushuiwa Marinated Spicy Lotus Roots 600 g,6.99,50,Mainland China,Koushuiwa,50,200,349.5,Weee,Dried Fruit,Unclear,Unclear
Simply Food Premium Dried Mangos 16 oz,12.49,50,Vietnam,Simply Food,4,200,624.5,Weee,Dried Fruit,Unclear,Unclear
"Dried Pitted Preserved Plum, Brown Sugar Flavor 36 g",2.79,200,Mainland China,Unclear,1,800,558,Weee,Dried Fruit,Unclear,Unclear
Hawthorn Berry Jam Stick 250 g,2.39,200,Mainland China,Unclear,17,800,478,Weee,Dried Fruit,Unclear,Unclear
Simply Food Premium Dried Mango 8 oz,7.29,50,Vietnam,Simply Food,16,200,364.5,Weee,Dried Fruit,Unclear,Unclear
American Best Ginger Slice Candy  7 oz,6.59,50,Vietnam,Unclear,0,200,329.5,Weee,Dried Fruit,Unclear,Unclear
7D Mangorind 90 g,2.29,100,Philippines,Unclear,2,400,229,Weee,Dried Fruit,Unclear,Unclear
FREEZE-Dried Strawberry 18G 18 g,5.99,100,Mainland China,Unclear,0,400,599,Weee,Dried Fruit,Unclear,Unclear
Ume House Brown Sugar Plum  50 g,4.49,50,Mainland China,Unclear,1,200,224.5,Weee,Dried Fruit,Unclear,Unclear
Taiwan Seedless Plum Chili Flavor 40 g,2.99,0,Taiwan,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
"SH Roasted Walnut, Five Spices Flavor  418 g",7.99,100,Mainland China,Unclear,13,400,799,Weee,Dried Fruit,Unclear,Unclear
Rock Candy Chinese Bayberries 10 oz 10 oz,7.29,50,Taiwan,Unclear,76,200,364.5,Weee,Dried Fruit,Unclear,Unclear
Preserved Olive 8 oz,6.29,100,Taiwan,Unclear,1,400,629,Weee,Dried Fruit,Unclear,Unclear
JHL Preserved Mango Chili 7 oz,2.89,0,Thailand,Unclear,1,0,0,Weee,Dried Fruit,Unclear,Unclear
Salted Dried Peach  170 g,5.99,0,Mainland China,Unclear,7,0,0,Weee,Dried Fruit,Unclear,Unclear
Trai Cay Say Mix Fruit Chips  7 oz,3.99,0,Vietnam,Unclear,1,0,0,Weee,Dried Fruit,Unclear,Unclear
Ume House Dried Plums 70 g,4.19,100,Mainland China,Ume House,11,400,419,Weee,Dried Fruit,Unclear,Unclear
Ume House Dried Honey Plums 80 g,4.49,200,Mainland China,Ume House,19,800,898,Weee,Dried Fruit,Unclear,Unclear
Plum Village Plum Powder  80 g,6.49,0,Taiwan,Unclear,15,0,0,Weee,Dried Fruit,Unclear,Unclear
Wholeberry Dried Delicious Passion Fruit Snack Rounds 8 oz,12.29,50,Vietnam,Unclear,48,200,614.5,Weee,Dried Fruit,Unclear,Unclear
Dried Crisp Winter Jujube  100 g,3.69,100,Mainland China,Unclear,31,400,369,Weee,Dried Fruit,Unclear,Unclear
Hawthorn Fruit Rolls 227 g,3.89,0,Mainland China,Unclear,2,0,0,Weee,Dried Fruit,Unclear,Unclear
"Preserved Plum Sheet, Original Flavor 52 g",3.49,100,Mainland China,Unclear,4,400,349,Weee,Dried Fruit,Unclear,Unclear
Meiguohui Yanjin Tangerine Peel 100 g,2.49,0,Mainland China,Unclear,1,0,0,Weee,Dried Fruit,Unclear,Unclear
Honey Wompee 120 g,3.49,0,Mainland China,Unclear,2,0,0,Weee,Dried Fruit,Unclear,Unclear
Bestore Candied Hawthorn Rolls 250 g,3.69,100,Mainland China,Unclear,1,400,369,Weee,Dried Fruit,Unclear,Unclear
CHUZA Spicy Dry Mango 4.5 oz,4.99,0,Mexico,CHUZA,1,0,0,Weee,Dried Fruit,Unclear,Unclear
Happy Full Seedless Plum 56 g,3.99,0,Mainland China,Unclear,1,0,0,Weee,Dried Fruit,Unclear,Unclear
Salted Dried Plum 180 g,5.99,0,Mainland China,Unclear,1,0,0,Weee,Dried Fruit,Unclear,Unclear
Shun Tai Crisp Plum 400 g,12.99,0,Taiwan,Unclear,7,0,0,Weee,Dried Fruit,Unclear,Unclear
Shun Tai Lu-Gu Tung Ting Tea Plum 400 g,12.99,0,Taiwan,Unclear,1,0,0,Weee,Dried Fruit,Unclear,Unclear
Salted Dried Plum 160 g,4.99,200,Mainland China,Unclear,6,800,998,Weee,Dried Fruit,Unclear,Unclear
Salted Dried Plums 190 g,5.99,0,Mainland China,Unclear,3,0,0,Weee,Dried Fruit,Unclear,Unclear
Shengkui Dried Hawthorn Fruit 90 g,2.49,0,Mainland China,Unclear,1,0,0,Weee,Dried Fruit,Unclear,Unclear
Preserved Plum 8 oz,7.49,200,Taiwan,Unclear,2,800,1498,Weee,Dried Fruit,Unclear,Unclear
Big Green Hawthorn Flakes  2.5 oz,1.19,50,Mainland China,Big Green,62,200,59.5,Weee,Dried Fruit,Unclear,Unclear
Big Green Freeze Dried Banana Slices 20 g,1.99,50,Mainland China,Big Green,11,200,99.5,Weee,Dried Fruit,Unclear,Unclear
Plum Village Premium Dried Plum 85 g,6.89,0,Taiwan,Unclear,1,0,0,Weee,Dried Fruit,Unclear,Unclear
Huihong Salted Preserved Peach 227 g,5.59,0,Mainland China,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
Huihong Dried Black Plum 340 g,5.59,200,Mainland China,Unclear,0,800,1118,Weee,Dried Fruit,Unclear,Unclear
"Mushroomstorm Plum Flakes, Mango Flavor 200 g",9.99,0,Mainland China,Mushroom Storm,2,0,0,Weee,Dried Fruit,Unclear,Unclear
"LLM Prune, Original Flavor  160 g",4.19,50,Mainland China,Unclear,1,200,209.5,Weee,Dried Fruit,Unclear,Unclear
LYFEN Sweet Plum 138 g,4.49,0,Mainland China,LYFEN,10,0,0,Weee,Dried Fruit,Unclear,Unclear
TenWow Han Dried Preserved Plum 115 g,4.99,50,Mainland China,TenWow,11,200,249.5,Weee,Dried Fruit,Unclear,Unclear
Farmers Grange Olive Snack 250 g,5.99,50,Mainland China,Unclear,5,200,299.5,Weee,Dried Fruit,Unclear,Unclear
Farmers Grange Preserved Ginger 160 g,5.99,0,Mainland China,Unclear,6,0,0,Weee,Dried Fruit,Unclear,Unclear
Farmers Grange Preserved Plum 230 g,5.99,0,Mainland China,Unclear,2,0,0,Weee,Dried Fruit,Unclear,Unclear
Koushuiwa Spicy Radish 640 g,6.59,200,Mainland China,Koushuiwa,39,800,1318,Weee,Dried Fruit,Unclear,Unclear
Plum Village Dried Plums  65 g,6.49,0,Taiwan,Unclear,24,0,0,Weee,Dried Fruit,Unclear,Unclear
Shun Tai Hawthorn Balls 200 g,9.99,0,Taiwan,Unclear,3,0,0,Weee,Dried Fruit,Unclear,Unclear
Shun Tai Natural Dried Red Guava Slices 150 g,9.99,0,Taiwan,Unclear,6,0,0,Weee,Dried Fruit,Unclear,Unclear
Shun Tai Smoked Damson Plum  180 g,9.49,0,Taiwan,Unclear,2,0,0,Weee,Dried Fruit,Unclear,Unclear
Dried Hawthorn  130 g,4.99,0,Mainland China,Unclear,5,0,0,Weee,Dried Fruit,Unclear,Unclear
FREEZE-Dried Durian 58g 58 g,8.99,50,Mainland China,Unclear,0,200,449.5,Weee,Dried Fruit,Unclear,Unclear
Jujube with Donkey Hide Gelatin 180 g,9.99,0,Mainland China,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
SE Dried Olive 185 g,5.29,0,Mainland China,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
SE Dried Peach 170 g,5.29,0,Mainland China,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
SE Dried Red Yangmei 200 g,5.29,0,Mainland China,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
Preserved Dried Big Plum  108 g,4.69,0,Mainland China,Unclear,3,0,0,Weee,Dried Fruit,Unclear,Unclear
CHUZA Spicy Dried Strawberry 4.5 oz,7.99,0,Mexico,CHUZA,0,0,0,Weee,Dried Fruit,Unclear,Unclear
"Preserved Plum Sheet, Perilla Flavor 52 g",3.49,400,Mainland China,Unclear,3,1600,1396,Weee,Dried Fruit,Unclear,Unclear
Dried Peach 227 g,6.49,50,Mainland China,Unclear,0,200,324.5,Weee,Dried Fruit,Unclear,Unclear
Dried Preserved Lover's Peach 340 g,6.49,0,Mainland China,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
Happy Full Greengage Plum Sheet 56 g,3.99,0,Mainland China,Unclear,2,0,0,Weee,Dried Fruit,Unclear,Unclear
CHUZA Dried Spicy Cranberry 4.5 oz,4.99,0,Mexico,CHUZA,1,0,0,Weee,Dried Fruit,Unclear,Unclear
Three Squirrels Fruit Dan Skin  208 g,5.99,50,Mainland China,THREE SQUIRRELS,6,200,299.5,Weee,Dried Fruit,Unclear,Unclear
Preserved Dried Salted Yangmei  200 g,5.99,0,Mainland China,Unclear,1,0,0,Weee,Dried Fruit,Unclear,Unclear
Shun Tai Perilla Plum 400 g,12.99,0,Taiwan,Unclear,5,0,0,Weee,Dried Fruit,Unclear,Unclear
Preserved Olives 230 g,5.99,0,Mainland China,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
Salted Dried Plum Strips 170 g,5.99,50,Mainland China,Unclear,7,200,299.5,Weee,Dried Fruit,Unclear,Unclear
Dried Salted Raisins 190 g,5.99,50,Mainland China,Unclear,4,200,299.5,Weee,Dried Fruit,Unclear,Unclear
LYFEN Hawthorn Sticks 130 g,2.69,200,Mainland China,LYFEN,6,800,538,Weee,Dried Fruit,Unclear,Unclear
Big Green Freeze Dried Peach Slices 20 g,1.69,0,Mainland China,Big Green,2,0,0,Weee,Dried Fruit,Unclear,Unclear
Shun Tai Preserved Plum Mix 750 g,19.99,0,Taiwan,Unclear,11,0,0,Weee,Dried Fruit,Unclear,Unclear
"GLT Candied Haws Skewers, Original and Bean Paste Flavors  1 each",11.99,0,Mainland China,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
"Hawthorn Berry Strips, Crabapple Flavor 180 g",5.29,200,Mainland China,Unclear,2,800,1058,Weee,Dried Fruit,Unclear,Unclear
"Hawthorn Berry Strips, Lime Flavor 180 g",5.29,50,Mainland China,Unclear,1,200,264.5,Weee,Dried Fruit,Unclear,Unclear
Green Pickled Plums 250 g,8.99,50,Taiwan,Unclear,25,200,449.5,Weee,Dried Fruit,Unclear,Unclear
Chuan Zhi Wei Crispy Dates 100 g,3.69,0,Mainland China,Unclear,1,0,0,Weee,Dried Fruit,Unclear,Unclear
Plum Tablets 450 g,14.99,3,Taiwan,Unclear,10,12,44.97,Weee,Dried Fruit,Unclear,Unclear
Miwango Dried Irwin Mangoes 75 g,8.49,0,Taiwan,Unclear,2,0,0,Weee,Dried Fruit,Unclear,Unclear
TenWow Salted Preserved Half Plum  115 g,5.66,0,Mainland China,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
KAT FAT Chan Pui Ying Che 400 g,7.69,0,Mainland China,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
Preserved Plum 8 oz,7.49,0,Taiwan,Unclear,2,0,0,Weee,Dried Fruit,Unclear,Unclear
Preserved Fruit 8 oz,7.49,50,Taiwan,Unclear,2,200,374.5,Weee,Dried Fruit,Unclear,Unclear
Jinye Hawthorn Jelly Stick 108 g,3.29,100,Mainland China,Unclear,0,400,329,Weee,Dried Fruit,Unclear,Unclear
Ume House Black Plum 80 g,4.49,50,Mainland China,Unclear,1,200,224.5,Weee,Dried Fruit,Unclear,Unclear
Tang Yao Food Dried Jujube 265 g,8.69,0,Mainland China,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
WanXingLong Shredded Dry Fig Peach Flavor 10pk 150 g,10.69,0,Mainland China,WanXingLong,0,0,0,Weee,Dried Fruit,Unclear,Unclear
【DMDQ】Dried Red Dates 500g 500 g,9.99,0,Mainland China,Unclear,1,0,0,Weee,Dried Fruit,Unclear,Unclear
TenWow Han Preserved Plum 150 g,4.99,50,Mainland China,TenWow,12,200,249.5,Weee,Dried Fruit,Unclear,Unclear
YM Jujube Cake with Osmanthus 168 g,4.99,50,Mainland China,Unclear,9,200,249.5,Weee,Dried Fruit,Unclear,Unclear
Hongluo Assorted Preserves 400 g,9.39,0,Mainland China,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
SESAME COOKIES 7.05 oz,4.69,200,Taiwan,Unclear,9,800,938,Weee,Dried Fruit,Unclear,Unclear
Huihong Dried Starfruit 227 g,5.59,50,Mainland China,Unclear,0,200,279.5,Weee,Dried Fruit,Unclear,Unclear
Huihong Half Dried Peach 284 g,5.59,0,Mainland China,Unclear,2,0,0,Weee,Dried Fruit,Unclear,Unclear
Haoweijia Dried Pulm 132 g,4.09,100,Mainland China,Unclear,0,400,409,Weee,Dried Fruit,Unclear,Unclear
Pickled Bamboo Shoot 200 g,3.39,100,Mainland China,Unclear,0,400,339,Weee,Dried Fruit,Unclear,Unclear
KAT FAT Chan Pui Mui 400 g,7.69,0,Mainland China,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
Shun Tai Natural Dried Aiwen Mango Slices  150 g,11.59,3,Taiwan,Unclear,3,12,34.77,Weee,Dried Fruit,Unclear,Unclear
Hawthorn Cake 90 g,0.89,400,Mainland China,Unclear,8,1600,356,Weee,Dried Fruit,Unclear,Unclear
Farmers Grange Sweet Preserved Dried Plum  108 g,2.99,200,Mainland China,Farmers Grange,48,800,598,Weee,Dried Fruit,Unclear,Unclear
Chan Pui Ying Che Seedless Preserved Plums 400 g,6.89,50,Mainland China,Unclear,99,200,344.5,Weee,Dried Fruit,Unclear,Unclear
Lyfen Dried Durian 30 g,4.99,0,Mainland China,LYFEN,102,0,0,Weee,Dried Fruit,Unclear,Unclear
Big Green Hawthorn Berry Balls 5.9 oz,2.79,0,Mainland China,Big Green,120,0,0,Weee,Dried Fruit,Unclear,Unclear
Jack Fruit Chips  250 g,3.59,900,Vietnam,Unclear,118,3600,3231,Weee,Dried Fruit,Unclear,Unclear
Farmers Grange Preserved Plum 230 g,5.99,100,Mainland China,Unclear,11,400,599,Weee,Dried Fruit,Unclear,Unclear
Three Squirrels Dried Mango 116 g,4.99,0,Mainland China,Unclear,3,0,0,Weee,Dried Fruit,Unclear,Unclear
SYZ Dried Apricots  110 g,4.29,0,Mainland China,Unclear,1,0,0,Weee,Dried Fruit,Unclear,Unclear
JUBES NATA DE COCO BUKO PANDAN 12.7 oz,1.99,50,Indonesia,Unclear,1,200,99.5,Weee,Dried Fruit,Unclear,Unclear
Dried Plum 90 g,3.19,0,Mainland China,Unclear,0,0,0,Weee,Dried Fruit,Unclear,Unclear
LYFEN Seedless Hawthorn Fruits  188 g,4.59,0,Mainland China,LYFEN,4,0,0,Weee,Dried Fruit,Unclear,Unclear
Miwango Dried Guava 100 g,7.99,0,Taiwan,Unclear,2,0,0,Weee,Dried Fruit,Unclear,Unclear
Big Green Freeze Dried Apple Slices 20 g,1.29,0,Mainland China,Big Green,4,0,0,Weee,Dried Fruit,Unclear,Unclear
