Product_Name,Reviews,Price,Option,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
Gummy Candy 100% Fruit Juice (mango) 150g,6,2.39,No,United States,3.5,Yami,Juice,100,400,239
"100% Kale Green Mix Juice, 3g x 22 bag",2,14.99,No,Japan,5,Yami,Juice,100,400,1499
Fermented Juice Probiotic Rich Cleanse Drink 30ml *14,5,36.99,No,Australia,5,Yami,Juice,25,100,925
(One-Month Supply)Pumpkin+Manuka Honey Juice Squeeze 7Packetsx30mlx4box+Carbmaster Milk Bites Strawberry Flavor 60Tablet,0,106.99,2 Options,Australia,0,Yami,Juice,25,100,2675
Coconut Juice 240ml,11,1.49,No,Hong Kong,4.8,Yami,Juice,200,800,298
Apple Juice 160ml,1,2.99,No,Mainland China,3,Yami,Juice,200,800,598
ABC Juice 100ml x 10 Packs,1,18.5,2 Options,Korea,5,Yami,Juice,300,1200,5550
(3-Box Combo)Pumpkin + Manuka Honey Juice Squeeze 7 Packets x 30ml x3,2,58.99,No,Australia,5,Yami,Juice,50,200,2950
Rice Bean Coix Seed Quinoa Chickpea Traditionally Fermented Juice 500ml,0,39.99,3 Options,Australia,0,Yami,Juice,50,200,2000
Boysenberry Raspberry Sweet Cherry Blueberry Traditionally Fermented Juice 500ml,0,39.99,3 Options,Australia,0,Yami,Juice,50,200,2000
Tint Water 03 Orange Juice 5.5ml,0,6,1 Options,Korea,0,Yami,Juice,500,2000,3000
Korean Red Onion Extract Juice 100% Natural No Sugar or Water Added 100ml x 10 pouches,0,21.95,No,Korea,0,Yami,Juice,300,1200,6585
Pair Hart Sister Juice 370ML Human Lubricant Lubricant Sex Toys Famous House,0,69.9,No,Japan,0,Yami,Juice,25,100,1748
Pi Girl Juice Pi Girl Sister Lubricant Lubricant,0,26.9,2 Options,United States,0,Yami,Juice,300,1200,8070
Anime famous lubricating liquid girl juice water-soluble moisturizing body masturbation lubricant couple red bottle,0,23,2 Options,Japan,0,Yami,Juice,300,1200,6900
Virgin juice water-soluble human lubricant private parts sex lubricant thick silky sister juice,0,26.5,No,Mainland China,0,Yami,Juice,300,1200,7950
Meng juice human body lubricating oil famous device men's orgasm agent refreshing disposable [230ML] pack,0,30.8,2 Options,Mainland China,0,Yami,Juice,25,100,770
Sister Juice 370ML Human Body Lubricant Lubricant Oil Sex Toys,0,51.9,No,Japan,0,Yami,Juice,25,100,1298
New barley green juice powder dietary fiber meal replacement powder 75g,0,28.8,No,Mainland China,0,Yami,Juice,25,100,720
Virgin juice water-soluble human lubricant private parts sex lubricating oil refreshing disposable sister juice,0,23.5,No,Mainland China,0,Yami,Juice,300,1200,7050
Pulp Juice Chewable Gummy Plum Flavor 56g,0,2.99,No,Japan,0,Yami,Juice,200,800,598
Pi Girl Juice Pi Girl Sister Lubricant Lubricant,0,26.9,2 Options,United States,0,Yami,Juice,300,1200,8070
Anime famous lubricating liquid girl juice water-soluble moisturizing body masturbation lubricant couple blue bottle,0,23,2 Options,Japan,0,Yami,Juice,300,1200,6900
Cute juice human body lubricating male orgasm agent for couples' intercourse powder bottle [viscous version] 230ML,0,30.8,2 Options,Mainland China,0,Yami,Juice,25,100,770
Black Fungus Juice 300g(Limited to 5 bottles),2,4.74,No,Taiwan,5,Yami,Juice,1000,4000,4740
Canned 100% Pineapple Juice 350ml  (Limited to 5 cans),0,3.79,No,Taiwan,0,Yami,Juice,200,800,758
Household small electric multi-function mixer mini minced meat juice QSJ-P01A1 brown,0,59.9,No,Mainland China,0,Yami,Juice,25,100,1498
Fruit Juice Pudding Litchi 100g*4pcs,3,9.49,No,Taiwan,4.7,Yami,Juice,200,800,1898
Glass Cup Tea Coffee Mug Ice Cup Heat Resistant Insulated Glass Cup Creative Juice 520ml Green,0,38,5 Options,Mainland China,0,Yami,Juice,25,100,950
USB wire25 charging juicer juice machine electric mini slag juice separation fruit small juice machine blue version,0,103,2 Options,Mainland China,0,Yami,Juice,25,100,2575
Fruit Juice Pudding Strawberry 100g*4pcs(Shelf life:2022/5/12),0,5.99,No,Taiwan,0,Yami,Juice,1000,4000,5990
Rechargeable Portable Blender Mixer Juicer Juice Citrus Lemon Vegetable Fruit Smoothie Squeezers Blue 1 pc,0,59.23,2 Options,Mainland China,0,Yami,Juice,25,100,1481
NITTO White Peach Fruit Juice Tea 240g,0,6.68,No,Japan,0,Yami,Juice,200,800,1336
Lulu Cup Real Juice Meng Liquid Aircraft Cup Famous Lubricant 210ml Lubricant A27 Hot,0,24,3 Options,Mainland China,0,Yami,Juice,300,1200,7200
Anime famous 20pro male inverted model real vagina masturbation jet cup juice sister type,1,64.9,3 Options,Mainland China,5,Yami,Juice,25,100,1623
Household small mini portable multifunctional juice machine LLJ-P03H1 blue,0,45.4,2 Options,Mainland China,0,Yami,Juice,25,100,1135
JAPAN Vegetable Juice 125ml,1,2.8,2 Options,Japan,5,Yami,Juice,200,800,560
Rechargeable Blender Mixer Portable Mini Juice Machine Smoothie Maker Household Juice Extractor White 1 pc,0,69.93,3 Options,Mainland China,0,Yami,Juice,25,100,1748
Lipice Fruity Lip Balm With Real Fruit Juice Lemon 3.5g,0,7.99,No,United States,0,Yami,Juice,200,800,1598
Lu Lu Cup Real Juice Meng Liquid Aircraft Cup Famous Lubricant 210 ml Lubricant A19 Grinding Stick,0,21.6,3 Options,Mainland China,0,Yami,Juice,300,1200,6480
Bubble Juicer Cup Wire25 Portable Juice Cup,0,112,5 Options,Mainland China,0,Yami,Juice,25,100,2800
Household small wire25 electric mini cooking fruit juice cup cherry blossom pink,0,79.4,2 Options,Mainland China,0,Yami,Juice,25,100,1985
Fruit Juice Pudding Mango100g*4 pcs,0,9.49,No,Taiwan,0,Yami,Juice,200,800,1898
Bubble Juicer Cup Wire25 Portable Juice Cup Lilac Purple,0,112,5 Options,Mainland China,0,Yami,Juice,25,100,2800
COCOALAND LOT100 Yogurt Gummy Fruits Juice Flavor 60g,0,5.59,3 Options,Malaysia,0,Yami,Juice,500,2000,2795
ISDG Barley Green Leaf Juice 50bags,0,48.68,No,Japan,0,Yami,Juice,25,100,1217
Korean Red Onion Extract Juice 100% Natural No Sugar or Water Added 100ml x 10 pouches,0,27.95,No,Korea,0,Yami,Juice,300,1200,8385
Household small wire25 electric mini cooking fruit juice cup avocado green,0,79.4,2 Options,Mainland China,0,Yami,Juice,25,100,1985
Green Juice Smoothie Mixed Fruit and Vegetable Flavour Dietary Fiber,0,67.34,No,Japan,0,Yami,Juice,25,100,1684
White Fungus Juice 235g(Limited to 5 bottles),1,7.59,No,Taiwan,5,Yami,Juice,100,400,759
Real Juice Meng Liquid Airplane Cup Famous Lubricant Heat Sensitive 210ml Lubricant A27 Hot,2,24,3 Options,Mainland China,5,Yami,Juice,300,1200,7200
Rechargeable Blender Mixer Portable Mini Juice Machine Smoothie Maker Household Juice Extractor Blue 1 pc,0,69.93,3 Options,Mainland China,0,Yami,Juice,25,100,1748
JAPAN Vegetable Juice  125ml,1,2.8,2 Options,Japan,5,Yami,Juice,200,800,560
Glass Cup Tea Coffee Mug Ice Cup Heat Resistant Insulated Glass Cup Creative Juice 520ml Deep Pink,0,38,5 Options,Mainland China,0,Yami,Juice,25,100,950
USB wire25 charging juicer juice machine electric mini slag juice separation fruit small juice machine white model,0,103,2 Options,Mainland China,0,Yami,Juice,25,100,2575
Glass Cup Tea Coffee Mug Ice Cup Heat Resistant Insulated Glass Cup Creative Juice 520ml Yellow,0,38,5 Options,Mainland China,0,Yami,Juice,25,100,950
COCOALAND LOT100 Yogurt Gummy With mango Juice 60g,0,5.59,3 Options,Malaysia,0,Yami,Juice,500,2000,2795
This gas juice foam mousse lubricating fluid appliance lubricating lubricant 200ml,1,69.9,No,Mainland China,5,Yami,Juice,25,100,1748
Girl juice dark blue super COOL lubricant liquid water-soluble flirting adult products,0,34.7,No,Japan,0,Yami,Juice,200,800,6940
Water-soluble human lubricant private parts lubricating oil refreshing disposable sister juice hot skin-friendly,0,22.9,No,Mainland China,0,Yami,Juice,300,1200,6870
Lulu Cup Real Juice Cute Liquid Aircraft Cup Famous Lubricant 210ml Lubricant A23 Slimy,0,19.6,3 Options,Mainland China,0,Yami,Juice,300,1200,5880
Rechargeable Portable Blender Mixer Juicer Juice Citrus Lemon Vegetable Fruit Smoothie Squeezers Pink 1 pc,0,59.23,2 Options,Mainland China,0,Yami,Juice,25,100,1481
Heart-shaped Fruit Juice Collagen Jelly White Peach Flavor 54g,0,2.9,No,Japan,0,Yami,Juice,200,800,580
KOREA EROM Pear & Balloon Flower Root Juice 30pouches,0,95,No,Korea,0,Yami,Juice,25,100,2375
COCOALAND LOT100 Yogurt Gummy With Grape Juice 60g,0,5.59,3 Options,Malaysia,0,Yami,Juice,500,2000,2795
Bubble Juicer Cup Wire25 Portable Juice Cup Light Luxury Blue,0,112,5 Options,Mainland China,0,Yami,Juice,25,100,2800
Rechargeable Blender Mixer Portable Mini Juice Machine Smoothie Maker Household Juice Extractor Pink 1 pc,3,69.93,3 Options,Mainland China,4.3,Yami,Juice,25,100,1748
Glass Cup Tea Coffee Mug Ice Cup Heat Resistant Insulated Glass Cup Creative Juice 520ml Pink,0,38,5 Options,Mainland China,0,Yami,Juice,25,100,950
Household fruit small portable multi-function fried juice cup blue type,0,79,No,Mainland China,0,Yami,Juice,25,100,1975
Real juice cute liquid airplane cup famous device lubricating oil scrub brushed 210 ml lubricating fluid A19 grinding stick,0,21.6,3 Options,Mainland China,0,Yami,Juice,300,1200,6480
Lipice Fruity Lip Balm With Real Fruit Juice Apple 3.5g,0,7.99,No,United States,0,Yami,Juice,200,800,1598
Bubble Juicer Cup Wire25 Portable Juice Cup Coconut Milk White,0,112,5 Options,Mainland China,0,Yami,Juice,25,100,2800
Floral sister juice fun lubricating oil husband and wife room fun rose flower fragrance,0,30.8,3 Options,Japan,0,Yami,Juice,300,1200,9240
Floral sister juice fun lubricating oil husband and wife room fun color25 original style,0,28.4,3 Options,Japan,0,Yami,Juice,300,1200,8520
Floral girl juice fun lubricating oil for couples room fun cool mint,0,30.8,3 Options,Japan,0,Yami,Juice,300,1200,9240
VITA Lemon Tea 250ml,745,0.89,5 Options,Hong Kong,4.8,Yami,Juice,25,100,22
"Peach Sparkling Water, 16.2 fl oz",1072,2.29,9 Options,Mainland China,4.8,Yami,Juice,25,100,57
Herbal Drink 10.9 fl oz,189,1.09,2 Options,Mainland China,4.8,Yami,Juice,25,100,27
"Jasmine Green Tea with Honey, 500ml",399,1.49,11 Options,Mainland China,4.9,Yami,Juice,25,100,37
"Lemon Iced Tea, 500ml",861,1.49,11 Options,Mainland China,4.9,Yami,Juice,25,100,37
KVASS Bread Fermented Beverage 330ml,325,1.49,No,Mainland China,4.7,Yami,Juice,25,100,37
VITA HK Style Milk Tea 250ml,682,1.04,2 Options,Hong Kong,4.6,Yami,Juice,25,100,26
White Strawberry &coconut Flavor Soda Sparkling Water Can 330ml,77,1.49,7 Options,Mainland China,4.5,Yami,Juice,25,100,37
"Osmanthus Plum Drink, 300ml",748,2.29,No,Mainland China,4.8,Yami,Juice,25,100,57
Sparkling Water(Pineapple&Sea Salt) 480ml,23,2.29,9 Options,Mainland China,4.6,Yami,Juice,25,100,57
"Low Sugar Green Tea Honey Jasmine Flavor, 500ml",197,1.49,11 Options,Mainland China,4.8,Yami,Juice,25,100,37
"Herbal Beverage, 10.9 fl oz,  Pack of 6",384,5.99,2 Options,Mainland China,4.9,Yami,Juice,25,100,150
Yogurt Flavor  Sparkling Water 480ml,88,1.99,No,Mainland China,4.9,Yami,Juice,25,100,50
"Low Sugar Jasmine Green Tea, 500ml",324,1.49,11 Options,Mainland China,4.9,Yami,Juice,25,100,37
"Peach Oolong Tea, 16.9 fl oz",438,2.29,4 Options,Mainland China,4.8,Yami,Juice,25,100,57
"Crystal Sugar Pear Drink, 500ml",258,1.49,11 Options,Mainland China,4.7,Yami,Juice,25,100,37
Genki Forest Sparkling Water Lime and Cactus Flavor 480ml,7,2.29,No,Mainland China,4.4,Yami,Juice,100,400,229
VITA Chrysanthemum Tea 250ml,136,0.79,4 Options,Hong Kong,4.7,Yami,Juice,25,100,20
Guang Pineapple Drink 330ml,7,1.79,2 Options,Mainland China,5,Yami,Juice,100,400,179
"Sour Plum Drink, 500ml",376,1.49,11 Options,Mainland China,4.6,Yami,Juice,25,100,37
Black Grape Soda Sparkling Water 480ml,60,2.29,9 Options,Mainland China,4.7,Yami,Juice,25,100,57
"Honey Citron Drink, 500ml",270,1.49,11 Options,Mainland China,4.7,Yami,Juice,25,100,37
Corn Silk Tea 480ml,3,2.49,No,Mainland China,5,Yami,Juice,200,800,498
Genki Sparkling Water Lychee Flavor Cans 330ml,89,1.49,7 Options,Mainland China,4.8,Yami,Juice,25,100,37
"Plum Sparkling Water, 16.2 fl oz",266,2.29,9 Options,Mainland China,4.7,Yami,Juice,25,100,57
ICE PEAK Orange Soda 330ml,143,1.39,2 Options,Mainland China,4.7,Yami,Juice,25,100,35
Sugar Free Oolong Tea 500ml,220,2.29,4 Options,Mainland China,4.6,Yami,Juice,25,100,57
Peach Red Pomelo Tea 400ml,192,1.99,5 Options,Mainland China,4.5,Yami,Juice,25,100,50
HBL Lychee Drink 330ml,68,1.29,No,Mainland China,4.5,Yami,Juice,25,100,32
Red Bean Purple Rice Coix Seed Drink 15g*30,272,14.29,2 Options,United States,4.9,Yami,Juice,25,100,357
VITA 25 Sugar Chrysanthemum Tea 250ml,156,0.79,4 Options,Hong Kong,4.8,Yami,Juice,25,100,20
MizNe Vitamin Drink Peach Flavor 600ml,48,1.99,6 Options,Mainland China,4.9,Yami,Juice,25,100,50
"Citrus Sparkling Water, 16.2 fl oz",353,2.29,9 Options,Mainland China,4.8,Yami,Juice,25,100,57
Sparkling Peach Soda 300ml,2,2.79,No,Mainland China,5,Yami,Juice,200,800,558
Lychee Naturally  Artificially Flavored Non Carbonated Soft Drink 1.5L,6,3.29,No,Japan,5,Yami,Juice,200,800,658
Guang's Pineapple Drink 330ml*6,21,9.99,2 Options,Mainland China,4.9,Yami,Juice,25,100,250
"Orange Soda, 11.16 fl oz",203,1.59,3 Options,Mainland China,4.8,Yami,Juice,25,100,40
Iced Lemon Black Tea 500ml,35,1.39,No,Taiwan,4.6,Yami,Juice,25,100,35
VITA Ceylon Lemon Tea 250ml,257,0.79,5 Options,Hong Kong,4.9,Yami,Juice,25,100,20
Genki Sparkling Water Yogurt Flavor 330ml,26,1.49,7 Options,Mainland China,4.8,Yami,Juice,25,100,37
Pocari Sweat Soft Drink 500ml,1,3.29,No,Korea,5,Yami,Juice,200,800,658
Alien Electrolyte Water Grapefruit 500ml,30,2.29,No,Mainland China,4.9,Yami,Juice,25,100,57
Ramune Soda Original 400ml,0,2.69,No,Japan,0,Yami,Juice,200,800,538
Nectar Shine Muscat Soda 410ml,3,2.49,No,Japan,4.7,Yami,Juice,200,800,498
Grass Jelly Drink Original 310ml,31,0.99,4 Options,Taiwan,4.4,Yami,Juice,25,100,25
Sparkling Water Peach Flavor 500ml,2,2.99,No,Mainland China,5,Yami,Juice,200,800,598
Sencha Green Tea 460ml,3,1.6,No,Mainland China,4.7,Yami,Juice,200,800,320
Bubble Milk Tea Drink Taro Flavor 350g,7,1.29,No,Taiwan,4.7,Yami,Juice,200,800,258
Chocolate Milk 215ml*6,1,12.99,No,Taiwan,5,Yami,Juice,200,800,2598
VITA Honey Chrysanthemum Tea 250ml,77,0.79,4 Options,Hong Kong,4.8,Yami,Juice,25,100,20
MizNe Vitamin Drink Lime Flavor 600ml,34,1.99,6 Options,Mainland China,4.9,Yami,Juice,25,100,50
Earl Grey Milk Tea 300ml,0,8.99,No,Taiwan,0,Yami,Juice,200,800,1798
Rock Sugar Lime Drink 500ml,2,1.49,No,Mainland China,5,Yami,Juice,200,800,298
Zero Degree Lemon Green Tea 455ml,3,1.29,No,Vietnam,4.3,Yami,Juice,200,800,258
Lemon Tea 250ml*6,5,4.99,No,Mainland China,5,Yami,Juice,200,800,998
Salty Lemon Isotonic Drink 455ml,1,1.29,No,Vietnam,5,Yami,Juice,300,1200,387
Dry Zero Soft Drink 350ml,13,3.59,No,Japan,4.8,Yami,Juice,200,800,718
Milkis Peach Flavor 250ml,141,1.09,6 Options,Korea,4.8,Yami,Juice,25,100,27
Grapefruit Jasmine Tea 500ml,149,1.99,5 Options,Mainland China,4.8,Yami,Juice,25,100,50
Apricot Drink 300ml,10,2.99,4 Options,Mainland China,4.1,Yami,Juice,200,800,598
Bubble Milk Tea Drink Thai Tea Flavor,8,1.29,No,Taiwan,4.9,Yami,Juice,100,400,129
Peach Oolong Tea 500 ml,176,1.99,5 Options,Mainland China,4.8,Yami,Juice,25,100,50
SNOW Rose and Lychee Flavor Soda  500ml,0,2.99,No,Mainland China,0,Yami,Juice,200,800,598
Unsweetened Jasmine Green Tea 500ml,48,1.99,8 Options,Japan,4.8,Yami,Juice,25,100,50
VITA Winter Honey & Lime Tea 250ml,174,0.79,2 Options,Hong Kong,4.6,Yami,Juice,25,100,20
WATSONS Collagen Water Lychee Flavor  400ml,1,3.49,No,Hong Kong,5,Yami,Juice,50,200,175
Okinawa Salted Lychee Drink 500ml,122,2.49,No,Japan,4.6,Yami,Juice,25,100,62
?€?Dragon Ball Collaboration?€?OCEAN BOMB White Grape Flavor Soda 330ml,0,2.59,No,Mainland China,0,Yami,Juice,200,800,518
Big Apple Soda Drink 330ml,1,1.99,No,Taiwan,4,Yami,Juice,200,800,398
Thai Lime Tea 400ml,102,2.49,5 Options,Mainland China,4.5,Yami,Juice,25,100,62
?€?Dragon Ball Collaboration?€?OCEAN BOMB Orange Flavor Soda 330ml,0,2.59,No,Mainland China,0,Yami,Juice,200,800,518
?€?Dragon Ball Collaboration?€?OCEAN BOMB Apple Flavor Soda 330ml,0,2.59,No,Mainland China,0,Yami,Juice,200,800,518
?€?Dragon Ball Collaboration?€?OCEAN BOMB Vanilla Flavor Soda 330ml,0,2.59,No,Mainland China,0,Yami,Juice,200,800,518
Dry Zero Free Soft Drink 11.83floz,1,3.49,No,Japan,5,Yami,Juice,200,800,698
Sparkling Water Peach Flavor 500ml,128,2.49,2 Options,Mainland China,4.9,Yami,Juice,25,100,62
Rice Punch 2L,0,4.89,No,Korea,0,Yami,Juice,200,800,978
Fruit Tea Red Pomegranate White Grapes 400ml,0,2.49,No,Mainland China,0,Yami,Juice,200,800,498
Aloe Drink Pineapple 500ml,0,1.89,No,Korea,0,Yami,Juice,200,800,378
Mitsuya Frozen Pouch 155g,1,2.69,No,Japan,5,Yami,Juice,200,800,538
Refreshing Water 2% Peach 240ml,90,1.09,No,Korea,4.3,Yami,Juice,25,100,27
Gogo No Kocha Milk Tea 500ml,10,2.99,No,Japan,4.8,Yami,Juice,200,800,598
All free Sparkling Malt and Hops Beverage 4pack 1400ml,1,7.99,No,Japan,4,Yami,Juice,100,400,799
Chrysanthemum Tea Drink 300ml,7,1.09,15 Options,Singapore,4.7,Yami,Juice,200,800,218
SUNTORY NACHAN 50.72floz,0,6.49,No,Japan,0,Yami,Juice,200,800,1298
Coconut Drink with Pulp Plant-based Protein Drink 420ml,0,3.19,No,Mainland China,0,Yami,Juice,200,800,638
POKKA Peach Oolong Tea 300ml,72,1.89,No,Japan,4.5,Yami,Juice,25,100,47
Drip Bag Black Coffee   24 packs,0,34.99,No,Mainland China,0,Yami,Juice,25,100,875
Unsweetened Oolong Tea 2L,34,4.99,No,Japan,5,Yami,Juice,25,100,125
WATSONS Collagen Water Orange Flavor  400ML,0,3.49,No,Hong Kong,0,Yami,Juice,200,800,698
Sparkling Water Peach Flavor 16.9floz,0,2.69,No,Japan,0,Yami,Juice,200,800,538
VITALON Ice-Brewed Green Tea 335ml,1,2.09,No,Taiwan,4,Yami,Juice,200,800,418
Yowanai Soda Yuzu Flavor 350ml,157,2.29,3 Options,Japan,4.5,Yami,Juice,25,100,57
Veggie Shot Wellness 862g,0,5.99,No,Japan,0,Yami,Juice,500,2000,2995
?€?Editors' Pick?€?Sparkling Yuzu with Calpico Drink,0,4.29,No,Unclear,0,Yami,Juice,200,800,858
Basil Seed Drink Passion Fruit Flavor 9.8oz,0,1.69,No,Mainland China,0,Yami,Juice,200,800,338
Body Maintenance Drink,1,3.49,No,Japan,5,Yami,Juice,200,800,698
Herbal Tea 550ml,0,1.89,No,Mainland China,0,Yami,Juice,200,800,378
Sarsaparilla Drink Carbonated Soda 330ml,15,0.99,No,Taiwan,4.9,Yami,Juice,25,100,25
Melon Cream Soda 11.83oz,8,1.29,No,Japan,4.5,Yami,Juice,200,800,258
JANS - 100% COCONUT WATER WITH PULP,0,1.89,No,Indonesia,0,Yami,Juice,200,800,378
Sparkling Yuzu Water 250ml,27,2.99,4 Options,Japan,4.8,Yami,Juice,25,100,75
Sparkling Water White Peach Flavor 450ml,71,1.99,No,Mainland China,4.8,Yami,Juice,25,100,50
Basil Seed Pomegranate Flavor 9.8oz,0,1.69,No,Mainland China,0,Yami,Juice,200,800,338
Raw Tea,0,2.99,No,Japan,0,Yami,Juice,200,800,598
Mangosteen Drink 10.5oz,0,1.69,No,Mainland China,0,Yami,Juice,200,800,338
Jasmine Green Tea 300ml,46,1.89,No,Japan,4.7,Yami,Juice,25,100,47
Unsweetened Green Tea O-I Ocha 2L,4,4.89,No,Japan,5,Yami,Juice,200,800,978
Unsweetened Green Tea With Roasted Rice 500ml,44,1.99,8 Options,Japan,4.8,Yami,Juice,25,100,50
Milkis Apple Flavor 250ml,89,1.09,6 Options,Korea,4.8,Yami,Juice,25,100,27
Unsweetened Green Tea 500ml,60,1.99,8 Options,Japan,4.9,Yami,Juice,25,100,50
Lemon Tea 500ml,34,3.49,5 Options,Japan,4.8,Yami,Juice,25,100,87
Peach Flavored Drink 500ml,57,1.49,No,Mainland China,4.8,Yami,Juice,25,100,37
VitaminI C Red Grape Ddink 500ml,4,1.49,No,Mainland China,4.8,Yami,Juice,200,800,298
NACCHAN BUDO,0,6.49,No,Japan,0,Yami,Juice,200,800,1298
Hotfruits Passion Fruits Popsicle (Room Temperature),0,15.99,No,Mainland China,0,Yami,Juice,100,400,1599
Veggie Shot Immunity 862g,0,5.99,No,Japan,0,Yami,Juice,500,2000,2995
Non Alcohol Japanese Premium 100% Fruit Ume Plum Drink 700ml,10,16.99,No,Japan,5,Yami,Juice,50,200,850
Watermelon Soda 300ml,65,2.59,5 Options,Japan,4.2,Yami,Juice,25,100,65
Jasmine Fruit Tea 500ml,0,1.49,No,Mainland China,0,Yami,Juice,200,800,298
Lapsang Souchong BoBa Milk Tea 83g,13,3.89,3 Options,Mainland China,4.7,Yami,Juice,200,800,778
Unsweetened Golden Oolong Tea 500ml,27,1.99,8 Options,Japan,4.9,Yami,Juice,25,100,50
Carbonated Soft Drink Soda Original Flavor 335ml,11,1.39,No,Japan,4.8,Yami,Juice,200,800,278
WANTWANT Smoothie Vanilla & Blueberry Peach Flavor 320ml,12,5.59,No,Taiwan,4.3,Yami,Juice,200,800,1118
?€?Dragon Ball Collaboration?€?OCEAN BOMB Peach Flavor Soda 330ml,0,2.59,No,Mainland China,0,Yami,Juice,200,800,518
Yuzu Sparkling Water 12oz,0,2.29,No,United States,0,Yami,Juice,300,1200,687
Muskmelon Soda 300ml,21,2.49,5 Options,Japan,4.4,Yami,Juice,25,100,62
Zero-Hi Grapefruit 350ml,4,2.29,3 Options,Japan,4.8,Yami,Juice,200,800,458
Aloe Drink 1500ml,13,3.39,No,Japan,4.9,Yami,Juice,200,800,678
Zero-Hi Lemon Soft Drink 350ml,3,2.29,3 Options,Japan,5,Yami,Juice,200,800,458
EMeiXue Soda Lychee 500ml,10,2.09,No,Mainland China,4.6,Yami,Juice,200,800,418
