Brand,Category,Option,Origin,Platform,Price,Product_Name,Rate,Reviews,Sold_Monthly,Sold_Weekly,Weekly_Revenue,Weekly_revenue,Sold_Weekly_Group,Price_Group
,Juice,No,Hong Kong,Yami,1.49,Coconut Juice 240ml,4.8,11,800,200,298.0,,100+,Less than 2
,Juice,No,Mainland China,Yami,2.99,Apple Juice 160ml,3.0,1,800,200,598.0,,100+,2+
,Juice,2 Options,Korea,Yami,18.5,ABC Juice 100ml x 10 Packs,5.0,1,1200,300,5550.0,,200+,16+
,Juice,No,Australia,Yami,58.99,(3-Box Combo)Pumpkin + Manuka Honey Juice Squeeze 7 Packets x 30ml x3,5.0,2,200,50,2950.0,,Less than 50,16+
,Juice,3 Options,Australia,Yami,39.99,Rice Bean Coix Seed Quinoa Chickpea Traditionally Fermented Juice 500ml,0.0,0,200,50,2000.0,,Less than 50,16+
,Juice,3 Options,Australia,Yami,39.99,Boysenberry Raspberry Sweet Cherry Blueberry Traditionally Fermented Juice 500ml,0.0,0,200,50,2000.0,,Less than 50,16+
,Juice,1 Options,Korea,Yami,6.0,Tint Water 03 Orange Juice 5.5ml,0.0,0,2000,500,3000.0,,400+,4+
,Juice,No,Korea,Yami,21.95,Korean Red Onion Extract Juice 100% Natural No Sugar or Water Added 100ml x 10 pouches,0.0,0,1200,300,6585.0,,200+,16+
,Juice,No,Japan,Yami,69.9,Pair Hart Sister Juice 370ML Human Lubricant Lubricant Sex Toys Famous House,0.0,0,100,25,1748.0,,Less than 50,16+
,Juice,2 Options,United States,Yami,26.9,Pi Girl Juice Pi Girl Sister Lubricant Lubricant,0.0,0,1200,300,8070.0,,200+,16+
,Juice,2 Options,Japan,Yami,23.0,Anime famous lubricating liquid girl juice water-soluble moisturizing body masturbation lubricant couple red bottle,0.0,0,1200,300,6900.0,,200+,16+
,Juice,No,Mainland China,Yami,26.5,Virgin juice water-soluble human lubricant private parts sex lubricant thick silky sister juice,0.0,0,1200,300,7950.0,,200+,16+
,Juice,2 Options,Mainland China,Yami,30.8,Meng juice human body lubricating oil famous device men's orgasm agent refreshing disposable [230ML] pack,0.0,0,100,25,770.0,,Less than 50,16+
,Juice,No,Japan,Yami,51.9,Sister Juice 370ML Human Body Lubricant Lubricant Oil Sex Toys,0.0,0,100,25,1298.0,,Less than 50,16+
,Juice,No,Mainland China,Yami,28.8,New barley green juice powder dietary fiber meal replacement powder 75g,0.0,0,100,25,720.0,,Less than 50,16+
,Juice,No,Mainland China,Yami,23.5,Virgin juice water-soluble human lubricant private parts sex lubricating oil refreshing disposable sister juice,0.0,0,1200,300,7050.0,,200+,16+
,Juice,No,Japan,Yami,2.99,Pulp Juice Chewable Gummy Plum Flavor 56g,0.0,0,800,200,598.0,,100+,2+
,Juice,2 Options,United States,Yami,26.9,Pi Girl Juice Pi Girl Sister Lubricant Lubricant,0.0,0,1200,300,8070.0,,200+,16+
,Juice,2 Options,Japan,Yami,23.0,Anime famous lubricating liquid girl juice water-soluble moisturizing body masturbation lubricant couple blue bottle,0.0,0,1200,300,6900.0,,200+,16+
,Juice,2 Options,Mainland China,Yami,30.8,Cute juice human body lubricating male orgasm agent for couples' intercourse powder bottle [viscous version] 230ML,0.0,0,100,25,770.0,,Less than 50,16+
,Juice,No,Taiwan,Yami,4.74,Black Fungus Juice 300g(Limited to 5 bottles),5.0,2,4000,1000,4740.0,,500+,4+
,Juice,No,Taiwan,Yami,3.79,Canned 100% Pineapple Juice 350ml  (Limited to 5 cans),0.0,0,800,200,758.0,,100+,2+
,Juice,No,Mainland China,Yami,59.9,Household small electric multi-function mixer mini minced meat juice QSJ-P01A1 brown,0.0,0,100,25,1498.0,,Less than 50,16+
,Juice,No,Taiwan,Yami,9.49,Fruit Juice Pudding Litchi 100g*4pcs,4.7,3,800,200,1898.0,,100+,8+
,Juice,5 Options,Mainland China,Yami,38.0,Glass Cup Tea Coffee Mug Ice Cup Heat Resistant Insulated Glass Cup Creative Juice 520ml Green,0.0,0,100,25,950.0,,Less than 50,16+
,Juice,2 Options,Mainland China,Yami,103.0,USB wire25 charging juicer juice machine electric mini slag juice separation fruit small juice machine blue version,0.0,0,100,25,2575.0,,Less than 50,16+
,Juice,No,Taiwan,Yami,5.99,Fruit Juice Pudding Strawberry 100g*4pcs(Shelf life:2022/5/12),0.0,0,4000,1000,5990.0,,500+,4+
,Juice,2 Options,Mainland China,Yami,59.23,Rechargeable Portable Blender Mixer Juicer Juice Citrus Lemon Vegetable Fruit Smoothie Squeezers Blue 1 pc,0.0,0,100,25,1481.0,,Less than 50,16+
,Juice,No,Japan,Yami,6.68,NITTO White Peach Fruit Juice Tea 240g,0.0,0,800,200,1336.0,,100+,6+
,Juice,3 Options,Mainland China,Yami,24.0,Lulu Cup Real Juice Meng Liquid Aircraft Cup Famous Lubricant 210ml Lubricant A27 Hot,0.0,0,1200,300,7200.0,,200+,16+
,Juice,3 Options,Mainland China,Yami,64.9,Anime famous 20pro male inverted model real vagina masturbation jet cup juice sister type,5.0,1,100,25,1623.0,,Less than 50,16+
,Juice,2 Options,Mainland China,Yami,45.4,Household small mini portable multifunctional juice machine LLJ-P03H1 blue,0.0,0,100,25,1135.0,,Less than 50,16+
,Juice,2 Options,Japan,Yami,2.8,JAPAN Vegetable Juice 125ml,5.0,1,800,200,560.0,,100+,2+
,Juice,3 Options,Mainland China,Yami,69.93,Rechargeable Blender Mixer Portable Mini Juice Machine Smoothie Maker Household Juice Extractor White 1 pc,0.0,0,100,25,1748.0,,Less than 50,16+
,Juice,No,United States,Yami,7.99,Lipice Fruity Lip Balm With Real Fruit Juice Lemon 3.5g,0.0,0,800,200,1598.0,,100+,6+
,Juice,3 Options,Mainland China,Yami,21.6,Lu Lu Cup Real Juice Meng Liquid Aircraft Cup Famous Lubricant 210 ml Lubricant A19 Grinding Stick,0.0,0,1200,300,6480.0,,200+,16+
,Juice,5 Options,Mainland China,Yami,112.0,Bubble Juicer Cup Wire25 Portable Juice Cup,0.0,0,100,25,2800.0,,Less than 50,16+
,Juice,2 Options,Mainland China,Yami,79.4,Household small wire25 electric mini cooking fruit juice cup cherry blossom pink,0.0,0,100,25,1985.0,,Less than 50,16+
,Juice,No,Taiwan,Yami,9.49,Fruit Juice Pudding Mango100g*4 pcs,0.0,0,800,200,1898.0,,100+,8+
,Juice,5 Options,Mainland China,Yami,112.0,Bubble Juicer Cup Wire25 Portable Juice Cup Lilac Purple,0.0,0,100,25,2800.0,,Less than 50,16+
,Juice,3 Options,Malaysia,Yami,5.59,COCOALAND LOT100 Yogurt Gummy Fruits Juice Flavor 60g,0.0,0,2000,500,2795.0,,400+,4+
,Juice,No,Japan,Yami,48.68,ISDG Barley Green Leaf Juice 50bags,0.0,0,100,25,1217.0,,Less than 50,16+
,Juice,No,Korea,Yami,27.95,Korean Red Onion Extract Juice 100% Natural No Sugar or Water Added 100ml x 10 pouches,0.0,0,1200,300,8385.0,,200+,16+
,Juice,2 Options,Mainland China,Yami,79.4,Household small wire25 electric mini cooking fruit juice cup avocado green,0.0,0,100,25,1985.0,,Less than 50,16+
,Juice,No,Japan,Yami,67.34,Green Juice Smoothie Mixed Fruit and Vegetable Flavour Dietary Fiber,0.0,0,100,25,1684.0,,Less than 50,16+
,Juice,No,Taiwan,Yami,7.59,White Fungus Juice 235g(Limited to 5 bottles),5.0,1,400,100,759.0,,50+,6+
,Juice,3 Options,Mainland China,Yami,24.0,Real Juice Meng Liquid Airplane Cup Famous Lubricant Heat Sensitive 210ml Lubricant A27 Hot,5.0,2,1200,300,7200.0,,200+,16+
,Juice,3 Options,Mainland China,Yami,69.93,Rechargeable Blender Mixer Portable Mini Juice Machine Smoothie Maker Household Juice Extractor Blue 1 pc,0.0,0,100,25,1748.0,,Less than 50,16+
,Juice,2 Options,Japan,Yami,2.8,JAPAN Vegetable Juice  125ml,5.0,1,800,200,560.0,,100+,2+
,Juice,5 Options,Mainland China,Yami,38.0,Glass Cup Tea Coffee Mug Ice Cup Heat Resistant Insulated Glass Cup Creative Juice 520ml Deep Pink,0.0,0,100,25,950.0,,Less than 50,16+
,Juice,2 Options,Mainland China,Yami,103.0,USB wire25 charging juicer juice machine electric mini slag juice separation fruit small juice machine white model,0.0,0,100,25,2575.0,,Less than 50,16+
,Juice,5 Options,Mainland China,Yami,38.0,Glass Cup Tea Coffee Mug Ice Cup Heat Resistant Insulated Glass Cup Creative Juice 520ml Yellow,0.0,0,100,25,950.0,,Less than 50,16+
,Juice,3 Options,Malaysia,Yami,5.59,COCOALAND LOT100 Yogurt Gummy With mango Juice 60g,0.0,0,2000,500,2795.0,,400+,4+
,Juice,No,Mainland China,Yami,69.9,This gas juice foam mousse lubricating fluid appliance lubricating lubricant 200ml,5.0,1,100,25,1748.0,,Less than 50,16+
,Juice,No,Japan,Yami,34.7,Girl juice dark blue super COOL lubricant liquid water-soluble flirting adult products,0.0,0,800,200,6940.0,,100+,16+
,Juice,No,Mainland China,Yami,22.9,Water-soluble human lubricant private parts lubricating oil refreshing disposable sister juice hot skin-friendly,0.0,0,1200,300,6870.0,,200+,16+
,Juice,3 Options,Mainland China,Yami,19.6,Lulu Cup Real Juice Cute Liquid Aircraft Cup Famous Lubricant 210ml Lubricant A23 Slimy,0.0,0,1200,300,5880.0,,200+,16+
,Juice,2 Options,Mainland China,Yami,59.23,Rechargeable Portable Blender Mixer Juicer Juice Citrus Lemon Vegetable Fruit Smoothie Squeezers Pink 1 pc,0.0,0,100,25,1481.0,,Less than 50,16+
,Juice,No,Japan,Yami,2.9,Heart-shaped Fruit Juice Collagen Jelly White Peach Flavor 54g,0.0,0,800,200,580.0,,100+,2+
,Juice,No,Korea,Yami,95.0,KOREA EROM Pear & Balloon Flower Root Juice 30pouches,0.0,0,100,25,2375.0,,Less than 50,16+
,Juice,3 Options,Malaysia,Yami,5.59,COCOALAND LOT100 Yogurt Gummy With Grape Juice 60g,0.0,0,2000,500,2795.0,,400+,4+
,Juice,5 Options,Mainland China,Yami,112.0,Bubble Juicer Cup Wire25 Portable Juice Cup Light Luxury Blue,0.0,0,100,25,2800.0,,Less than 50,16+
,Juice,3 Options,Mainland China,Yami,69.93,Rechargeable Blender Mixer Portable Mini Juice Machine Smoothie Maker Household Juice Extractor Pink 1 pc,4.3,3,100,25,1748.0,,Less than 50,16+
,Juice,5 Options,Mainland China,Yami,38.0,Glass Cup Tea Coffee Mug Ice Cup Heat Resistant Insulated Glass Cup Creative Juice 520ml Pink,0.0,0,100,25,950.0,,Less than 50,16+
,Juice,No,Mainland China,Yami,79.0,Household fruit small portable multi-function fried juice cup blue type,0.0,0,100,25,1975.0,,Less than 50,16+
,Juice,3 Options,Mainland China,Yami,21.6,Real juice cute liquid airplane cup famous device lubricating oil scrub brushed 210 ml lubricating fluid A19 grinding stick,0.0,0,1200,300,6480.0,,200+,16+
,Juice,No,United States,Yami,7.99,Lipice Fruity Lip Balm With Real Fruit Juice Apple 3.5g,0.0,0,800,200,1598.0,,100+,6+
,Juice,5 Options,Mainland China,Yami,112.0,Bubble Juicer Cup Wire25 Portable Juice Cup Coconut Milk White,0.0,0,100,25,2800.0,,Less than 50,16+
,Juice,3 Options,Japan,Yami,30.8,Floral sister juice fun lubricating oil husband and wife room fun rose flower fragrance,0.0,0,1200,300,9240.0,,200+,16+
,Juice,3 Options,Japan,Yami,28.4,Floral sister juice fun lubricating oil husband and wife room fun color25 original style,0.0,0,1200,300,8520.0,,200+,16+
,Juice,3 Options,Japan,Yami,30.8,Floral girl juice fun lubricating oil for couples room fun cool mint,0.0,0,1200,300,9240.0,,200+,16+
,Juice,5 Options,Hong Kong,Yami,0.89,VITA Lemon Tea 250ml,4.8,745,100,25,22.0,,Less than 50,Less than 2
,Juice,9 Options,Mainland China,Yami,2.29,"Peach Sparkling Water, 16.2 fl oz",4.8,1072,100,25,57.0,,Less than 50,2+
,Juice,2 Options,Mainland China,Yami,1.09,Herbal Drink 10.9 fl oz,4.8,189,100,25,27.0,,Less than 50,Less than 2
,Juice,11 Options,Mainland China,Yami,1.49,"Jasmine Green Tea with Honey, 500ml",4.9,399,100,25,37.0,,Less than 50,Less than 2
,Juice,11 Options,Mainland China,Yami,1.49,"Lemon Iced Tea, 500ml",4.9,861,100,25,37.0,,Less than 50,Less than 2
,Juice,No,Mainland China,Yami,1.49,KVASS Bread Fermented Beverage 330ml,4.7,325,100,25,37.0,,Less than 50,Less than 2
,Juice,2 Options,Hong Kong,Yami,1.04,VITA HK Style Milk Tea 250ml,4.6,682,100,25,26.0,,Less than 50,Less than 2
,Juice,7 Options,Mainland China,Yami,1.49,White Strawberry &coconut Flavor Soda Sparkling Water Can 330ml,4.5,77,100,25,37.0,,Less than 50,Less than 2
,Juice,No,Mainland China,Yami,2.29,"Osmanthus Plum Drink, 300ml",4.8,748,100,25,57.0,,Less than 50,2+
,Juice,9 Options,Mainland China,Yami,2.29,Sparkling Water(Pineapple&Sea Salt) 480ml,4.6,23,100,25,57.0,,Less than 50,2+
,Juice,11 Options,Mainland China,Yami,1.49,"Low Sugar Green Tea Honey Jasmine Flavor, 500ml",4.8,197,100,25,37.0,,Less than 50,Less than 2
,Juice,2 Options,Mainland China,Yami,5.99,"Herbal Beverage, 10.9 fl oz,  Pack of 6",4.9,384,100,25,150.0,,Less than 50,4+
,Juice,No,Mainland China,Yami,1.99,Yogurt Flavor  Sparkling Water 480ml,4.9,88,100,25,50.0,,Less than 50,Less than 2
,Juice,11 Options,Mainland China,Yami,1.49,"Low Sugar Jasmine Green Tea, 500ml",4.9,324,100,25,37.0,,Less than 50,Less than 2
,Juice,4 Options,Mainland China,Yami,2.29,"Peach Oolong Tea, 16.9 fl oz",4.8,438,100,25,57.0,,Less than 50,2+
,Juice,11 Options,Mainland China,Yami,1.49,"Crystal Sugar Pear Drink, 500ml",4.7,258,100,25,37.0,,Less than 50,Less than 2
,Juice,No,Mainland China,Yami,2.29,Genki Forest Sparkling Water Lime and Cactus Flavor 480ml,4.4,7,400,100,229.0,,50+,2+
,Juice,4 Options,Hong Kong,Yami,0.79,VITA Chrysanthemum Tea 250ml,4.7,136,100,25,20.0,,Less than 50,Less than 2
,Juice,2 Options,Mainland China,Yami,1.79,Guang Pineapple Drink 330ml,5.0,7,400,100,179.0,,50+,Less than 2
,Juice,11 Options,Mainland China,Yami,1.49,"Sour Plum Drink, 500ml",4.6,376,100,25,37.0,,Less than 50,Less than 2
,Juice,9 Options,Mainland China,Yami,2.29,Black Grape Soda Sparkling Water 480ml,4.7,60,100,25,57.0,,Less than 50,2+
,Juice,11 Options,Mainland China,Yami,1.49,"Honey Citron Drink, 500ml",4.7,270,100,25,37.0,,Less than 50,Less than 2
,Juice,No,Mainland China,Yami,2.49,Corn Silk Tea 480ml,5.0,3,800,200,498.0,,100+,2+
,Juice,7 Options,Mainland China,Yami,1.49,Genki Sparkling Water Lychee Flavor Cans 330ml,4.8,89,100,25,37.0,,Less than 50,Less than 2
,Juice,9 Options,Mainland China,Yami,2.29,"Plum Sparkling Water, 16.2 fl oz",4.7,266,100,25,57.0,,Less than 50,2+
,Juice,2 Options,Mainland China,Yami,1.39,ICE PEAK Orange Soda 330ml,4.7,143,100,25,35.0,,Less than 50,Less than 2
,Juice,4 Options,Mainland China,Yami,2.29,Sugar Free Oolong Tea 500ml,4.6,220,100,25,57.0,,Less than 50,2+
,Juice,5 Options,Mainland China,Yami,1.99,Peach Red Pomelo Tea 400ml,4.5,192,100,25,50.0,,Less than 50,Less than 2
,Juice,No,Mainland China,Yami,1.29,HBL Lychee Drink 330ml,4.5,68,100,25,32.0,,Less than 50,Less than 2
,Juice,2 Options,United States,Yami,14.29,Red Bean Purple Rice Coix Seed Drink 15g*30,4.9,272,100,25,357.0,,Less than 50,14+
,Juice,4 Options,Hong Kong,Yami,0.79,VITA 25 Sugar Chrysanthemum Tea 250ml,4.8,156,100,25,20.0,,Less than 50,Less than 2
,Juice,6 Options,Mainland China,Yami,1.99,MizNe Vitamin Drink Peach Flavor 600ml,4.9,48,100,25,50.0,,Less than 50,Less than 2
,Juice,9 Options,Mainland China,Yami,2.29,"Citrus Sparkling Water, 16.2 fl oz",4.8,353,100,25,57.0,,Less than 50,2+
,Juice,No,Mainland China,Yami,2.79,Sparkling Peach Soda 300ml,5.0,2,800,200,558.0,,100+,2+
,Juice,No,Japan,Yami,3.29,Lychee Naturally  Artificially Flavored Non Carbonated Soft Drink 1.5L,5.0,6,800,200,658.0,,100+,2+
,Juice,2 Options,Mainland China,Yami,9.99,Guang's Pineapple Drink 330ml*6,4.9,21,100,25,250.0,,Less than 50,8+
,Juice,3 Options,Mainland China,Yami,1.59,"Orange Soda, 11.16 fl oz",4.8,203,100,25,40.0,,Less than 50,Less than 2
,Juice,No,Taiwan,Yami,1.39,Iced Lemon Black Tea 500ml,4.6,35,100,25,35.0,,Less than 50,Less than 2
,Juice,5 Options,Hong Kong,Yami,0.79,VITA Ceylon Lemon Tea 250ml,4.9,257,100,25,20.0,,Less than 50,Less than 2
,Juice,7 Options,Mainland China,Yami,1.49,Genki Sparkling Water Yogurt Flavor 330ml,4.8,26,100,25,37.0,,Less than 50,Less than 2
,Juice,No,Korea,Yami,3.29,Pocari Sweat Soft Drink 500ml,5.0,1,800,200,658.0,,100+,2+
,Juice,No,Mainland China,Yami,2.29,Alien Electrolyte Water Grapefruit 500ml,4.9,30,100,25,57.0,,Less than 50,2+
,Juice,No,Japan,Yami,2.69,Ramune Soda Original 400ml,0.0,0,800,200,538.0,,100+,2+
,Juice,No,Japan,Yami,2.49,Nectar Shine Muscat Soda 410ml,4.7,3,800,200,498.0,,100+,2+
,Juice,4 Options,Taiwan,Yami,0.99,Grass Jelly Drink Original 310ml,4.4,31,100,25,25.0,,Less than 50,Less than 2
,Juice,No,Mainland China,Yami,2.99,Sparkling Water Peach Flavor 500ml,5.0,2,800,200,598.0,,100+,2+
,Juice,No,Mainland China,Yami,1.6,Sencha Green Tea 460ml,4.7,3,800,200,320.0,,100+,Less than 2
,Juice,No,Taiwan,Yami,1.29,Bubble Milk Tea Drink Taro Flavor 350g,4.7,7,800,200,258.0,,100+,Less than 2
,Juice,No,Taiwan,Yami,12.99,Chocolate Milk 215ml*6,5.0,1,800,200,2598.0,,100+,12+
,Juice,4 Options,Hong Kong,Yami,0.79,VITA Honey Chrysanthemum Tea 250ml,4.8,77,100,25,20.0,,Less than 50,Less than 2
,Juice,6 Options,Mainland China,Yami,1.99,MizNe Vitamin Drink Lime Flavor 600ml,4.9,34,100,25,50.0,,Less than 50,Less than 2
,Juice,No,Taiwan,Yami,8.99,Earl Grey Milk Tea 300ml,0.0,0,800,200,1798.0,,100+,8+
,Juice,No,Mainland China,Yami,1.49,Rock Sugar Lime Drink 500ml,5.0,2,800,200,298.0,,100+,Less than 2
,Juice,No,Vietnam,Yami,1.29,Zero Degree Lemon Green Tea 455ml,4.3,3,800,200,258.0,,100+,Less than 2
,Juice,No,Mainland China,Yami,4.99,Lemon Tea 250ml*6,5.0,5,800,200,998.0,,100+,4+
,Juice,No,Vietnam,Yami,1.29,Salty Lemon Isotonic Drink 455ml,5.0,1,1200,300,387.0,,200+,Less than 2
,Juice,No,Japan,Yami,3.59,Dry Zero Soft Drink 350ml,4.8,13,800,200,718.0,,100+,2+
,Juice,6 Options,Korea,Yami,1.09,Milkis Peach Flavor 250ml,4.8,141,100,25,27.0,,Less than 50,Less than 2
,Juice,5 Options,Mainland China,Yami,1.99,Grapefruit Jasmine Tea 500ml,4.8,149,100,25,50.0,,Less than 50,Less than 2
,Juice,4 Options,Mainland China,Yami,2.99,Apricot Drink 300ml,4.1,10,800,200,598.0,,100+,2+
,Juice,No,Taiwan,Yami,1.29,Bubble Milk Tea Drink Thai Tea Flavor,4.9,8,400,100,129.0,,50+,Less than 2
,Juice,5 Options,Mainland China,Yami,1.99,Peach Oolong Tea 500 ml,4.8,176,100,25,50.0,,Less than 50,Less than 2
,Juice,No,Mainland China,Yami,2.99,SNOW Rose and Lychee Flavor Soda  500ml,0.0,0,800,200,598.0,,100+,2+
,Juice,8 Options,Japan,Yami,1.99,Unsweetened Jasmine Green Tea 500ml,4.8,48,100,25,50.0,,Less than 50,Less than 2
,Juice,2 Options,Hong Kong,Yami,0.79,VITA Winter Honey & Lime Tea 250ml,4.6,174,100,25,20.0,,Less than 50,Less than 2
,Juice,No,Hong Kong,Yami,3.49,WATSONS Collagen Water Lychee Flavor  400ml,5.0,1,200,50,175.0,,Less than 50,2+
,Juice,No,Japan,Yami,2.49,Okinawa Salted Lychee Drink 500ml,4.6,122,100,25,62.0,,Less than 50,2+
,Juice,No,Mainland China,Yami,2.59,??Dragon Ball Collaboration??OCEAN BOMB White Grape Flavor Soda 330ml,0.0,0,800,200,518.0,,100+,2+
,Juice,No,Taiwan,Yami,1.99,Big Apple Soda Drink 330ml,4.0,1,800,200,398.0,,100+,Less than 2
,Juice,5 Options,Mainland China,Yami,2.49,Thai Lime Tea 400ml,4.5,102,100,25,62.0,,Less than 50,2+
,Juice,No,Mainland China,Yami,2.59,??Dragon Ball Collaboration??OCEAN BOMB Orange Flavor Soda 330ml,0.0,0,800,200,518.0,,100+,2+
,Juice,No,Mainland China,Yami,2.59,??Dragon Ball Collaboration??OCEAN BOMB Apple Flavor Soda 330ml,0.0,0,800,200,518.0,,100+,2+
,Juice,No,Mainland China,Yami,2.59,??Dragon Ball Collaboration??OCEAN BOMB Vanilla Flavor Soda 330ml,0.0,0,800,200,518.0,,100+,2+
,Juice,No,Japan,Yami,3.49,Dry Zero Free Soft Drink 11.83floz,5.0,1,800,200,698.0,,100+,2+
,Juice,2 Options,Mainland China,Yami,2.49,Sparkling Water Peach Flavor 500ml,4.9,128,100,25,62.0,,Less than 50,2+
,Juice,No,Korea,Yami,4.89,Rice Punch 2L,0.0,0,800,200,978.0,,100+,4+
,Juice,No,Mainland China,Yami,2.49,Fruit Tea Red Pomegranate White Grapes 400ml,0.0,0,800,200,498.0,,100+,2+
,Juice,No,Korea,Yami,1.89,Aloe Drink Pineapple 500ml,0.0,0,800,200,378.0,,100+,Less than 2
